,ticker,date,MV_pred,MV,close
1574,RRGB,2012-01-03,1209778.29,415209.92,
1573,RRGB,2012-01-04,1235212.16,403984.09,
1572,RRGB,2012-01-05,1251534.96,410544.64,
1571,RRGB,2012-01-06,1245940.31,418854.67,
1570,RRGB,2012-01-09,1231689.16,419729.41,
1569,RRGB,2012-01-10,1263344.04,438536.31999999995,
1568,RRGB,2012-01-11,1265494.1,419583.62,
1567,RRGB,2012-01-12,1220660.25,425998.38,
1566,RRGB,2012-01-13,1299532.12,421624.68000000005,
1565,RRGB,2012-01-17,1274430.48,449762.15,
1564,RRGB,2012-01-18,1197141.97,435912.1,
1563,RRGB,2012-01-19,1280534.61,448595.83,
1562,RRGB,2012-01-20,1300043.41,439556.85,
1561,RRGB,2012-01-23,1296758.88,447721.09,
1560,RRGB,2012-01-24,1300237.3,448012.67,
1559,RRGB,2012-01-25,1309470.44,454719.01,
1558,RRGB,2012-01-26,1298698.82,455885.33,
1557,RRGB,2012-01-27,1278944.47,450199.51999999996,
1556,RRGB,2012-01-30,1302816.58,454281.64,
1555,RRGB,2012-01-31,1279944.66,453115.31999999995,
1554,RRGB,2012-02-01,1293712.98,452094.79000000004,
1553,RRGB,2012-02-02,1301910.65,464486.94,
1552,RRGB,2012-02-03,1300135.15,474838.03,
1551,RRGB,2012-02-06,1297576.06,476004.35,
1550,RRGB,2012-02-07,1303457.04,469006.43000000005,
1549,RRGB,2012-02-08,1282641.92,474983.81999999995,
1548,RRGB,2012-02-09,1306053.23,485334.91,
1547,RRGB,2012-02-10,1305288.79,485772.28,
1546,RRGB,2012-02-13,1308876.93,491458.09,
1545,RRGB,2012-02-14,1307888.54,485626.49000000005,
1544,RRGB,2012-02-15,1251043.33,480086.47,
1543,RRGB,2012-02-16,1306426.33,498601.80000000005,
1542,RRGB,2012-02-17,1247105.26,486792.81,
1541,RRGB,2012-02-21,1311868.4,519449.77,
1540,RRGB,2012-02-22,1318475.73,514930.28,
1539,RRGB,2012-02-23,1308345.79,508748.784,
1538,RRGB,2012-02-24,1274456.17,505891.30000000005,
1537,RRGB,2012-02-27,1308547.46,500205.49000000005,
1536,RRGB,2012-02-28,1291714.19,502975.5,
1535,RRGB,2012-02-29,1265443.19,505543.5,
1534,RRGB,2012-03-01,1234692.79,504376.3,
1533,RRGB,2012-03-02,1300474.36,501750.10000000003,
1532,RRGB,2012-03-05,1292894.34,506273.00000000006,
1531,RRGB,2012-03-06,1300444.21,503209.10000000003,
1530,RRGB,2012-03-07,1292791.68,495330.50000000006,
1529,RRGB,2012-03-08,1253304.37,505981.2,
1528,RRGB,2012-03-09,1266304.26,505835.30000000005,
1527,RRGB,2012-03-12,1249283.78,513713.9,
1526,RRGB,2012-03-13,1292532.41,512838.5,
1525,RRGB,2012-03-14,1293021.79,521884.30000000005,
1524,RRGB,2012-03-15,1162628.6,531076.0,
1523,RRGB,2012-03-16,1261782.12,545082.4,
1522,RRGB,2012-03-19,1254849.93,537495.6000000001,
1521,RRGB,2012-03-20,1260077.38,546687.2999999999,
1520,RRGB,2012-03-21,1261633.48,539684.1,146.46584251623074
1519,RRGB,2012-03-22,1210849.73,535015.3,145.8042537481513
1518,RRGB,2012-03-23,1251406.04,534139.9,147.74993480938986
1517,RRGB,2012-03-26,1255900.17,537495.6000000001,152.06790809933477
1516,RRGB,2012-03-27,1250490.85,546103.7,150.9460303400897
1515,RRGB,2012-03-28,1252240.06,544936.5,149.85052046421063
1514,RRGB,2012-03-29,1228031.04,546103.7,147.23300428866136
1513,RRGB,2012-03-30,1262773.87,554309.02,149.2977393485193
1512,RRGB,2012-04-02,1258957.76,541448.7,149.14001995350517
1511,RRGB,2012-04-03,1256368.76,544809.92,150.8296392260886
1510,RRGB,2012-04-04,1250713.14,536918.36,152.48234655815185
1509,RRGB,2012-04-05,1235021.96,527857.6799999999,149.13889833715132
1508,RRGB,2012-04-09,1241500.43,519235.42000000004,152.64057300004072
1507,RRGB,2012-04-10,1255798.95,519381.56,152.69254251066806
1506,RRGB,2012-04-11,1236339.73,508713.34,149.01369938732245
1505,RRGB,2012-04-12,1267980.11,515143.5,149.60274377682396
1504,RRGB,2012-04-13,1256156.08,522450.5,150.82084918572508
1503,RRGB,2012-04-16,1227189.21,524204.17999999993,146.12023813991337
1502,RRGB,2012-04-17,1251974.38,514851.22,147.86325535485676
1501,RRGB,2012-04-18,1223190.27,506521.23999999993,146.4939491066568
1500,RRGB,2012-04-19,1257545.7,506228.96,147.37486844080925
1499,RRGB,2012-04-20,1276032.85,506375.1,148.31860249594237
1498,RRGB,2012-04-23,1274051.99,510759.30000000005,148.9553827160063
1497,RRGB,2012-04-24,1206565.88,505059.84,146.61534500428996
1496,RRGB,2012-04-25,1275102.49,502867.73999999993,148.10048858729078
1495,RRGB,2012-04-26,1298561.35,506667.38,148.98020950233808
1494,RRGB,2012-04-27,1303535.7,510759.30000000005,148.28748765066018
1493,RRGB,2012-04-30,1297252.95,508455.51,146.23119995323668
1492,RRGB,2012-05-01,1300734.25,532695.6599999999,144.66829045630712
1491,RRGB,2012-05-02,1250847.84,527553.8099999999,141.4386862415389
1490,RRGB,2012-05-03,1298304.38,529610.5499999999,144.478033086325
1489,RRGB,2012-05-04,1277175.01,519473.76,140.73016285223503
1488,RRGB,2012-05-07,1236437.63,516682.47000000003,145.2448386482958
1487,RRGB,2012-05-08,1321543.95,514038.09,146.15717082794774
1486,RRGB,2012-05-09,1295027.11,499640.91,142.54596153763072
1485,RRGB,2012-05-10,1305381.74,509336.97000000003,141.98577493278978
1484,RRGB,2012-05-11,1318067.2,507280.23000000004,144.30668591089722
1483,RRGB,2012-05-14,1312633.6,509483.88,144.53127142448272
1482,RRGB,2012-05-15,1278095.42,514478.82000000007,143.55296793598507
1481,RRGB,2012-05-16,1327254.53,536074.5900000001,144.86605945646951
1480,RRGB,2012-05-17,1332730.23,463060.32,145.99068069361252
1479,RRGB,2012-05-18,1325268.76,447047.13,142.71787210431626
1478,RRGB,2012-05-21,1324191.27,449250.77999999997,141.9546906243983
1477,RRGB,2012-05-22,1325465.23,472609.47000000003,143.803965597201
1476,RRGB,2012-05-23,1301863.48,469818.18,139.23526323713958
1475,RRGB,2012-05-24,1320491.16,470258.91,138.92716973630294
1474,RRGB,2012-05-25,1320340.17,473490.92999999993,138.9209293366674
1473,RRGB,2012-05-29,1296254.9,479220.42,138.82379902460713
1472,RRGB,2012-05-30,1320718.88,472315.64999999997,140.2840481406532
1471,RRGB,2012-05-31,1320367.46,468221.56,175.03416646392205
1470,RRGB,2012-06-01,1320651.16,462493.63,174.86622951786086
1469,RRGB,2012-06-04,1316957.81,455884.48,174.8034148972719
1468,RRGB,2012-06-05,1279417.72,447219.14999999997,174.68918510023167
1467,RRGB,2012-06-06,1262639.85,463081.11000000004,175.07373103930803
1466,RRGB,2012-06-07,1319148.7,469837.13,179.74484447831523
