Rating,Number Of Ratings,Address
N/A,Newly Added,"234 West 42nd Street, New York, NY 10036, USA"
Build Your Sampler (Choose Any 3),$17.99,Most Popular,Choose from our handpicked Apps & Bar Snacks. Sampler portions are smaller so you can pick even more bold flavors.
B. 2 Entrees + 1 Appetizer,$27.00,Most Popular, 
Boneless Wings,$12.79,Most Popular,"Choice of honey BBQ, spicy sweet Asian Chile, classic or hot buffalo sauce."
A. 2 Entrees + 1 Appetizer,$20.00,Most Popular, 
Mozzarella Sticks,$9.89,Most Popular, 
Chicken Tenders Platter,$15.89,Most Popular,"Fries, slaw, and honey-Dijon."
Spinach & Artichoke Dip,$9.79,Most Popular, 
Triple Bacon Burger,$13.49,Most Popular,"Seared bacon, Cheddar, and BBQ-bacon ranch."
Double-Crunch Bone-In Wings,$13.59,Most Popular,"Choice of honey BBQ, spicy sweet Asian chile, classic & hot buffalo or thai peanut sauce."
Apple Chimi Cheesecake,$7.59,Most Popular, 
Hand-In Bone-In Pork Chop,$18.99,Now Featuring,Grilled to perfection over American Oak- served with your choice of two sides. 370 cal.
The Classic Combo,$19.69,Now Featuring,"Appetizer sampler featuring mozzarella sticks, spinach & artichoke dip, chicken quesadilla, boneless wings. 2650- 2710 cal"
The Classic Combo,$19.69,Appetizers & Bar Snacks,"Appetizer sampler featuring Mozzarella sticks, spinach & artichoke dip, chicken quesadilla, and boneless wings."
Steak Quesadilla,$11.99,Appetizers & Bar Snacks,"Hand-cut top sirloin, salsa verde, pico."
Chipotle-lime Chicken Quesadilla,$11.09,Appetizers & Bar Snacks,"Chipotle-lime chicken, salsa verde, and pico."
Sweet Potato Fries & Dips,$7.79,Appetizers & Bar Snacks,"Sriracha chili-lime, BBQ bacon ranch, and maple-flavored cream cheese sauce."
Spinach & Artichoke Dip,$9.79,Appetizers & Bar Snacks, 
Grilled Chicken Wonton Tacos,$10.79,Appetizers & Bar Snacks,"Spicy chicken-stuffed wonton shells, slaw, and cilantro."
Boneless Wings,$12.79,Appetizers & Bar Snacks,"Choice of honey BBQ, spicy sweet Asian Chile, classic or hot buffalo sauce."
Housemade Sweet & Spicy Pickles,$4.99,Appetizers & Bar Snacks, 
Sriracha Shrimp,$10.99,Appetizers & Bar Snacks,"BBQ spice, and Sriracha chile-lime sauce."
Salsa Verde Beef Nachos,$13.99,Appetizers & Bar Snacks,"Spicy queso blanco, cheddar, sour cream, pico, fresh jalapenos."
Chips & Salsa,$4.19,Appetizers & Bar Snacks,Salsa verde & chipotle lime salsa.
Cheeseburger Egg Rolls,$11.19,Appetizers & Bar Snacks,"Ground beef, cheddar, onion, pickles, signature sauce."
Brew Pub Pretzels & Beer Cheese Dip,$9.89,Appetizers & Bar Snacks,Blue Moon white cheddar craft beer cheese dip and honey-Dijon.
Mozzarella Sticks,$9.89,Appetizers & Bar Snacks, 
Double-Crunch Bone-In Wings,$13.59,Appetizers & Bar Snacks,"Choice of honey BBQ, spicy sweet Asian chile, classic & hot buffalo or thai peanut sauce."
Soup Selelction,$5.79,Appetizers & Bar Snacks, 
Salad Selection,$4.99,Appetizers & Bar Snacks, 
Two Classic Applebee's Combinations with Classic Sides,$19.99,Create Your Own - You Pick Two, 
Two Classic Applebee's Combinations with Signature Sides,$19.99,Create Your Own - You Pick Two, 
Build Your Sampler (Choose Any 3),$17.99,Build Your Sampler,Choose from our handpicked Apps & Bar Snacks. Sampler portions are smaller so you can pick even more bold flavors.
