Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Ancho Citrus Shrimp Burrito,$8.99,Most Loved,"Sustainable pan-seared shrimp with guacamole, citrus rice, black beans, lettuce, roasted chipotle salsa, salsa fresca and creamy chipotle sauce."
Chipotle Orange Salad,$8.29,Most Loved,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with mandarin oranges, fire-roasted corn, red chiles, avocado slices and black beans on fresh mixed greens, topped with tortilla strips, white sauce and chipotle orange vinaigrette."
The Original Fish Two Taco Plate,$7.69,Most Loved,"Sustainable Wild Alaska Pollock, hand-dipped in beer batter, topped with cabbage, white sauce and mild salsa on two stone-ground corn tortillas."
Grilled Gourmet Taco™ with Shrimp Two Taco Plate,$9.29,Most Loved,"Sustainable pan-seared shrimp with toasted cheese, all natural bacon, Hass Avocado slices, roasted chipotle salsa, cilantro/onion and creamy chipotle sauce on two stone-ground corn tortillas."
Wild Pacific Mahi Mahi Burrito,$8.99,Most Loved,"Wild Pacific Mahi Mahi, grilled or house blackened, with fire-roasted corn, guacamole, Mexican rice, cabbage, cilantro/onion and creamy chipotle sauce."
California Bowl,$8.29,Most Loved,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with citrus rice, black beans, guacamole, salsa fresca, chipotle sauce, romaine lettuce and your choice of roasted chipotle salsa or salsa verde."
Burrito Especial with Grilled All Natural Chicken,$7.99,Most Loved,"Grilled all natural chicken with citrus rice, guacamole, black beans, salsa fresca, romaine lettuce, creamy chipotle sauce and roasted chipotle salsa."
Guacamole & Chips,$2.49,Most Popular,"Guacamole made fresh daily with Hass avocados, cilantro, sea salt & lime. Served with tortilla chips prepared fresh daily."
Quesadilla,$6.99,Most Popular,"Toasted flour tortilla with melted jack and cheddar cheese. Served with our handmade guacamole, our salsa fresca, sour cream and a side of lightly sea-salted chips. Also available with all natural chicken and all natural steak."
Kids Bean & Cheese Burrito,$4.99,Most Popular, 
Fountain Drink,$2.29,Most Popular,Your choice of beverage and size.
Tortilla Chips,$0.99,Most Popular,Prepared fresh daily and sprinkled with natural sea salt.
Classic Grilled Shrimp Burrito,$8.99,Most Popular,"Sustainable pan-seared shrimp with cheese, Mexican rice, “no-fried” pinto beans™, salsa fresca and creamy chipotle sauce."
The Original Fish Taco,$3.49,Most Popular,"Sustainable Wild Alaska Pollock, hand-dipped in beer batter, topped with cabbage, white sauce and mild salsa on a stone-ground corn tortilla."
Loaded Nachos,$6.99,Most Popular,"Tortilla chips loaded with melted cheese, guacamole, salsa fresca, “no-fried” pinto beans™ and sour cream. Also available with all natural chicken and all natural steak."
Kids Cheese Quesadilla,$4.99,Most Popular, 
Fish Taco Especial Two Taco Plate,$8.29,Most Popular,"The Original Fish Taco® topped with guacamole, cheese, cabbage, cilantro/onion and white sauce on two stone-ground corn tortillas."
Wild Argentinian Red Shrimp Bowl,$8.99,Featured Items,"Wild Argentinian Red Shrimp drizzled with warm smoked paprika & tomato butter, Hass avocado slices, salsa fresca, citrus rice, black beans, cabbage, chipotle sauce, and tortilla strips."
Wild Argentinian Red Shrimp Two Taco Plate,$8.99,Featured Items,"Wild Argentinian Red Shrimp drizzled with smoked paprika & tomato butter topped with Hass avocado slices, salsa fresca, cabbage and chipotle white sauce on a warm stone-ground corn tortilla. Served with a side of ""no-fried"" pinto beans™ and chips."
The Original Fish Two Taco Plate,$7.69,The Original Fish Taco,"Sustainable Wild Alaska Pollock, hand-dipped in beer batter, topped with cabbage, white sauce and mild salsa on two stone-ground corn tortillas."
Fish Taco Especial Two Taco Plate,$8.29,The Original Fish Taco,"The Original Fish Taco® topped with guacamole, cheese, cabbage, cilantro/onion and white sauce on two stone-ground corn tortillas."
The Coastal Trio,$9.79,The Original Fish Taco,"The Original Fish taco®, Salsa Verde Shrimp taco and a Wild Pacific Mahi Mahi Taco."
Cabo Plate,$11.49,The Original Fish Taco,Our Classic Grilled Shrimp Burrito and The Original Fish Taco® served with tortilla chips & “no-fried” pinto beans.
Wild Pacific Mahi Mahi Two Taco Plate,$8.99,Grilled Seafood Tacos,"Wild Pacific Mahi Mahi, grilled or house blackened, topped with fire-roasted corn, cabbage, cilantro/onion and creamy chipotle sauce on two stone-ground corn tortillas."
Mango Wild Mahi Mahi Two Taco Plate,$9.29,Grilled Seafood Tacos,"Two tacos made with mango salsa, fresh guacamole, cabbage and chipotle sauce. Served on a flour tortillas with “no-fried” pinto beans and tortilla chips."
Wild Alaska Coho Salmon Two Taco Plate,$9.29,Grilled Seafood Tacos,"Sustainable Wild Alaska Coho salmon, grilled or house blackened, topped with fire-roasted corn, cilantro/onion, cabbage and creamy chipotle sauce on two stone-ground corn tortillas."
Grilled Gourmet Taco™ with Shrimp Two Taco Plate,$9.29,Grilled Seafood Tacos,"Sustainable pan-seared shrimp with toasted cheese, all natural bacon, Hass Avocado slices, roasted chipotle salsa, cilantro/onion and creamy chipotle sauce on two stone-ground corn tortillas."
Salsa Verde Shrimp Two Taco Plate,$8.99,Grilled Seafood Tacos,"Sustainable pan-seared shrimp topped with salsa verde salsa, Hass Avocado slices, melted cheese, cabbage, cilantro/onion mix and creamy chipotle sauce on two warm flour tortillas."
The Coastal Trio,$9.79,Grilled Seafood Tacos,"The Original Fish taco®, Salsa Verde Shrimp taco and a Wild Pacific Mahi Mahi Taco."
Ancho Citrus Shrimp Burrito,$8.99,Seafood Burritos,"Sustainable pan-seared shrimp with guacamole, citrus rice, black beans, lettuce, roasted chipotle salsa, salsa fresca and creamy chipotle sauce."
Classic Grilled Shrimp Burrito,$8.99,Seafood Burritos,"Sustainable pan-seared shrimp with cheese, Mexican rice, “no-fried” pinto beans™, salsa fresca and creamy chipotle sauce."
Grilled Shrimp & Bacon Burrito,$9.29,Seafood Burritos,"Sustainable pan-seared shrimp with toasted cheese, All Natural Bacon, guacamole, citrus rice, blackened jalapenos, roasted chipotle salsa, chipotle sauce and salsa fresca."
Wild Pacific Mahi Mahi Burrito,$8.99,Seafood Burritos,"Wild Pacific Mahi Mahi, grilled or house blackened, with fire-roasted corn, guacamole, Mexican rice, cabbage, cilantro/onion and creamy chipotle sauce."
Wild Alaska Coho Salmon Burrito,$9.29,Seafood Burritos,"Sustainable Wild Alaska Coho salmon, grilled or house blackened, with fire-roasted corn, guacamole, Mexican rice, cabbage, cilantro/onion mix and creamy chipotle sauce."
Signature Beer-Battered Fish Burrito,$8.29,Seafood Burritos,"Wild Alaska Pollock, fresh guacamole, black beans, our original white sauce, mild salsa, cabbage and cilantro and onion. Served on a flour tortilla with chips."
Cabo Plate,$11.49,Seafood Burritos,"Our Classic Grilled Shrimp Burrito and The Original Fish Taco® served with tortilla chips and ""no fried"" pinto beans."
Chipotle Orange Salad,$8.29,Salads & Bowls,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with mandarin oranges, fire-roasted corn, red chiles, avocado slices and black beans on fresh mixed greens, topped with tortilla strips, white sauce and chipotle orange vinaigrette."
Balsamic Salad,$8.29,Salads & Bowls,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with fire-roasted corn, roasted sweet peppers, zucchini, squash and onions, Hass avocado slices on fresh mixed greens with lemon agave white balsamic vinaigrette."
Chopped Salad,$8.29,Salads & Bowls,"Served with your choice of grilled all natural chicken, seafood or veggies with shredded cheese, crispy tortilla strips, salsa fresca, romaine lettuce, cabbage and chipotle ranch dressing."
California Bowl,$8.29,Salads & Bowls,"Served with your choice of all natural chicken, grilled seafood or grilled veggies with citrus rice, black beans, guacamole, salsa fresca, chipotle sauce, romaine lettuce and your choice of roasted chipotle salsa or salsa verde."
Cilantro Lime Quinoa Bowl,$9.09,Salads & Bowls,"Served with your choice of grilled all natural chicken or grilled seafood, brown rice & quinoa, romaine lettuce, fire-roasted veggies, sliced avocado, black beans, cilantro lime mojo sauce and toasted almonds."
Mango Avocado Salad,$9.09,Salads & Bowls,"Served with your choice of all natural chicken, grilled seafood or grilled veggies on a bed of fresh mixed greens with mango salsa, brown rice & quinoa, sliced avocado, crisp tortilla strips and drizzled with a lemon agave white balsamic vinaigrette"
Grilled Gourmet Two Taco Plate with All Natural Chicken,$8.69,All Natural Chicken,"Grilled all natural chicken with toasted cheese, all natural bacon, Hass Avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on two stone-ground corn tortillas."
Classic Two Taco Plate with All Natural Chicken,$8.29,All Natural Chicken,"Grilled all natural chicken with guacamole, shredded cheese, lettuce, salsa fresca, and creamy chipotle sauce on two stone-ground corn tortillas."
Rubio's Street Tacos Three Taco Plate,$7.99,All Natural Chicken,"Snack-size tacos with grilled all natural chicken, topped with guacamole and cilantro/onion on stone-ground corn tortillas."
Baja Grill Burrito with Grilled All Natural Chicken,$7.99,All Natural Chicken,"Grilled all natural chicken with guacamole, shredded cheese and salsa fresca."
Burrito Especial with Grilled All Natural Chicken,$7.99,All Natural Chicken,"Grilled all natural chicken with citrus rice, guacamole, black beans, salsa fresca, romaine lettuce, creamy chipotle sauce and roasted chipotle salsa."
Grilled Gourmet Taco™ with All Natural Steak Two Taco Plate,$8.99,All Natural Steak,"All natural steak with toasted cheese, crisp all natural bacon, Hass Avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on two stone-ground corn tortillas."
Classic Two Taco Plate with All Natural Steak,$8.69,All Natural Steak,"Two Tacos made with fresh guacamole, cheese, salsa fresca, lettuce and chipotle sauce. Served on a stone-ground corn tortilla with “no-fried” pinto beans and tortilla chips."
Rubio's Street Tacos Three Taco Plate,$7.99,All Natural Steak,"Snack-size tacos with grilled all natural chicken, topped with guacamole and cilantro/onion on stone-ground corn tortillas."
Burrito Especial with All Natural Steak,$8.49,All Natural Steak,"All natural steak with citrus rice, guacamole, black beans, salsa fresca, romaine lettuce, creamy chipotle sauce and roasted chipotle salsa."
Baja Grill Burrito with All Natural Steak,$8.49,All Natural Steak,"All natural steak with guacamole, shredded cheese and salsa fresca."
Veggie Quesadilla,$7.99,Grilled Veggies,"A blend of grilled bell peppers, zucchini, yellow squash, red onion and melted cheese in a flour tortilla. Served with a side of sour cream, fresh guacamole, salsa fresca and tortilla chips."
Grilled Gourmet Taco™ with Veggies Two Taco Plate,$8.69,Grilled Veggies,"Roasted peppers, zucchini, squash & onions with toasted cheese, Hass Avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on two stone-ground corn tortillas."
Burrito Especial with Grilled Veggies,$7.99,Grilled Veggies,"Roasted peppers, zucchini, squash & onions with citrus rice, guacamole, black beans, salsa fresca, romaine lettuce, creamy chipotle sauce and roasted chipotle salsa."
Bean & Cheese Burrito,$4.99,Grilled Veggies,"Our signature “no-fried” pinto beans™, jack and cheddar cheese and mild salsa, wrapped in a toasted flour tortilla."
Quesadilla,$6.99,"Quesadilla, Nachos & More","Toasted flour tortilla with melted jack and cheddar cheese. Served with our handmade guacamole, our salsa fresca, sour cream and a side of lightly sea-salted chips. Also available with all natural chicken and all natural steak."
Loaded Nachos,$6.99,"Quesadilla, Nachos & More","Tortilla chips loaded with melted cheese, guacamole, salsa fresca, “no-fried” pinto beans™ and sour cream. Also available with all natural chicken and all natural steak."
The Original Fish Taco,$3.49,A La Carte Taco,"Sustainable Wild Alaska Pollock, hand-dipped in beer batter, topped with cabbage, white sauce and mild salsa on a stone-ground corn tortilla."
Fish Taco Especial,$3.79,A La Carte Taco,"The Original Fish Taco® topped with guacamole, cheese, cabbage, cilantro/onion and white sauce on a stone-ground corn tortilla."
Wild Pacific Mahi Mahi Taco,$4.29,A La Carte Taco,"Wild Pacific Mahi Mahi, grilled or house blackened, topped with fire-roasted corn, cabbage, cilantro/onion and creamy chipotle sauce on a stone-ground corn tortilla."
Mango Wild Mahi Mahi Taco,$4.49,A La Carte Taco,"Mango salsa, fresh guacamole, cabbage and chipotle sauce on a flour tortilla."
Wild Alaska Coho Salmon Taco,$4.49,A La Carte Taco,"Sustainable Wild Alaska Coho salmon, grilled or house blackened, topped with fire-roasted corn, cilantro/onion, cabbage and creamy chipotle sauce on a stone-ground corn tortilla."
Grilled Gourmet Taco™ with Shrimp,$4.49,A La Carte Taco,"Sustainable pan-seared shrimp with toasted cheese, all natural bacon, Hass Avocado slices, roasted chipotle salsa, cilantro/onion and creamy chipotle sauce on a stone-ground corn tortilla."
Salsa Verde Shrimp Taco,$4.29,A La Carte Taco,"Sustainable pan-seared shrimp topped with salsa verde salsa, Hass Avocado slices, melted cheese, cabbage, cilantro/onion mix and creamy chipotle sauce on a warm flour tortilla."
Grilled Gourmet Taco with All Natural Chicken,$3.99,A La Carte Taco,"Grilled all natural chicken with toasted cheese, all natural bacon, Hass Avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on a stone-ground corn tortilla."
Classic Taco with All Natural Chicken,$3.79,A La Carte Taco,"Grilled all natural chicken with guacamole, shredded cheese, lettuce, salsa fresca, and creamy chipotle sauce on a stone-ground corn tortilla."
Rubio's Street Taco with All Natural Chicken,$2.79,A La Carte Taco,"Snack-size tacos topped with grilled all natural chicken, topped with guacamole and cilantro/onion on stone-ground corn tortillas."
Grilled Gourmet Taco™ with Veggies,$3.99,A La Carte Taco,"Roasted peppers, zucchini, squash & onions with toasted cheese, Hass Avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on a stone-ground corn tortilla."
Grilled Gourmet Taco™ with All Natural Steak,$4.29,A La Carte Taco,"Grilled all natural steak with toasted cheese, all natural bacon, Hass avocado slices, cilantro/onion, roasted chipotle salsa and creamy chipotle sauce on a stone-ground corn tortilla."
Classic Taco with All Natural Steak,$3.99,A La Carte Taco,"Grilled all natural steak with fresh guacamole, cheese, salsa fresca, lettuce, and chipotle sauce on a stone-ground corn tortilla."
Rubio's Street Taco with All Natural Steak,$2.79,A La Carte Taco,"Snack-size tacos topped with grilled all natural steak, guacamole and cilantro/onion on stone-ground corn tortillas."
Kids Cheese Quesadilla,$4.99,Kids Menu, 
Kids Grilled Chicken Quesadilla,$4.99,Kids Menu, 
Kids Bean & Cheese Burrito,$4.99,Kids Menu, 
Kids Chicken Taquitos,$4.99,Kids Menu, 
Kids Chicken Bites,$4.99,Kids Menu, 
Kids Original Fish Taco without salsa,$4.99,Kids Menu, 
Kids Grilled Chicken Taco,$4.99,Kids Menu, 
Kids Chicken Bowl,$4.99,Kids Menu,"All natural chicken, Mexican rice, black beans and shredded cheese."
Tortilla Chips,$0.99,Sides,Prepared fresh daily and sprinkled with natural sea salt.
“No-Fried” Pinto Beans™,$0.99,Sides,Made fresh daily from scratch and topped with shredded cheese.
Black Beans,$0.99,Sides,Made fresh daily from scratch and topped with shredded cheese.
Citrus Rice,$0.99,Sides,Flavored with lime juice and lemongrass.
Mexican Rice,$0.99,Sides,Made fresh daily from scratch.
Guacamole (1oz.),$0.99,Sides,"Made fresh daily in our kitchens with Hass avocados, chopped cilantro, natural sea salt, and lime juice."
Guacamole & Chips,$2.49,Sides,"Guacamole made fresh daily with Hass avocados, cilantro, sea salt & lime. Served with tortilla chips prepared fresh daily."
Fire-Roasted Corn Salsa,$0.99,Sides, 
Cheese (2oz.),$0.99,Sides, 
Apple Sauce,$0.99,Sides, 
Cinnamon Churro,$1.79,Desserts, 
Chocolate Chip Oatmeal Cookie,$1.50,Desserts, 
Snickerdoodle Cookie,$1.50,Desserts, 
Caramel Ganache Brownie,$1.99,Desserts, 
Limon Coconut Bar,$1.99,Desserts, 
Fountain Drink,$2.29,Drinks,Your choice of beverage and size.
