Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Chips & Nacho Cheese Sauce,$1.49,Most Loved, 
Taco 12 Pack,$12.00,Most Loved, 
Burrito 8 Pack,$12.00,Most Loved, 
Quesadilla,$2.59,Most Loved, 
Taco & Burrito 10 Pack,$12.00,Most Loved, 
Chicken Chips 24 Pack,$12.00,Most Loved, 
Fountain Drink,$1.59,Most Popular, 
Soft Taco,$1.19,Most Popular, 
Cheesy Fiesta Potatoes,$1.49,Most Popular, 
Beefy 5-Layer Burrito,$1.79,Most Popular, 
Crunchwrap Supreme,$3.49,Most Popular, 
Shredded Chicken Mini Quesadilla,$1.00,Most Popular, 
Quesarito,$2.89,Most Popular, 
Beefy Fritos Burrito,$1.00,Most Popular, 
Crunchy Taco,$1.19,Most Popular, 
Mexican Pizza,$3.59,Most Popular, 
Taco 12 Pack,$12.00,Packs (Feeds 3-4 People), 
Burrito 8 Pack,$12.00,Packs (Feeds 3-4 People), 
Taco & Burrito 10 Pack,$12.00,Packs (Feeds 3-4 People), 
Chicken Chips 24 Pack,$12.00,Packs (Feeds 3-4 People), 
Nacho Cheese Doritos Locos Tacos,$1.69,Tacos, 
Fiery Doritos Locos Tacos,$1.69,Tacos, 
Cool Ranch Doritos Locos Tacos,$1.69,Tacos, 
Crunchy Taco,$1.19,Tacos, 
Soft Taco,$1.19,Tacos, 
Double Decker Taco,$1.99,Tacos, 
Cheesy Gordita Crunch,$3.19,Tacos, 
Quesarito,$2.89,Burritos, 
Bean Burrito,$1.19,Burritos, 
Burrito Supreme,$3.39,Burritos, 
7-Layer Burrito,$2.99,Burritos, 
Beefy 5-Layer Burrito,$1.79,Burritos, 
XXL Grilled Stuft Burrito,$4.89,Burritos, 
Shredded Chicken Burrito,$2.19,Burritos, 
Power Menu Burrito,$3.99,Burritos, 
Cheesy Potato Burrito,$2.89,Burritos, 
Combo Burrito,$2.89,Burritos, 
Black Bean Burrito,$2.39,Burritos, 
Cheesy Bean and Rice Burrito,$1.00,Burritos, 
Beefy Nacho Griller,$1.79,Burritos, 
Chipotle Chicken Loaded Griller,$1.79,Burritos, 
Cheesy Potato Griller,$1.79,Burritos, 
Crunchwrap Supreme,$3.49,Specialties, 
Quesadilla,$2.59,Specialties, 
Nachos Supreme,$2.79,Specialties, 
Nachos BellGrande,$3.49,Specialties, 
MexiMelt,$2.59,Specialties, 
Mexican Pizza,$3.59,Specialties, 
Cheesy Gordita Crunch,$3.19,Specialties, 
Gordita Supreme,$2.79,Specialties, 
Chalupa Supreme,$2.79,Specialties, 
Power Menu Bowl,$5.10,Specialties, 
Fiesta Taco Salad,$5.49,Specialties, 
Beefy Nacho Griller,$1.79,Specialties, 
Chipotle Chicken Loaded Griller,$1.79,Specialties, 
Cheesy Potato Griller,$1.79,Specialties, 
Cheesy Roll-up,$1.00,Specialties, 
7-Layer Burrito,$2.99,Vegetarian, 
Bean Burrito,$1.19,Vegetarian, 
Black Bean Burrito,$2.39,Vegetarian, 
Cheesy Bean and Rice Burrito,$1.00,Vegetarian, 
Power Menu Veggie Burito,$3.99,Vegetarian, 
Power Menu Veggie Bowl,$5.19,Vegetarian, 
Cheesy Roll-up,$1.00,Vegetarian, 
Cheese Quesadilla,$2.59,Vegetarian, 
Spicy Tostada,$1.00,Vegetarian, 
Black Beans And Rice,$1.49,Vegetarian, 
Pintos N Cheese,$1.39,Vegetarian, 
Spicy Potato Soft Taco,$1.00,Dollar Cravings, 
Beefy Fritos Burrito,$1.00,Dollar Cravings, 
Cheesy Bean and Rice Burrito,$1.00,Dollar Cravings, 
Cheesy Roll-Up,$1.00,Dollar Cravings, 
Beefy Mini Quesadilla,$1.00,Dollar Cravings, 
Shredded Chicken Mini Quesadilla,$1.00,Dollar Cravings, 
Triple Layer Nachos,$1.00,Dollar Cravings, 
Spicy Tostada,$1.00,Dollar Cravings, 
Cinnabon Delights 2 PACK,$1.00,Dollar Cravings, 
Caramel Apple Empanada,$1.00,Dollar Cravings, 
Cinnamon Twists,$1.00,Dollar Cravings, 
Chips & Nacho Cheese Sauce,$1.49,Sides, 
Chips & Pico De Gallo,$1.49,Sides, 
Chips & Guacamole,$1.49,Sides, 
Chips & Salsa,$1.49,Sides, 
Cheesy Fiesta Potatoes,$1.49,Sides, 
Pintos N Cheese,$1.39,Sides, 
Seasoned Rice,$1.49,Sides, 
Black Beans and Rice,$1.49,Sides, 
Black Beans,$1.49,Sides, 
Doritos Chips,$0.79,Sides, 
Airheads Blue Raspberry Freeze,$2.29,Drinks & Sweets, 
Mtn Dew Baja Blast™ Freeze,$2.29,Drinks & Sweets, 
Fountain Drink,$1.59,Drinks & Sweets, 
Cinnamon Twists,$1.00,Drinks & Sweets, 
Cup of Water,$0.00,Drinks & Sweets, 
Orange Juice,$1.99,Drinks & Sweets, 
Premium Hot Coffee,$1.49,Drinks & Sweets, 
Iced Regular Coffee,$1.49,Drinks & Sweets, 
Cinnabon Delights,$1.00,Drinks & Sweets, 
Caramel Apple Empanada,$1.00,Drinks & Sweets, 
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Chips & Nacho Cheese Sauce,$1.49,Most Loved, 
Taco 12 Pack,$12.00,Most Loved, 
Burrito 8 Pack,$12.00,Most Loved, 
Quesadilla,$2.59,Most Loved, 
Taco & Burrito 10 Pack,$12.00,Most Loved, 
Chicken Chips 24 Pack,$12.00,Most Loved, 
Fountain Drink,$1.59,Most Popular, 
Soft Taco,$1.19,Most Popular, 
Cheesy Fiesta Potatoes,$1.49,Most Popular, 
Beefy 5-Layer Burrito,$1.79,Most Popular, 
Crunchwrap Supreme,$3.49,Most Popular, 
Shredded Chicken Mini Quesadilla,$1.00,Most Popular, 
Quesarito,$2.89,Most Popular, 
Beefy Fritos Burrito,$1.00,Most Popular, 
Crunchy Taco,$1.19,Most Popular, 
Mexican Pizza,$3.59,Most Popular, 
Taco 12 Pack,$12.00,Packs (Feeds 3-4 People), 
Burrito 8 Pack,$12.00,Packs (Feeds 3-4 People), 
Taco & Burrito 10 Pack,$12.00,Packs (Feeds 3-4 People), 
