Rating,Number Of Ratings,Address
4.6/5,3271 ratings,"437 Hwy 101, Solana Beach, CA 92075, USA"
The Original BBQ Chicken Chopped Salad (Half),$11.99,Most Loved,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
The Original BBQ Chicken Pizza,$14.99,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Classic Caesar (Half),$8.49,Most Loved,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Garlic Cream Fettuccine,$12.99,Most Loved,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Thai Crunch (Half),$11.99,Most Loved,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
California Cobb (Half),$12.29,Most Loved,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped (Half),$11.79,Most Loved,"Gluten-free ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Curly Mac ‘n' Cheese,$5.79,Most Popular, 
Traditional Cheese,$5.49,Most Popular,Vegetarian. Tomato sauce and mozzarella.
Avocado Club Egg Rolls,$11.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Bolognese Spaghetti,$14.79,Most Popular,Our slowly simmered traditional meat sauce sprinkled with parmesan and fresh Italian parsley.
