,name,count,pos,norm
83,long hours,4,,1.0
86,work life,2,,0.3333333333333333
123,low pay,2,,0.3333333333333333
167,rude customers,2,,0.3333333333333333
87,life balance,2,,0.3333333333333333
254,volume stressful,1,,0.0
226,bad communicating,1,,0.0
233,work long,1,,0.0
232,people work,1,,0.0
231,friendly people,1,,0.0
230,great friendly,1,,0.0
229,time great,1,,0.0
228,employees time,1,,0.0
227,communicating employees,1,,0.0
225,managers bad,1,,0.0
235,poor environment,1,,0.0
224,longer managers,1,,0.0
223,stay longer,1,,0.0
256,enviroment rude,1,,0.0
222,punished stay,1,,0.0
221,take punished,1,,0.0
220,encouraged take,1,,0.0
219,breaks encouraged,1,,0.0
234,hours poor,1,,0.0
236,environment management,1,,0.0
255,stressful enviroment,1,,0.0
246,boring menu,1,,0.0
253,high volume,1,,0.0
252,prices high,1,,0.0
251,low prices,1,,0.0
250,tips low,1,,0.0
249,stand tips,1,,0.0
248,items stand,1,,0.0
247,menu items,1,,0.0
245,innovation boring,1,,0.0
237,management best,1,,0.0
244,breaks innovation,1,,0.0
243,without breaks,1,,0.0
242,sometimes without,1,,0.0
241,hours sometimes,1,,0.0
240,busy long,1,,0.0
239,stressful busy,1,,0.0
218,problems breaks,1,,0.0
238,best stressful,1,,0.0
216,like start,1,,0.0
217,start problems,1,,0.0
185,pay working,1,,0.0
193,took advantage,1,,0.0
192,care took,1,,0.0
191,people care,1,,0.0
190,lot people,1,,0.0
189,bummer lot,1,,0.0
188,obviously bummer,1,,0.0
187,weekends obviously,1,,0.0
186,working weekends,1,,0.0
184,unstable pay,1,,0.0
215,would like,1,,0.0
183,waitress unstable,1,,0.0
182,whatsoever waitress,1,,0.0
181,break whatsoever,1,,0.0
180,hours break,1,,0.0
179,15 hours,1,,0.0
178,10 15,1,,0.0
177,anywhere 10,1,,0.0
176,lasted anywhere,1,,0.0
194,advantage management,1,,0.0
195,management would,1,,0.0
196,would show,1,,0.0
197,show late,1,,0.0
214,employees would,1,,0.0
213,inexperienced employees,1,,0.0
212,management inexperienced,1,,0.0
211,insurance management,1,,0.0
210,health insurance,1,,0.0
209,kitchen health,1,,0.0
208,inside kitchen,1,,0.0
207,odor inside,1,,0.0
206,nice odor,1,,0.0
205,work nice,1,,0.0
204,place work,1,,0.0
203,great place,1,,0.0
202,none great,1,,0.0
201,sidework none,1,,0.0
200,slack sidework,1,,0.0
199,consistently slack,1,,0.0
198,late consistently,1,,0.0
257,customers scheduling,1,,0.0
0,management difficult,1,,0.0
174,hours shifts,1,,0.0
311,getting difficult,1,,0.0
319,3 85,1,,0.0
318,make 3,1,,0.0
317,cut make,1,,0.0
316,busy cut,1,,0.0
315,get busy,1,,0.0
314,starts get,1,,0.0
313,restaurant starts,1,,0.0
312,difficult restaurant,1,,0.0
310,times getting,1,,0.0
300,high demand,1,,0.0
309,work times,1,,0.0
308,side work,1,,0.0
307,lots side,1,,0.0
306,industry lots,1,,0.0
305,restaurant industry,1,,0.0
304,found restaurant,1,,0.0
303,stress found,1,,0.0
302,high stress,1,,0.0
320,85 hr,1,,0.0
321,hr depending,1,,0.0
322,depending area,1,,0.0
323,area business,1,,0.0
340,employees become,1,,0.0
339,employees employees,1,,0.0
338,managers employees,1,,0.0
337,revolving managers,1,,0.0
336,hiring revolving,1,,0.0
335,back hiring,1,,0.0
334,hear back,1,,0.0
333,takes hear,1,,0.0
332,pay takes,1,,0.0
331,hours low,1,,0.0
330,late hours,1,,0.0
329,bad late,1,,0.0
328,really bad,1,,0.0
327,money really,1,,0.0
326,much money,1,,0.0
325,make much,1,,0.0
324,business make,1,,0.0
301,demand high,1,,0.0
299,typical high,1,,0.0
258,scheduling good,1,,0.0
