,name,count,pos,norm
18,co workers,41,,1.0000000000000002
243,place work,36,,0.875
185,great people,27,,0.65
85,people work,24,,0.5750000000000001
324,work environment,23,,0.55
418,good money,23,,0.55
350,flexible hours,21,,0.5
171,flexible schedule,21,,0.5
443,great place,17,,0.4
240,great company,16,,0.375
322,work great,16,,0.375
445,flexible scheduling,14,,0.325
323,great work,14,,0.325
226,new people,14,,0.325
181,fast paced,13,,0.3
59,fun environment,12,,0.275
198,great pay,12,,0.275
50,good place,12,,0.275
697,company work,12,,0.275
258,great management,11,,0.25
5,great money,10,,0.225
20,management team,10,,0.225
329,good people,10,,0.225
37,work good,10,,0.225
669,people worked,9,,0.2
1171,food good,9,,0.2
212,great team,9,,0.2
38,good tips,9,,0.2
256,great food,9,,0.2
373,people great,9,,0.2
417,make good,9,,0.2
1737,environment great,8,,0.17500000000000002
573,good pay,8,,0.17500000000000002
1491,nice people,8,,0.17500000000000002
89,pretty good,8,,0.17500000000000002
68,upper management,8,,0.17500000000000002
170,work flexible,7,,0.15000000000000002
259,management great,7,,0.15000000000000002
173,flexible work,7,,0.15000000000000002
372,meet new,7,,0.15000000000000002
1612,full time,7,,0.15000000000000002
408,make money,7,,0.15000000000000002
82,good benefits,7,,0.15000000000000002
603,good management,7,,0.15000000000000002
36,easy work,7,,0.15000000000000002
746,fun place,7,,0.15000000000000002
906,free food,7,,0.15000000000000002
138,part time,7,,0.15000000000000002
485,fun atmosphere,7,,0.15000000000000002
225,meeting new,7,,0.15000000000000002
925,like family,7,,0.15000000000000002
605,tips great,6,,0.12500000000000003
440,management flexible,6,,0.12500000000000003
776,flexible schedules,6,,0.12500000000000003
264,money good,6,,0.12500000000000003
390,managers great,6,,0.12500000000000003
391,great coworkers,6,,0.12500000000000003
690,easy get,6,,0.12500000000000003
0,good food,6,,0.12500000000000003
1082,job great,6,,0.12500000000000003
174,work schedule,6,,0.12500000000000003
870,fun work,6,,0.12500000000000003
469,hard work,6,,0.12500000000000003
494,great benefits,6,,0.12500000000000003
206,discount food,6,,0.12500000000000003
197,hours great,6,,0.12500000000000003
2729,customer service,6,,0.12500000000000003
568,experience great,6,,0.12500000000000003
211,pay great,5,,0.1
184,meet great,5,,0.1
8,friendly staff,5,,0.1
128,people fun,5,,0.1
964,lot fun,5,,0.1
219,money great,5,,0.1
13,around schedule,5,,0.1
218,fast money,5,,0.1
1204,environment fun,5,,0.1
1508,training program,5,,0.1
308,get meet,5,,0.1
48,good job,5,,0.1
633,friendly coworkers,5,,0.1
680,work atmosphere,5,,0.1
202,really good,5,,0.1
1115,work make,5,,0.1
1738,great employees,5,,0.1
1754,great environment,5,,0.1
801,great atmosphere,5,,0.1
604,management good,5,,0.1
232,working environment,4,,0.07500000000000001
362,great co,4,,0.07500000000000001
1459,willing help,4,,0.07500000000000001
1732,schedule good,4,,0.07500000000000001
1251,coworkers great,4,,0.07500000000000001
401,get free,4,,0.07500000000000001
253,place learn,4,,0.07500000000000001
698,work team,4,,0.07500000000000001
993,work place,4,,0.07500000000000001
321,environment work,4,,0.07500000000000001
874,within company,4,,0.07500000000000001
1909,amazing co,4,,0.07500000000000001
328,pay good,4,,0.07500000000000001
150,atmosphere great,4,,0.07500000000000001
1278,environment loved,4,,0.07500000000000001
330,people flexible,4,,0.07500000000000001
1351,great training,4,,0.07500000000000001
1343,working company,4,,0.07500000000000001
1290,enjoyed working,4,,0.07500000000000001
743,management always,4,,0.07500000000000001
257,food great,4,,0.07500000000000001
208,friendly people,4,,0.07500000000000001
979,people skills,4,,0.07500000000000001
334,great managers,4,,0.07500000000000001
32,people nice,4,,0.07500000000000001
1205,work get,4,,0.07500000000000001
2192,opportunity make,4,,0.07500000000000001
1093,laid back,4,,0.07500000000000001
2953,always busy,4,,0.07500000000000001
506,good working,4,,0.07500000000000001
602,hours good,4,,0.07500000000000001
19,workers management,4,,0.07500000000000001
663,team great,4,,0.07500000000000001
487,every one,4,,0.07500000000000001
513,pretty flexible,4,,0.07500000000000001
1081,easy job,4,,0.07500000000000001
2523,work friendly,4,,0.07500000000000001
1074,friendly environment,4,,0.07500000000000001
2587,easy money,4,,0.07500000000000001
495,benefits great,4,,0.07500000000000001
2369,time family,4,,0.07500000000000001
56,pretty easy,4,,0.07500000000000001
1191,work well,4,,0.07500000000000001
2997,people good,4,,0.07500000000000001
1149,fellow co,3,,0.05000000000000001
2466,high school,3,,0.05000000000000001
352,fun co,3,,0.05000000000000001
1330,life balance,3,,0.05000000000000001
175,schedule fun,3,,0.05000000000000001
252,good good,3,,0.05000000000000001
1587,great college,3,,0.05000000000000001
1591,hours flexible,3,,0.05000000000000001
1156,coworkers management,3,,0.05000000000000001
865,pick shifts,3,,0.05000000000000001
452,work 50,3,,0.05000000000000001
2415,new menu,3,,0.05000000000000001
1627,pay benefits,3,,0.05000000000000001
549,work company,3,,0.05000000000000001
47,well good,3,,0.05000000000000001
361,schedule great,3,,0.05000000000000001
49,job good,3,,0.05000000000000001
538,willing work,3,,0.05000000000000001
4159,restaurant good,3,,0.05000000000000001
1549,good managers,3,,0.05000000000000001
1464,make job,3,,0.05000000000000001
3719,learn lot,3,,0.05000000000000001
1388,would recommend,3,,0.05000000000000001
933,feels like,3,,0.05000000000000001
926,family great,3,,0.05000000000000001
233,environment management,3,,0.05000000000000001
480,money made,3,,0.05000000000000001
4,staff great,3,,0.05000000000000001
228,positive work,3,,0.05000000000000001
7,hours friendly,3,,0.05000000000000001
2586,great great,3,,0.05000000000000001
2672,time student,3,,0.05000000000000001
1461,good environment,3,,0.05000000000000001
1377,training good,3,,0.05000000000000001
459,benefits vacation,3,,0.05000000000000001
2675,pay college,3,,0.05000000000000001
1487,easy learn,3,,0.05000000000000001
12,work around,3,,0.05000000000000001
2682,minimum wage,3,,0.05000000000000001
467,fun people,3,,0.05000000000000001
2541,family oriented,3,,0.05000000000000001
466,money fun,3,,0.05000000000000001
1104,potential great,3,,0.05000000000000001
902,job opportunities,3,,0.05000000000000001
300,easy pick,3,,0.05000000000000001
1328,good work,3,,0.05000000000000001
892,management staff,3,,0.05000000000000001
2406,group people,3,,0.05000000000000001
119,vacation time,3,,0.05000000000000001
1652,restaurant industry,3,,0.05000000000000001
1207,work work,3,,0.05000000000000001
88,work pretty,3,,0.05000000000000001
90,good systems,3,,0.05000000000000001
1864,depending location,3,,0.05000000000000001
637,good server,3,,0.05000000000000001
640,general manager,3,,0.05000000000000001
1287,amazing people,3,,0.05000000000000001
1912,time working,3,,0.05000000000000001
654,good atmosphere,3,,0.05000000000000001
396,hard working,3,,0.05000000000000001
3271,tips good,3,,0.05000000000000001
129,fun managers,3,,0.05000000000000001
699,team environment,3,,0.05000000000000001
266,first job,3,,0.05000000000000001
3096,people managers,3,,0.05000000000000001
3218,get paid,3,,0.05000000000000001
103,opportunities grow,3,,0.05000000000000001
1211,food get,3,,0.05000000000000001
696,good company,3,,0.05000000000000001
1253,discounts food,3,,0.05000000000000001
3112,bonus program,3,,0.05000000000000001
2003,environment flexible,3,,0.05000000000000001
2018,good employee,3,,0.05000000000000001
1016,working applebee,3,,0.05000000000000001
3158,held accountable,3,,0.05000000000000001
52,make decent,3,,0.05000000000000001
740,people easy,3,,0.05000000000000001
284,fast pace,3,,0.05000000000000001
1326,opportunity advancement,3,,0.05000000000000001
309,meet people,3,,0.05000000000000001
838,nice place,3,,0.05000000000000001
673,schedule nice,3,,0.05000000000000001
830,work really,3,,0.05000000000000001
2357,great customers,3,,0.05000000000000001
311,money flexible,3,,0.05000000000000001
596,decent pay,3,,0.05000000000000001
370,discounted food,3,,0.05000000000000001
260,team work,3,,0.05000000000000001
289,great tips,3,,0.05000000000000001
374,great staff,3,,0.05000000000000001
1818,lots good,3,,0.05000000000000001
818,way get,3,,0.05000000000000001
2967,college student,3,,0.05000000000000001
608,care employees,3,,0.05000000000000001
805,room growth,3,,0.05000000000000001
992,money tips,3,,0.05000000000000001
619,depending shift,3,,0.05000000000000001
2992,environment good,3,,0.05000000000000001
426,overall great,3,,0.05000000000000001
986,growing company,2,,0.025
1024,best worked,2,,0.025
962,good friends,2,,0.025
1065,every day,2,,0.025
4048,hours amazing,2,,0.025
1018,line cook,2,,0.025
1101,tips get,2,,0.025
1006,free meal,2,,0.025
4264,experienced server,2,,0.025
4124,felt like,2,,0.025
613,plus tips,2,,0.025
682,love online,2,,0.025
681,atmosphere love,2,,0.025
677,clear expectations,2,,0.025
672,works schedule,2,,0.025
670,worked great,2,,0.025
668,enjoyed people,2,,0.025
659,environment food,2,,0.025
651,flexible fun,2,,0.025
646,crew awesome,2,,0.025
4366,managers co,2,,0.025
635,make lot,2,,0.025
632,environment friendly,2,,0.025
621,pretty simple,2,,0.025
612,hour plus,2,,0.025
700,management support,2,,0.025
600,easy interview,2,,0.025
594,relaxed job,2,,0.025
590,fun great,2,,0.025
586,scheduling fun,2,,0.025
