,name,count,pos,norm
77,meet new people,2,,1.0
276,managers co workers,2,,1.0
577,tips depending shift,2,,1.0
383,great people work,2,,1.0
576,good tips depending,2,,1.0
301,work flexible hours,2,,1.0
144,make good money,2,,1.0
0,great work atmosphere,1,,0.0
570,meet amazing people,1,,0.0
564,easy work friendly,1,,0.0
565,work friendly managers,1,,0.0
566,friendly managers staff,1,,0.0
567,managers staff linq,1,,0.0
568,staff linq meet,1,,0.0
569,linq meet amazing,1,,0.0
573,co workers make,1,,0.0
571,amazing people managers,1,,0.0
572,people managers co,1,,0.0
562,good people easy,1,,0.0
574,workers make good,1,,0.0
575,make good tips,1,,0.0
578,depending shift zone,1,,0.0
579,shift zone kitchen,1,,0.0
580,zone kitchen make,1,,0.0
581,kitchen make money,1,,0.0
582,make money repetitve,1,,0.0
563,people easy work,1,,0.0
561,line good people,1,,0.0
584,repetitve especially fry,1,,0.0
560,bottom line good,1,,0.0
537,work environment professional,1,,0.0
538,environment professional still,1,,0.0
539,professional still able,1,,0.0
540,still able lot,1,,0.0
541,able lot fun,1,,0.0
542,lot fun still,1,,0.0
543,fun still hear,1,,0.0
544,still hear larry,1,,0.0
545,hear larry voice,1,,0.0
546,larry voice coming,1,,0.0
547,voice coming intercom,1,,0.0
548,coming intercom days,1,,0.0
549,intercom days decided,1,,0.0
550,days decided let,1,,0.0
551,decided let us,1,,0.0
552,let us go,1,,0.0
553,us go early,1,,0.0
554,go early abe,1,,0.0
555,early abe shoved,1,,0.0
556,abe shoved picture,1,,0.0
557,shoved picture money,1,,0.0
558,picture money bottom,1,,0.0
559,money bottom line,1,,0.0
583,money repetitve especially,1,,0.0
585,especially fry sometimes,1,,0.0
535,like family work,1,,0.0
612,back atmosphere managers,1,,0.0
614,managers seem actually,1,,0.0
615,seem actually care,1,,0.0
616,actually care actually,1,,0.0
617,care actually listen,1,,0.0
618,actually listen good,1,,0.0
619,listen good night,1,,0.0
620,good night tips,1,,0.0
621,night tips usually,1,,0.0
622,tips usually depending,1,,0.0
623,usually depending location,1,,0.0
624,depending location serving,1,,0.0
625,location serving goes,1,,0.0
626,serving goes opportunity,1,,0.0
627,goes opportunity move,1,,0.0
628,opportunity move managers,1,,0.0
629,move managers like,1,,0.0
630,managers like 100,1,,0.0
631,like 100 bonus,1,,0.0
632,100 bonus 100,1,,0.0
633,bonus 100 secret,1,,0.0
634,100 secret shoppers,1,,0.0
635,secret shoppers contests,1,,0.0
636,shoppers contests bonuses,1,,0.0
613,atmosphere managers seem,1,,0.0
611,laid back atmosphere,1,,0.0
586,fry sometimes managers,1,,0.0
610,push laid back,1,,0.0
587,sometimes managers let,1,,0.0
588,managers let eat,1,,0.0
589,let eat dead,1,,0.0
590,eat dead food,1,,0.0
591,dead food food,1,,0.0
592,food food dont,1,,0.0
593,food dont meed,1,,0.0
594,dont meed put,1,,0.0
595,meed put incorrectly,1,,0.0
596,put incorrectly every,1,,0.0
597,incorrectly every month,1,,0.0
598,every month new,1,,0.0
599,month new menu,1,,0.0
600,new menu items,1,,0.0
601,menu items get,1,,0.0
602,items get taste,1,,0.0
603,get taste test,1,,0.0
604,taste test flexible,1,,0.0
605,test flexible schedule,1,,0.0
606,flexible schedule long,1,,0.0
607,schedule long dont,1,,0.0
608,long dont push,1,,0.0
609,dont push laid,1,,0.0
536,family work environment,1,,0.0
533,helm felt like,1,,0.0
534,felt like family,1,,0.0
455,small franchise atlanta,1,,0.0
457,atlanta 40 stores,1,,0.0
458,40 stores new,1,,0.0
459,stores new upper,1,,0.0
460,new upper management,1,,0.0
461,upper management new,1,,0.0
462,management new promotions,1,,0.0
463,new promotions performance,1,,0.0
464,promotions performance based,1,,0.0
465,performance based seniority,1,,0.0
466,based seniority bust,1,,0.0
467,seniority bust go,1,,0.0
468,bust go far,1,,0.0
469,go far went,1,,0.0
470,far went manager,1,,0.0
471,went manager trainee,1,,0.0
472,manager trainee gm,1,,0.0
473,trainee gm less,1,,0.0
474,gm less 2,1,,0.0
475,less 2 years,1,,0.0
476,2 years fun,1,,0.0
477,years fun atmosphere,1,,0.0
478,fun atmosphere work,1,,0.0
479,atmosphere work good,1,,0.0
456,franchise atlanta 40,1,,0.0
454,environment small franchise,1,,0.0
638,bonuses hooked stafflinq,1,,0.0
453,fun environment small,1,,0.0
430,co workers made,1,,0.0
431,workers made job,1,,0.0
432,made job fun,1,,0.0
433,job fun amazing,1,,0.0
434,fun amazing people,1,,0.0
435,amazing people work,1,,0.0
436,people work every,1,,0.0
437,work every one,1,,0.0
438,every one knows,1,,0.0
439,one knows every,1,,0.0
440,knows every one,1,,0.0
441,every one cash,1,,0.0
442,one cash pocket,1,,0.0
443,cash pocket always,1,,0.0
444,pocket always nice,1,,0.0
445,always nice cross,1,,0.0
446,nice cross trained,1,,0.0
447,cross trained earn,1,,0.0
448,trained earn money,1,,0.0
449,earn money discount,1,,0.0
450,money discount food,1,,0.0
451,discount food fun,1,,0.0
452,food fun environment,1,,0.0
480,work good atmosphere,1,,0.0
481,good atmosphere definitely,1,,0.0
482,atmosphere definitely depends,1,,0.0
483,definitely depends highly,1,,0.0
510,easy get host,1,,0.0
511,get host pretty,1,,0.0
512,host pretty chill,1,,0.0
513,pretty chill job,1,,0.0
514,chill job long,1,,0.0
515,job long u,1,,0.0
516,long u basic,1,,0.0
517,u basic requirements,1,,0.0
518,basic requirements people,1,,0.0
519,requirements people work,1,,0.0
520,people work make,1,,0.0
521,work make job,1,,0.0
522,make job worth,1,,0.0
523,job worth going,1,,0.0
524,worth going applebee,1,,0.0
525,going applebee international,1,,0.0
526,applebee international different,1,,0.0
527,international different place,1,,0.0
528,different place work,1,,0.0
529,place work abe,1,,0.0
530,work abe gustin,1,,0.0
531,abe gustin helm,1,,0.0
532,gustin helm felt,1,,0.0
509,time easy get,1,,0.0
508,hours time easy,1,,0.0
507,flexible hours time,1,,0.0
494,people amazing really,1,,0.0
484,depends highly management,1,,0.0
485,highly management specific,1,,0.0
486,management specific restaurant,1,,0.0
487,specific restaurant good,1,,0.0
488,restaurant good benefits,1,,0.0
489,good benefits stock,1,,0.0
490,benefits stock sharing,1,,0.0
491,stock sharing qualifed,1,,0.0
492,sharing qualifed people,1,,0.0
493,qualifed people amazing,1,,0.0
495,amazing really feel,1,,0.0
506,serving flexible hours,1,,0.0
496,really feel like,1,,0.0
497,feel like family,1,,0.0
498,like family say,1,,0.0
499,family say enough,1,,0.0
500,say enough awesome,1,,0.0
501,enough awesome staff,1,,0.0
502,awesome staff good,1,,0.0
503,staff good money,1,,0.0
504,good money serving,1,,0.0
505,money serving flexible,1,,0.0
637,contests bonuses hooked,1,,0.0
639,hooked stafflinq com,1,,0.0
428,amount worked co,1,,0.0
772,family fun people,1,,0.0
774,people work flexible,1,,0.0
775,flexible hours works,1,,0.0
776,hours works personal,1,,0.0
777,works personal schedule,1,,0.0
778,personal schedule truely,1,,0.0
779,schedule truely fun,1,,0.0
780,truely fun place,1,,0.0
781,fun place work,1,,0.0
782,place work pay,1,,0.0
783,work pay average,1,,0.0
784,pay average compared,1,,0.0
785,average compared restaurants,1,,0.0
786,compared restaurants would,1,,0.0
787,restaurants would like,1,,0.0
788,would like see,1,,0.0
789,like see pay,1,,0.0
790,see pay little,1,,0.0
791,pay little people,1,,0.0
792,little people ie,1,,0.0
793,people ie cooks,1,,0.0
794,ie cooks hosts,1,,0.0
795,cooks hosts servers,1,,0.0
796,hosts servers bartendars,1,,0.0
773,fun people work,1,,0.0
771,like family fun,1,,0.0
640,stafflinq com easy,1,,0.0
770,employees like family,1,,0.0
747,person number make,1,,0.0
748,number make budgets,1,,0.0
749,make budgets held,1,,0.0
