,name,count,pos,norm
12,work,14,NOUN,0.9285714285714286
34,people,10,NOUN,0.6428571428571428
58,environment,8,NOUN,0.5
57,fun,6,NOUN,0.3571428571428571
22,management,6,NOUN,0.3571428571428571
39,tips,6,NOUN,0.3571428571428571
7,money,5,NOUN,0.2857142857142857
8,hours,4,NOUN,0.21428571428571427
14,schedule,4,NOUN,0.21428571428571427
20,workers,4,NOUN,0.21428571428571427
49,place,4,NOUN,0.21428571428571427
70,company,3,NOUN,0.14285714285714285
5,staff,3,NOUN,0.14285714285714285
48,job,3,NOUN,0.14285714285714285
2,food,3,NOUN,0.14285714285714285
23,team,3,NOUN,0.14285714285714285
132,training,2,NOUN,0.07142857142857142
122,servers,2,NOUN,0.07142857142857142
139,coworkers,2,NOUN,0.07142857142857142
114,family,2,NOUN,0.07142857142857142
108,employee,2,NOUN,0.07142857142857142
144,pay,2,NOUN,0.07142857142857142
104,managers,2,NOUN,0.07142857142857142
99,time,2,NOUN,0.07142857142857142
159,culture,2,NOUN,0.07142857142857142
162,friends,2,NOUN,0.07142857142857142
187,shifts,2,NOUN,0.07142857142857142
83,love,2,NOUN,0.07142857142857142
78,benefits,2,NOUN,0.07142857142857142
74,owners,2,NOUN,0.07142857142857142
94,restaurant,2,NOUN,0.07142857142857142
15,school,2,NOUN,0.07142857142857142
30,night,2,NOUN,0.07142857142857142
41,go,2,NOUN,0.07142857142857142
37,system,2,NOUN,0.07142857142857142
69,months,1,NOUN,0.0
137,times,1,NOUN,0.0
138,flexibility,1,NOUN,0.0
27,applebees,1,NOUN,0.0
26,walk,1,NOUN,0.0
148,discount,1,NOUN,0.0
149,schuldes,1,NOUN,0.0
153,friendships,1,NOUN,0.0
17,appts,1,NOUN,0.0
161,lot,1,NOUN,0.0
169,employees,1,NOUN,0.0
171,advancement,1,NOUN,0.0
172,opportunity,1,NOUN,0.0
173,term,1,NOUN,0.0
174,options,1,NOUN,0.0
176,getters,1,NOUN,0.0
177,pace,1,NOUN,0.0
178,potential,1,NOUN,0.0
183,selling,1,NOUN,0.0
184,pick,1,NOUN,0.0
10,help,1,NOUN,0.0
191,street,1,NOUN,0.0
128,day,1,NOUN,0.0
120,hour,1,NOUN,0.0
67,phone,1,NOUN,0.0
95,town,1,NOUN,0.0
71,meetings,1,NOUN,0.0
66,car,1,NOUN,0.0
77,month,1,NOUN,0.0
65,bonuses,1,NOUN,0.0
81,systems,1,NOUN,0.0
62,energy,1,NOUN,0.0
86,period,1,NOUN,0.0
88,opportunities,1,NOUN,0.0
90,server,1,NOUN,0.0
59,music,1,NOUN,0.0
98,vacation,1,NOUN,0.0
117,carside,1,NOUN,0.0
55,use,1,NOUN,0.0
100,lots,1,NOUN,0.0
101,locations,1,NOUN,0.0
53,income,1,NOUN,0.0
106,pros,1,NOUN,0.0
107,part,1,NOUN,0.0
44,business,1,NOUN,0.0
109,apple,1,NOUN,0.0
110,bees,1,NOUN,0.0
113,customers,1,NOUN,0.0
193,casino,1,NOUN,0.0
