,name,count,pos,norm
0,food great communication,1,,0.0
243,service employees clientele,1,,0.0
252,lot inappropriate behavior,1,,0.0
251,yelling lot inappropriate,1,,0.0
250,constantly yelling lot,1,,0.0
249,gm constantly yelling,1,,0.0
248,ok gm constantly,1,,0.0
247,management ok gm,1,,0.0
246,awful management ok,1,,0.0
245,clientele awful management,1,,0.0
244,employees clientele awful,1,,0.0
242,customer service employees,1,,0.0
277,misordering rushes hit,1,,0.0
241,care customer service,1,,0.0
240,feet care customer,1,,0.0
239,always feet care,1,,0.0
238,rude always feet,1,,0.0
237,customers rude always,1,,0.0
236,management customers rude,1,,0.0
235,location management customers,1,,0.0
234,management location management,1,,0.0
233,horrible management location,1,,0.0
253,inappropriate behavior harassment,1,,0.0
254,behavior harassment terrible,1,,0.0
255,harassment terrible place,1,,0.0
256,terrible place work,1,,0.0
275,hours people misordering,1,,0.0
274,crap hours people,1,,0.0
273,training crap hours,1,,0.0
272,crap training crap,1,,0.0
271,growth crap training,1,,0.0
270,skill growth crap,1,,0.0
269,lack skill growth,1,,0.0
268,management lack skill,1,,0.0
267,poor management lack,1,,0.0
266,crap poor management,1,,0.0
265,like crap poor,1,,0.0
264,treat like crap,1,,0.0
263,costumers treat like,1,,0.0
262,crap costumers treat,1,,0.0
261,like crap costumers,1,,0.0
260,treats like crap,1,,0.0
259,staff treats like,1,,0.0
258,work staff treats,1,,0.0
257,place work staff,1,,0.0
232,fake horrible management,1,,0.0
231,work fake horrible,1,,0.0
230,people work fake,1,,0.0
207,since experience said,1,,0.0
205,need money since,1,,0.0
204,really need money,1,,0.0
203,kids really need,1,,0.0
202,2 kids really,1,,0.0
201,server 2 kids,1,,0.0
200,applied server 2,1,,0.0
199,hosting applied server,1,,0.0
198,made hosting applied,1,,0.0
197,sales made hosting,1,,0.0
196,1 sales made,1,,0.0
195,get 1 sales,1,,0.0
194,share get 1,1,,0.0
193,tip share get,1,,0.0
192,horrible tip share,1,,0.0
191,make horrible tip,1,,0.0
190,hr make horrible,1,,0.0
189,5 hr make,1,,0.0
188,horrible 5 hr,1,,0.0
187,pay horrible 5,1,,0.0
206,money since experience,1,,0.0
208,experience said could,1,,0.0
229,money people work,1,,0.0
209,said could host,1,,0.0
228,needs money people,1,,0.0
227,server needs money,1,,0.0
226,let server needs,1,,0.0
225,experience let server,1,,0.0
224,parents experience let,1,,0.0
223,lives parents experience,1,,0.0
222,girl lives parents,1,,0.0
221,college girl lives,1,,0.0
220,one college girl,1,,0.0
219,servers one college,1,,0.0
218,3 servers one,1,,0.0
217,like 3 servers,1,,0.0
216,hired like 3,1,,0.0
215,move hired like,1,,0.0
214,hosts move hired,1,,0.0
213,hired hosts move,1,,0.0
212,ok hired hosts,1,,0.0
211,host ok hired,1,,0.0
210,could host ok,1,,0.0
276,people misordering rushes,1,,0.0
278,rushes hit prep,1,,0.0
1,great communication chaos,1,,0.0
336,find deal food,1,,0.0
345,deal food specific,1,,0.0
344,must deal food,1,,0.0
343,either must deal,1,,0.0
342,best either must,1,,0.0
341,definitely best either,1,,0.0
340,quality definitely best,1,,0.0
339,food quality definitely,1,,0.0
338,food food quality,1,,0.0
337,deal food food,1,,0.0
335,usually find deal,1,,0.0
279,hit prep sucks,1,,0.0
334,customers usually find,1,,0.0
333,money customers usually,1,,0.0
