,name,count,pos,norm
9,work life,2,,1.0
56,much get,2,,1.0
389,get 3,2,,1.0
476,ask problem,2,,1.0
75,hour shifts,2,,1.0
57,get free,2,,1.0
333,really make,1,,0.0
334,make good,1,,0.0
335,good money,1,,0.0
336,money reality,1,,0.0
337,reality place,1,,0.0
0,still bad,1,,0.0
331,season stations,1,,0.0
338,place management,1,,0.0
339,management listen,1,,0.0
340,listen amp,1,,0.0
341,amp apparently,1,,0.0
342,apparently communicate,1,,0.0
332,stations really,1,,0.0
328,weekends make,1,,0.0
330,money season,1,,0.0
329,make money,1,,0.0
344,well amongst,1,,0.0
327,work weekends,1,,0.0
326,also work,1,,0.0
325,job also,1,,0.0
324,end job,1,,0.0
323,dead end,1,,0.0
322,stuck dead,1,,0.0
321,get stuck,1,,0.0
320,advancement get,1,,0.0
319,career advancement,1,,0.0
318,really career,1,,0.0
343,communicate well,1,,0.0
346,work hard,1,,0.0
345,amongst work,1,,0.0
361,high school,1,,0.0
374,socializing hearing,1,,0.0
373,servers socializing,1,,0.0
372,gossiping servers,1,,0.0
371,g gossiping,1,,0.0
370,e g,1,,0.0
369,industry e,1,,0.0
368,restaurant industry,1,,0.0
367,uncommon restaurant,1,,0.0
366,imagine uncommon,1,,0.0
365,though imagine,1,,0.0
364,environment though,1,,0.0
363,like environment,1,,0.0
362,school like,1,,0.0
360,unprofessional high,1,,0.0
316,know tip,1,,0.0
359,somewhat unprofessional,1,,0.0
358,hours somewhat,1,,0.0
357,long hours,1,,0.0
356,pay long,1,,0.0
355,low pay,1,,0.0
354,employees low,1,,0.0
353,care employees,1,,0.0
352,taking care,1,,0.0
351,interested taking,1,,0.0
350,company interested,1,,0.0
349,pay company,1,,0.0
348,little pay,1,,0.0
347,hard little,1,,0.0
317,tip really,1,,0.0
313,lot foreign,1,,0.0
315,people know,1,,0.0
269,tip company,1,,0.0
282,check total,1,,0.0
281,long check,1,,0.0
280,accounts long,1,,0.0
279,bank accounts,1,,0.0
278,care bank,1,,0.0
277,demonstrates care,1,,0.0
