,name,count,pos,norm
888,fast paced environment,4,,1.0
856,work life balance,4,,1.0
382,high stress environment,4,,1.0
249,times long hours,3,,0.6666666666666667
161,residency excluding overnight,2,,0.3333333333333333
165,course staff dependents,2,,0.3333333333333333
164,jobs course staff,2,,0.3333333333333333
163,overnight jobs course,2,,0.3333333333333333
162,excluding overnight jobs,2,,0.3333333333333333
131,requirements nearly restaurant,2,,0.3333333333333333
166,staff dependents second,2,,0.3333333333333333
159,job maintain residency,2,,0.3333333333333333
158,second job maintain,2,,0.3333333333333333
157,necessary second job,2,,0.3333333333333333
156,sustaining necessary second,2,,0.3333333333333333
155,difficulty sustaining necessary,2,,0.3333333333333333
160,maintain residency excluding,2,,0.3333333333333333
168,second job absolute,2,,0.3333333333333333
167,dependents second job,2,,0.3333333333333333
153,without dependents difficulty,2,,0.3333333333333333
169,job absolute necessity,2,,0.3333333333333333
170,absolute necessity restaurant,2,,0.3333333333333333
171,necessity restaurant job,2,,0.3333333333333333
172,restaurant job maintaining,2,,0.3333333333333333
173,job maintaining family,2,,0.3333333333333333
174,maintaining family life,2,,0.3333333333333333
175,family life difficult,2,,0.3333333333333333
93,hard get hold,2,,0.3333333333333333
2805,hard move company,2,,0.3333333333333333
145,within reasonable range,2,,0.3333333333333333
1818,amount work done,2,,0.3333333333333333
154,dependents difficulty sustaining,2,,0.3333333333333333
151,even staff without,2,,0.3333333333333333
152,staff without dependents,2,,0.3333333333333333
1134,long hours high,2,,0.3333333333333333
143,income live within,2,,0.3333333333333333
142,higher income live,2,,0.3333333333333333
141,require higher income,2,,0.3333333333333333
140,areas require higher,2,,0.3333333333333333
139,opens areas require,2,,0.3333333333333333
138,typically opens areas,2,,0.3333333333333333
137,factory typically opens,2,,0.3333333333333333
136,cheesecake factory typically,2,,0.3333333333333333
135,requests cheesecake factory,2,,0.3333333333333333
134,simultaneously requests cheesecake,2,,0.3333333333333333
133,restaurant simultaneously requests,2,,0.3333333333333333
132,nearly restaurant simultaneously,2,,0.3333333333333333
146,reasonable range work,2,,0.3333333333333333
130,requirements requirements nearly,2,,0.3333333333333333
129,schedule requirements requirements,2,,0.3333333333333333
128,job schedule requirements,2,,0.3333333333333333
127,second job schedule,2,,0.3333333333333333
126,hold second job,2,,0.3333333333333333
125,difficult hold second,2,,0.3333333333333333
124,sometimes difficult hold,2,,0.3333333333333333
147,range work means,2,,0.3333333333333333
148,work means sometimes,2,,0.3333333333333333
121,clientele always best,2,,0.3333333333333333
149,means sometimes even,2,,0.3333333333333333
150,sometimes even staff,2,,0.3333333333333333
1135,hours high stress,2,,0.3333333333333333
144,live within reasonable,2,,0.3333333333333333
283,long hours set,2,,0.3333333333333333
1467,make much money,2,,0.3333333333333333
720,hard make money,2,,0.3333333333333333
31,long hours stressful,2,,0.3333333333333333
1280,must thick skin,2,,0.3333333333333333
284,hours set schedule,2,,0.3333333333333333
2252,instilled managers foh,1,,0.0
2258,servers fault managers,1,,0.0
2257,always servers fault,1,,0.0
2256,everything always servers,1,,0.0
2255,boh everything always,1,,0.0
2254,foh boh everything,1,,0.0
2253,managers foh boh,1,,0.0
2224,corporate tip amount,1,,0.0
2251,mentality instilled managers,1,,0.0
2250,vs mentality instilled,1,,0.0
2248,better us vs,1,,0.0
2247,anywhere better us,1,,0.0
2246,serve anywhere better,1,,0.0
2245,cant serve anywhere,1,,0.0
2244,know cant serve,1,,0.0
2243,crap know cant,1,,0.0
2249,us vs mentality,1,,0.0
2259,fault managers seem,1,,0.0
2241,treat like crap,1,,0.0
2260,managers seem forget,1,,0.0
2275,get paycheck management,1,,0.0
2274,ever get paycheck,1,,0.0
2273,expect ever get,1,,0.0
2272,dont expect ever,1,,0.0
2271,taxes dont expect,1,,0.0
2270,goes taxes dont,1,,0.0
2269,hr goes taxes,1,,0.0
2268,13 hr goes,1,,0.0
2267,2 13 hr,1,,0.0
2266,us 2 13,1,,0.0
2265,pay us 2,1,,0.0
2264,doesnt pay us,1,,0.0
2263,company doesnt pay,1,,0.0
2262,forget company doesnt,1,,0.0
2261,seem forget company,1,,0.0
2242,like crap know,1,,0.0
2240,volume treat like,1,,0.0
2223,job corporate tip,1,,0.0
2239,restaurant volume treat,1,,0.0
2228,ridiculous corporate thrives,1,,0.0
2209,help thank god,1,,0.0
2210,thank god work,1,,0.0
2211,god work affluent,1,,0.0
2212,work affluent area,1,,0.0
2213,affluent area also,1,,0.0
2214,area also servers,1,,0.0
2215,also servers responsible,1,,0.0
2216,servers responsible paying,1,,0.0
2227,restaurant ridiculous corporate,1,,0.0
2226,amount restaurant ridiculous,1,,0.0
2225,tip amount restaurant,1,,0.0
2218,paying busboys bartenders,1,,0.0
2219,busboys bartenders full,1,,0.0
2220,bartenders full salaries,1,,0.0
2221,full salaries job,1,,0.0
2222,salaries job corporate,1,,0.0
2208,management help thank,1,,0.0
2207,tip management help,1,,0.0
2206,leave tip management,1,,0.0
2231,financially backs enough,1,,0.0
2238,know restaurant volume,1,,0.0
2237,managers know restaurant,1,,0.0
2236,lazy managers know,1,,0.0
2235,managers lazy managers,1,,0.0
2234,managers managers lazy,1,,0.0
2233,enough managers managers,1,,0.0
2232,backs enough managers,1,,0.0
2230,thrives financially backs,1,,0.0
2205,table leave tip,1,,0.0
2199,management seem care,1,,0.0
2200,seem care money,1,,0.0
2201,care money servers,1,,0.0
2202,money servers making,1,,0.0
2203,servers making table,1,,0.0
2204,making table leave,1,,0.0
2229,corporate thrives financially,1,,0.0
2217,responsible paying busboys,1,,0.0
0,lots sidework late,1,,0.0
2277,management stupid horrible,1,,0.0
2126,enjoyable job manager,1,,0.0
2114,train tip others,1,,0.0
2115,tip others end,1,,0.0
2116,others end night,1,,0.0
2117,end night bar,1,,0.0
2118,night bar busboys,1,,0.0
2119,bar busboys amp,1,,0.0
2120,busboys amp food,1,,0.0
2121,amp food runners,1,,0.0
2122,food runners none,1,,0.0
2123,runners none really,1,,0.0
2124,none really enjoyable,1,,0.0
2125,really enjoyable job,1,,0.0
2127,job manager work,1,,0.0
2198,terribly management seem,1,,0.0
2128,manager work life,1,,0.0
2129,life balance sometimes,1,,0.0
2130,balance sometimes management,1,,0.0
2131,sometimes management seems,1,,0.0
2132,management seems terms,1,,0.0
2133,seems terms disregard,1,,0.0
2134,terms disregard employees,1,,0.0
2135,disregard employees sometimes,1,,0.0
2136,employees sometimes restaurant,1,,0.0
2137,sometimes restaurant understaffed,1,,0.0
2138,restaurant understaffed asked,1,,0.0
2139,understaffed asked take,1,,0.0
2113,people train tip,1,,0.0
2112,new people train,1,,0.0
2111,fan new people,1,,0.0
2110,nice fan new,1,,0.0
2085,make less 40,1,,0.0
2086,less 40 dollars,1,,0.0
2087,40 dollars shift,1,,0.0
2088,dollars shift place,1,,0.0
2089,shift place 86,1,,0.0
2090,place 86 items,1,,0.0
2091,86 items busy,1,,0.0
2092,items busy days,1,,0.0
2093,busy days also,1,,0.0
2094,days also kitchen,1,,0.0
2095,also kitchen crashes,1,,0.0
2096,kitchen crashes lot,1,,0.0
2097,crashes lot long,1,,0.0
2098,lot long hours,1,,0.0
2099,hours stressful limited,1,,0.0
2100,stressful limited advancement,1,,0.0
2101,limited advancement unrealistic,1,,0.0
2102,advancement unrealistic expectations,1,,0.0
2103,unrealistic expectations hard,1,,0.0
2104,expectations hard work,1,,0.0
2105,hard work times,1,,0.0
2106,work times older,1,,0.0
2107,times older staff,1,,0.0
2108,older staff nice,1,,0.0
2109,staff nice fan,1,,0.0
2140,asked take many,1,,0.0
2141,take many tables,1,,0.0
2142,many tables times,1,,0.0
2171,stressful times make,1,,0.0
2173,make mistakes ever,1,,0.0
2174,mistakes ever thought,1,,0.0
2175,ever thought would,1,,0.0
2176,thought would environment,1,,0.0
2177,would environment situations,1,,0.0
2178,environment situations happen,1,,0.0
2179,situations happen gratuity,1,,0.0
2180,happen gratuity taken,1,,0.0
2181,gratuity taken away,1,,0.0
2182,taken away government,1,,0.0
2183,away government likely,1,,0.0
2184,government likely chance,1,,0.0
2185,likely chance getting,1,,0.0
2186,chance getting stiffed,1,,0.0
2187,getting stiffed large,1,,0.0
2188,stiffed large parties,1,,0.0
2189,large parties high,1,,0.0
2190,parties high stress,1,,0.0
2191,high stress level,1,,0.0
2192,stress level disrespectful,1,,0.0
2193,level disrespectful customers,1,,0.0
2194,disrespectful customers allowed,1,,0.0
2195,customers allowed behave,1,,0.0
2196,allowed behave terribly,1,,0.0
2197,behave terribly management,1,,0.0
2172,times make mistakes,1,,0.0
2170,sucks stressful times,1,,0.0
2143,tables times breaks,1,,0.0
2169,really sucks stressful,1,,0.0
2144,times breaks scheduled,1,,0.0
2145,breaks scheduled end,1,,0.0
2146,scheduled end time,1,,0.0
2147,end time hours,1,,0.0
2148,time hours dropped,1,,0.0
2149,hours dropped severely,1,,0.0
2150,dropped severely yet,1,,0.0
