,name,count,pos,norm
411,flexible schedule,36,,0.9999999999999999
43,cheesecake factory,32,,0.8857142857142857
5,great money,29,,0.7999999999999999
37,great company,29,,0.7999999999999999
0,fast paced,28,,0.7714285714285714
17,co workers,28,,0.7714285714285714
725,good money,28,,0.7714285714285714
3,flexible hours,25,,0.6857142857142857
60,company work,22,,0.6
126,always busy,22,,0.6
179,place work,20,,0.5428571428571428
121,work great,19,,0.5142857142857142
216,great people,18,,0.48571428571428565
359,great benefits,18,,0.48571428571428565
493,great tips,17,,0.45714285714285713
550,work environment,17,,0.45714285714285713
185,good pay,17,,0.45714285714285713
227,management great,16,,0.42857142857142855
12,great management,16,,0.42857142857142855
9,good benefits,14,,0.3714285714285714
20,great staff,14,,0.3714285714285714
838,money great,14,,0.3714285714285714
142,great work,13,,0.34285714285714286
217,great food,13,,0.34285714285714286
178,great place,13,,0.34285714285714286
218,food great,13,,0.34285714285714286
492,environment great,12,,0.3142857142857143
360,benefits great,12,,0.3142857142857143
134,management team,11,,0.2857142857142857
491,great environment,11,,0.2857142857142857
417,company great,11,,0.2857142857142857
6,money good,11,,0.2857142857142857
650,customer service,11,,0.2857142857142857
598,great training,11,,0.2857142857142857
495,great team,11,,0.2857142857142857
78,room growth,10,,0.2571428571428571
1583,schedule great,10,,0.2571428571428571
494,tips great,9,,0.22857142857142854
130,make money,9,,0.22857142857142854
380,flexible scheduling,9,,0.22857142857142854
167,good food,9,,0.22857142857142854
668,staff great,9,,0.22857142857142854
2075,work schedule,9,,0.22857142857142854
594,flexible work,9,,0.22857142857142854
162,hard work,8,,0.19999999999999998
29,fun environment,8,,0.19999999999999998
80,within company,8,,0.19999999999999998
697,good management,8,,0.19999999999999998
281,one best,8,,0.19999999999999998
300,make good,8,,0.19999999999999998
2037,work hard,8,,0.19999999999999998
612,health benefits,8,,0.19999999999999998
337,great pay,8,,0.19999999999999998
1429,great atmosphere,8,,0.19999999999999998
702,flexible schedules,8,,0.19999999999999998
58,tips good,7,,0.1714285714285714
358,people work,7,,0.1714285714285714
378,loved working,7,,0.1714285714285714
406,good work,7,,0.1714285714285714
554,family environment,7,,0.1714285714285714
537,working cheesecake,7,,0.1714285714285714
674,health insurance,7,,0.1714285714285714
405,hours good,7,,0.1714285714285714
11,atmosphere great,7,,0.1714285714285714
422,great co,7,,0.1714285714285714
4,hours great,6,,0.14285714285714285
656,environment good,6,,0.14285714285714285
684,great culture,6,,0.14285714285714285
597,schedules great,6,,0.14285714285714285
480,pay good,6,,0.14285714285714285
191,like family,6,,0.14285714285714285
451,factory great,6,,0.14285714285714285
208,fast pace,6,,0.14285714285714285
1340,work flexible,6,,0.14285714285714285
427,work hours,6,,0.14285714285714285
577,opportunities move,6,,0.14285714285714285
945,part time,6,,0.14285714285714285
407,work life,6,,0.14285714285714285
408,life balance,5,,0.11428571428571428
353,team environment,5,,0.11428571428571428
2167,many opportunities,5,,0.11428571428571428
599,training program,5,,0.11428571428571428
2934,busy great,5,,0.11428571428571428
1581,money made,5,,0.11428571428571428
2648,free food,5,,0.11428571428571428
2190,management staff,5,,0.11428571428571428
355,busy restaurant,5,,0.11428571428571428
1500,working company,5,,0.11428571428571428
1479,people worked,5,,0.11428571428571428
2598,work fun,5,,0.11428571428571428
237,atmosphere fun,5,,0.11428571428571428
496,team work,5,,0.11428571428571428
339,extremely flexible,5,,0.11428571428571428
1083,managers always,5,,0.11428571428571428
1084,always willing,5,,0.11428571428571428
832,always something,5,,0.11428571428571428
839,great managers,5,,0.11428571428571428
848,great opportunity,5,,0.11428571428571428
1101,free meals,5,,0.11428571428571428
3124,work good,5,,0.11428571428571428
424,paced environment,5,,0.11428571428571428
1120,good tips,5,,0.11428571428571428
361,great coworkers,5,,0.11428571428571428
579,company flexible,5,,0.11428571428571428
2093,opportunity advance,5,,0.11428571428571428
7,good company,5,,0.11428571428571428
13,management always,5,,0.11428571428571428
2415,great employees,4,,0.08571428571428572
2269,pretty good,4,,0.08571428571428572
1026,work work,4,,0.08571428571428572
1388,pay great,4,,0.08571428571428572
1022,care employees,4,,0.08571428571428572
1021,take care,4,,0.08571428571428572
190,feels like,4,,0.08571428571428572
2905,every shift,4,,0.08571428571428572
1873,done great,4,,0.08571428571428572
3170,family like,4,,0.08571428571428572
1006,opportunities grow,4,,0.08571428571428572
1771,schedule good,4,,0.08571428571428572
1005,lots opportunities,4,,0.08571428571428572
1880,school schedule,4,,0.08571428571428572
541,potential make,4,,0.08571428571428572
623,top notch,4,,0.08571428571428572
1521,work ethic,4,,0.08571428571428572
616,opportunities growth,4,,0.08571428571428572
1543,decent tips,4,,0.08571428571428572
701,hours flexible,4,,0.08571428571428572
3010,workers great,4,,0.08571428571428572
2647,get free,4,,0.08571428571428572
1933,cares employees,4,,0.08571428571428572
433,great friendly,4,,0.08571428571428572
1126,room advancement,4,,0.08571428571428572
837,restaurant work,4,,0.08571428571428572
319,good place,4,,0.08571428571428572
2534,food good,4,,0.08571428571428572
1739,food amazing,4,,0.08571428571428572
2501,busy good,4,,0.08571428571428572
1978,high energy,4,,0.08571428571428572
465,team oriented,4,,0.08571428571428572
421,experience great,4,,0.08571428571428572
2447,work amazing,4,,0.08571428571428572
1288,fortune 100,4,,0.08571428571428572
246,take time,4,,0.08571428571428572
244,move forward,4,,0.08571428571428572
1300,really enjoy,4,,0.08571428571428572
1848,world class,4,,0.08571428571428572
1041,service skills,4,,0.08571428571428572
549,fun work,4,,0.08571428571428572
434,friendly staff,4,,0.08571428571428572
605,schedule fun,4,,0.08571428571428572
56,good hours,4,,0.08571428571428572
994,training great,4,,0.08571428571428572
129,opportunity make,4,,0.08571428571428572
603,friendly environment,4,,0.08571428571428572
3565,great health,4,,0.08571428571428572
2153,excellent training,4,,0.08571428571428572
381,scheduling great,4,,0.08571428571428572
141,people great,4,,0.08571428571428572
8,company good,4,,0.08571428571428572
578,move company,4,,0.08571428571428572
3831,side work,4,,0.08571428571428572
2024,job security,3,,0.05714285714285715
2155,fun atmosphere,3,,0.05714285714285715
2002,easy sell,3,,0.05714285714285715
484,managers great,3,,0.05714285714285715
4056,good working,3,,0.05714285714285715
3450,consistent money,3,,0.05714285714285715
3062,employee meals,3,,0.05714285714285715
2443,make easy,3,,0.05714285714285715
444,grow great,3,,0.05714285714285715
2580,good training,3,,0.05714285714285715
844,atmosphere room,3,,0.05714285714285715
420,great experience,3,,0.05714285714285715
2833,decent pay,3,,0.05714285714285715
1748,schedule flexibility,3,,0.05714285714285715
384,flexible great,3,,0.05714285714285715
586,super nice,3,,0.05714285714285715
889,also get,3,,0.05714285714285715
735,company worked,3,,0.05714285714285715
2551,discount food,3,,0.05714285714285715
564,general manager,3,,0.05714285714285715
413,able request,3,,0.05714285714285715
489,food runners,3,,0.05714285714285715
2606,money fast,3,,0.05714285714285715
604,environment flexible,3,,0.05714285714285715
2381,staff good,3,,0.05714285714285715
846,great restaurant,3,,0.05714285714285715
233,best managers,3,,0.05714285714285715
1551,ability grow,3,,0.05714285714285715
352,good team,3,,0.05714285714285715
1767,money flexible,3,,0.05714285714285715
497,work team,3,,0.05714285714285715
4384,open new,3,,0.05714285714285715
332,work experience,3,,0.05714285714285715
469,willing help,3,,0.05714285714285715
813,pay benefits,3,,0.05714285714285715
2540,energy atmosphere,3,,0.05714285714285715
2042,best company,3,,0.05714285714285715
830,ever worked,3,,0.05714285714285715
1109,pick shifts,3,,0.05714285714285715
835,people make,3,,0.05714285714285715
828,best place,3,,0.05714285714285715
827,awesome managers,3,,0.05714285714285715
2681,makes easy,3,,0.05714285714285715
