,name,count,pos,norm
61,great company work,4,,1.0
535,great team work,3,,0.6666666666666667
229,great food great,3,,0.6666666666666667
277,harassed mistake make,2,,0.3333333333333333
288,worth starting 200,2,,0.3333333333333333
287,well worth starting,2,,0.3333333333333333
286,industry well worth,2,,0.3333333333333333
285,starting industry well,2,,0.3333333333333333
668,always busy flexible,2,,0.3333333333333333
284,someone starting industry,2,,0.3333333333333333
283,person someone starting,2,,0.3333333333333333
282,mistake person someone,2,,0.3333333333333333
281,making mistake person,2,,0.3333333333333333
280,afraid making mistake,2,,0.3333333333333333
279,make afraid making,2,,0.3333333333333333
278,mistake make afraid,2,,0.3333333333333333
276,afraid harassed mistake,2,,0.3333333333333333
290,200 item menu,2,,0.3333333333333333
275,easier afraid harassed,2,,0.3333333333333333
274,much easier afraid,2,,0.3333333333333333
273,job much easier,2,,0.3333333333333333
272,learning job much,2,,0.3333333333333333
271,makes learning job,2,,0.3333333333333333
270,mistakes makes learning,2,,0.3333333333333333
269,forgiving mistakes makes,2,,0.3333333333333333
268,staff forgiving mistakes,2,,0.3333333333333333
267,professionally staff forgiving,2,,0.3333333333333333
266,personally professionally staff,2,,0.3333333333333333
265,develop personally professionally,2,,0.3333333333333333
264,help develop personally,2,,0.3333333333333333
263,time help develop,2,,0.3333333333333333
289,starting 200 item,2,,0.3333333333333333
291,item menu standardized,2,,0.3333333333333333
261,forward take time,2,,0.3333333333333333
319,sure brush spanish,2,,0.3333333333333333
307,get good look,2,,0.3333333333333333
308,good look textbooks,2,,0.3333333333333333
309,look textbooks work,2,,0.3333333333333333
310,textbooks work meet,2,,0.3333333333333333
311,work meet life,2,,0.3333333333333333
312,meet life long,2,,0.3333333333333333
313,life long mentors,2,,0.3333333333333333
314,long mentors make,2,,0.3333333333333333
315,mentors make good,2,,0.3333333333333333
316,make good friends,2,,0.3333333333333333
317,good friends sure,2,,0.3333333333333333
318,friends sure brush,2,,0.3333333333333333
304,right culinary school,2,,0.3333333333333333
292,menu standardized restaurant,2,,0.3333333333333333
303,working right culinary,2,,0.3333333333333333
302,begin working right,2,,0.3333333333333333
301,states begin working,2,,0.3333333333333333
300,united states begin,2,,0.3333333333333333
299,places united states,2,,0.3333333333333333
298,best places united,2,,0.3333333333333333
654,great training program,2,,0.3333333333333333
297,one best places,2,,0.3333333333333333
296,probably one best,2,,0.3333333333333333
295,operation probably one,2,,0.3333333333333333
294,restaurant operation probably,2,,0.3333333333333333
293,standardized restaurant operation,2,,0.3333333333333333
262,take time help,2,,0.3333333333333333
320,brush spanish coast,2,,0.3333333333333333
305,culinary school get,2,,0.3333333333333333
1110,management great training,2,,0.3333333333333333
245,factory melting pot,2,,0.3333333333333333
244,cheesecake factory melting,2,,0.3333333333333333
186,great place work,2,,0.3333333333333333
718,environment fast paced,2,,0.3333333333333333
719,fast paced great,2,,0.3333333333333333
260,move forward take,2,,0.3333333333333333
723,great environment good,2,,0.3333333333333333
443,great company great,2,,0.3333333333333333
938,restaurant work great,2,,0.3333333333333333
736,care staff great,2,,0.3333333333333333
738,great team environment,2,,0.3333333333333333
430,flexible hours good,2,,0.3333333333333333
12,great management always,2,,0.3333333333333333
531,great environment great,2,,0.3333333333333333
757,company work great,2,,0.3333333333333333
246,melting pot best,2,,0.3333333333333333
306,school get good,2,,0.3333333333333333
247,pot best managers,2,,0.3333333333333333
252,atmosphere fun extremely,2,,0.3333333333333333
256,paced mature staff,2,,0.3333333333333333
257,mature staff help,2,,0.3333333333333333
455,fast paced environment,2,,0.3333333333333333
463,career advancement great,2,,0.3333333333333333
258,staff help move,2,,0.3333333333333333
169,great staff management,2,,0.3333333333333333
254,extremely fast paced,2,,0.3333333333333333
253,fun extremely fast,2,,0.3333333333333333
259,help move forward,2,,0.3333333333333333
251,country atmosphere fun,2,,0.3333333333333333
250,chefs country atmosphere,2,,0.3333333333333333
249,managers chefs country,2,,0.3333333333333333
248,best managers chefs,2,,0.3333333333333333
255,fast paced mature,2,,0.3333333333333333
961,opportunity move great,1,,0.0
966,family staff atmosphere,1,,0.0
962,move great tips,1,,0.0
963,great tips friendly,1,,0.0
964,tips friendly family,1,,0.0
960,great opportunity move,1,,0.0
959,staff great opportunity,1,,0.0
965,friendly family staff,1,,0.0
958,work care staff,1,,0.0
970,paced benefits 29,1,,0.0
967,staff atmosphere fast,1,,0.0
968,atmosphere fast paced,1,,0.0
969,fast paced benefits,1,,0.0
971,benefits 29 hours,1,,0.0
972,29 hours good,1,,0.0
973,hours good food,1,,0.0
974,good food discounts,1,,0.0
975,food discounts employees,1,,0.0
976,discounts employees offers,1,,0.0
978,offers benefits qualify,1,,0.0
979,benefits qualify work,1,,0.0
980,qualify work hours,1,,0.0
981,work hours need,1,,0.0
977,employees offers benefits,1,,0.0
0,fast paced clean,1,,0.0
956,work great place,1,,0.0
1039,come always cut,1,,0.0
1048,server place big,1,,0.0
1047,good server place,1,,0.0
1046,learned good server,1,,0.0
1045,experience learned good,1,,0.0
1044,without experience learned,1,,0.0
1043,hard without experience,1,,0.0
1042,started hard without,1,,0.0
1041,cut started hard,1,,0.0
1040,always cut started,1,,0.0
1038,people come always,1,,0.0
982,hours need believes,1,,0.0
1037,programs people come,1,,0.0
1036,training programs people,1,,0.0
1035,best training programs,1,,0.0
1034,one best training,1,,0.0
1033,factory one best,1,,0.0
1032,cheesecake factory one,1,,0.0
1031,applied cheesecake factory,1,,0.0
1030,position applied cheesecake,1,,0.0
1029,service position applied,1,,0.0
1049,place big kind,1,,0.0
1050,big kind menu,1,,0.0
1051,kind menu set,1,,0.0
1052,menu set ever,1,,0.0
1071,insurance benefits working,1,,0.0
1070,time insurance benefits,1,,0.0
1069,part time insurance,1,,0.0
1068,important part time,1,,0.0
1067,hotsee important part,1,,0.0
1066,flow hotsee important,1,,0.0
1065,cash flow hotsee,1,,0.0
1064,miss cash flow,1,,0.0
1063,jobs miss cash,1,,0.0
1062,compared jobs miss,1,,0.0
1061,schedule compared jobs,1,,0.0
1060,flexible schedule compared,1,,0.0
1059,loved flexible schedule,1,,0.0
1058,also loved flexible,1,,0.0
1057,lot also loved,1,,0.0
1056,taught lot also,1,,0.0
1055,since taught lot,1,,0.0
1054,ever since taught,1,,0.0
1053,set ever since,1,,0.0
1028,every service position,1,,0.0
1027,almost every service,1,,0.0
1026,told almost every,1,,0.0
1003,consider food better,1,,0.0
1001,lot money consider,1,,0.0
1000,spend lot money,1,,0.0
999,regulars spend lot,1,,0.0
998,get regulars spend,1,,0.0
997,great get regulars,1,,0.0
996,money great get,1,,0.0
995,dream money great,1,,0.0
994,someone dream money,1,,0.0
993,shifts someone dream,1,,0.0
992,switching shifts someone,1,,0.0
991,makes switching shifts,1,,0.0
990,app makes switching,1,,0.0
989,shift app makes,1,,0.0
988,use shift app,1,,0.0
987,service use shift,1,,0.0
986,food service use,1,,0.0
985,quality food service,1,,0.0
984,believes quality food,1,,0.0
983,need believes quality,1,,0.0
1002,money consider food,1,,0.0
1004,food better average,1,,0.0
1025,resume told almost,1,,0.0
1005,better average casual,1,,0.0
1024,boost resume told,1,,0.0
1023,huge boost resume,1,,0.0
1022,training huge boost,1,,0.0
1021,money training huge,1,,0.0
1020,great money training,1,,0.0
1019,make great money,1,,0.0
1018,conventions make great,1,,0.0
1017,lot conventions make,1,,0.0
1016,city lot conventions,1,,0.0
1015,live city lot,1,,0.0
1014,parties live city,1,,0.0
1013,occasion parties live,1,,0.0
1012,special occasion parties,1,,0.0
1011,ton special occasion,1,,0.0
1010,get ton special,1,,0.0
1009,also get ton,1,,0.0
1008,restaurant also get,1,,0.0
1007,casual restaurant also,1,,0.0
1006,average casual restaurant,1,,0.0
957,place work care,1,,0.0
949,team environment energetic,1,,0.0
955,great restaurant work,1,,0.0
816,company worked 3,1,,0.0
826,manager make difference,1,,0.0
825,general manager make,1,,0.0
824,mainly general manager,1,,0.0
823,managers mainly general,1,,0.0
822,california managers mainly,1,,0.0
821,throughout california managers,1,,0.0
820,locations throughout california,1,,0.0
819,different locations throughout,1,,0.0
818,3 different locations,1,,0.0
817,worked 3 different,1,,0.0
815,last company worked,1,,0.0
853,insanely busy lot,1,,0.0
814,way last company,1,,0.0
813,meaning way last,1,,0.0
812,place meaning way,1,,0.0
811,run place meaning,1,,0.0
810,corporate run place,1,,0.0
809,top corporate run,1,,0.0
808,said top corporate,1,,0.0
807,money said top,1,,0.0
806,good money said,1,,0.0
805,really good money,1,,0.0
827,make difference world,1,,0.0
828,difference world start,1,,0.0
829,world start company,1,,0.0
830,start company take,1,,0.0
851,restaurant gets insanely,1,,0.0
850,huge restaurant gets,1,,0.0
849,menu huge restaurant,1,,0.0
848,first menu huge,1,,0.0
847,take first menu,1,,0.0
846,lot take first,1,,0.0
845,good lot take,1,,0.0
844,sections good lot,1,,0.0
843,even sections good,1,,0.0
842,money even sections,1,,0.0
841,good money even,1,,0.0
840,make good money,1,,0.0
839,easy make good,1,,0.0
838,pretty easy make,1,,0.0
837,shifts pretty easy,1,,0.0
836,better shifts pretty,1,,0.0
835,earn better shifts,1,,0.0
834,prove earn better,1,,0.0
833,time prove earn,1,,0.0
832,take time prove,1,,0.0
831,company take time,1,,0.0
804,makes really good,1,,0.0
803,resources makes really,1,,0.0
802,lot resources makes,1,,0.0
777,solid company great,1,,0.0
775,good management solid,1,,0.0
774,family good management,1,,0.0
773,part family good,1,,0.0
772,like part family,1,,0.0
771,feel like part,1,,0.0
770,makes feel like,1,,0.0
769,place makes feel,1,,0.0
768,awesome place makes,1,,0.0
767,work awesome place,1,,0.0
766,company work awesome,1,,0.0
765,guests great company,1,,0.0
764,staff guests great,1,,0.0
763,care staff guests,1,,0.0
762,exceptional care staff,1,,0.0
761,take exceptional care,1,,0.0
760,culture take exceptional,1,,0.0
759,great culture take,1,,0.0
758,work great culture,1,,0.0
756,advancement great company,1,,0.0
755,opportunities career advancement,1,,0.0
754,plenty opportunities career,1,,0.0
776,management solid company,1,,0.0
778,company great hours,1,,0.0
801,company lot resources,1,,0.0
779,great hours flexible,1,,0.0
800,honestly company lot,1,,0.0
799,time honestly company,1,,0.0
798,get time honestly,1,,0.0
797,helpful get time,1,,0.0
796,lives helpful get,1,,0.0
795,personal lives helpful,1,,0.0
794,accomodating personal lives,1,,0.0
793,managers accomodating personal,1,,0.0
792,honestly managers accomodating,1,,0.0
791,ever honestly managers,1,,0.0
790,coworkers ever honestly,1,,0.0
789,best coworkers ever,1,,0.0
