,name,count,pos,norm
702,hours little pay,2,,1.0
1176,can not handle,2,,1.0
25,200 things menu,2,,1.0
179,rude customers long,2,,1.0
220,management really care,2,,1.0
135,worst job ever,2,,1.0
703,little pay lot,2,,1.0
701,long hours little,2,,1.0
1658,fingers soaked cloths,1,,0.0
1659,soaked cloths every,1,,0.0
1647,managers lack teamwork,1,,0.0
1660,cloths every day,1,,0.0
1648,lack teamwork among,1,,0.0
1649,teamwork among managers,1,,0.0
1650,among managers bad,1,,0.0
1657,burned fingers soaked,1,,0.0
1651,managers bad hours,1,,0.0
1652,bad hours hard,1,,0.0
1646,hired managers lack,1,,0.0
1654,hard work prepare,1,,0.0
1655,work prepare burned,1,,0.0
1656,prepare burned fingers,1,,0.0
1653,hours hard work,1,,0.0
1644,towards external hired,1,,0.0
1645,external hired managers,1,,0.0
1662,day poor management,1,,0.0
1629,double manager like,1,,0.0
1630,manager like would,1,,0.0
1631,like would sleep,1,,0.0
1632,would sleep schedule,1,,0.0
1633,sleep schedule could,1,,0.0
1634,schedule could turn,1,,0.0
1635,could turn many,1,,0.0
1636,turn many food,1,,0.0
1637,many food running,1,,0.0
1638,food running shifts,1,,0.0
1639,running shifts rate,1,,0.0
1640,shifts rate advancement,1,,0.0
1641,rate advancement view,1,,0.0
1642,advancement view towards,1,,0.0
1643,view towards external,1,,0.0
1661,every day poor,1,,0.0
0,company care employees,1,,0.0
1663,poor management breaks,1,,0.0
1683,totally unprofessional watched,1,,0.0
1685,watched many people,1,,0.0
1686,many people get,1,,0.0
1687,people get axe,1,,0.0
1688,get axe unknown,1,,0.0
1689,axe unknown reason,1,,0.0
1690,unknown reason restaurant,1,,0.0
1691,reason restaurant business,1,,0.0
1692,restaurant business attract,1,,0.0
1693,business attract lowest,1,,0.0
1694,attract lowest forms,1,,0.0
1695,lowest forms life,1,,0.0
1696,forms life one,1,,0.0
1697,life one places,1,,0.0
1698,one places natick,1,,0.0
1699,places natick worst,1,,0.0
1684,unprofessional watched many,1,,0.0
1682,biased totally unprofessional,1,,0.0
1665,breaks policies make,1,,0.0
1681,completely biased totally,1,,0.0
1666,policies make zero,1,,0.0
1667,make zero sense,1,,0.0
1668,zero sense waste,1,,0.0
1669,sense waste time,1,,0.0
1670,waste time working,1,,0.0
1671,time working like,1,,0.0
1672,working like pigs,1,,0.0
1673,like pigs dealing,1,,0.0
1674,pigs dealing large,1,,0.0
1675,dealing large obnoxious,1,,0.0
1676,large obnoxious crowds,1,,0.0
1677,obnoxious crowds managers,1,,0.0
1678,crowds managers terrible,1,,0.0
1679,managers terrible completely,1,,0.0
1680,terrible completely biased,1,,0.0
1664,management breaks policies,1,,0.0
1627,break working double,1,,0.0
1628,working double manager,1,,0.0
1579,hours pay multiple,1,,0.0
1572,efficiently horrible trainers,1,,0.0
1573,horrible trainers sub,1,,0.0
1574,trainers sub par,1,,0.0
1575,sub par managers,1,,0.0
1576,par managers horrible,1,,0.0
1577,managers horrible hours,1,,0.0
1578,horrible hours pay,1,,0.0
1580,pay multiple labor,1,,0.0
1570,restaurant run efficiently,1,,0.0
1581,multiple labor laws,1,,0.0
1582,labor laws health,1,,0.0
1583,laws health code,1,,0.0
1584,health code compliance,1,,0.0
1585,code compliance issues,1,,0.0
1586,compliance issues never,1,,0.0
1587,issues never addressed,1,,0.0
1571,run efficiently horrible,1,,0.0
1569,make restaurant run,1,,0.0
1701,worst immoral unscrupulous,1,,0.0
1559,get easier management,1,,0.0
1552,quite stressful served,1,,0.0
1553,stressful served four,1,,0.0
1554,served four years,1,,0.0
1555,four years time,1,,0.0
1556,years time job,1,,0.0
1557,time job get,1,,0.0
1558,job get easier,1,,0.0
1560,easier management tends,1,,0.0
1568,would make restaurant,1,,0.0
1561,management tends focus,1,,0.0
1562,tends focus things,1,,0.0
1563,focus things unimportant,1,,0.0
1564,things unimportant instead,1,,0.0
1565,unimportant instead things,1,,0.0
1566,instead things would,1,,0.0
1567,things would make,1,,0.0
1588,never addressed management,1,,0.0
1589,addressed management hr,1,,0.0
1590,management hr nightmare,1,,0.0
1618,scheduled breaks taken,1,,0.0
1611,tend overbearing really,1,,0.0
1612,overbearing really busy,1,,0.0
1613,really busy customers,1,,0.0
1614,busy customers get,1,,0.0
1615,customers get upset,1,,0.0
1616,get upset scheduled,1,,0.0
1617,upset scheduled breaks,1,,0.0
1619,breaks taken managers,1,,0.0
1591,hr nightmare surprised,1,,0.0
1620,taken managers decision,1,,0.0
1621,managers decision consistent,1,,0.0
1622,decision consistent may,1,,0.0
1623,consistent may may,1,,0.0
1624,may may get,1,,0.0
1625,may get break,1,,0.0
1626,get break working,1,,0.0
1610,managers tend overbearing,1,,0.0
1609,people managers tend,1,,0.0
1608,obnoxious people managers,1,,0.0
1607,clientele obnoxious people,1,,0.0
1592,nightmare surprised never,1,,0.0
1593,surprised never sued,1,,0.0
1594,never sued injured,1,,0.0
1595,sued injured job,1,,0.0
1596,injured job report,1,,0.0
1597,job report filed,1,,0.0
1598,report filed management,1,,0.0
1599,filed management disorganized,1,,0.0
1600,management disorganized apathetic,1,,0.0
1601,disorganized apathetic can,1,,0.0
1602,apathetic can not,1,,0.0
1603,not handle stress,1,,0.0
1604,handle stress lash,1,,0.0
1605,stress lash clientele,1,,0.0
1606,lash clientele obnoxious,1,,0.0
1700,natick worst immoral,1,,0.0
1705,predators marble floors,1,,0.0
1702,immoral unscrupulous managers,1,,0.0
1807,extreme hours lots,1,,0.0
1800,far many extra,1,,0.0
1801,many extra meetings,1,,0.0
1802,extra meetings employee,1,,0.0
1803,meetings employee events,1,,0.0
1804,employee events etc,1,,0.0
1805,events etc extreme,1,,0.0
1806,etc extreme hours,1,,0.0
1808,hours lots working,1,,0.0
1779,truly care growth,1,,0.0
1809,lots working home,1,,0.0
1810,working home overly,1,,0.0
1811,home overly structured,1,,0.0
1812,overly structured many,1,,0.0
1813,structured many hoops,1,,0.0
1814,many hoops takes,1,,0.0
1815,hoops takes act,1,,0.0
