,name,count,pos,norm
85,good money,10,,1.0
135,co workers,9,,0.8888888888888888
340,free food,9,,0.8888888888888888
88,flexible schedule,6,,0.5555555555555556
62,flexible hours,6,,0.5555555555555556
29,fast paced,6,,0.5555555555555556
60,work environment,5,,0.4444444444444445
25,good pay,5,,0.4444444444444445
86,money busy,4,,0.3333333333333333
109,people work,4,,0.3333333333333333
113,discounted food,4,,0.3333333333333333
116,make good,3,,0.2222222222222222
95,nice staff,3,,0.2222222222222222
30,paced environment,3,,0.2222222222222222
32,benefits good,3,,0.2222222222222222
83,fun work,3,,0.2222222222222222
35,part time,3,,0.2222222222222222
588,good food,3,,0.2222222222222222
288,great team,3,,0.2222222222222222
157,flexible scheduling,3,,0.2222222222222222
289,team members,3,,0.2222222222222222
150,great money,3,,0.2222222222222222
223,easy work,3,,0.2222222222222222
424,one sc,2,,0.1111111111111111
862,friends good,2,,0.1111111111111111
653,great place,2,,0.1111111111111111
63,hours good,2,,0.1111111111111111
59,good work,2,,0.1111111111111111
244,work tips,2,,0.1111111111111111
632,life balance,2,,0.1111111111111111
100,busy nights,2,,0.1111111111111111
449,nice people,2,,0.1111111111111111
631,work life,2,,0.1111111111111111
110,work great,2,,0.1111111111111111
167,tips nice,2,,0.1111111111111111
386,schedule flexible,2,,0.1111111111111111
358,amazing people,2,,0.1111111111111111
377,get half,2,,0.1111111111111111
154,food great,2,,0.1111111111111111
138,schedule good,2,,0.1111111111111111
139,money easy,2,,0.1111111111111111
149,make great,2,,0.1111111111111111
148,opportunity make,2,,0.1111111111111111
605,meal discounts,2,,0.1111111111111111
527,time good,2,,0.1111111111111111
201,shifts work,2,,0.1111111111111111
366,pay benefits,2,,0.1111111111111111
1,great management,2,,0.1111111111111111
697,easy get,2,,0.1111111111111111
478,good tips,2,,0.1111111111111111
694,food easy,2,,0.1111111111111111
486,open late,2,,0.1111111111111111
688,accept salaried,1,,0.0
620,two weeks,1,,0.0
621,weeks advance,1,,0.0
693,members discounted,1,,0.0
622,advance notice,1,,0.0
623,notice great,1,,0.0
692,discount team,1,,0.0
633,balance fun,1,,0.0
624,management employees,1,,0.0
625,employees work,1,,0.0
