,name,count,pos,norm
424,work life balance,4,,1.0
423,good work life,3,,0.6666666666666667
372,always willing help,3,,0.6666666666666667
238,fast paced environment,2,,0.3333333333333333
79,nice co workers,2,,0.3333333333333333
394,love people work,2,,0.3333333333333333
1201,great atmosphere wonderful,2,,0.3333333333333333
306,great quality life,2,,0.3333333333333333
639,atmosphere co workers,2,,0.3333333333333333
640,co workers become,2,,0.3333333333333333
787,great place work,2,,0.3333333333333333
606,team work always,2,,0.3333333333333333
201,fun environment work,2,,0.3333333333333333
199,work atmosphere fun,2,,0.3333333333333333
195,work great management,2,,0.3333333333333333
956,fun place work,2,,0.3333333333333333
753,great company work,2,,0.3333333333333333
674,paced work environment,2,,0.3333333333333333
101,good atmosphere good,2,,0.3333333333333333
850,great food great,2,,0.3333333333333333
673,fast paced work,2,,0.3333333333333333
910,alright wage great,1,,0.0
895,made going college,1,,0.0
898,bit easier great,1,,0.0
897,college bit easier,1,,0.0
917,people great food,1,,0.0
896,going college bit,1,,0.0
893,days others made,1,,0.0
894,others made going,1,,0.0
892,certain days others,1,,0.0
891,work certain days,1,,0.0
890,flexibility work certain,1,,0.0
889,also flexibility work,1,,0.0
888,location also flexibility,1,,0.0
916,experience people great,1,,0.0
915,awesome experience people,1,,0.0
899,easier great head,1,,0.0
912,great atmosphere co,1,,0.0
908,positions location alright,1,,0.0
907,schedules positions location,1,,0.0
911,wage great atmosphere,1,,0.0
906,flexible schedules positions,1,,0.0
905,managers flexible schedules,1,,0.0
904,normal managers flexible,1,,0.0
887,ideal location also,1,,0.0
909,location alright wage,1,,0.0
913,co workers awesome,1,,0.0
903,great normal managers,1,,0.0
902,manager great normal,1,,0.0
901,head manager great,1,,0.0
914,workers awesome experience,1,,0.0
900,great head manager,1,,0.0
0,fat paste made,1,,0.0
882,diverse cultures tips,1,,0.0
886,find ideal location,1,,0.0
885,good find ideal,1,,0.0
864,company continue lead,1,,0.0
863,organized company continue,1,,0.0
862,run organized company,1,,0.0
861,well run organized,1,,0.0
