,name,count,pos,norm
21,management,15,NOUN,1.0
53,work,11,NOUN,0.7142857142857143
91,managers,9,NOUN,0.5714285714285714
89,let,7,NOUN,0.4285714285714286
2,food,7,NOUN,0.4285714285714286
107,know,7,NOUN,0.4285714285714286
55,hours,6,NOUN,0.3571428571428571
172,people,6,NOUN,0.3571428571428571
154,job,5,NOUN,0.2857142857142857
198,lot,4,NOUN,0.21428571428571427
268,schedule,4,NOUN,0.21428571428571427
58,host,4,NOUN,0.21428571428571427
60,pay,4,NOUN,0.21428571428571427
9,tables,4,NOUN,0.21428571428571427
90,favoritism,4,NOUN,0.21428571428571427
97,cut,3,NOUN,0.14285714285714285
363,store,3,NOUN,0.14285714285714285
279,restaurant,3,NOUN,0.14285714285714285
195,servers,3,NOUN,0.14285714285714285
78,environment,3,NOUN,0.14285714285714285
382,direction,3,NOUN,0.14285714285714285
187,orders,3,NOUN,0.14285714285714285
148,manager,3,NOUN,0.14285714285714285
10,time,3,NOUN,0.14285714285714285
6,joke,3,NOUN,0.14285714285714285
194,deal,2,NOUN,0.07142857142857142
210,dish,2,NOUN,0.07142857142857142
338,expect,2,NOUN,0.07142857142857142
183,way,2,NOUN,0.07142857142857142
138,wrong,2,NOUN,0.07142857142857142
169,change,2,NOUN,0.07142857142857142
168,menu,2,NOUN,0.07142857142857142
298,service,2,NOUN,0.07142857142857142
300,staff,2,NOUN,0.07142857142857142
291,house,2,NOUN,0.07142857142857142
66,customers,2,NOUN,0.07142857142857142
385,diversity,2,NOUN,0.07142857142857142
155,chilis,2,NOUN,0.07142857142857142
63,things,2,NOUN,0.07142857142857142
246,cost,2,NOUN,0.07142857142857142
43,everything,2,NOUN,0.07142857142857142
244,effort,2,NOUN,0.07142857142857142
261,teamwork,2,NOUN,0.07142857142857142
32,everyone,2,NOUN,0.07142857142857142
272,thursday,2,NOUN,0.07142857142857142
74,shift,2,NOUN,0.07142857142857142
297,customer,1,NOUN,0.0
303,employee,1,NOUN,0.0
260,cooks,1,NOUN,0.0
262,cook,1,NOUN,0.0
264,meals,1,NOUN,0.0
265,week,1,NOUN,0.0
285,topics,1,NOUN,0.0
295,crew,1,NOUN,0.0
294,expectations,1,NOUN,0.0
267,thursdays,1,NOUN,0.0
288,bickering,1,NOUN,0.0
274,morning,1,NOUN,0.0
278,chili,1,NOUN,0.0
280,brinker,1,NOUN,0.0
284,attitudes,1,NOUN,0.0
286,hour,1,NOUN,0.0
1,quality,1,NOUN,0.0
334,post,1,NOUN,0.0
304,functions,1,NOUN,0.0
308,poisoning,1,NOUN,0.0
367,train,1,NOUN,0.0
372,feedback,1,NOUN,0.0
375,structure,1,NOUN,0.0
377,notice,1,NOUN,0.0
381,brand,1,NOUN,0.0
384,pursuit,1,NOUN,0.0
388,goals,1,NOUN,0.0
391,reason,1,NOUN,0.0
393,call,1,NOUN,0.0
397,seating,1,NOUN,0.0
399,decorations,1,NOUN,0.0
402,scheduling,1,NOUN,0.0
403,income,1,NOUN,0.0
404,clientele,1,NOUN,0.0
405,value,1,NOUN,0.0
365,girls,1,NOUN,0.0
362,buying,1,NOUN,0.0
359,year,1,NOUN,0.0
333,minute,1,NOUN,0.0
312,uniforms,1,NOUN,0.0
313,application,1,NOUN,0.0
314,phone,1,NOUN,0.0
317,minutes,1,NOUN,0.0
320,guests,1,NOUN,0.0
322,advance,1,NOUN,0.0
255,wash,1,NOUN,0.0
356,franchise,1,NOUN,0.0
336,schedules,1,NOUN,0.0
340,wednesday,1,NOUN,0.0
345,bs,1,NOUN,0.0
351,tips,1,NOUN,0.0
352,area,1,NOUN,0.0
355,tab,1,NOUN,0.0
258,togo,1,NOUN,0.0
214,employees,1,NOUN,0.0
252,bus,1,NOUN,0.0
128,worker,1,NOUN,0.0
122,lightning,1,NOUN,0.0
118,choice,1,NOUN,0.0
115,meaning,1,NOUN,0.0
113,plans,1,NOUN,0.0
110,00pm,1,NOUN,0.0
105,goschedule,1,NOUN,0.0
103,workers,1,NOUN,0.0
95,days,1,NOUN,0.0
86,hands,1,NOUN,0.0
84,weeks,1,NOUN,0.0
68,face,1,NOUN,0.0
65,nothing,1,NOUN,0.0
56,responsibilities,1,NOUN,0.0
47,mcdonalds,1,NOUN,0.0
45,bag,1,NOUN,0.0
42,selection,1,NOUN,0.0
41,beer,1,NOUN,0.0
40,drinks,1,NOUN,0.0
31,place,1,NOUN,0.0
29,sexism,1,NOUN,0.0
28,racism,1,NOUN,0.0
27,homophobia,1,NOUN,0.0
19,violence,1,NOUN,0.0
18,workplace,1,NOUN,0.0
16,g,1,NOUN,0.0
15,immature,1,NOUN,0.0
14,mistake,1,NOUN,0.0
4,healthcare,1,NOUN,0.0
3,mgnt,1,NOUN,0.0
127,midnight,1,NOUN,0.0
133,switch,1,NOUN,0.0
248,stores,1,NOUN,0.0
134,shifts,1,NOUN,0.0
247,labor,1,NOUN,0.0
241,parties,1,NOUN,0.0
239,gratuity,1,NOUN,0.0
238,staffing,1,NOUN,0.0
235,communication,1,NOUN,0.0
234,lack,1,NOUN,0.0
233,level,1,NOUN,0.0
232,accountability,1,NOUN,0.0
230,weekends,1,NOUN,0.0
229,need,1,NOUN,0.0
227,act,1,NOUN,0.0
224,vacation,1,NOUN,0.0
222,training,1,NOUN,0.0
208,items,1,NOUN,0.0
207,side,1,NOUN,0.0
191,salary,1,NOUN,0.0
190,wage,1,NOUN,0.0
180,answers,1,NOUN,0.0
177,goes,1,NOUN,0.0
176,page,1,NOUN,0.0
166,bussers,1,NOUN,0.0
165,mall,1,NOUN,0.0
164,deerbrook,1,NOUN,0.0
151,pocket,1,NOUN,0.0
150,half,1,NOUN,0.0
149,tear,1,NOUN,0.0
147,dollar,1,NOUN,0.0
146,tip,1,NOUN,0.0
143,cellphone,1,NOUN,0.0
406,waiter,1,NOUN,0.0
