,name,count,pos,norm
46,management,16,NOUN,1.0
76,managers,13,NOUN,0.8
49,work,11,NOUN,0.6666666666666666
104,manager,10,NOUN,0.6
147,pay,10,NOUN,0.6
139,servers,9,NOUN,0.5333333333333333
9,job,9,NOUN,0.5333333333333333
154,company,8,NOUN,0.4666666666666667
87,employees,8,NOUN,0.4666666666666667
273,day,7,NOUN,0.4
58,time,7,NOUN,0.4
57,vacation,7,NOUN,0.4
27,people,6,NOUN,0.33333333333333337
160,employee,5,NOUN,0.26666666666666666
300,favoritism,5,NOUN,0.26666666666666666
51,place,5,NOUN,0.26666666666666666
0,staff,5,NOUN,0.26666666666666666
25,sections,5,NOUN,0.26666666666666666
449,days,5,NOUN,0.26666666666666666
117,care,4,NOUN,0.2
19,scheduling,4,NOUN,0.2
472,relationships,4,NOUN,0.2
185,reason,4,NOUN,0.2
94,wage,4,NOUN,0.2
43,hours,4,NOUN,0.2
131,server,4,NOUN,0.2
172,life,3,NOUN,0.13333333333333336
157,cpk,3,NOUN,0.13333333333333336
248,benefits,3,NOUN,0.13333333333333336
203,sign,3,NOUN,0.13333333333333336
5,experience,3,NOUN,0.13333333333333336
106,nothing,3,NOUN,0.13333333333333336
234,hour,3,NOUN,0.13333333333333336
150,year,3,NOUN,0.13333333333333336
99,tips,3,NOUN,0.13333333333333336
246,change,3,NOUN,0.13333333333333336
95,hourly,3,NOUN,0.13333333333333336
412,times,3,NOUN,0.13333333333333336
268,environment,3,NOUN,0.13333333333333336
62,store,3,NOUN,0.13333333333333336
519,advancement,3,NOUN,0.13333333333333336
355,anything,3,NOUN,0.13333333333333336
331,others,3,NOUN,0.13333333333333336
482,restaurant,3,NOUN,0.13333333333333336
20,issues,3,NOUN,0.13333333333333336
187,quotas,2,NOUN,0.06666666666666667
361,case,2,NOUN,0.06666666666666667
349,problem,2,NOUN,0.06666666666666667
547,advance,2,NOUN,0.06666666666666667
414,agreement,2,NOUN,0.06666666666666667
173,things,2,NOUN,0.06666666666666667
180,lunch,2,NOUN,0.06666666666666667
326,leadership,2,NOUN,0.06666666666666667
310,employment,2,NOUN,0.06666666666666667
272,guests,2,NOUN,0.06666666666666667
306,question,2,NOUN,0.06666666666666667
539,app,2,NOUN,0.06666666666666667
215,departments,2,NOUN,0.06666666666666667
546,months,2,NOUN,0.06666666666666667
220,number,2,NOUN,0.06666666666666667
304,assistant,2,NOUN,0.06666666666666667
292,training,2,NOUN,0.06666666666666667
277,team,2,NOUN,0.06666666666666667
503,sleep,2,NOUN,0.06666666666666667
372,office,2,NOUN,0.06666666666666667
207,shifts,2,NOUN,0.06666666666666667
258,throw,2,NOUN,0.06666666666666667
97,make,2,NOUN,0.06666666666666667
121,host,2,NOUN,0.06666666666666667
89,breaks,2,NOUN,0.06666666666666667
100,lot,2,NOUN,0.06666666666666667
30,bar,2,NOUN,0.06666666666666667
11,mistake,2,NOUN,0.06666666666666667
116,everything,2,NOUN,0.06666666666666667
92,workers,2,NOUN,0.06666666666666667
140,favorites,2,NOUN,0.06666666666666667
36,week,2,NOUN,0.06666666666666667
427,addition,1,NOUN,0.0
437,trial,1,NOUN,0.0
438,jury,1,NOUN,0.0
439,bottoms,1,NOUN,0.0
446,security,1,NOUN,0.0
