,name,count,pos,norm
1782,fun people work,4,,1.0
823,great co workers,4,,1.0
1452,great place work,4,,1.0
1035,flexible hours good,4,,1.0
1181,fun co workers,3,,0.6666666666666667
241,make good money,3,,0.6666666666666667
646,make lot money,3,,0.6666666666666667
1000,good co workers,3,,0.6666666666666667
2092,red robin great,3,,0.6666666666666667
969,flexible schedule great,3,,0.6666666666666667
2213,good people work,3,,0.6666666666666667
709,co workers best,3,,0.6666666666666667
837,work flexible hours,3,,0.6666666666666667
1722,people work nice,3,,0.6666666666666667
511,flexible scheduling good,3,,0.6666666666666667
675,friendly co workers,3,,0.6666666666666667
151,great team people,3,,0.6666666666666667
676,co workers good,3,,0.6666666666666667
863,fast paced environment,3,,0.6666666666666667
1748,get free meal,3,,0.6666666666666667
56,good people good,3,,0.6666666666666667
1314,flexible schedule good,3,,0.6666666666666667
663,free food every,3,,0.6666666666666667
513,good money good,2,,0.3333333333333333
508,people work great,2,,0.3333333333333333
2275,flexible schedule lots,2,,0.3333333333333333
1016,nice employees good,2,,0.3333333333333333
1533,work great team,2,,0.3333333333333333
2890,good fast paced,2,,0.3333333333333333
992,nice people work,2,,0.3333333333333333
95,nice co workers,2,,0.3333333333333333
1001,co workers help,2,,0.3333333333333333
1453,place work looking,2,,0.3333333333333333
462,never dull moment,2,,0.3333333333333333
1233,mostly flexible schedule,2,,0.3333333333333333
664,food every shift,2,,0.3333333333333333
2064,get free food,2,,0.3333333333333333
982,nice people good,2,,0.3333333333333333
1707,food fun environment,2,,0.3333333333333333
2271,working red robin,2,,0.3333333333333333
2296,great food great,2,,0.3333333333333333
2259,schedule great pay,2,,0.3333333333333333
2648,workers good food,2,,0.3333333333333333
711,best part job,2,,0.3333333333333333
96,co workers great,2,,0.3333333333333333
891,great people great,2,,0.3333333333333333
1318,great company work,2,,0.3333333333333333
981,hours nice people,2,,0.3333333333333333
100,fun place work,2,,0.3333333333333333
129,quick table turnover,2,,0.3333333333333333
762,fun fast paced,2,,0.3333333333333333
757,free food pay,2,,0.3333333333333333
1033,competitive pay flexible,2,,0.3333333333333333
1034,pay flexible hours,2,,0.3333333333333333
895,used great company,2,,0.3333333333333333
998,tips pretty good,2,,0.3333333333333333
2533,money good hours,2,,0.3333333333333333
1213,food good pay,2,,0.3333333333333333
457,work life balance,2,,0.3333333333333333
38,environment good food,2,,0.3333333333333333
2837,food flexible scheduling,2,,0.3333333333333333
2697,money great managers,2,,0.3333333333333333
842,coworkers flexible hours,2,,0.3333333333333333
595,make ok money,2,,0.3333333333333333
325,flexible school schedule,2,,0.3333333333333333
2576,co workers flexible,2,,0.3333333333333333
955,co workers amazing,2,,0.3333333333333333
954,money co workers,2,,0.3333333333333333
2590,co workers never,2,,0.3333333333333333
182,great people work,2,,0.3333333333333333
1107,flexible hours fun,2,,0.3333333333333333
2719,company good training,2,,0.3333333333333333
824,co workers free,2,,0.3333333333333333
2172,tips always nice,2,,0.3333333333333333
308,worked good people,2,,0.3333333333333333
543,make decent money,2,,0.3333333333333333
1085,easy learn menu,2,,0.3333333333333333
528,good discount food,2,,0.3333333333333333
615,time get paid,2,,0.3333333333333333
454,people great money,2,,0.3333333333333333
2882,year staff fun,1,,0.0
2853,relaxed work schedule,1,,0.0
2856,want interview process,1,,0.0
2855,schedule want interview,1,,0.0
2854,work schedule want,1,,0.0
2886,industry product put,1,,0.0
2887,product put tips,1,,0.0
2852,pay relaxed work,1,,0.0
2885,green industry product,1,,0.0
2851,decent pay relaxed,1,,0.0
2879,experience promote 1,1,,0.0
2873,start hostess regardless,1,,0.0
2888,put tips pretty,1,,0.0
2878,work experience promote,1,,0.0
2877,previous work experience,1,,0.0
2876,skills previous work,1,,0.0
2872,environment start hostess,1,,0.0
2857,interview process easy,1,,0.0
2866,lot opportunities hours,1,,0.0
2871,work environment start,1,,0.0
2883,staff fun green,1,,0.0
2865,good lot opportunities,1,,0.0
2884,fun green industry,1,,0.0
2881,1 year staff,1,,0.0
2864,pretty good lot,1,,0.0
2863,food pretty good,1,,0.0
2862,friends food pretty,1,,0.0
2867,opportunities hours kind,1,,0.0
2868,hours kind fun,1,,0.0
2874,hostess regardless skills,1,,0.0
2861,work friends food,1,,0.0
2860,fun work friends,1,,0.0
2869,kind fun work,1,,0.0
2859,easy fun work,1,,0.0
2880,promote 1 year,1,,0.0
