,name,count,pos,norm
155,co workers,6,,1.0000000000000002
108,flexible schedule,4,,0.6000000000000001
239,free food,3,,0.4000000000000001
51,discount food,3,,0.4000000000000001
28,good people,3,,0.4000000000000001
81,work environment,3,,0.4000000000000001
0,benefits good,2,,0.2
59,people great,2,,0.2
34,hard work,2,,0.2
313,food employees,2,,0.2
320,workers good,2,,0.2
321,good food,2,,0.2
50,get discount,2,,0.2
330,easy request,2,,0.2
58,friendly people,2,,0.2
201,make lot,2,,0.2
209,flexible scheduling,2,,0.2
94,laid back,2,,0.2
195,schedule great,2,,0.2
117,pretty good,2,,0.2
173,people good,2,,0.2
394,environment good,2,,0.2
134,room growth,2,,0.2
158,flexible hours,2,,0.2
138,good benefits,2,,0.2
141,place work,2,,0.2
31,easy money,2,,0.2
347,time work,2,,0.2
523,lot good,2,,0.2
292,great place,2,,0.2
308,11 pm,1,,0.0
384,lived companies,1,,0.0
383,franchises lived,1,,0.0
382,guest franchises,1,,0.0
381,nice guest,1,,0.0
380,money nice,1,,0.0
379,hours money,1,,0.0
378,managers hours,1,,0.0
377,coworks managers,1,,0.0
376,slow coworks,1,,0.0
375,back slow,1,,0.0
374,relaxed laid,1,,0.0
373,environment relaxed,1,,0.0
372,often time,1,,0.0
371,fun often,1,,0.0
370,work fun,1,,0.0
369,going work,1,,0.0
368,makes going,1,,0.0
367,employees makes,1,,0.0
366,comradery employees,1,,0.0
365,great comradery,1,,0.0
293,place meet,1,,0.0
364,shifts great,1,,0.0
294,meet new,1,,0.0
363,trading shifts,1,,0.0
362,flexible trading,1,,0.0
361,nice flexible,1,,0.0
291,right people,1,,0.0
385,companies values,1,,0.0
295,new people,1,,0.0
288,another job,1,,0.0
406,guaranteed hours,1,,0.0
405,employees guaranteed,1,,0.0
404,hourly employees,1,,0.0
403,positions hourly,1,,0.0
402,good positions,1,,0.0
284,still able,1,,0.0
285,able life,1,,0.0
401,pay good,1,,0.0
286,life even,1,,0.0
400,good pay,1,,0.0
287,even another,1,,0.0
399,cleaners good,1,,0.0
398,table cleaners,1,,0.0
290,fun right,1,,0.0
397,cooks table,1,,0.0
396,nice cooks,1,,0.0
395,food nice,1,,0.0
289,job fun,1,,0.0
393,upbeat environment,1,,0.0
392,scheduling upbeat,1,,0.0
391,food flexible,1,,0.0
390,teammembers free,1,,0.0
389,great teammembers,1,,0.0
388,work great,1,,0.0
387,would great,1,,0.0
386,values would,1,,0.0
360,always nice,1,,0.0
359,tips always,1,,0.0
309,pm flexible,1,,0.0
303,friendly restaurant,1,,0.0
