,name,count,pos,norm
74,work,18,NOUN,0.5862068965517242
4,people,16,NOUN,0.5172413793103449
2,food,15,NOUN,0.4827586206896552
13,money,13,NOUN,0.41379310344827586
84,team,8,NOUN,0.24137931034482757
133,pay,8,NOUN,0.24137931034482757
56,workers,7,NOUN,0.2068965517241379
44,time,7,NOUN,0.2068965517241379
58,tips,7,NOUN,0.2068965517241379
194,management,7,NOUN,0.2068965517241379
19,employees,7,NOUN,0.2068965517241379
61,lot,7,NOUN,0.2068965517241379
112,training,7,NOUN,0.2068965517241379
71,make,7,NOUN,0.2068965517241379
30,benefits,7,NOUN,0.2068965517241379
90,company,7,NOUN,0.2068965517241379
100,decent,6,NOUN,0.1724137931034483
33,environment,6,NOUN,0.1724137931034483
49,schedule,6,NOUN,0.1724137931034483
17,managers,6,NOUN,0.1724137931034483
53,co,6,NOUN,0.1724137931034483
97,coworkers,5,NOUN,0.13793103448275862
152,scheduling,5,NOUN,0.13793103448275862
232,opportunities,5,NOUN,0.13793103448275862
276,staff,5,NOUN,0.13793103448275862
119,experience,5,NOUN,0.13793103448275862
42,shifts,5,NOUN,0.13793103448275862
35,location,4,NOUN,0.10344827586206896
166,part,4,NOUN,0.10344827586206896
231,hours,4,NOUN,0.10344827586206896
9,shift,4,NOUN,0.10344827586206896
69,day,4,NOUN,0.10344827586206896
36,servers,4,NOUN,0.10344827586206896
83,restaurant,4,NOUN,0.10344827586206896
127,job,4,NOUN,0.10344827586206896
86,fun,4,NOUN,0.10344827586206896
103,turnover,3,NOUN,0.06896551724137931
102,table,3,NOUN,0.06896551724137931
21,place,3,NOUN,0.06896551724137931
269,advancement,3,NOUN,0.06896551724137931
91,family,3,NOUN,0.06896551724137931
180,week,3,NOUN,0.06896551724137931
88,employee,3,NOUN,0.06896551724137931
131,lots,3,NOUN,0.06896551724137931
38,schedules,3,NOUN,0.06896551724137931
7,meal,3,NOUN,0.06896551724137931
63,service,3,NOUN,0.06896551724137931
352,kitchen,3,NOUN,0.06896551724137931
18,customers,3,NOUN,0.06896551724137931
250,store,2,NOUN,0.034482758620689655
256,friends,2,NOUN,0.034482758620689655
253,train,2,NOUN,0.034482758620689655
251,positions,2,NOUN,0.034482758620689655
304,discount,2,NOUN,0.034482758620689655
230,standards,2,NOUN,0.034482758620689655
159,robin,2,NOUN,0.034482758620689655
201,menu,2,NOUN,0.034482758620689655
16,communication,2,NOUN,0.034482758620689655
196,times,2,NOUN,0.034482758620689655
130,culture,2,NOUN,0.034482758620689655
162,technology,2,NOUN,0.034482758620689655
124,college,2,NOUN,0.034482758620689655
96,plenty,2,NOUN,0.034482758620689655
57,cash,2,NOUN,0.034482758620689655
41,trade,2,NOUN,0.034482758620689655
370,hands,2,NOUN,0.034482758620689655
210,school,2,NOUN,0.034482758620689655
89,meals,2,NOUN,0.034482758620689655
208,everyone,2,NOUN,0.034482758620689655
325,structure,2,NOUN,0.034482758620689655
322,systems,2,NOUN,0.034482758620689655
293,restaurants,2,NOUN,0.034482758620689655
389,days,2,NOUN,0.034482758620689655
263,server,2,NOUN,0.034482758620689655
297,friendships,2,NOUN,0.034482758620689655
116,mind,2,NOUN,0.034482758620689655
108,opportunity,2,NOUN,0.034482758620689655
315,drinks,1,NOUN,0.0
298,atmosphere,1,NOUN,0.0
314,foods,1,NOUN,0.0
312,sell,1,NOUN,0.0
301,hoh,1,NOUN,0.0
299,butt,1,NOUN,0.0
292,career,1,NOUN,0.0
290,game,1,NOUN,0.0
287,moment,1,NOUN,0.0
284,pace,1,NOUN,0.0
321,advantage,1,NOUN,0.0
374,impact,1,NOUN,0.0
324,support,1,NOUN,0.0
392,compensation,1,NOUN,0.0
369,wash,1,NOUN,0.0
368,policy,1,NOUN,0.0
383,vacation,1,NOUN,0.0
367,procedures,1,NOUN,0.0
385,health,1,NOUN,0.0
386,insurance,1,NOUN,0.0
361,reasons,1,NOUN,0.0
359,point,1,NOUN,0.0
358,members,1,NOUN,0.0
282,life,1,NOUN,0.0
350,bonusing,1,NOUN,0.0
326,incentives,1,NOUN,0.0
349,way,1,NOUN,0.0
347,kids,1,NOUN,0.0
342,sanitation,1,NOUN,0.0
377,individuals,1,NOUN,0.0
341,safety,1,NOUN,0.0
339,teaching,1,NOUN,0.0
337,booty,1,NOUN,0.0
336,kiss,1,NOUN,0.0
332,camaraderie,1,NOUN,0.0
330,influences,1,NOUN,0.0
283,balance,1,NOUN,0.0
199,role,1,NOUN,0.0
280,skills,1,NOUN,0.0
167,mood,1,NOUN,0.0
155,salaries,1,NOUN,0.0
150,uniform,1,NOUN,0.0
149,side,1,NOUN,0.0
148,teamwork,1,NOUN,0.0
122,jobs,1,NOUN,0.0
115,availability,1,NOUN,0.0
114,keeping,1,NOUN,0.0
101,volume,1,NOUN,0.0
93,line,1,NOUN,0.0
79,guests,1,NOUN,0.0
64,techniques,1,NOUN,0.0
62,freedom,1,NOUN,0.0
48,vibes,1,NOUN,0.0
47,wages,1,NOUN,0.0
31,industry,1,NOUN,0.0
28,items,1,NOUN,0.0
26,zios,1,NOUN,0.0
24,program,1,NOUN,0.0
23,rewards,1,NOUN,0.0
164,regulars,1,NOUN,0.0
170,escape,1,NOUN,0.0
275,path,1,NOUN,0.0
171,worries,1,NOUN,0.0
273,interest,1,NOUN,0.0
268,course,1,NOUN,0.0
267,certification,1,NOUN,0.0
265,trainers,1,NOUN,0.0
261,success,1,NOUN,0.0
258,system,1,NOUN,0.0
248,promotes,1,NOUN,0.0
247,field,1,NOUN,0.0
244,obtain,1,NOUN,0.0
241,resume,1,NOUN,0.0
237,discounts,1,NOUN,0.0
229,cleanliness,1,NOUN,0.0
224,hosts,1,NOUN,0.0
217,places,1,NOUN,0.0
211,student,1,NOUN,0.0
206,dining,1,NOUN,0.0
205,customer,1,NOUN,0.0
203,uniforms,1,NOUN,0.0
174,world,1,NOUN,0.0
395,class,1,NOUN,0.0
