,name,count,pos,norm
78,great people,3,,1.0
81,busy easy,2,,0.5
77,work great,2,,0.5
60,great pay,2,,0.5
95,great money,2,,0.5
141,atmosphere great,2,,0.5
86,food friendly,1,,0.0
110,fit team,1,,0.0
104,annual increases,1,,0.0
105,increases managers,1,,0.0
106,managers tried,1,,0.0
107,tried hire,1,,0.0
108,hire people,1,,0.0
109,people fit,1,,0.0
111,team well,1,,0.0
102,people great,1,,0.0
112,well super,1,,0.0
113,super friendly,1,,0.0
114,friendly helpful,1,,0.0
115,helpful busy,1,,0.0
116,easy straightforward,1,,0.0
117,straightforward job,1,,0.0
103,pay annual,1,,0.0
84,money decent,1,,0.0
87,friendly team,1,,0.0
94,hard great,1,,0.0
88,team good,1,,0.0
89,good hours,1,,0.0
90,hours duties,1,,0.0
91,duties reasonable,1,,0.0
92,reasonable never,1,,0.0
93,never hard,1,,0.0
85,decent food,1,,0.0
101,awesome people,1,,0.0
96,money great,1,,0.0
97,people experience,1,,0.0
98,experience wonderful,1,,0.0
99,wonderful met,1,,0.0
119,good upfront,1,,0.0
100,met awesome,1,,0.0
118,job good,1,,0.0
0,great training,1,,0.0
83,make money,1,,0.0
121,training fast,1,,0.0
143,job college,1,,0.0
144,college looking,1,,0.0
145,looking quick,1,,0.0
146,quick easy,1,,0.0
147,easy money,1,,0.0
148,money extremely,1,,0.0
149,extremely flexible,1,,0.0
150,flexible easy,1,,0.0
151,easy pick,1,,0.0
152,pick give,1,,0.0
153,give away,1,,0.0
154,away shifts,1,,0.0
155,shifts good,1,,0.0
156,good money,1,,0.0
157,money close,1,,0.0
158,close family,1,,0.0
159,family atmosphere,1,,0.0
142,great job,1,,0.0
140,engaging atmosphere,1,,0.0
139,fun engaging,1,,0.0
129,hours fun,1,,0.0
122,fast past,1,,0.0
123,past money,1,,0.0
124,money flexible,1,,0.0
125,flexible great,1,,0.0
126,great culture,1,,0.0
127,culture flexible,1,,0.0
128,flexible hours,1,,0.0
130,fun coworkers,1,,0.0
138,get fun,1,,0.0
131,coworkers decent,1,,0.0
132,decent pay,1,,0.0
133,pay benefits,1,,0.0
134,benefits growth,1,,0.0
135,growth opportunities,1,,0.0
136,opportunities driven,1,,0.0
137,driven get,1,,0.0
120,upfront training,1,,0.0
80,usually busy,1,,0.0
82,easy make,1,,0.0
29,hourly wages,1,,0.0
22,great network,1,,0.0
23,network resources,1,,0.0
24,resources fair,1,,0.0
25,fair wages,1,,0.0
26,wages work,1,,0.0
27,work tips,1,,0.0
28,tips hourly,1,,0.0
30,wages going,1,,0.0
20,food drinks,1,,0.0
31,going main,1,,0.0
32,main source,1,,0.0
33,source income,1,,0.0
34,income good,1,,0.0
35,good tips,1,,0.0
36,tips flexible,1,,0.0
37,flexible schedule,1,,0.0
21,drinks great,1,,0.0
19,good food,1,,0.0
1,training program,1,,0.0
9,pay decent,1,,0.0
2,program fun,1,,0.0
3,fun environment,1,,0.0
4,environment atmosphere,1,,0.0
5,atmosphere fun,1,,0.0
6,fun people,1,,0.0
7,people nice,1,,0.0
8,nice pay,1,,0.0
10,decent many,1,,0.0
18,pay good,1,,0.0
11,many pros,1,,0.0
12,pros list,1,,0.0
13,list starters,1,,0.0
14,starters flexible,1,,0.0
15,flexible schedules,1,,0.0
16,schedules competitive,1,,0.0
17,competitive pay,1,,0.0
38,schedule especially,1,,0.0
39,especially college,1,,0.0
40,college students,1,,0.0
69,team like,1,,0.0
62,food great,1,,0.0
63,great like,1,,0.0
64,like good,1,,0.0
65,good benefits,1,,0.0
66,benefits understanding,1,,0.0
67,understanding management,1,,0.0
68,management team,1,,0.0
70,like family,1,,0.0
41,students potential,1,,0.0
71,family times,1,,0.0
72,times need,1,,0.0
73,need flexible,1,,0.0
74,flexible scheduling,1,,0.0
75,scheduling get,1,,0.0
76,get work,1,,0.0
79,people usually,1,,0.0
61,pay food,1,,0.0
59,enviroment great,1,,0.0
58,friendly enviroment,1,,0.0
57,busy friendly,1,,0.0
42,potential make,1,,0.0
43,make lot,1,,0.0
44,lot money,1,,0.0
45,money good,1,,0.0
46,good people,1,,0.0
47,people fun,1,,0.0
48,fun upbeat,1,,0.0
49,upbeat environment,1,,0.0
50,environment never,1,,0.0
51,never dull,1,,0.0
52,dull moment,1,,0.0
53,moment love,1,,0.0
54,love job,1,,0.0
55,job stay,1,,0.0
56,stay busy,1,,0.0
160,people work,1,,0.0
