,name,count,pos,norm
15,people,16,NOUN,1.0
24,food,12,NOUN,0.7333333333333334
13,hours,11,NOUN,0.6666666666666666
10,work,10,NOUN,0.6
5,fun,8,NOUN,0.4666666666666667
93,guests,7,NOUN,0.4
152,restaurant,6,NOUN,0.33333333333333337
31,make,6,NOUN,0.33333333333333337
17,time,6,NOUN,0.33333333333333337
126,environment,6,NOUN,0.33333333333333337
44,coworkers,5,NOUN,0.26666666666666666
38,team,5,NOUN,0.26666666666666666
73,tips,5,NOUN,0.26666666666666666
28,managers,4,NOUN,0.2
67,staff,4,NOUN,0.2
27,atmosphere,4,NOUN,0.2
43,money,4,NOUN,0.2
20,training,4,NOUN,0.2
215,experience,4,NOUN,0.2
124,pay,4,NOUN,0.2
105,customers,4,NOUN,0.2
64,discount,4,NOUN,0.2
2,job,4,NOUN,0.2
3,employees,3,NOUN,0.13333333333333336
170,brand,3,NOUN,0.13333333333333336
140,schedule,3,NOUN,0.13333333333333336
256,uniform,3,NOUN,0.13333333333333336
208,side,3,NOUN,0.13333333333333336
81,shift,3,NOUN,0.13333333333333336
94,place,3,NOUN,0.13333333333333336
68,recognition,2,NOUN,0.06666666666666667
96,workers,2,NOUN,0.06666666666666667
185,bar,2,NOUN,0.06666666666666667
146,knowledge,2,NOUN,0.06666666666666667
40,meet,2,NOUN,0.06666666666666667
133,meal,2,NOUN,0.06666666666666667
249,prizes,2,NOUN,0.06666666666666667
56,help,2,NOUN,0.06666666666666667
112,night,2,NOUN,0.06666666666666667
59,everyone,2,NOUN,0.06666666666666667
277,kitchen,2,NOUN,0.06666666666666667
48,school,2,NOUN,0.06666666666666667
66,locations,2,NOUN,0.06666666666666667
72,cash,2,NOUN,0.06666666666666667
71,branches,2,NOUN,0.06666666666666667
84,lot,2,NOUN,0.06666666666666667
217,basics,1,NOUN,0.0
238,tables,1,NOUN,0.0
313,scratch,1,NOUN,0.0
314,cards,1,NOUN,0.0
232,benefits,1,NOUN,0.0
229,bucks,1,NOUN,0.0
227,weekend,1,NOUN,0.0
225,chain,1,NOUN,0.0
222,things,1,NOUN,0.0
291,meals,1,NOUN,0.0
318,history,1,NOUN,0.0
243,someone,1,NOUN,0.0
321,rules,1,NOUN,0.0
203,pace,1,NOUN,0.0
201,friends,1,NOUN,0.0
200,life,1,NOUN,0.0
199,income,1,NOUN,0.0
195,attitudes,1,NOUN,0.0
193,member,1,NOUN,0.0
192,part,1,NOUN,0.0
319,culture,1,NOUN,0.0
244,operations,1,NOUN,0.0
283,guy,1,NOUN,0.0
265,role,1,NOUN,0.0
311,badges,1,NOUN,0.0
190,volume,1,NOUN,0.0
295,holiday,1,NOUN,0.0
282,manager,1,NOUN,0.0
273,composure,1,NOUN,0.0
308,months,1,NOUN,0.0
269,teaches,1,NOUN,0.0
297,hour,1,NOUN,0.0
268,way,1,NOUN,0.0
259,couple,1,NOUN,0.0
245,director,1,NOUN,0.0
300,percentage,1,NOUN,0.0
254,discounts,1,NOUN,0.0
252,amount,1,NOUN,0.0
312,version,1,NOUN,0.0
306,company,1,NOUN,0.0
251,bartender,1,NOUN,0.0
301,waiters,1,NOUN,0.0
304,age,1,NOUN,0.0
247,contests,1,NOUN,0.0
191,location,1,NOUN,0.0
149,skills,1,NOUN,0.0
187,flair,1,NOUN,0.0
77,leave,1,NOUN,0.0
115,profits,1,NOUN,0.0
113,venue,1,NOUN,0.0
108,menu,1,NOUN,0.0
100,department,1,NOUN,0.0
99,resources,1,NOUN,0.0
97,drinks,1,NOUN,0.0
90,responsibility,1,NOUN,0.0
87,section,1,NOUN,0.0
85,independance,1,NOUN,0.0
79,saturday,1,NOUN,0.0
75,center,1,NOUN,0.0
186,encourage,1,NOUN,0.0
74,city,1,NOUN,0.0
69,systems,1,NOUN,0.0
61,laugh,1,NOUN,0.0
60,floor,1,NOUN,0.0
50,request,1,NOUN,0.0
37,abilities,1,NOUN,0.0
29,mood,1,NOUN,0.0
25,teamwork,1,NOUN,0.0
18,thanks,1,NOUN,0.0
9,worker,1,NOUN,0.0
117,bonus,1,NOUN,0.0
119,shifts,1,NOUN,0.0
120,reconigntion,1,NOUN,0.0
121,management,1,NOUN,0.0
184,mixology,1,NOUN,0.0
183,focus,1,NOUN,0.0
181,turnover,1,NOUN,0.0
179,sales,1,NOUN,0.0
178,table,1,NOUN,0.0
176,flow,1,NOUN,0.0
174,reason,1,NOUN,0.0
171,stores,1,NOUN,0.0
166,choices,1,NOUN,0.0
165,beer,1,NOUN,0.0
163,freedom,1,NOUN,0.0
162,regulars,1,NOUN,0.0
158,learning,1,NOUN,0.0
155,ground,1,NOUN,0.0
147,base,1,NOUN,0.0
139,manage,1,NOUN,0.0
137,lots,1,NOUN,0.0
135,service,1,NOUN,0.0
134,customer,1,NOUN,0.0
132,salary,1,NOUN,0.0
131,end,1,NOUN,0.0
322,times,1,NOUN,0.0
