,name,count,pos,norm
13,great people work,3,,1.0
152,great co workers,2,,0.5
153,co workers flexible,2,,0.5
44,meet new people,2,,0.5
606,busy work environment,2,,0.5
411,great atmosphere great,2,,0.5
539,fun place work,2,,0.5
0,good first job,1,,0.0
785,place young people,1,,0.0
784,good place young,1,,0.0
783,together good place,1,,0.0
782,pressure together good,1,,0.0
781,feel pressure together,1,,0.0
779,everyone works feel,1,,0.0
780,works feel pressure,1,,0.0
787,people tips co,1,,0.0
778,cause everyone works,1,,0.0
777,guess cause everyone,1,,0.0
776,amazing guess cause,1,,0.0
775,work amazing guess,1,,0.0
774,people work amazing,1,,0.0
786,young people tips,1,,0.0
790,workers always chill,1,,0.0
788,tips co workers,1,,0.0
789,co workers always,1,,0.0
804,make pretty good,1,,0.0
803,well make pretty,1,,0.0
802,goes well make,1,,0.0
801,night goes well,1,,0.0
800,nightmare night goes,1,,0.0
799,regulars nightmare night,1,,0.0
798,nice regulars nightmare,1,,0.0
797,tourist nice regulars,1,,0.0
796,mostly tourist nice,1,,0.0
795,customers mostly tourist,1,,0.0
794,predictable customers mostly,1,,0.0
793,management predictable customers,1,,0.0
792,chill management predictable,1,,0.0
791,always chill management,1,,0.0
772,good thing people,1,,0.0
773,thing people work,1,,0.0
769,could also seen,1,,0.0
771,seen good thing,1,,0.0
745,make money right,1,,0.0
751,restaurant better place,1,,0.0
750,make restaurant better,1,,0.0
749,also make restaurant,1,,0.0
748,way also make,1,,0.0
747,right way also,1,,0.0
746,money right way,1,,0.0
744,streets make money,1,,0.0
753,place half price,1,,0.0
743,keep streets make,1,,0.0
742,want keep streets,1,,0.0
741,work want keep,1,,0.0
740,forward work want,1,,0.0
739,looking forward work,1,,0.0
738,season looking forward,1,,0.0
752,better place half,1,,0.0
754,half price appetizers,1,,0.0
770,also seen good,1,,0.0
763,get sent home,1,,0.0
806,good tips coworkers,1,,0.0
768,busy could also,1,,0.0
767,days busy could,1,,0.0
766,summer days busy,1,,0.0
765,home summer days,1,,0.0
764,sent home summer,1,,0.0
762,around get sent,1,,0.0
755,price appetizers nice,1,,0.0
761,worked around get,1,,0.0
760,could worked around,1,,0.0
759,needed could worked,1,,0.0
758,days needed could,1,,0.0
757,nice days needed,1,,0.0
756,appetizers nice days,1,,0.0
805,pretty good tips,1,,0.0
808,coworkers friendly mostly,1,,0.0
807,tips coworkers friendly,1,,0.0
736,around football season,1,,0.0
859,vacation pretty much,1,,0.0
858,good vacation pretty,1,,0.0
857,time good vacation,1,,0.0
856,workers time good,1,,0.0
855,co workers time,1,,0.0
854,good co workers,1,,0.0
853,food good co,1,,0.0
852,discounted food good,1,,0.0
851,environment discounted food,1,,0.0
850,work environment discounted,1,,0.0
849,pay busy work,1,,0.0
848,okay pay busy,1,,0.0
847,sometimes okay pay,1,,0.0
846,people sometimes okay,1,,0.0
845,great people sometimes,1,,0.0
860,pretty much coworkers,1,,0.0
861,much coworkers friendly,1,,0.0
862,coworkers friendly hand,1,,0.0
871,morning shifts friendly,1,,0.0
877,make good money,1,,0.0
876,management make good,1,,0.0
875,friendly management make,1,,0.0
874,staff friendly management,1,,0.0
873,friendly staff friendly,1,,0.0
872,shifts friendly staff,1,,0.0
870,working morning shifts,1,,0.0
863,friendly hand cash,1,,0.0
869,enjoy working morning,1,,0.0
868,food enjoy working,1,,0.0
867,good food enjoy,1,,0.0
866,really good food,1,,0.0
865,cash really good,1,,0.0
864,hand cash really,1,,0.0
844,server great people,1,,0.0
843,successful server great,1,,0.0
842,strive successful server,1,,0.0
816,minimum soo yeah,1,,0.0
822,staff fun environment,1,,0.0
821,amazing staff fun,1,,0.0
820,hour amazing staff,1,,0.0
819,great hour amazing,1,,0.0
818,yeah great hour,1,,0.0
817,soo yeah great,1,,0.0
815,words minimum soo,1,,0.0
824,environment fun interacting,1,,0.0
814,20 words minimum,1,,0.0
813,write 20 words,1,,0.0
812,pros write 20,1,,0.0
811,really pros write,1,,0.0
810,mostly really pros,1,,0.0
809,friendly mostly really,1,,0.0
823,fun environment fun,1,,0.0
825,fun interacting job,1,,0.0
841,sure strive successful,1,,0.0
834,range makes easy,1,,0.0
840,making sure strive,1,,0.0
839,helpful making sure,1,,0.0
838,influential helpful making,1,,0.0
837,work influential helpful,1,,0.0
836,easy work influential,1,,0.0
835,makes easy work,1,,0.0
833,age range makes,1,,0.0
826,interacting job enthusiastic,1,,0.0
832,amongst age range,1,,0.0
831,almost amongst age,1,,0.0
830,workers almost amongst,1,,0.0
829,co workers almost,1,,0.0
828,enthusiastic co workers,1,,0.0
827,job enthusiastic co,1,,0.0
737,football season looking,1,,0.0
734,made especially around,1,,0.0
735,especially around football,1,,0.0
662,restaurants interview easy,1,,0.0
642,good structure company,1,,0.0
641,company good structure,1,,0.0
640,within company good,1,,0.0
639,progression within company,1,,0.0
638,good progression within,1,,0.0
637,pretty good progression,1,,0.0
636,wage pretty good,1,,0.0
635,double wage pretty,1,,0.0
634,tips double wage,1,,0.0
633,good tips double,1,,0.0
632,managers good tips,1,,0.0
631,team managers good,1,,0.0
630,like team managers,1,,0.0
629,family like team,1,,0.0
628,business family like,1,,0.0
643,structure company fun,1,,0.0
644,company fun amp,1,,0.0
645,fun amp friendly,1,,0.0
654,server need prior,1,,0.0
660,like many restaurants,1,,0.0
659,working like many,1,,0.0
658,start working like,1,,0.0
657,experience start working,1,,0.0
656,prior experience start,1,,0.0
655,need prior experience,1,,0.0
653,became server need,1,,0.0
646,amp friendly environment,1,,0.0
652,host became server,1,,0.0
651,started host became,1,,0.0
650,thing started host,1,,0.0
649,best thing started,1,,0.0
648,environment best thing,1,,0.0
647,friendly environment best,1,,0.0
627,say business family,1,,0.0
626,nice say business,1,,0.0
625,else nice say,1,,0.0
598,skills great bar,1,,0.0
604,friendly atmosphere busy,1,,0.0
603,work friendly atmosphere,1,,0.0
602,nice work friendly,1,,0.0
601,training nice work,1,,0.0
600,bar training nice,1,,0.0
599,great bar training,1,,0.0
597,communication skills great,1,,0.0
607,work environment made,1,,0.0
596,improves communication skills,1,,0.0
595,cash improves communication,1,,0.0
594,quick cash improves,1,,0.0
593,tips quick cash,1,,0.0
592,people tips quick,1,,0.0
591,nice people tips,1,,0.0
605,atmosphere busy work,1,,0.0
608,environment made time,1,,0.0
624,nothing else nice,1,,0.0
617,discounted meals employees,1,,0.0
623,great nothing else,1,,0.0
622,use great nothing,1,,0.0
621,benefits use great,1,,0.0
620,decent benefits use,1,,0.0
619,employees decent benefits,1,,0.0
618,meals employees decent,1,,0.0
616,needed discounted meals,1,,0.0
609,made time pass,1,,0.0
615,overtime needed discounted,1,,0.0
614,access overtime needed,1,,0.0
613,always access overtime,1,,0.0
612,quickly always access,1,,0.0
611,pass quickly always,1,,0.0
610,time pass quickly,1,,0.0
661,many restaurants interview,1,,0.0
663,interview easy hire,1,,0.0
879,money tips easy,1,,0.0
664,easy hire need,1,,0.0
715,flexible good management,1,,0.0
714,night flexible good,1,,0.0
713,entire night flexible,1,,0.0
712,spending entire night,1,,0.0
711,mind spending entire,1,,0.0
710,hours mind spending,1,,0.0
709,great hours mind,1,,0.0
708,day great hours,1,,0.0
707,work day great,1,,0.0
706,available work day,1,,0.0
705,especially available work,1,,0.0
704,scheduling especially available,1,,0.0
703,flexible scheduling especially,1,,0.0
702,shifts flexible scheduling,1,,0.0
701,time shifts flexible,1,,0.0
716,good management good,1,,0.0
717,management good training,1,,0.0
718,good training friendly,1,,0.0
727,mst time free,1,,0.0
733,money made especially,1,,0.0
732,nice money made,1,,0.0
731,understanding nice money,1,,0.0
730,managers understanding nice,1,,0.0
729,free managers understanding,1,,0.0
