,name,count,pos,norm
205,fun place work,10,,1.0
206,place work fun,6,,0.5555555555555556
1069,great place work,6,,0.5555555555555556
803,make good money,5,,0.4444444444444445
128,great training great,4,,0.3333333333333333
126,friendly environment great,3,,0.2222222222222222
254,meet new people,3,,0.2222222222222222
693,fun environment good,3,,0.2222222222222222
169,great company work,3,,0.2222222222222222
1664,great work environment,3,,0.2222222222222222
79,great company great,3,,0.2222222222222222
170,company work great,3,,0.2222222222222222
2275,fun work environment,3,,0.2222222222222222
102,great management great,3,,0.2222222222222222
2729,good food good,3,,0.2222222222222222
2011,environment pretty good,2,,0.1111111111111111
311,good coworkers customers,2,,0.1111111111111111
54,environment co workers,2,,0.1111111111111111
55,co workers great,2,,0.1111111111111111
57,great fun environment,2,,0.1111111111111111
58,fun environment guests,2,,0.1111111111111111
179,high school college,2,,0.1111111111111111
195,50 discount food,2,,0.1111111111111111
2866,tgi friday fun,2,,0.1111111111111111
355,become like family,2,,0.1111111111111111
1698,flexible schedule great,2,,0.1111111111111111
118,great people great,2,,0.1111111111111111
1189,money people generally,2,,0.1111111111111111
1327,tgi fridays great,2,,0.1111111111111111
82,great fast money,2,,0.1111111111111111
2081,work fun place,2,,0.1111111111111111
94,good place learn,2,,0.1111111111111111
91,awesome managers good,2,,0.1111111111111111
2453,flexible work hours,2,,0.1111111111111111
337,good salary fun,2,,0.1111111111111111
104,great money flexible,2,,0.1111111111111111
2539,place work great,2,,0.1111111111111111
681,atmosphere staff friendly,2,,0.1111111111111111
895,discount decent pay,2,,0.1111111111111111
2076,environment fun atmosphere,2,,0.1111111111111111
1596,everyone willing help,2,,0.1111111111111111
2075,work environment fun,2,,0.1111111111111111
1254,people worked great,2,,0.1111111111111111
679,people great atmosphere,2,,0.1111111111111111
905,good atmosphere good,2,,0.1111111111111111
2457,work around schedule,2,,0.1111111111111111
127,environment great training,2,,0.1111111111111111
1187,make lot money,2,,0.1111111111111111
1107,great people work,2,,0.1111111111111111
2828,part time job,2,,0.1111111111111111
1440,fun atmosphere location,2,,0.1111111111111111
3395,food good employees,2,,0.1111111111111111
1665,work environment great,2,,0.1111111111111111
1666,environment great team,2,,0.1111111111111111
1387,great money great,2,,0.1111111111111111
2262,easy pick give,2,,0.1111111111111111
1192,great great job,2,,0.1111111111111111
1191,generally great great,2,,0.1111111111111111
1190,people generally great,2,,0.1111111111111111
1188,lot money people,2,,0.1111111111111111
3394,employees good food,2,,0.1111111111111111
3039,work team members,2,,0.1111111111111111
1086,environment free food,2,,0.1111111111111111
3038,place work team,2,,0.1111111111111111
2568,working tgi fridays,2,,0.1111111111111111
1085,work environment free,2,,0.1111111111111111
2784,looking part time,2,,0.1111111111111111
2530,good money great,1,,0.0
2529,paced make good,1,,0.0
2502,one another food,1,,0.0
2501,care one another,1,,0.0
2508,managers best able,1,,0.0
2503,another food good,1,,0.0
2504,food good spot,1,,0.0
2505,good spot work,1,,0.0
2506,spot work managers,1,,0.0
2528,fast paced make,1,,0.0
2518,fun lively atmosphere,1,,0.0
2527,management fast paced,1,,0.0
2516,tips great fun,1,,0.0
2507,work managers best,1,,0.0
2511,pick drop shifts,1,,0.0
2509,best able pick,1,,0.0
2510,able pick drop,1,,0.0
2519,lively atmosphere flexible,1,,0.0
2515,want tips great,1,,0.0
2514,anytime want tips,1,,0.0
2513,shifts anytime want,1,,0.0
2526,supported management fast,1,,0.0
2525,fully supported management,1,,0.0
2524,server fully supported,1,,0.0
2523,hours server fully,1,,0.0
2520,atmosphere flexible shifts,1,,0.0
2522,shifts hours server,1,,0.0
2512,drop shifts anytime,1,,0.0
2521,flexible shifts hours,1,,0.0
2517,great fun lively,1,,0.0
2540,work great fun,1,,0.0
2531,money great employer,1,,0.0
2532,great employer stellar,1,,0.0
2562,server nice management,1,,0.0
2563,nice management young,1,,0.0
2564,management young fun,1,,0.0
2565,young fun loved,1,,0.0
2566,fun loved working,1,,0.0
2567,loved working tgi,1,,0.0
2569,tgi fridays menu,1,,0.0
2570,fridays menu atmosphere,1,,0.0
2571,menu atmosphere lend,1,,0.0
2572,atmosphere lend great,1,,0.0
2573,lend great work,1,,0.0
2574,work environment people,1,,0.0
2575,environment people least,1,,0.0
2576,people least location,1,,0.0
2577,least location worked,1,,0.0
2578,location worked always,1,,0.0
2579,worked always high,1,,0.0
2580,always high spirited,1,,0.0
2581,high spirited driven,1,,0.0
2582,spirited driven individuals,1,,0.0
2583,driven individuals worked,1,,0.0
2584,individuals worked hard,1,,0.0
2585,worked hard workday,1,,0.0
2586,hard workday flowed,1,,0.0
2587,workday flowed well,1,,0.0
2561,cash server nice,1,,0.0
2560,instant cash server,1,,0.0
2559,hours instant cash,1,,0.0
2545,loved co workers,1,,0.0
2533,employer stellar culture,1,,0.0
2534,stellar culture quality,1,,0.0
2535,culture quality life,1,,0.0
2536,quality life friday,1,,0.0
2537,life friday great,1,,0.0
2538,friday great place,1,,0.0
2499,atmosphere workers care,1,,0.0
2541,great fun easy,1,,0.0
2542,fun easy menu,1,,0.0
2543,easy menu loved,1,,0.0
2544,menu loved co,1,,0.0
2546,co workers always,1,,0.0
2558,flexible hours instant,1,,0.0
2547,workers always busy,1,,0.0
2548,always busy good,1,,0.0
2549,busy good check,1,,0.0
2550,good check averages,1,,0.0
2551,check averages organized,1,,0.0
2552,averages organized good,1,,0.0
2553,organized good training,1,,0.0
2554,good training fair,1,,0.0
2555,training fair pay,1,,0.0
2556,fair pay flexible,1,,0.0
2557,pay flexible hours,1,,0.0
2500,workers care one,1,,0.0
2485,awesome coworkers great,1,,0.0
2498,amazing atmosphere workers,1,,0.0
2497,fridays amazing atmosphere,1,,0.0
2408,restaurant even short,1,,0.0
2409,even short time,1,,0.0
2410,short time newfound,1,,0.0
2411,time newfound respect,1,,0.0
2412,newfound respect fellow,1,,0.0
2413,respect fellow humans,1,,0.0
2414,fellow humans longer,1,,0.0
2415,humans longer wonder,1,,0.0
2416,longer wonder gal,1,,0.0
2417,wonder gal drive,1,,0.0
2418,gal drive manage,1,,0.0
2419,drive manage understand,1,,0.0
2420,manage understand cheese,1,,0.0
2421,understand cheese impatient,1,,0.0
2422,cheese impatient new,1,,0.0
2423,impatient new cashier,1,,0.0
2424,new cashier know,1,,0.0
2425,cashier know cash,1,,0.0
2426,know cash register,1,,0.0
2427,cash register works,1,,0.0
2428,register works patient,1,,0.0
2429,works patient respectful,1,,0.0
2430,patient respectful takes,1,,0.0
2431,respectful takes learn,1,,0.0
2432,takes learn job,1,,0.0
2433,learn job everyone,1,,0.0
2434,job everyone thinks,1,,0.0
2407,working restaurant even,1,,0.0
2406,trenches working restaurant,1,,0.0
2405,except trenches working,1,,0.0
2390,workers nobody understands,1,,0.0
2378,kind wait staff,1,,0.0
2379,wait staff assume,1,,0.0
2380,staff assume naturally,1,,0.0
2381,assume naturally good,1,,0.0
2382,naturally good people,1,,0.0
2383,good people either,1,,0.0
2384,people either currently,1,,0.0
2385,either currently previously,1,,0.0
2386,currently previously employed,1,,0.0
2387,previously employed restaurant,1,,0.0
2388,employed restaurant workers,1,,0.0
2389,restaurant workers nobody,1,,0.0
2391,nobody understands forgetting,1,,0.0
2404,napkins except trenches,1,,0.0
2392,understands forgetting iced,1,,0.0
2393,forgetting iced tea,1,,0.0
2394,iced tea dropping,1,,0.0
2395,tea dropping dinner,1,,0.0
2396,dropping dinner rolls,1,,0.0
2397,dinner rolls taking,1,,0.0
2398,rolls taking 15,1,,0.0
2399,taking 15 minutes,1,,0.0
2400,15 minutes bring,1,,0.0
2401,minutes bring extra,1,,0.0
2402,bring extra napkins,1,,0.0
2403,extra napkins except,1,,0.0
2435,everyone thinks brainer,1,,0.0
2436,thinks brainer actually,1,,0.0
2437,brainer actually complicated,1,,0.0
2483,flexible schedule awesome,1,,0.0
2471,great attracts types,1,,0.0
2472,attracts types people,1,,0.0
2473,types people good,1,,0.0
2474,people good initial,1,,0.0
2475,good initial serving,1,,0.0
2476,initial serving experience,1,,0.0
2477,serving experience great,1,,0.0
2478,experience great quality,1,,0.0
