,name,count,pos,norm
10,work,20,NOUN,1.0
3,fun,13,NOUN,0.631578947368421
152,training,10,NOUN,0.47368421052631576
4,atmosphere,8,NOUN,0.3684210526315789
179,employees,7,NOUN,0.3157894736842105
34,people,6,NOUN,0.2631578947368421
39,managers,6,NOUN,0.2631578947368421
253,location,5,NOUN,0.21052631578947367
75,tgi,5,NOUN,0.21052631578947367
26,money,5,NOUN,0.21052631578947367
180,food,5,NOUN,0.21052631578947367
41,environment,5,NOUN,0.21052631578947367
44,day,5,NOUN,0.21052631578947367
93,management,4,NOUN,0.15789473684210525
320,restaurants,4,NOUN,0.15789473684210525
79,place,4,NOUN,0.15789473684210525
48,scheduling,4,NOUN,0.15789473684210525
173,schedule,4,NOUN,0.15789473684210525
52,coworkers,4,NOUN,0.15789473684210525
185,shift,4,NOUN,0.15789473684210525
177,benefits,4,NOUN,0.15789473684210525
22,program,4,NOUN,0.15789473684210525
131,job,3,NOUN,0.10526315789473684
88,discount,3,NOUN,0.10526315789473684
218,opportunity,3,NOUN,0.10526315789473684
334,fridays,3,NOUN,0.10526315789473684
77,friday,3,NOUN,0.10526315789473684
109,customers,3,NOUN,0.10526315789473684
143,hours,3,NOUN,0.10526315789473684
153,company,3,NOUN,0.10526315789473684
160,menu,3,NOUN,0.10526315789473684
121,staff,3,NOUN,0.10526315789473684
138,hand,2,NOUN,0.05263157894736842
150,part,2,NOUN,0.05263157894736842
213,salary,2,NOUN,0.05263157894736842
308,offer,2,NOUN,0.05263157894736842
134,reason,2,NOUN,0.05263157894736842
265,shifts,2,NOUN,0.05263157894736842
162,growth,2,NOUN,0.05263157894736842
137,cash,2,NOUN,0.05263157894736842
356,passport,2,NOUN,0.05263157894736842
332,g,2,NOUN,0.05263157894736842
66,leadership,2,NOUN,0.05263157894736842
350,pick,2,NOUN,0.05263157894736842
336,state,2,NOUN,0.05263157894736842
18,sales,2,NOUN,0.05263157894736842
53,room,2,NOUN,0.05263157894736842
14,lot,2,NOUN,0.05263157894736842
92,family,2,NOUN,0.05263157894736842
32,friends,2,NOUN,0.05263157894736842
30,guests,2,NOUN,0.05263157894736842
97,position,2,NOUN,0.05263157894736842
288,top,1,NOUN,0.0
276,execute,1,NOUN,0.0
289,bottom,1,NOUN,0.0
287,message,1,NOUN,0.0
285,area,1,NOUN,0.0
284,conenders,1,NOUN,0.0
282,giant,1,NOUN,0.0
277,business,1,NOUN,0.0
330,request,1,NOUN,0.0
357,system,1,NOUN,0.0
272,workers,1,NOUN,0.0
290,culture,1,NOUN,0.0
359,employee,1,NOUN,0.0
269,benefit,1,NOUN,0.0
267,insurance,1,NOUN,0.0
266,health,1,NOUN,0.0
264,meal,1,NOUN,0.0
263,price,1,NOUN,0.0
262,half,1,NOUN,0.0
361,proof,1,NOUN,0.0
248,choice,1,NOUN,0.0
270,package,1,NOUN,0.0
293,promotion,1,NOUN,0.0
291,accountability,1,NOUN,0.0
352,someone,1,NOUN,0.0
323,schedules,1,NOUN,0.0
321,amount,1,NOUN,0.0
331,transfer,1,NOUN,0.0
318,vacation,1,NOUN,0.0
240,staple,1,NOUN,0.0
335,town,1,NOUN,0.0
316,weeks,1,NOUN,0.0
312,vision,1,NOUN,0.0
339,countries,1,NOUN,0.0
344,tables,1,NOUN,0.0
346,bar,1,NOUN,0.0
307,joke,1,NOUN,0.0
305,relaxine,1,NOUN,0.0
304,tipshare,1,NOUN,0.0
303,tip,1,NOUN,0.0
348,times,1,NOUN,0.0
301,industry,1,NOUN,0.0
300,hospitality,1,NOUN,0.0
298,helpfull,1,NOUN,0.0
294,rate,1,NOUN,0.0
326,days,1,NOUN,0.0
241,restaurant,1,NOUN,0.0
193,promotions,1,NOUN,0.0
239,clientele,1,NOUN,0.0
238,energy,1,NOUN,0.0
155,brand,1,NOUN,0.0
154,image,1,NOUN,0.0
148,responsibility,1,NOUN,0.0
142,rush,1,NOUN,0.0
136,flexibility,1,NOUN,0.0
135,love,1,NOUN,0.0
125,help,1,NOUN,0.0
123,everyone,1,NOUN,0.0
111,something,1,NOUN,0.0
104,time,1,NOUN,0.0
95,pay,1,NOUN,0.0
81,members,1,NOUN,0.0
80,team,1,NOUN,0.0
72,kitchen,1,NOUN,0.0
69,characters,1,NOUN,0.0
68,types,1,NOUN,0.0
67,abilities,1,NOUN,0.0
65,situations,1,NOUN,0.0
58,skill,1,NOUN,0.0
54,advancement,1,NOUN,0.0
45,side,1,NOUN,0.0
21,trainer,1,NOUN,0.0
17,contests,1,NOUN,0.0
15,tips,1,NOUN,0.0
12,potential,1,NOUN,0.0
156,recognition,1,NOUN,0.0
158,customer,1,NOUN,0.0
159,service,1,NOUN,0.0
207,reasons,1,NOUN,0.0
237,bartender,1,NOUN,0.0
236,server,1,NOUN,0.0
235,runner,1,NOUN,0.0
232,processes,1,NOUN,0.0
229,programs,1,NOUN,0.0
226,sorts,1,NOUN,0.0
223,expectations,1,NOUN,0.0
222,standards,1,NOUN,0.0
217,structure,1,NOUN,0.0
215,challenge,1,NOUN,0.0
208,fraidays,1,NOUN,0.0
205,order,1,NOUN,0.0
161,opportunities,1,NOUN,0.0
204,equipment,1,NOUN,0.0
202,cleal,1,NOUN,0.0
195,items,1,NOUN,0.0
192,specials,1,NOUN,0.0
187,meetings,1,NOUN,0.0
184,products,1,NOUN,0.0
181,servers,1,NOUN,0.0
175,school,1,NOUN,0.0
168,ability,1,NOUN,0.0
167,workeres,1,NOUN,0.0
163,market,1,NOUN,0.0
363,sign,1,NOUN,0.0
