,name,count,pos,norm
288,long hours,2,,1.0
37,constantly changing,2,,1.0
81,hours day,2,,1.0
1,co workers,2,,1.0
378,shifts sunday,1,,0.0
251,managers management,1,,0.0
260,30 stay,1,,0.0
259,mid 30,1,,0.0
258,pay mid,1,,0.0
257,longer pay,1,,0.0
256,fools longer,1,,0.0
255,door fools,1,,0.0
254,revolving door,1,,0.0
253,staff revolving,1,,0.0
252,management staff,1,,0.0
250,salaried managers,1,,0.0
262,away unfair,1,,0.0
249,even salaried,1,,0.0
248,package even,1,,0.0
247,compensation package,1,,0.0
246,part compensation,1,,0.0
245,exists part,1,,0.0
244,longer exists,1,,0.0
243,insurance longer,1,,0.0
242,health insurance,1,,0.0
241,line health,1,,0.0
261,stay away,1,,0.0
263,unfair management,1,,0.0
377,best shifts,1,,0.0
275,worth hours,1,,0.0
284,rude co,1,,0.0
283,cliques rude,1,,0.0
282,many cliques,1,,0.0
281,shift many,1,,0.0
280,day shift,1,,0.0
279,know hours,1,,0.0
278,scheduling know,1,,0.0
277,bad scheduling,1,,0.0
276,hours bad,1,,0.0
274,money worth,1,,0.0
264,management rarely,1,,0.0
273,terrible money,1,,0.0
272,shifts terrible,1,,0.0
271,hr shifts,1,,0.0
270,13 hr,1,,0.0
269,work 13,1,,0.0
268,could work,1,,0.0
267,breaks could,1,,0.0
266,get breaks,1,,0.0
265,rarely get,1,,0.0
240,punch line,1,,0.0
239,devolved punch,1,,0.0
238,sadly devolved,1,,0.0
204,kitchen staff,1,,0.0
213,low morals,1,,0.0
212,men low,1,,0.0
211,mostly men,1,,0.0
210,since mostly,1,,0.0
209,women since,1,,0.0
208,degrading women,1,,0.0
207,disrespectful degrading,1,,0.0
206,unprofessional disrespectful,1,,0.0
205,staff unprofessional,1,,0.0
203,house kitchen,1,,0.0
237,imitated sadly,1,,0.0
202,back house,1,,0.0
201,skills back,1,,0.0
200,people skills,1,,0.0
199,training people,1,,0.0
198,official training,1,,0.0
197,management official,1,,0.0
196,eye management,1,,0.0
195,blind eye,1,,0.0
194,turns blind,1,,0.0
214,morals character,1,,0.0
215,character management,1,,0.0
216,management usually,1,,0.0
217,usually trained,1,,0.0
236,others imitated,1,,0.0
235,company others,1,,0.0
234,still company,1,,0.0
233,90 still,1,,0.0
232,early 90,1,,0.0
231,company early,1,,0.0
230,started company,1,,0.0
229,long started,1,,0.0
228,night long,1,,0.0
227,late night,1,,0.0
226,hours late,1,,0.0
225,demanding hours,1,,0.0
224,caucasion demanding,1,,0.0
223,cultures caucasion,1,,0.0
222,offensive cultures,1,,0.0
221,outwardly offensive,1,,0.0
220,therefore outwardly,1,,0.0
219,diversity therefore,1,,0.0
218,trained diversity,1,,0.0
285,workers inconsistency,1,,0.0
286,inconsistency discrimination,1,,0.0
287,discrimination long,1,,0.0
345,time work,1,,0.0
353,tgi friday,1,,0.0
352,life tgi,1,,0.0
351,expects life,1,,0.0
350,management expects,1,,0.0
349,great management,1,,0.0
348,balance great,1,,0.0
347,life balance,1,,0.0
346,work life,1,,0.0
379,sunday morning,1,,0.0
344,taking time,1,,0.0
333,illegal closing,1,,0.0
343,supportive taking,1,,0.0
342,bureaucracy supportive,1,,0.0
341,lots bureaucracy,1,,0.0
340,knowledgeable lots,1,,0.0
339,dense knowledgeable,1,,0.0
338,management dense,1,,0.0
337,hours management,1,,0.0
336,require long,1,,0.0
335,shifts require,1,,0.0
354,friday lot,1,,0.0
355,lot tedious,1,,0.0
356,tedious unnecessary,1,,0.0
357,unnecessary rules,1,,0.0
376,sections best,1,,0.0
375,good sections,1,,0.0
374,get good,1,,0.0
373,butt get,1,,0.0
372,kiss butt,1,,0.0
371,need kiss,1,,0.0
370,programs need,1,,0.0
369,stupid programs,1,,0.0
368,push stupid,1,,0.0
367,clueless push,1,,0.0
366,managers clueless,1,,0.0
365,idiot managers,1,,0.0
364,work idiot,1,,0.0
363,shift work,1,,0.0
362,policies shift,1,,0.0
361,corporate policies,1,,0.0
360,favoritism corporate,1,,0.0
359,management favoritism,1,,0.0
358,rules management,1,,0.0
334,closing shifts,1,,0.0
332,break illegal,1,,0.0
193,management turns,1,,0.0
299,deal ignorance,1,,0.0
307,something wrong,1,,0.0
306,finding something,1,,0.0
305,pay finding,1,,0.0
304,make pay,1,,0.0
303,try make,1,,0.0
380,morning shifts,1,,0.0
302,people try,1,,0.0
301,time people,1,,0.0
300,ignorance time,1,,0.0
298,locations deal,1,,0.0
331,get break,1,,0.0
297,bad locations,1,,0.0
296,nights bad,1,,0.0
295,stressful nights,1,,0.0
294,extremely stressful,1,,0.0
293,money extremely,1,,0.0
292,bad money,1,,0.0
291,make bad,1,,0.0
290,possible make,1,,0.0
289,hours possible,1,,0.0
308,wrong even,1,,0.0
309,even minor,1,,0.0
310,minor friday,1,,0.0
311,friday closes,1,,0.0
330,hard get,1,,0.0
329,double hard,1,,0.0
328,work double,1,,0.0
327,busy work,1,,0.0
326,done busy,1,,0.0
325,needs done,1,,0.0
324,work needs,1,,0.0
323,side work,1,,0.0
322,much side,1,,0.0
321,depending much,1,,0.0
320,00am depending,1,,0.0
319,3 00am,1,,0.0
318,30 3,1,,0.0
317,2 30,1,,0.0
316,late 2,1,,0.0
315,stay late,1,,0.0
314,sometimes stay,1,,0.0
313,2 sometimes,1,,0.0
312,closes 2,1,,0.0
0,awful co,1,,0.0
191,treatment coworkers,1,,0.0
192,coworkers management,1,,0.0
60,telling guests,1,,0.0
69,anything zero,1,,0.0
68,feedback anything,1,,0.0
67,employee feedback,1,,0.0
66,asking employee,1,,0.0
65,never asking,1,,0.0
64,worse never,1,,0.0
63,things worse,1,,0.0
62,changing things,1,,0.0
61,guests constantly,1,,0.0
59,worry telling,1,,0.0
71,appreciation negative,1,,0.0
58,stuff worry,1,,0.0
57,much stuff,1,,0.0
56,deal much,1,,0.0
55,food deal,1,,0.0
54,free food,1,,0.0
53,get free,1,,0.0
52,complain get,1,,0.0
51,ridiculous complain,1,,0.0
50,customers ridiculous,1,,0.0
70,zero appreciation,1,,0.0
72,negative environment,1,,0.0
96,care management,1,,0.0
85,regional manager,1,,0.0
94,life company,1,,0.0
93,sacrifice life,1,,0.0
92,else sacrifice,1,,0.0
91,somewhere else,1,,0.0
90,work somewhere,1,,0.0
89,realize work,1,,0.0
88,eventually realize,1,,0.0
87,wanted eventually,1,,0.0
86,manager wanted,1,,0.0
84,corporate regional,1,,0.0
73,environment company,1,,0.0
83,everything corporate,1,,0.0
82,day everything,1,,0.0
80,enough hours,1,,0.0
79,intimidation enough,1,,0.0
78,fear intimidation,1,,0.0
77,managed fear,1,,0.0
76,one managed,1,,0.0
75,changed one,1,,0.0
74,company changed,1,,0.0
49,sides customers,1,,0.0
48,constantly sides,1,,0.0
47,company constantly,1,,0.0
12,never repeat,1,,0.0
21,making right,1,,0.0
20,worried making,1,,0.0
19,managers worried,1,,0.0
18,times managers,1,,0.0
17,lot times,1,,0.0
16,coupons lot,1,,0.0
15,many coupons,1,,0.0
14,customers many,1,,0.0
13,repeat customers,1,,0.0
11,amp never,1,,0.0
46,change company,1,,0.0
10,reeks amp,1,,0.0
9,updated reeks,1,,0.0
8,needs updated,1,,0.0
7,building needs,1,,0.0
6,failing building,1,,0.0
5,business failing,1,,0.0
4,management business,1,,0.0
3,help management,1,,0.0
2,workers help,1,,0.0
22,right survey,1,,0.0
23,survey scores,1,,0.0
24,scores actual,1,,0.0
25,actual situation,1,,0.0
45,shift change,1,,0.0
44,missing shift,1,,0.0
43,wind missing,1,,0.0
42,day wind,1,,0.0
41,every day,1,,0.0
40,checking every,1,,0.0
39,schedule checking,1,,0.0
38,changing schedule,1,,0.0
36,managers constantly,1,,0.0
35,humanity managers,1,,0.0
34,hate humanity,1,,0.0
33,make hate,1,,0.0
32,place make,1,,0.0
31,days place,1,,0.0
30,tips days,1,,0.0
29,terrible tips,1,,0.0
28,customers terrible,1,,0.0
27,terrible customers,1,,0.0
26,situation terrible,1,,0.0
95,company care,1,,0.0
97,management preach,1,,0.0
190,language treatment,1,,0.0
156,move get,1,,0.0
165,disorganized results,1,,0.0
164,company disorganized,1,,0.0
163,yelled company,1,,0.0
162,gets yelled,1,,0.0
161,server gets,1,,0.0
160,another server,1,,0.0
159,things another,1,,0.0
158,pass things,1,,0.0
157,get pass,1,,0.0
155,likes move,1,,0.0
167,getting schedule,1,,0.0
154,manager likes,1,,0.0
153,server manager,1,,0.0
152,horrible server,1,,0.0
151,mediocre horrible,1,,0.0
150,could mediocre,1,,0.0
149,bias could,1,,0.0
148,managers bias,1,,0.0
147,dirty managers,1,,0.0
146,often dirty,1,,0.0
166,results getting,1,,0.0
168,schedule days,1,,0.0
98,preach never,1,,0.0
180,allow employees,1,,0.0
189,type language,1,,0.0
188,worst type,1,,0.0
187,allows worst,1,,0.0
186,unfortunately allows,1,,0.0
185,job unfortunately,1,,0.0
184,type job,1,,0.0
183,harassed type,1,,0.0
182,bullied harassed,1,,0.0
181,employees bullied,1,,0.0
179,show allow,1,,0.0
169,days work,1,,0.0
178,run show,1,,0.0
177,employees run,1,,0.0
176,let employees,1,,0.0
175,locations let,1,,0.0
174,different locations,1,,0.0
173,worked different,1,,0.0
172,awful worked,1,,0.0
171,management awful,1,,0.0
170,work management,1,,0.0
145,also often,1,,0.0
144,kitchen also,1,,0.0
143,subpar kitchen,1,,0.0
109,since worked,1,,0.0
118,money etc,1,,0.0
117,stealing money,1,,0.0
116,fired stealing,1,,0.0
115,bartender fired,1,,0.0
114,drunk bartender,1,,0.0
113,fired drunk,1,,0.0
112,manager fired,1,,0.0
111,one manager,1,,0.0
110,worked one,1,,0.0
108,management since,1,,0.0
142,food subpar,1,,0.0
107,horrible management,1,,0.0
106,bartender horrible,1,,0.0
105,one bartender,1,,0.0
104,fired one,1,,0.0
103,managers fired,1,,0.0
102,two managers,1,,0.0
101,witnessed two,1,,0.0
100,followthrough witnessed,1,,0.0
99,never followthrough,1,,0.0
119,etc etc,1,,0.0
120,etc meet,1,,0.0
121,meet druggies,1,,0.0
122,druggies managers,1,,0.0
141,fun food,1,,0.0
140,glamorous fun,1,,0.0
139,way glamorous,1,,0.0
138,friday way,1,,0.0
137,working friday,1,,0.0
136,discover working,1,,0.0
135,soon discover,1,,0.0
134,quit soon,1,,0.0
133,hostess quit,1,,0.0
132,waiters hostess,1,,0.0
131,turn waiters,1,,0.0
130,high turn,1,,0.0
129,extremely high,1,,0.0
128,employees extremely,1,,0.0
127,amongst employees,1,,0.0
126,unprofessionalism amongst,1,,0.0
125,anything unprofessionalism,1,,0.0
124,managing anything,1,,0.0
123,managers managing,1,,0.0
381,shifts horrible,1,,0.0
