,name,count,pos,norm
160,great place work,3,,1.0
419,make good money,3,,1.0
1465,managers great atmosphere,2,,0.5
943,room growth within,2,,0.5
579,great work environment,2,,0.5
800,work environment management,2,,0.5
1045,free food every,1,,0.0
1054,tip good sections,1,,0.0
1053,good tip good,1,,0.0
1052,well good tip,1,,0.0
1051,compensate well good,1,,0.0
1050,systems compensate well,1,,0.0
1049,quality systems compensate,1,,0.0
1048,shift quality systems,1,,0.0
1047,every shift quality,1,,0.0
1046,food every shift,1,,0.0
0,culture taking care,1,,0.0
1044,restaurants free food,1,,0.0
1056,sections flexibility fun,1,,0.0
1043,meals restaurants free,1,,0.0
1042,free meals restaurants,1,,0.0
1041,benefits free meals,1,,0.0
1040,good benefits free,1,,0.0
1039,good good benefits,1,,0.0
1038,pays good good,1,,0.0
1037,country pays good,1,,0.0
1036,around country pays,1,,0.0
1055,good sections flexibility,1,,0.0
1058,fun environment managers,1,,0.0
1057,flexibility fun environment,1,,0.0
1069,working busy location,1,,0.0
1078,schedules online system,1,,0.0
1077,hot schedules online,1,,0.0
1076,easy hot schedules,1,,0.0
1075,incentives easy hot,1,,0.0
1074,monthly incentives easy,1,,0.0
1073,scheduling monthly incentives,1,,0.0
1072,easy scheduling monthly,1,,0.0
1071,location easy scheduling,1,,0.0
1070,busy location easy,1,,0.0
1068,compensation working busy,1,,0.0
1034,opportunity move around,1,,0.0
1067,decent compensation working,1,,0.0
1066,guest decent compensation,1,,0.0
1065,visit guest decent,1,,0.0
1064,working visit guest,1,,0.0
1063,discount working visit,1,,0.0
1062,employees discount working,1,,0.0
1061,care employees discount,1,,0.0
1060,managers care employees,1,,0.0
1059,environment managers care,1,,0.0
1035,move around country,1,,0.0
1031,supervising management plenty,1,,0.0
1033,plenty opportunity move,1,,0.0
998,sidework prove hard,1,,0.0
1007,money make several,1,,0.0
1006,amount money make,1,,0.0
1005,schedule amount money,1,,0.0
1004,good schedule amount,1,,0.0
1003,get good schedule,1,,0.0
1002,oftentimes get good,1,,0.0
1001,worker oftentimes get,1,,0.0
1000,hard worker oftentimes,1,,0.0
999,prove hard worker,1,,0.0
997,easy sidework prove,1,,0.0
1009,several different managers,1,,0.0
996,ohio easy sidework,1,,0.0
995,central ohio easy,1,,0.0
994,work central ohio,1,,0.0
993,restaurants work central,1,,0.0
992,best restaurants work,1,,0.0
991,one best restaurants,1,,0.0
990,financially one best,1,,0.0
989,tips financially one,1,,0.0
988,sales tips financially,1,,0.0
1008,make several different,1,,0.0
1010,different managers gives,1,,0.0
1032,management plenty opportunity,1,,0.0
1022,worked year really,1,,0.0
1080,system br easy,1,,0.0
1030,money supervising management,1,,0.0
1029,lot money supervising,1,,0.0
1028,tending lot money,1,,0.0
1027,bar tending lot,1,,0.0
1026,move bar tending,1,,0.0
1025,liked move bar,1,,0.0
1024,really liked move,1,,0.0
1023,year really liked,1,,0.0
1021,movement worked year,1,,0.0
1011,managers gives opportunity,1,,0.0
1020,upward movement worked,1,,0.0
1019,room upward movement,1,,0.0
1018,also room upward,1,,0.0
1017,well also room,1,,0.0
1016,along well also,1,,0.0
1015,get along well,1,,0.0
1014,one get along,1,,0.0
1013,opportunity one get,1,,0.0
1012,gives opportunity one,1,,0.0
1079,online system br,1,,0.0
1082,easy pick shifts,1,,0.0
1081,br easy pick,1,,0.0
1154,food great standard,1,,0.0
1152,contact part food,1,,0.0
1151,maintain contact part,1,,0.0
1150,workers maintain contact,1,,0.0
1149,co workers maintain,1,,0.0
1148,great co workers,1,,0.0
1147,family great co,1,,0.0
1146,support family great,1,,0.0
1145,money support family,1,,0.0
1144,great money support,1,,0.0
1143,made great money,1,,0.0
1142,food made great,1,,0.0
1141,3 food made,1,,0.0
1140,people 3 food,1,,0.0
1139,2 people 3,1,,0.0
1138,money 2 people,1,,0.0
1137,1 money 2,1,,0.0
1136,hard 1 money,1,,0.0
1135,works hard 1,1,,0.0
1134,good works hard,1,,0.0
1133,team good works,1,,0.0
1132,manahement team good,1,,0.0
1153,part food great,1,,0.0
1155,great standard benefits,1,,0.0
986,extremely busy sales,1,,0.0
1156,standard benefits package,1,,0.0
1177,well great potential,1,,0.0
1176,pay well great,1,,0.0
1175,hours pay well,1,,0.0
1174,good hours pay,1,,0.0
1173,pretty good hours,1,,0.0
1172,give pretty good,1,,0.0
1171,hell give pretty,1,,0.0
1170,busy hell give,1,,0.0
1169,stay busy hell,1,,0.0
1168,signed stay busy,1,,0.0
1167,hours signed stay,1,,0.0
1166,33 hours signed,1,,0.0
1165,minimum 33 hours,1,,0.0
1164,worked minimum 33,1,,0.0
1163,long worked minimum,1,,0.0
1162,free long worked,1,,0.0
1161,still free long,1,,0.0
1160,know still free,1,,0.0
1159,nice know still,1,,0.0
1158,package nice know,1,,0.0
1157,benefits package nice,1,,0.0
1131,atmosphere manahement team,1,,0.0
1130,team atmosphere manahement,1,,0.0
1129,company team atmosphere,1,,0.0
1128,within company team,1,,0.0
1103,growth opportunities new,1,,0.0
1102,huge growth opportunities,1,,0.0
1101,members huge growth,1,,0.0
1100,crew members huge,1,,0.0
1099,great crew members,1,,0.0
1098,br great crew,1,,0.0
1097,availability br great,1,,0.0
1096,work availability br,1,,0.0
1095,willing work availability,1,,0.0
1094,br willing work,1,,0.0
1093,experience br willing,1,,0.0
1092,kitchen experience br,1,,0.0
1091,much kitchen experience,1,,0.0
1090,someone much kitchen,1,,0.0
1089,pay someone much,1,,0.0
1088,high pay someone,1,,0.0
1087,br high pay,1,,0.0
1086,covered br high,1,,0.0
1085,get covered br,1,,0.0
1084,shifts get covered,1,,0.0
1083,pick shifts get,1,,0.0
1104,opportunities new restaurant,1,,0.0
1105,new restaurant openings,1,,0.0
1106,restaurant openings throughout,1,,0.0
1118,bj restaurants flexibility,1,,0.0
1127,growth within company,1,,0.0
1126,lots room growth,1,,0.0
1125,1am lots room,1,,0.0
1124,5pm 1am lots,1,,0.0
1123,work 5pm 1am,1,,0.0
1122,often work 5pm,1,,0.0
1121,schedules often work,1,,0.0
1120,flexibility schedules often,1,,0.0
1119,restaurants flexibility schedules,1,,0.0
1117,working bj restaurants,1,,0.0
1107,openings throughout country,1,,0.0
1116,thing working bj,1,,0.0
1115,best thing working,1,,0.0
1114,industry best thing,1,,0.0
1113,higher industry best,1,,0.0
1112,pay higher industry,1,,0.0
1111,bright pay higher,1,,0.0
1110,future bright pay,1,,0.0
1109,country future bright,1,,0.0
1108,throughout country future,1,,0.0
987,busy sales tips,1,,0.0
983,based trainer location,1,,0.0
985,location extremely busy,1,,0.0
838,much love people,1,,0.0
860,managers would definition,1,,0.0
859,amp managers would,1,,0.0
858,workers amp managers,1,,0.0
857,co workers amp,1,,0.0
856,group co workers,1,,0.0
855,chill group co,1,,0.0
854,pretty chill group,1,,0.0
853,surrounded pretty chill,1,,0.0
852,think surrounded pretty,1,,0.0
851,say think surrounded,1,,0.0
850,breaks say think,1,,0.0
849,make breaks say,1,,0.0
848,kind make breaks,1,,0.0
847,work kind make,1,,0.0
846,build work kind,1,,0.0
845,relationships build work,1,,0.0
844,amp relationships build,1,,0.0
843,work amp relationships,1,,0.0
842,people work amp,1,,0.0
841,work people work,1,,0.0
840,people work people,1,,0.0
861,would definition great,1,,0.0
862,definition great first,1,,0.0
863,great first job,1,,0.0
875,ability make good,1,,0.0
884,work healthcare amp,1,,0.0
883,hard work healthcare,1,,0.0
882,grow hard work,1,,0.0
881,room grow hard,1,,0.0
880,lots room grow,1,,0.0
879,jobs lots room,1,,0.0
878,tips jobs lots,1,,0.0
877,good tips jobs,1,,0.0
876,make good tips,1,,0.0
874,shifts ability make,1,,0.0
864,first job forsure,1,,0.0
873,switch shifts ability,1,,0.0
872,easy switch shifts,1,,0.0
871,availability easy switch,1,,0.0
870,hours availability easy,1,,0.0
869,flexible hours availability,1,,0.0
868,understanding flexible hours,1,,0.0
867,managers understanding flexible,1,,0.0
866,forsure managers understanding,1,,0.0
865,job forsure managers,1,,0.0
839,love people work,1,,0.0
837,pretty much love,1,,0.0
886,amp 401k offered,1,,0.0
836,rewarded pretty much,1,,0.0
811,managers know struggle,1,,0.0
810,within managers know,1,,0.0
809,hiring within managers,1,,0.0
808,organized hiring within,1,,0.0
807,well organized hiring,1,,0.0
806,system well organized,1,,0.0
805,employees system well,1,,0.0
804,well employees system,1,,0.0
803,cares well employees,1,,0.0
802,management cares well,1,,0.0
801,environment management cares,1,,0.0
799,leadership great work,1,,0.0
798,core leadership great,1,,0.0
797,strong core leadership,1,,0.0
796,promotions strong core,1,,0.0
795,internal promotions strong,1,,0.0
794,lots internal promotions,1,,0.0
793,growth lots internal,1,,0.0
792,room growth lots,1,,0.0
791,well room growth,1,,0.0
790,good well room,1,,0.0
812,know struggle company,1,,0.0
813,struggle company values,1,,0.0
814,company values team,1,,0.0
826,leaps bounds especially,1,,0.0
835,work rewarded pretty,1,,0.0
834,diligent work rewarded,1,,0.0
833,high diligent work,1,,0.0
832,definitely high diligent,1,,0.0
831,standards definitely high,1,,0.0
830,eastwards standards definitely,1,,0.0
829,midwest eastwards standards,1,,0.0
828,especially midwest eastwards,1,,0.0
827,bounds especially midwest,1,,0.0
825,growing leaps bounds,1,,0.0
815,values team members,1,,0.0
824,company growing leaps,1,,0.0
823,pace company growing,1,,0.0
822,quick pace company,1,,0.0
821,food quick pace,1,,0.0
820,quality food quick,1,,0.0
819,high quality food,1,,0.0
818,delivers high quality,1,,0.0
817,members delivers high,1,,0.0
816,team members delivers,1,,0.0
885,healthcare amp 401k,1,,0.0
887,401k offered servers,1,,0.0
984,trainer location extremely,1,,0.0
936,opportunity strengthen interpersonal,1,,0.0
959,year saw great,1,,0.0
958,little year saw,1,,0.0
957,worked little year,1,,0.0
956,needs worked little,1,,0.0
955,staff needs worked,1,,0.0
954,attentive staff needs,1,,0.0
953,work attentive staff,1,,0.0
952,managers work attentive,1,,0.0
951,great managers work,1,,0.0
950,nice great managers,1,,0.0
949,hand nice great,1,,0.0
948,cash hand nice,1,,0.0
947,desired cash hand,1,,0.0
946,restaurant desired cash,1,,0.0
945,within restaurant desired,1,,0.0
944,growth within restaurant,1,,0.0
942,also room growth,1,,0.0
941,service also room,1,,0.0
940,customer service also,1,,0.0
939,communication customer service,1,,0.0
938,interpersonal communication customer,1,,0.0
960,saw great tips,1,,0.0
961,great tips amazing,1,,0.0
962,tips amazing training,1,,0.0
974,managers server positions,1,,0.0
1179,potential growth staff,1,,0.0
982,great based trainer,1,,0.0
981,experience great based,1,,0.0
980,training experience great,1,,0.0
979,flexible training experience,1,,0.0
978,extremely flexible training,1,,0.0
977,scheduling extremely flexible,1,,0.0
976,positions scheduling extremely,1,,0.0
975,server positions scheduling,1,,0.0
973,became managers server,1,,0.0
963,amazing training hiring,1,,0.0
972,servers became managers,1,,0.0
971,time servers became,1,,0.0
970,long time servers,1,,0.0
969,two long time,1,,0.0
968,time two long,1,,0.0
967,company time two,1,,0.0
966,within company time,1,,0.0
965,hiring within company,1,,0.0
964,training hiring within,1,,0.0
937,strengthen interpersonal communication,1,,0.0
935,great opportunity strengthen,1,,0.0
888,offered servers flexible,1,,0.0
934,staff great opportunity,1,,0.0
909,problems excellent company,1,,0.0
908,members problems excellent,1,,0.0
907,team members problems,1,,0.0
906,listening team members,1,,0.0
905,open listening team,1,,0.0
904,management open listening,1,,0.0
903,environment management open,1,,0.0
902,positive work environment,1,,0.0
901,overall positive work,1,,0.0
900,line overall positive,1,,0.0
899,guests line overall,1,,0.0
898,employees guests line,1,,0.0
897,protection employees guests,1,,0.0
896,tips protection employees,1,,0.0
895,decent tips protection,1,,0.0
894,flexibility decent tips,1,,0.0
893,schedule flexibility decent,1,,0.0
892,lots schedule flexibility,1,,0.0
891,scheduling lots schedule,1,,0.0
890,flexible scheduling lots,1,,0.0
889,servers flexible scheduling,1,,0.0
910,excellent company work,1,,0.0
911,company work bj,1,,0.0
912,work bj values,1,,0.0
924,expect nothing less,1,,0.0
933,great staff great,1,,0.0
932,shift great staff,1,,0.0
931,every shift great,1,,0.0
930,end every shift,1,,0.0
929,meal end every,1,,0.0
928,free meal end,1,,0.0
927,team free meal,1,,0.0
926,less team free,1,,0.0
925,nothing less team,1,,0.0
923,best expect nothing,1,,0.0
913,bj values employees,1,,0.0
922,perform best expect,1,,0.0
921,everyday perform best,1,,0.0
920,challenged everyday perform,1,,0.0
919,manager challenged everyday,1,,0.0
918,kitchen manager challenged,1,,0.0
917,executive kitchen manager,1,,0.0
916,else executive kitchen,1,,0.0
915,employees else executive,1,,0.0
914,values employees else,1,,0.0
1178,great potential growth,1,,0.0
1180,growth staff easy,1,,0.0
788,company training good,1,,0.0
1449,slow due high,1,,0.0
1447,upward momentum slow,1,,0.0
