,name,count,pos,norm
10,management,5,NOUN,1.0
2,know,2,NOUN,0.25
56,lot,1,NOUN,0.0
44,business,1,NOUN,0.0
45,practices,1,NOUN,0.0
47,covina,1,NOUN,0.0
53,lack,1,NOUN,0.0
54,empathy,1,NOUN,0.0
55,consideration,1,NOUN,0.0
58,measures,1,NOUN,0.0
40,organization,1,NOUN,0.0
60,restaurant,1,NOUN,0.0
61,stand,1,NOUN,0.0
62,call,1,NOUN,0.0
63,shifts,1,NOUN,0.0
64,lacking,1,NOUN,0.0
42,weekends,1,NOUN,0.0
39,position,1,NOUN,0.0
5,funds,1,NOUN,0.0
36,workers,1,NOUN,0.0
35,co,1,NOUN,0.0
33,mistakes,1,NOUN,0.0
31,supervisor,1,NOUN,0.0
28,duties,1,NOUN,0.0
21,pressure,1,NOUN,0.0
20,handle,1,NOUN,0.0
19,manager,1,NOUN,0.0
16,customers,1,NOUN,0.0
15,deal,1,NOUN,0.0
12,unapproachable,1,NOUN,0.0
8,cons,1,NOUN,0.0
6,locations,1,NOUN,0.0
65,hours,1,NOUN,0.0
