name,good,da,bad,da2
to,2516,NOUN,0.0,0
's,1092,NOUN,0.0,0
in,955,NOUN,817.0,NOUN
food,881,NOUN,702.0,NOUN
service,710,NOUN,379.0,NOUN
good,684,NOUN,102.0,NOUN
Applebee,587,NOUN,0.0,0
time,446,NOUN,304.0,NOUN
server,359,NOUN,219.0,NOUN
place,352,NOUN,239.0,NOUN
friendly,338,NOUN,0.0,0
back,324,NOUN,320.0,NOUN
go,298,NOUN,234.0,NOUN
will,287,NOUN,193.0,NOUN
experience,286,NOUN,124.0,NOUN
one,273,NOUN,306.0,NOUN
drinks,265,NOUN,164.0,NOUN
staff,250,NOUN,79.0,NOUN
got,240,NOUN,0.0,0
up,232,NOUN,299.0,NOUN
restaurant,220,NOUN,178.0,NOUN
well,213,NOUN,78.0,NOUN
night,212,NOUN,77.0,NOUN
location,212,NOUN,94.0,NOUN
by,210,NOUN,0.0,0
love,208,NOUN,13.0,NOUN
chicken,207,NOUN,93.0,NOUN
manager,201,NOUN,325.0,NOUN
bar,201,NOUN,98.0,NOUN
awesome,192,NOUN,0.0,0
waitress,185,NOUN,239.0,NOUN
menu,184,NOUN,85.0,NOUN
what,174,NOUN,187.0,NOUN
order,172,NOUN,292.0,NOUN
Applebees,166,NOUN,71.0,NOUN
meal,162,NOUN,108.0,NOUN
excellent,147,NOUN,0.0,0
hour,146,NOUN,71.0,NOUN
table,143,NOUN,280.0,NOUN
wait,141,NOUN,127.0,NOUN
lunch,141,NOUN,43.0,NOUN
perfect,136,NOUN,0.0,0
right,136,NOUN,92.0,NOUN
everything,131,NOUN,46.0,NOUN
family,125,NOUN,51.0,NOUN
steak,123,NOUN,103.0,NOUN
dinner,123,NOUN,80.0,NOUN
appetizers,123,NOUN,63.0,NOUN
waiter,121,NOUN,116.0,NOUN
drink,121,NOUN,168.0,NOUN
who,118,NOUN,133.0,NOUN
off,115,NOUN,0.0,0
super,113,NOUN,7.0,NOUN
bartender,110,NOUN,74.0,NOUN
visit,108,NOUN,46.0,NOUN
clean,105,NOUN,12.0,NOUN
cheese,104,NOUN,83.0,NOUN
customer,101,NOUN,84.0,NOUN
care,97,NOUN,52.0,NOUN
times,96,NOUN,84.0,NOUN
favorite,95,NOUN,8.0,NOUN
wings,95,NOUN,41.0,NOUN
being,93,NOUN,86.0,NOUN
people,93,NOUN,126.0,NOUN
burger,93,NOUN,89.0,NOUN
feel,91,NOUN,35.0,NOUN
day,91,NOUN,49.0,NOUN
am,91,NOUN,63.0,NOUN
Food,90,NOUN,22.0,NOUN
way,90,NOUN,99.0,NOUN
name,87,NOUN,28.0,NOUN
atmosphere,87,NOUN,6.0,NOUN
husband,87,NOUN,71.0,NOUN
salad,86,NOUN,90.0,NOUN
appetizer,85,NOUN,94.0,NOUN
area,82,NOUN,36.0,NOUN
lot,82,NOUN,29.0,NOUN
shrimp,81,NOUN,29.0,NOUN
work,81,NOUN,49.0,NOUN
try,80,NOUN,57.0,NOUN
friends,78,NOUN,25.0,NOUN
stars,77,NOUN,39.0,NOUN
while,77,NOUN,70.0,NOUN
fries,76,NOUN,75.0,NOUN
job,73,NOUN,35.0,NOUN
chain,73,NOUN,32.0,NOUN
wife,72,NOUN,38.0,NOUN
servers,71,NOUN,48.0,NOUN
take,70,NOUN,131.0,NOUN
top,69,NOUN,52.0,NOUN
Thanks,69,NOUN,5.0,NOUN
Service,68,NOUN,23.0,NOUN
half,67,NOUN,73.0,NOUN
special,66,NOUN,9.0,NOUN
years,64,NOUN,39.0,NOUN
kind,64,NOUN,26.0,NOUN
review,64,NOUN,35.0,NOUN
minutes,63,NOUN,311.0,NOUN
kids,63,NOUN,40.0,NOUN
Good,62,NOUN,0.0,0
fun,62,NOUN,2.0,NOUN
sauce,61,NOUN,64.0,NOUN
something,61,NOUN,86.0,NOUN
price,61,NOUN,23.0,NOUN
everyone,60,NOUN,36.0,NOUN
dining,60,NOUN,35.0,NOUN
tonight,60,NOUN,12.0,NOUN
today,59,NOUN,18.0,NOUN
check,58,NOUN,95.0,NOUN
anything,56,NOUN,64.0,NOUN
dessert,55,NOUN,26.0,NOUN
tasty,54,NOUN,0.0,0
tables,54,NOUN,78.0,NOUN
smile,53,NOUN,13.0,NOUN
