name,good,da,bad,da2
I,29516,NOUN,0.0,0
to,24642,NOUN,8975.0,NOUN
in,8943,NOUN,2538.0,NOUN
on,7005,NOUN,0.0,0
food,6683,NOUN,1796.0,NOUN
great,6388,NOUN,0.0,0
cheesecake,5706,NOUN,447.0,NOUN
good,5605,NOUN,331.0,NOUN
Cheesecake,5418,NOUN,712.0,NOUN
at,5329,NOUN,0.0,0
service,4853,NOUN,1132.0,NOUN
time,4412,NOUN,926.0,NOUN
Factory,4152,NOUN,616.0,NOUN
place,3576,NOUN,633.0,NOUN
go,3293,NOUN,679.0,NOUN
menu,3191,NOUN,179.0,NOUN
wait,3189,NOUN,650.0,NOUN
one,3179,NOUN,869.0,NOUN
out,3059,NOUN,1208.0,NOUN
love,3034,NOUN,71.0,NOUN
get,3005,NOUN,972.0,NOUN
chicken,2861,NOUN,341.0,NOUN
can,2516,NOUN,359.0,NOUN
restaurant,2425,NOUN,578.0,NOUN
server,2380,NOUN,649.0,NOUN
about,2379,NOUN,0.0,0
got,2322,NOUN,0.0,0
will,2271,NOUN,636.0,NOUN
back,2111,NOUN,1039.0,NOUN
up,2014,NOUN,940.0,NOUN
experience,1931,NOUN,560.0,NOUN
order,1878,NOUN,939.0,NOUN
what,1800,NOUN,670.0,NOUN
location,1786,NOUN,463.0,NOUN
favorite,1761,NOUN,53.0,NOUN
by,1744,NOUN,0.0,0
well,1738,NOUN,228.0,NOUN
bread,1728,NOUN,357.0,NOUN
dinner,1704,NOUN,279.0,NOUN
 I,1645,NOUN,481.0,NOUN
pasta,1619,NOUN,265.0,NOUN
 ,1597,NOUN,333.0,NOUN
night,1557,NOUN,296.0,NOUN
table,1541,NOUN,1041.0,NOUN
eat,1495,NOUN,389.0,NOUN
cheese,1484,NOUN,199.0,NOUN
went,1458,NOUN,0.0,0
meal,1431,NOUN,376.0,NOUN
lunch,1425,NOUN,156.0,NOUN
 The,1374,NOUN,221.0,NOUN
awesome,1326,NOUN,0.0,0
'',1247,NOUN,813.0,NOUN
salad,1240,NOUN,299.0,NOUN
try,1225,NOUN,98.0,NOUN
dessert,1213,NOUN,124.0,NOUN
right,1196,NOUN,290.0,NOUN
staff,1182,NOUN,232.0,NOUN
waiter,1172,NOUN,525.0,NOUN
know,1165,NOUN,432.0,NOUN
drinks,1158,NOUN,357.0,NOUN
little,1152,NOUN,0.0,0
make,1144,NOUN,309.0,NOUN
everything,1136,NOUN,133.0,NOUN
people,1115,NOUN,389.0,NOUN
take,1112,NOUN,418.0,NOUN
sauce,1101,NOUN,135.0,NOUN
times,1084,NOUN,277.0,NOUN
say,1080,NOUN,0.0,0
waitress,1076,NOUN,495.0,NOUN
bar,1059,NOUN,171.0,NOUN
excellent,1057,NOUN,0.0,0
factory,1053,NOUN,214.0,NOUN
after,1038,NOUN,0.0,0
dish,1019,NOUN,219.0,NOUN
portions,1015,NOUN,21.0,NOUN
day,1005,NOUN,192.0,NOUN
around,992,NOUN,0.0,0
perfect,987,NOUN,0.0,0
something,983,NOUN,234.0,NOUN
minutes,970,NOUN,1085.0,NOUN
cake,965,NOUN,151.0,NOUN
going,962,NOUN,0.0,0
took,951,NOUN,604.0,NOUN
sweet,939,NOUN,0.0,0
who,934,NOUN,446.0,NOUN
birthday,922,NOUN,242.0,NOUN
$,918,NOUN,264.0,NOUN
off,906,NOUN,420.0,NOUN
big,895,NOUN,0.0,0
super,889,NOUN,0.0,0
think,885,NOUN,0.0,0
want,880,NOUN,335.0,NOUN
course,878,NOUN,92.0,NOUN
am,878,NOUN,282.0,NOUN
worth,871,NOUN,70.0,NOUN
hour,852,NOUN,387.0,NOUN
Great,844,NOUN,0.0,0
way,825,NOUN,292.0,NOUN
family,822,NOUN,186.0,NOUN
down,810,NOUN,344.0,NOUN
chocolate,794,NOUN,13.0,NOUN
top,794,NOUN,92.0,NOUN
while,789,NOUN,235.0,NOUN
friend,785,NOUN,147.0,NOUN
