name,good,da,bad,da2
a,8674,NOUN,0.0,0
to,8062,NOUN,0.0,0
in,3020,NOUN,1159.0,NOUN
on,2420,NOUN,0.0,0
burger,2304,NOUN,451.0,NOUN
food,2213,NOUN,893.0,NOUN
fries,2194,NOUN,394.0,NOUN
service,1977,NOUN,477.0,NOUN
good,1867,NOUN,155.0,NOUN
time,1366,NOUN,508.0,NOUN
place,1276,NOUN,335.0,NOUN
burgers,1222,NOUN,167.0,NOUN
out,1194,NOUN,588.0,NOUN
get,1135,NOUN,485.0,NOUN
server,1015,NOUN,331.0,NOUN
love,1013,NOUN,36.0,NOUN
one,966,NOUN,430.0,NOUN
go,946,NOUN,278.0,NOUN
will,863,NOUN,251.0,NOUN
back,855,NOUN,438.0,NOUN
do,790,NOUN,0.0,0
up,780,NOUN,421.0,NOUN
experience,724,NOUN,200.0,NOUN
location,720,NOUN,201.0,NOUN
did,714,NOUN,0.0,0
got,705,NOUN,0.0,0
restaurant,666,NOUN,316.0,NOUN
order,665,NOUN,509.0,NOUN
well,657,NOUN,100.0,NOUN
staff,595,NOUN,130.0,NOUN
bottomless,591,NOUN,0.0,0
table,567,NOUN,461.0,NOUN
what,562,NOUN,308.0,NOUN
waitress,553,NOUN,257.0,NOUN
drinks,550,NOUN,212.0,NOUN
menu,529,NOUN,69.0,NOUN
wait,496,NOUN,213.0,NOUN
eat,486,NOUN,0.0,0
right,483,NOUN,146.0,NOUN
make,458,NOUN,0.0,0
meal,453,NOUN,139.0,NOUN
family,447,NOUN,111.0,NOUN
manager,440,NOUN,400.0,NOUN
bar,439,NOUN,132.0,NOUN
kids,438,NOUN,131.0,NOUN
how,433,NOUN,0.0,0
favorite,415,NOUN,14.0,NOUN
times,391,NOUN,129.0,NOUN
sauce,383,NOUN,57.0,NOUN
super,382,NOUN,0.0,0
chicken,381,NOUN,100.0,NOUN
know,354,NOUN,138.0,NOUN
visit,353,NOUN,84.0,NOUN
onion,353,NOUN,62.0,NOUN
night,352,NOUN,112.0,NOUN
excellent,351,NOUN,0.0,0
over,347,NOUN,276.0,NOUN
everything,346,NOUN,57.0,NOUN
ask,341,NOUN,0.0,0
want,334,NOUN,0.0,0
cheese,334,NOUN,74.0,NOUN
little,334,NOUN,65.0,NOUN
lunch,333,NOUN,63.0,NOUN
birthday,331,NOUN,49.0,NOUN
say,325,NOUN,0.0,0
way,318,NOUN,144.0,NOUN
who,314,NOUN,179.0,NOUN
red,312,NOUN,99.0,NOUN
customer,307,NOUN,93.0,NOUN
waiter,305,NOUN,117.0,NOUN
drink,303,NOUN,143.0,NOUN
dinner,302,NOUN,66.0,NOUN
around,299,NOUN,0.0,0
perfect,294,NOUN,5.0,NOUN
try,292,NOUN,66.0,NOUN
clean,284,NOUN,50.0,NOUN
since,279,NOUN,0.0,0
people,273,NOUN,144.0,NOUN
minutes,270,NOUN,527.0,NOUN
off,267,NOUN,221.0,NOUN
area,264,NOUN,64.0,NOUN
down,262,NOUN,191.0,NOUN
steak,261,NOUN,13.0,NOUN
am,256,NOUN,93.0,NOUN
bacon,255,NOUN,36.0,NOUN
husband,253,NOUN,103.0,NOUN
being,253,NOUN,104.0,NOUN
take,253,NOUN,180.0,NOUN
while,248,NOUN,140.0,NOUN
care,245,NOUN,85.0,NOUN
servers,245,NOUN,73.0,NOUN
$,239,NOUN,141.0,NOUN
side,239,NOUN,80.0,NOUN
top,239,NOUN,45.0,NOUN
salad,235,NOUN,126.0,NOUN
think,230,NOUN,0.0,0
something,228,NOUN,114.0,NOUN
rings,226,NOUN,41.0,NOUN
Love,224,NOUN,4.0,NOUN
Thank,223,NOUN,0.0,0
today,221,NOUN,37.0,NOUN
day,221,NOUN,77.0,NOUN
robin,220,NOUN,76.0,NOUN
big,220,NOUN,0.0,0
name,218,NOUN,44.0,NOUN
Food,217,NOUN,44.0,NOUN
years,215,NOUN,56.0,NOUN
beer,210,NOUN,75.0,NOUN
thing,204,NOUN,89.0,NOUN
Service,202,NOUN,28.0,NOUN
atmosphere,202,NOUN,14.0,NOUN
RR,200,NOUN,43.0,NOUN
stars,197,NOUN,53.0,NOUN
lot,197,NOUN,49.0,NOUN
review,196,NOUN,73.0,NOUN
feel,195,NOUN,42.0,NOUN
job,195,NOUN,36.0,NOUN
lemonade,192,NOUN,15.0,NOUN
friends,189,NOUN,21.0,NOUN
chain,186,NOUN,42.0,NOUN
refills,186,NOUN,56.0,NOUN
restaurants,184,NOUN,30.0,NOUN
friend,182,NOUN,36.0,NOUN
A,181,NOUN,93.0,NOUN
things,180,NOUN,49.0,NOUN
kind,168,NOUN,18.0,NOUN
wife,167,NOUN,49.0,NOUN
everyone,165,NOUN,44.0,NOUN
potato,165,NOUN,9.0,NOUN
gluten,163,NOUN,7.0,NOUN
eating,162,NOUN,102.0,NOUN
Thanks,155,NOUN,9.0,NOUN
check,154,NOUN,130.0,NOUN
special,153,NOUN,0.0,0
work,153,NOUN,56.0,NOUN
fun,153,NOUN,7.0,NOUN
garlic,152,NOUN,30.0,NOUN
bit,151,NOUN,20.0,NOUN
need,151,NOUN,58.0,NOUN
BBQ,150,NOUN,22.0,NOUN
places,148,NOUN,28.0,NOUN
yummy,147,NOUN,0.0,0
home,147,NOUN,54.0,NOUN
enough,146,NOUN,0.0,0
son,146,NOUN,31.0,NOUN
lettuce,143,NOUN,67.0,NOUN
left,143,NOUN,157.0,NOUN
party,142,NOUN,41.0,NOUN
sandwich,142,NOUN,35.0,NOUN
bun,141,NOUN,62.0,NOUN
anything,141,NOUN,95.0,NOUN
options,140,NOUN,6.0,NOUN
orders,139,NOUN,88.0,NOUN
card,139,NOUN,42.0,NOUN
quality,138,NOUN,66.0,NOUN
dining,138,NOUN,55.0,NOUN
appetizer,135,NOUN,69.0,NOUN
daughter,135,NOUN,56.0,NOUN
waiting,135,NOUN,136.0,NOUN
find,135,NOUN,0.0,0
worth,134,NOUN,29.0,NOUN
tonight,133,NOUN,21.0,NOUN
tables,130,NOUN,169.0,NOUN
making,129,NOUN,24.0,NOUN
thought,128,NOUN,47.0,NOUN
juicy,127,NOUN,0.0,0
couple,126,NOUN,40.0,NOUN
ranch,124,NOUN,31.0,NOUN
sit,123,NOUN,58.0,NOUN
Good,120,NOUN,5.0,NOUN
smile,120,NOUN,12.0,NOUN
point,120,NOUN,90.0,NOUN
sauces,119,NOUN,12.0,NOUN
chips,118,NOUN,33.0,NOUN
pay,118,NOUN,89.0,NOUN
put,117,NOUN,0.0,0
hour,117,NOUN,71.0,NOUN
patty,116,NOUN,21.0,NOUN
year,116,NOUN,42.0,NOUN
taste,115,NOUN,44.0,NOUN
customers,114,NOUN,73.0,NOUN
wish,113,NOUN,0.0,0
egg,113,NOUN,8.0,NOUN
wrong,113,NOUN,192.0,NOUN
whole,112,NOUN,63.0,NOUN
fish,112,NOUN,9.0,NOUN
What,111,NOUN,58.0,NOUN
meals,111,NOUN,41.0,NOUN
else,110,NOUN,99.0,NOUN
boyfriend,109,NOUN,31.0,NOUN
crispy,109,NOUN,13.0,NOUN
hostess,108,NOUN,100.0,NOUN
seasoning,107,NOUN,6.0,NOUN
ate,107,NOUN,51.0,NOUN
look,105,NOUN,62.0,NOUN
prices,105,NOUN,9.0,NOUN
fact,104,NOUN,37.0,NOUN
cool,104,NOUN,8.0,NOUN
bartender,103,NOUN,55.0,NOUN
mall,102,NOUN,32.0,NOUN
price,101,NOUN,11.0,NOUN
rewards,101,NOUN,5.0,NOUN
cheeseburger,100,NOUN,17.0,NOUN
Royal,99,NOUN,0.0,0
spot,99,NOUN,6.0,NOUN
One,99,NOUN,0.0,0
fan,98,NOUN,6.0,NOUN
stop,98,NOUN,0.0,0
dipping,97,NOUN,0.0,0
appetizers,96,NOUN,21.0,NOUN
course,94,NOUN,31.0,NOUN
beyond,94,NOUN,0.0,0
part,93,NOUN,41.0,NOUN
items,92,NOUN,13.0,NOUN
Burgers,92,NOUN,8.0,NOUN
selection,92,NOUN,7.0,NOUN
meat,92,NOUN,39.0,NOUN
reviews,92,NOUN,39.0,NOUN
month,91,NOUN,12.0,NOUN
Whiskey,91,NOUN,0.0,0
half,91,NOUN,86.0,NOUN
must,90,NOUN,36.0,NOUN
group,89,NOUN,27.0,NOUN
bite,88,NOUN,21.0,NOUN
star,88,NOUN,41.0,NOUN
thank,88,NOUN,0.0,0
inside,88,NOUN,30.0,NOUN
dessert,88,NOUN,12.0,NOUN
wrap,87,NOUN,29.0,NOUN
offer,87,NOUN,32.0,NOUN
easy,87,NOUN,0.0,0
gourmet,87,NOUN,13.0,NOUN
shake,86,NOUN,42.0,NOUN
reason,86,NOUN,29.0,NOUN
person,86,NOUN,52.0,NOUN
LOVE,86,NOUN,0.0,0
bill,86,NOUN,114.0,NOUN
working,85,NOUN,0.0,0
program,85,NOUN,1.0,NOUN
second,85,NOUN,0.0,0
basket,85,NOUN,16.0,NOUN
evening,85,NOUN,13.0,NOUN
Robins,84,NOUN,0.0,0
Everything,84,NOUN,9.0,NOUN
anyone,83,NOUN,52.0,NOUN
flavor,82,NOUN,16.0,NOUN
strawberry,82,NOUN,9.0,NOUN
door,82,NOUN,29.0,NOUN
Best,82,NOUN,0.0,0
days,82,NOUN,25.0,NOUN
tip,81,NOUN,45.0,NOUN
game,81,NOUN,21.0,NOUN
kid,81,NOUN,16.0,NOUN
variety,80,NOUN,3.0,NOUN
cream,80,NOUN,14.0,NOUN
Fries,80,NOUN,11.0,NOUN
hope,79,NOUN,14.0,NOUN
amount,79,NOUN,28.0,NOUN
refill,79,NOUN,43.0,NOUN
parking,79,NOUN,16.0,NOUN
overall,78,NOUN,0.0,0
week,77,NOUN,25.0,NOUN
taking,77,NOUN,0.0,0
