entity,worst,da,best,da2
Chili,17,ORG,15.0,ORG
the,3,ORG,7.0,ORG
Tiffany,3,ORG,0.0,0
California,2,GPE,0.0,0
Colorado,2,GPE,0.0,0
 ,2,GPE,0.0,0
THREE,2,ORG,0.0,0
Anthony,2,PERSON,0.0,0
Time,1,ORG,0.0,0
Yelp,1,PERSON,0.0,0
t.v,1,ORG,0.0,0
onIt,1,ORG,0.0,0
Sour,1,PERSON,0.0,0
Server,1,PERSON,0.0,0
EMAW,1,ORG,0.0,0
Chilis,1,GPE,7.0,PERSON
Chicken,1,GPE,0.0,0
Carson,1,PERSON,0.0,0
Bill,1,PERSON,0.0,0
FUCKIN,1,ORG,0.0,0
GENEROUS,1,ORG,0.0,0
Queso,1,PERSON,0.0,0
Pepsi,1,ORG,0.0,0
Nacho,1,ORG,0.0,0
Mac,1,PERSON,0.0,0
Kraft,1,ORG,0.0,0
Kid,1,ORG,0.0,0
Kansas,1,GPE,0.0,0
KSTATE,1,ORG,0.0,0
Inglewood,1,GPE,0.0,0
Gross,1,PERSON,0.0,0
Grandson,1,PERSON,0.0,0
NUTS,1,ORG,0.0,0
