,Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management,roll25,roll100,roll250,Final_Rating,Final_Work Life Balance,Final_Culture Values,Final_Career Opportunities,Final_Comp Benefits,Final_Senior Management
1059,"""Great""",5.0,5.0,2.5,4.0,5.0,3.28021978021978,2012-05-11,Current,Server,Jacksonville,Yes,Neutral,Yes,Full-time,More than 3 years,"Great schedule flexibility and money compared to other restaurants around the city. The place is huge so you can usually get in our out of shifts if you need to, and it stays busy enough that you can make good consistent money (for serving tables).","The Cheesecake Factory unfortunately attracts some extremely undesirable clientele, especially on the weekends. You can see some really really low tip percentages, but usually those shifts come with really high sales, so at the end of the night you still make a good amount of money, but it can be really brutal at times. It's not a place where you do $500 in sales and have a 25% tip percentage, more like $1800 in sales with a 12% tip percentage. Also, the tip out is a total of 4.5% of your sales, which is a bit higher than most places, however in that restaurant you really rely on the help of the rest of your team.","Try to focus more on individual praise. Any time someone does something bad everyone finds out one way or another, but there is not a lot of focus on individual praise. A lot of times the positive feedback is in the form of ""hey guys great shift last night"" or whatever, instead of pointing people out for great individual performances.",,,,3.278947368421053,2.9336900342141665,3.05754716981132,2.922714388929028,3.045151566215432,2.8094563331405435
1058,"""Great environment, not very great hours...""",4.0,5.0,5.0,4.0,4.0,5.0,2012-06-03,Current,Hostess,Houston,Yes,Yes,Yes,Part-time,More than a year,"Awesome environment, a lot of teamwork, managers work with your schedule, hotschedules!, decent hourly pay, pretty laid back management.","Asked for more hours, but unfortunately, never got them. Sometimes I would get only 3 hour shifts, which i thought was a little ridiculous.",,,,,3.1649122807017545,2.9336900342141665,3.3145647136709693,2.922714388929028,2.9311164784961337,3.005571621361095
1086,"""Great place to work""",5.0,5.0,5.0,4.0,3.0,5.0,2012-06-05,Past,Expo/Bakery,np.nan,Yes,Yes,Yes,Full-time,More than a year,flexible schedule. discount. room for growth. fun atmosphere,working holidays. late hours. not very high starting pay,,,,,3.2508771929824563,2.877549683336974,3.258424362793776,2.894644213490432,2.8170813907768357,2.9494312704839016
1084,"""Good job, hard work""",4.0,2.0,4.0,3.0,3.0,3.0,2012-06-12,Current,Cook,np.nan,Yes,Yes,Yes,Full-time,Less than a year,"Always busy, time goes by fast",Exhausted by the end of the shift.,Rotate breaks better,,,,3.136842105263158,2.5674455849166495,3.155003861855897,2.801061523925971,2.835812316276283,2.753364179679969
1085,"""Great place to work and great atmosphere""",4.0,4.0,4.0,4.0,4.0,3.0,2012-06-12,Past,Anonymous Employee,np.nan,Yes,Neutral,Yes,Part-time,,Friendly staff and managers who respect your opinion.,Not a lot of room for growth.,,,,,3.1228070175438596,2.753410497197351,3.1409687741365993,2.8870264362066727,2.921777228556985,2.7252940042413725
1083,"""Good Company for Part-Time Employment""",4.0,3.280082987551867,3.756289308176101,3.457233368532207,3.334578441835646,3.28021978021978,2012-06-19,Past,Hostess and Server,np.nan,Yes,Neutral,Neutral,Part-time,More than 5 years,- Good opportunities to cross-train and grow within the company.. - Company is very open to feedback from employees.. - Allows for flexible schedules.,"- Somewhat unprofessional and ""high school""-like environment, though I imagine this is not uncommon in the restaurant industry (e.g. gossiping, servers socializing in hearing range of guests, etc.)",,,,,3.1508771929824557,2.7235240591104324,3.130632792673507,2.8532021712147317,2.8739659982399965,2.7853190668980137
1056,"""A great fast paced company to be a part of with high standards""",4.0,1.0,5.0,4.0,4.0,4.0,2012-06-20,Current,Food Server,Pleasanton,Yes,Yes,Yes,Part-time,More than 5 years,"Very team oriented. The managers are very helpful and driven. There are a lot of shifts to work. The money is great. If full-time there are really good health benefits offered. Flexible scheduling, and short shifts make it a great job for a full-time student. Always busy.",Because of the fast pace management doesn't have time to take care of staff at times. Hosts regularly seat all tables at the same time. If full-time servers are very overworked and burned out. Weekends must be worked as well as holidays. Shifts can go really late at night.,"Change the rules as far as seating a server all tables at once. This rule can really hurt the server and cause them to be overworked, as well as risk hurting the guest experience. Breaker and food-running shifts should pay better. There should be more food-runners scheduled each shift. Work life balance is a huge problem. Management doesn't care at all about work life balance.",,,,3.1649122807017545,2.4775496833369735,3.272459450513075,2.9291316993645675,2.9358123162762833,2.8814343551185653
1057,"""Server, Designated Trainer at the Cheese""",3.0,3.0,4.0,2.0,2.0,3.0,2012-07-02,Current,Server,Fairfax,Yes,Neutral,Neutral,Full-time,More than a year,The people employed by the company are friendly and all work as a team,"The company is not interested in taking care of its employees, low pay and long hours",The company needs to listen when their employees fill out their surveys and respond accordingly,,,,3.0508771929824565,2.677549683336973,3.1584243627937765,2.729131699364568,2.7358123162762835,2.7393290919606708
1053,"""Bakery""",4.0,3.0,4.0,4.0,3.0,4.0,2012-07-05,Current,Baker,San Jose,Yes,Neutral,Yes,Full-time,Less than a year,Good people to work with and better chances of moving up,Work too hard for little pay,none at the moment,,,,3.1649122807017545,2.70561985877557,3.1724594505130748,2.957201874803164,2.8638824917148797,2.867399267399267
1055,"""Unfair & Hurtful""",3.0,4.0,3.0,3.0,3.0,1.0,2012-07-10,Current,Server,San Antonio,No,No,Neutral,Full-time,Less than a year,"Flexible scheduling (except for Sunday brunch, I'm forced to work these :( ). . I love the fact that I have been able to travel to other cities &amp; enjoy my non CCF work &amp; I enjoy being around my co-workers. I enjoy the fact that I can work 5-6 hr days &amp; walk away w/ more than I would making an hourly wage. I enjoy the fact that I get 50% off food when scheduled &amp; 25% when not.",Management does not listen to me &amp; apparently does not communicate well amongst themselves.,"I hate the feeling that I'm just there or not respected by the majority of mgt &amp; treated unfairly when it comes to scheduling, advancement w/i the company &amp; favoritism. I don't have to be a favorite, but I do expect to have the same opportunities to make money as the next person &amp; if I'm not excelling, please elaborate as to how, give examples, etc...To this day, I'm simply not sure of what exactly I'm doing wrong to the point that I don't get assigned for particular sections, I can only pickup &amp; can't even do that all of the time, why I'm not trusted to be a DT (designated trainer), &amp; why I'm treated as an alien or someone who does not know what they are doing. I do the best I can &amp; would to be treated as such. I'm not perfect, but I do work very hard &amp; want the same opportunities to prosper as the next person.",,,,3.0508771929824565,2.8196549464948677,3.058424362793777,2.857201874803164,2.8919526671534763,2.5673992673992667
1082,"""Good work enviroment""",4.0,4.0,4.0,4.0,4.0,4.0,2012-07-13,Past,Food Server,np.nan,Yes,Neutral,Neutral,Full-time,More than a year,"Great coworkers, easy and flexible schedule (easy to trade shifts, since its done online), good hours, decent money. Great food!!!","Off season, some stations you don't really make good money. But that is the reality on any place",,,,,3.1228070175438596,2.7775496833369737,3.144389275074478,2.9291316993645675,2.9638824917148803,2.8814343551185653
1052,"""I love my coworkers! Management is great""",4.0,3.0,4.0,2.0,3.0,4.0,2012-07-19,Current,Server,Boston,Yes,Neutral,Neutral,Full-time,More than a year,"Management is awesome, coworkers are friendly and there is a great bond, money is fairly decent from what I have made. You can maintain a flexible schedule and work far less then 40 hours and still make great money.","Customers....There are a lot of foreign people who do not know how to tip. There really is no career advancement here so you get stuck in a dead end job. Also, you do have to work weekends to make money.",Keep doing what your doing. I would only ask that you look into different uniforms since the ones we currently wear are not practical.,,,,3.1228070175438596,2.649479507898377,3.144389275074478,2.729131699364568,2.8498474039955815,2.8814343551185653
