,Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management,roll25,roll100,roll250,Final_Rating,Final_Work Life Balance,Final_Culture Values,Final_Career Opportunities,Final_Comp Benefits,Final_Senior Management
335,"""Great training, but loss of hours""",4.0,4.0,4.0,3.0,4.0,3.0203389830508476,2012-07-07,Past,Hostess,Indianapolis,Yes,Neutral,Yes,Part-time,Less than a year,"Awesome formal training before it opened, tipped out, decent hours at beginning.","After a few months of working, they decided to hire new people, so many employees (and myself) had hours cut back.","My managers definitely played favorites, unfortunately. That shouldn't be happening.",,,,2.960000000000001,3.480000000000001,3.221168831168831,2.585342019543975,2.596423841059603,2.3444745762711867
336,"""Decent money, bad management""",2.0,4.0,2.0,3.0,3.0,1.0,2012-07-18,Past,Server,Newark,No,No,Neutral,Part-time,Less than a year,Better than making minimum wage,"Management plays favorites, super unprofessional, will change someone's schedule so they miss a shift and then fire them, writes people up for small things like not filling a salt shaker. No appreciation for work done. We had the worst numbers in our region, I believe due to management issues.","Grow up... this isn't high school. There was one good manager that listened to employee's issues, and the kitchen manager was professional. But most of the management was outwardly rude to employees that they didn't like and would find small reasons to let people go.",,,,2.7200000000000006,3.4400000000000013,2.9411688311688318,2.545342019543974,2.4164238410596033,2.142440677966102
334,"""Serious Pizza""",3.0,5.0,3.0,2.0,3.0,4.0,2012-07-26,Past,Server,Nashville,No,Neutral,Neutral,Part-time,More than a year,Great staff. Great food. Great times.,"Awful clientele. Area of town is nice, but the oeople are not.",Treat everyone the same and have same expectations for everyone.,,,,2.8200000000000003,3.500000000000001,3.0011688311688314,2.4453420195439746,2.4164238410596033,2.482440677966102
337,"""Same social dynamic as a middle school; if you weren't part of the right clique you were doomed to fail.""",1.0,3.0,3.0,1.0,2.0,1.0,2012-07-31,Past,Server,Scarsdale,No,Neutral,Yes,Part-time,Less than a year,"The money is fantastic. Paid very low hourly, but you get to keep nearly all of your tips (just pay some out to the cooks and the hostess).","You are expected to pay for everything you need. The uniforms are very specific and you are not given an allowance or anything. You have to buy all your own shirts, pants, shoes, etc. The dissonance between management and servers is also far too much.","I see a job as something professional. I did not share personal information unless asked specifically (so a non-answer would be awkward), yet I was reprimanded for how I felt about kids. in any other situation or with other people it would be a non-issue. But managers have far too much leeway and if they have a personal opinion about you that is negative, it affects how they treat you. My advice? train your managers to be more professional.",,,,2.6600000000000006,3.3000000000000016,3.0011688311688314,2.425342019543974,2.316423841059603,2.2224406779661017
331,"""Enlightening""",5.0,4.0,5.0,5.0,4.0,3.0203389830508476,2012-08-20,Past,Server,Evanston,Yes,Neutral,Neutral,Part-time,More than a year,"Flexible schedule, supportive management, great food, fun atmosphere",Alot of mandatory tests that you have to past in order to serve.,,,,,3.1,3.360000000000001,3.2411688311688316,2.9053420195439745,2.516423841059603,2.5044745762711864
333,"""Improving under new leadership.""",3.0,2.0,3.0,4.0,2.0,3.0,2012-08-21,Current,Hostess,Irvine,Yes,Yes,Yes,Part-time,More than 5 years,The company is undergoing a whole slew of changes at the moment--all for the better. Section sizes are decreasing (a good thing! I'm used to 8-12 table sections) and new uniforms are being released.,"Once the dust settles, we'll see which cons still remain. The managers are overworked and underpaid--the usual restaurant crap.",Calm down. I've seen managers do some really nasty and illegal things over the years and corporate never does anything.,,,,2.9000000000000004,3.141157556270098,2.9823376623376623,2.730684039087948,2.272847682119206,2.502440677966102
332,"""Has gone downhill the past couple of years""",3.0,5.0,5.0,4.0,4.0,3.0,2012-08-26,Current,Server,Laguna Hills,Yes,No,Neutral,Part-time,More than 8 years,Flexibility. Great people to work with. Quick and easy job for fast cash,New CEO who cares more about making money than anything else. It used to be a better company 5 years ago to work for. You have to deal with annoying customers who complain about every little thing. You'll get managers that don't know what they're doing.,Don't blame employees for everything,,,,2.9800000000000004,3.521157556270098,3.2623376623376625,2.730684039087948,2.5528476821192054,2.582440677966102
330,"""Easy place to make money, the food sells itself.""",4.0,4.0,3.0,3.0,3.0,3.0,2012-09-19,Past,Server,Tempe,Yes,Neutral,Neutral,Part-time,More than 3 years,The people you work with is what makes CPK a great place to work. The shifts are flexible and if you are willing to work the right shifts you can make a lot of money.,Beware of secret shoppers. You must follow the perfect sequence of service perfectly with every table in order to do well on a secret shopper report.,,,,,3.12,3.3811575562700984,3.0223376623376623,2.6306840390879485,2.4128476821192057,2.582440677966102
328,"""Very, very satisfied""",4.0,5.0,5.0,4.0,3.0,5.0,2012-10-08,Current,Server,Coral Gables,Yes,Neutral,Neutral,Part-time,,One of the best companies i've worked for.,I have nothing too serious or problematic to say about it.,,,,,3.12,3.481157556270098,3.3023376623376626,2.730684039087948,2.4128476821192057,2.8224406779661013
329,"""Great co-workers, fun, relaxed environment. Good Management""",3.0,5.0,3.0,3.0,4.0,3.0,2012-10-14,Current,Server,Newport Beach,Yes,Neutral,Yes,Part-time,More than 3 years,"California Pizza kitchen is a great place for young people just starting out in the work force. It has a relaxed environment, the majority of my co-workers are fun, good people, and the restaurant's name is well established.",Sometimes company decisions regarding the addition or removal of certain food items just don't make any sense. Good items have been removed to be replaced by bad ones too often.,Take more time to observe the work of your employees and their relationships with the guest clientele. I have seen way too many of my excellent co-workers get fired because of a small stupid mistake. I have also seen far too many awful co-workers able hang onto their job for way too long.,,,,3.0600000000000005,3.4223151125401943,3.043506493506494,2.596026058631922,2.5092715231788083,2.543254237288136
