,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
30,Joe L.,"Colorado Springs, CO",29,16,,1.0,2013-04-08,"You know the menu and decor.  The only reason this one is still open at all is because Crestview, FL has no other sit down restaraunts in town.  Other than that there is no reason to go back.  The service has been lousy everytime we visit.  The food is ok when you get it.  Last time we went they forgot my son's meal and blamed it on the cook.  It took another 20 minutes to get him a corn dog out to the table!  No apologies, no discounts nothing.  We will never go back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.18,2.18,2.18,2.18,2.18
32,Donnie D.,"Washington, DC",0,5,5.0,3.0,2013-06-22,"This spot was ok, needs more tv's around dining area outside the bar area.. I'm just saying I like to watch sports while I eat too. Seem like the tv's are there exclusively to accommodate people buying drinks.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.38,2.38,2.38,2.38,2.38
31,Meredithe M.,"Bisbee, AZ",30,120,179.0,3.0,2013-07-31,Typical Applebees.  The service was good and it wasn't too crowded.  Their menu has a little bit of everything and the kids like it.  The wedge salad was yummy!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.444,2.444,2.444,2.444,2.444
28,Boo L.,"Fort Walton Beach, FL",10,203,4.0,1.0,2014-04-15,"I'm giving up on this location. I am tired of the apathy displayed by employees on all levels, to include management. The corporate website didn't even bother to respond to an issue I recently contacted them about. The inconsistency in meal quality is unacceptable.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.18,2.18,2.18,2.18,2.18
23,Leigh J.,"Athens, AL",5,5,4.0,3.0,2014-07-07,"We've eaten at Applebee's many times, it's always good. Our meal last night however wasn't that great! I ordered the quesadilla burger, which I normally love! It was so salty I couldn't eat it. Service was lousy!! & they were not very busy. We had to remind our server to bring several things we asked for. Our app & other meals were good.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.444,2.444,2.444,2.444,2.444
24,Kathy S.,"Rapid City, SD",17,70,1.0,1.0,2014-12-29,"While visiting the area, we've eaten here 4 to 5 times in the past 3 years. We keep hoping the manager has changed or the franchise has swooped in to fix the mess. The server's apathy is never a disappointment. They hang out in the back and never seem to come back. The food has been good most of the time, but takes absolutely forever to come to the table. We've finally given up. If the help is that lax in public, what's going on with the cooks in the kitchen? We're out.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.18,2.18,2.18,2.18,2.18
22,Matt G.,"Fort Walton Beach, FL",4,21,8.0,5.0,2015-02-04,"Clearly there's been a change in leadership at this location...the previous reviews point to rampant apathy among the serving staff and inattentiveness...however, my family experienced quite the opposite. We went to the Bayou Blvd. location in Pensacola and had one of worst experiences ever from a chain. I left a review on that one if you want to look at it for an idea. The district manager contacted me and addressed all my concerns accordingly and indicated he would make it mandatory for servers to write down orders going forward, and to emphasize the importance of accuracy. This Crestview location was OUTSTANDING. Even the food quality was night and day compared to the Pensacola location, which only leads me to believe whoever is hiring there is clearly doing it wrong -- call the Crestview folks and see how they're doing it, because it's working. The staff all kept coming to our table to play with our son and really made us feel welcome, which isn't something you see out of most chain restaurants. We will definitely be back here, and we now understand why this place is always so packed.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.676,2.676,2.676,2.676,2.676
26,Robin P.,"DeFuniak Springs, FL",2,1,,1.0,2015-04-06,Went here for Easter dinner. This has never been my favorite place but hubby likes it. Food portion is now half of what it was a month ago. My oldest daughter got the penne pasta. Bottom of bowl was covered that was all. Bread sticks were hockey pucks. Same with the hubby's mac n cheese dish. Youngest got 3 tiny chicken fingers. Mother in law barely got a side dish. My steak was over cooked and the shrimp was pure rubber. When we complained the waitress burst into tears and the manager Scott was rude and condescending. Told us to complain on the website. That's my next stop. Will NOT be back!!!!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,2.18,2.18,2.18,2.18,2.18
25,Mery V.,"Crestview, FL",0,4,6.0,4.0,2015-11-06,"Very Good appetizer. They had a special for house margaritas, very cheap and big glasses; tasted really good . Very clean place and good atmosphere over all. 3 cheese macaroni was very good . Ribs were ok.  Triple chocolate meltdown was decent dessert.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3?start=20,,,,,
16,Ronald B.,"Crestview, FL",15,49,167.0,4.0,2015-11-09,My wife and I went on Monday because their burgers are $6.99 from 4pm to closing. We wanted to try the burgers and we were impressed. My wife had the blazen Texas burger with sweet potato fries. She didn't care for the pull pork on the burger because it was to sweet. She loved the burger and fries. I had the triple bacon burger with fries. The burger was real juicy. I had to use two napkins. The burgers were great for $6.99 but I think they are a little overpriced for their regular cost of $10.99. We had great service from Andrew K. Give them a try on Monday.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestview-3,,,,,
