,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
55,David N.,"Willowbrook, IL",167,532,1861.0,4.0,2012-01-14,"Not a big fan of rating food chains, but our recent visit prompted a good post of the lovely Yelp! I've stopped here plenty of times in the past, and we've always had decent food and not much to complain about. My recent visit was one of the best I've had here. No wait whatsoever for a table. Our service was excellent. Chips & Salsa app was a nice break from your typical greasy, oily, freshly fried tortilla chips at the local taqueria. The chips were hot, crisp, with close to no trace of oil, and plenty of salt. The salsa was good too. Tried the Sizzling Asian Shrimp with Vegetables and was definitely pleased. Tons of sizzzle, flavor, the right of amount of everything. Definitely a must for anyone trying to fit back into their skinny jeans after the holidays. My wife's  steak with bruschetta was pretty good, and her $1.00 Brownie Bite was the perfect size after a filling meal. Didn't believe it when I saw the price, but for $1, you get a good size piece of brownie, chocolate sauce, and a nice scoop of ice cream. Definitely worth checking out. Thanks for dinner tonight Applebee's!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.584,1.584,1.584,1.584,1.584
41,Jennifer H.,"Park Ridge, IL",104,31,2.0,1.0,2012-07-15,"I tried to order the Curbside to Go Service the other night for dinner.  It was a simple request: a salad with chicken in it and a chicken wings appetizer. I was put on hold and jockeyed between employees 3 times before anyone even took my order.  Then, I finally placed the order and said that I'd like to delay it a bit so that I could finish my work--pick it up in 30 minutes instead of 15.  I was told that the entry system was unreliable when it came to delaying orders like that.  Chances are that someone would still make the food and it would just sit there. WTF? Even if this is the truth, how is it good business to TELL people that?  So I asked, ""Just to clarify, you are telling me that I need to call back to accommodate your system?""  The reply? ""If you want your food to be hot, yes."" I will never eat there again, and that's a shame because I hate to cook and find myself eating out quite frequently.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.3160000000000003,1.3160000000000003,1.3160000000000003,1.3160000000000003,1.3160000000000003
52,Glynis W.,"Chicago, IL",15,21,,3.0,2013-03-09,"Applebee's is good for making a quick stop to grab a bite to eat!  I've been a patron for years!  The service and the food is a bit sketchy and hit or miss but, most of the time you're there with friends and family and the conversation and time spent with them at the restaurant outweighs everything else!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.5160000000000002,1.5160000000000002,1.5160000000000002,1.5160000000000002,1.5160000000000005
38,Dark S.,"Blue Island, IL",0,19,,2.0,2013-11-17,"I go hear often with mom, we have a little fun and a good meal..... BUT sadly weds 11-13-14 I had the worse experience of my life....no fun and not a good meal. it was not busy even tho we went at lunch time..... we were seated quickly, took nearly 5 minutes for server to reach table...she was quick to ask what we wanted to drink and rushed away....serveral minutes later we got the coffee and glass of water ordered...as she was about to rush away again, I stoped her said we were ready to order....shes like oh...ok. she did not write anything down....but ok, order was pretty easy..... spinach artichoke dip, 2 broccoli soups, 1 cheese burger with grilled onions and mayo on the side, 1 cowboy burger with the onion strings, bacon, cheddar and bbq sauce.... took a while to get soups and then were cold, dip was cold and watery, sent soups back, they came back to us lukewarm....dip we just ate even tho it was chilled an thin.... the server was slow, didn't come back for a while, mom barely got a 2nd cup of coffee and I think a different server was kind enough to do this for her, ( oh yea it was a different server who took the cold soups back for us to the kitchen ) when burgers arrived at table, we got a cheese burger and a quasadia burger ( WroNG) far cry from the cowboy burger orderd it appeard to be a paper thin patty on chopped tomatoe an whatever on a grilled toritilla shell....not happy...got the manager...blah blah blah..finaly got the right burger...oh and the grilled onions on cheese burger not that grilled and did you know it cost $1.29 for them? never knew to be charged for grilled onions before but ...whatever now...... ended just boxing burger because I was aggravated.....rest of food....to justgo ohh yes I almost forgot when I placed order I also placed order to go...with all this chaos on a NON busy day I said screw it and cancel it..... bill arrived, I was still charged for what I cancelled, and the $1.29 for non grilled/grilled onions.....and cold food.... finally getting the cancelled order off check, I was offered an apology and one of those itty mini desert shooters to go...woohoo..how kewl is that? paid my money and got the hell out of there. I told manager I was not happy, all I wanted to do was have fun and a nice lunch with my mother..... posted to fb and the link that fb told me to do ... no response no compensation....no nothing...just opps sorry.... guess I wont be going back anytime soon.....guess its back to lonestar for me....",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=20,1.384,1.384,1.384,1.384,1.384
42,Jennie R.,"Oak Lawn, IL",56,21,5.0,1.0,2014-01-06,"I've been here only a couple of times but last night was really bad. As everyone knows there was a nice snow storm so we thought we would grab something to eat while we were already out. We were seated right away. Our server was over to us in just a couple seconds to see what we wanted to drink. My boyfriend asked if they had dr. Pepper and she said no but we have cherry Pepsi. That is no where close to being dr pepper! It took at least 10 minutes for us to get our drinks. So we were looking through the menu and there weren't that many choices for the 2 for 20 or 2 for 24 which is what we went there for. So we settled on spinach and artichoke dip with 2 entrees of their Mac and cheese.  It took another 10 minutes or so to bring out the appetizer. The chips were super oily but other than that nothing to complain about.  So I was really looking forward to this Mac and cheese and boy was I disappointed. The chicken tenders that came on top were okay, but the noodles tasted nothing like Mac and cheese. They had a barbecue/honey mustard taste and I didn't eat one bite of it. I'm a huge bread fan too so I thought I would at least enjoy the bread stick, but nope. It was dry and the seasoning that they put on top was just terrible. And with all of this happening, our waitress never stopped by us to see how everything was. They were all too busy trying to close early rather than take care of the customers they had in there. I wish we took the opportunity to just get up and leave when they were all hiding in the back. Definitely not worth $30. My other experiences were okay but this one really made me not want to come back ever.  I probably won't go back to any Applebee's. They're supposed to be known for awesome service, a fun atmosphere, and great food, but I never received any of that.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.3800000000000003,1.3800000000000003,1.3800000000000003,1.3800000000000003,1.3800000000000003
35,Peanut-Gallery K.,"Alsip, IL",0,9,,1.0,2014-02-12,"Run far, far, far away from this place. Worst customer service in the industry. My girlfriend and I stopped by this Applebee's location for a few drinks and appetizers before heading to the movies theatres. I should try tried to. When walked in we were greeted and sat very quickly. There were a total of 7 tables seated in the place and no one at the bar. After sitting at are table for 15 mins we were finally greeted by are rude server. ""What you want to drink?"" With attitude.  No hi my name is, sorry for the wait, welcome to Applebee's. So we ordered 2 brewtus of bud lights.  We sat for another aggravating 10 mins and the server came back asking are you ready to order with out bringing my delicious beer. I asked her if we could get are beers. She said sorry about that the bartender is busy. Horrible excuse since the bar was 20 feet from me and there was one person sitting at the bar. I looked over to the bar and are beers were sitting there as the bartender was cleaning his area. She left the table to go grab are beers and on her way back decided to have a few minutes conversation with another server.  When she finally made it to the table we decided we were done with it. Told her we don't want your beer after sitting for 35 minutes. She walked away. After we put are jackets on a manager came over and said a beer would be comped if we still wanted to stay. I told him to learn to have better service. We walked out no beer no food.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=20,1.5080000000000002,1.5080000000000002,1.5080000000000002,1.5080000000000002,1.5080000000000005
47,Eileen P.,"Flossmoor, IL",27,90,25.0,5.0,2014-02-22,I have been to this location many times. I have always had good service from my server and the food is good and reasonably priced. I can't say that I have ever had a bad experience at this Applebee's. I also love that on Veterans Day they give free meals to Veterans. I go every year and have a steak.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,2.004,2.004,2.004,2.004,2.0040000000000004
54,Dominique J.,"La Grange, IL",29,6,3.0,1.0,2014-03-16,"Absolutely TERRIBLE I will never go back to this location. I'm usually not in this area but was out with a friend so we decided to stop in for a bite to eat. We honestly would have been better off going to Sonic's across the way. We were seated promptly but that's the only highlight. Once seated it took almost 15 minutes for us to get water. I had to ask the hostess for the waitress. The waitress finally showed up and and nonchalantly apologized for the wait. We ordered our (water) drinks and waited another 10 minutes before getting them. After that we placed our order, which included an appetizer, it took awhile for the appetizer to make it to our table. Needless to say our entrées came out very late and the waitress blamed that on the new cooks in the back.  I wanted to speak with the manager however that didn't go any better than the terribly slow service and so-so food. The manager had a very nonchalant attitude and didn't offer any apologies or compensation for her staffs mediocre performance. Yep, defiantly won't be back to this Applebee's location, what a waste of money, time and effort.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.4760000000000002,1.4760000000000002,1.4760000000000002,1.4760000000000002,1.4760000000000004
44,Walter M.,"Alsip, IL",7,16,2.0,1.0,2014-07-10,A horse dump would be better than this suck hole. Waited 30 min for a server who never came back after we ordered our food. It was the end of her shift so she left and no one picked up out table. After 30 min of waiting I just pushed my water onto the floor which finally attracted the attention of the manger. One the manager heard our story we were offered a free appetizer. In reply I pushed my wife's water onto the floor soaking the managers feet. Needless to say we left after that.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.5400000000000003,1.5400000000000003,1.5400000000000003,1.5400000000000003,1.5400000000000003
53,Melissa B.,"Blue Island, IL",56,2,,1.0,2014-07-11,"Definitely unhappy with management, they like to lock the doors on the restaurant more than an hour before they're Are supposed to close! We got there at 11:45pm and they are supposed to be open until 1am! The person at the door played dumb and wild not unlock the door, what kind of service is that!? And finally when the manager came to the door he said ""oh , I guess you can come in"" seriously?! Why advertise ""open late"" then! I wonder if the company knows they are turning down BUSINESS!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-crestwood-4?start=40,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000004
