,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
15,Alex G.,"Dahlonega, GA",0,3,,1.0,2012-07-28,"Wow, I just wanna say I'm not a big fan of the chain restaurants, simply because of the food and service I got here. The waiter wasn't this nicest guy. His attitude changed when my friend confronted him about the small uncooked amount of french fries on his plate. His fiancés vegetable were terribly undercooked,as we're my mashed potatoes. And if you like your salt with your sirloin then you will love this place.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
16,Eric S.,"Cumming, GA",0,11,,1.0,2013-04-18,"My wife and I live a short drive from this location.  Since relocating to the area over a year ago, we have frequented the restaurant on impulse.  The waitstaff knows us by sight and many know our names.  Typically, our dining excursions take us south to Alpharetta or closer to the perimter.  After our latest experience at this location, we will always drive farther for a meal.  The protion size and quality have shrunk over the last year.  Normally, my expectations are lowered for a franchise restaurant location.  The food no longer meets even my minimum expectaions.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
13,Lisa K.,"Cumming, GA",8,9,8.0,4.0,2013-07-05,"Our family is pretty picky high taste eaters and my salad was great, hubby said his sirloin was good and cooked correctly and son had a kids cheeseburger, cheapest kids meal for a sit down restaurant. We will be back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
0,Gary B.,"Dawsonville, GA",2,34,,5.0,2013-12-09,"We decided to go there a few weeks ago.   The place was clean, the staff was very helpful and the food was great. the food didn't give me the squirts and that's a good thing.  I've always liked Applebees, it's a safe place to go and get a good meal.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
8,Erica G.,"Peachtree City, GA",229,171,592.0,2.0,2015-08-20,"We ate at this location on a Thursday around 5pm. I can't remember the exact names, but we ordered a chicken skillet, steak skillet, chicken fingers, asian salad, broccoli, and potatoes. The chicken was really dry and didn't taste good at all. The broccoli was gross. I don't know what was on it. We ordered the steak medium, but it came out well. The potatoes were good and it's difficult to mess up a salad or fried chicken fingers. I was going to politely mention the errors to our waiter, but my friend who works in the restaurant industry wouldn't allow it. Just for reference, our waiter was very nice.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
10,Steven G.,"Dahlonega, GA",15,27,7.0,4.0,2016-02-09,"I  am very picky about food, and Applebee's is a middle of the road place, not great, not bad. Always reliable, in my experience. But I must say that every time I stop at this location the service is excellent. Servers seem knowledgeable and very friendly. Jamie, Bree, and heather are excellent servers. SUPER friendly. Remember my wife's and my drink order every time. Very good experience with them. They do a great job!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
4,Justin S.,"Atlanta, GA",692,7,5.0,1.0,2016-05-10,"This is the second time I've been to this location and I figured I would give it another shot before leaving a review. Unfortunately, both times the service has not been the quality I've grown to expect from Applebee's. I've had Shannon as a server both times and I have just been let down by her poor attitude, lack of enthusiasm, and rude demeanor. During the first visit, the service was so poor, a friend had to contact the franchise owner to rectify the situation. The second time around was not any better. She did not make the promotional offer at the beginning of service nor acknowledge the fact that we are entitled to a free lemonade for her neglect to do so. It is my highest hope that this location opts to retrain their waitstaff as my experiences unfortunately have me looking elsewhere for dinner.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
12,Bradlee M.,"Chattanooga, TN",5,1,,2.0,2016-05-10,"I went out to celebrate with a friend. This is the second time I've been to this establishment, and I was just as disappointed as the first time. As soon as I walked in the door the waitstaff was attentive, but it seemed as if they hated their jobs. My waitress had a very poor attitude, Shannon. I've worked in the restaurant industry for a while, and I understand how when it comes close to closing time moral is a little low. However, customers shouldn't see that. The waitress was very rude until my friend revealed where they worked. Suddenly, she perked up as soon as she knew that could be a sell. As well, the waitress didn't offer us the drinks she was supposed to when she sat the table.  I feel that the experience would have been better if the waitstaff would have been a little more attentive and friendly. It definitely put a damper on the celebratory vibe we were going for. I would definitely consider a different Applebee's in the area that has a little friendlier service before this one.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
7,Amy W.,"Atlanta, GA",29,134,200.0,1.0,2016-05-28,"For a chain restaurant I actually use to like Applebee's food. However the service here is terrible and unprofessional. Drinks are bad too. I guess Dawsonville doesn't have any decent servers to hire, because both times I went to this one, the service was ridiculously bad.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
6,Matt J.,"Gainesville, GA",0,4,,3.0,2016-09-04,"Did the carside to go, I got there 5 mins after my good was estimated to be done and then say there for an extra 5 mins before I called into the store to see why no one was coming out then I was put on hold 1 min later the guy came out and served me my at least 11 min old food the I handed him cash and proceeds to tell me that he doesn't have a til. I told him to just keep the change cause I didn't want to wait another 5 mins for him to come back but then he asks me what kind of condiments I would like, well I waited anyways for those 5 mins before I got them delivered to me by someone else. Never a great experience when I go to this location unless it's lunch time on weekdays",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dawsonville-3,,,,,
