,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
4,Matthew K.,"DeKalb, IL",2,50,,2.0,2012-04-02,"Applebee's pretty much wrote the book on mediocre food, and the DeKalb location is a model for this mediocrity. You come to Applebee's because you want to get waited on, but you don't want to spend the money to go to a real restaurant.  When you discover the quality of the food in proportion to how much you spent, you realize you've been ripped off. In addition, the DeKalb location has serious service issues.  The last five times I've been there, there have been major issues with the service: orders forgetting to be placed, drink orders not delivered but still charged for, neglecting the table, chatting and joking with friends; the list goes on. The only possible reason to go to Applebee's is to watch sports at the bar, have a few drinks, and eat some pub grub.  It has a nicer atmosphere for this than, say, Buffalo Wild Wings where it is simply to loud.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.088,2.088,2.088,2.088,2.088
7,Jeanna G.,"Neenah, WI",21,21,1.0,2.0,2012-06-25,"My husband and I have been here a few times since the beginning of 2012.  The food has been alright, and actually the fajitas are better than ever... but my complaint is directed more towards the service and the attitude of the staff. Our server (Mike, I think?) was okay, but he spoke way, WAY too fast for me to even understand him. I had to ask him to repeat himself several times. It was very hard to understand anything he was saying. We came to this location in the early dinner hours last Saturday night, and our order took well over 30-45 minutes to get to our table. It wasn't busy. I really didn't see the reason for the delay. While we waited, I noticed a couple sitting behind my husband complaining about their food.  One person ordered the fajitas and even took it back, because ""it was too spicy"".  So when I saw others having problems with their order (same server), that was a red flag. Also, I should add that I saw this same couple on our way home, and at a stop light, the lady actually got out of the car, and gave the driver behind them their food they didn't eat, from here! But anyway, I digress. Our food was okay. We both got burgers.  While we were eating, I noticed one of the hosts complaining, quite loudly. He complained about how bored and tired he was, and just wanted to go home.  He looked like he could care less about seating people.  (I believe attitude is everything, and if you're the first person a customer sees, show that you actually care, or at least fake it until you make it... don't complain within earshot. ) So, with  the extremely long wait and the weird vibe I got from our server (and his inability to speak slowly/clearly for customers to understand), I don't think we'll be coming back to this Applebee's. My husband even got sick after eating the bacon cheeseburger. If we want to go out to eat at a sit-down place we'll make the drive to Geneva or Lombard.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.088,2.088,2.088,2.088,2.088
15,Brian K.,"Sycamore, IL",0,22,1.0,1.0,2012-11-24,"This place is flat-out LOUSY. The wife and I went back after they revised their menu and re-decorated. The place looks nice, I just wish they would actually make their food vs microwaving everything. If any of you think there is any kind of cook, you are very mistaken. The fries are so salty and ""seasoned"" they were not edible. I had the Ruben, and it was really nothing special. We will never go back. Go spend your money at the small mom and pop places. Big chains don't need your money.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.02,2.02,2.02,2.02,2.02
8,Frank D.,"St. Charles, IL",0,3,,2.0,2013-03-14,"Been here a couple of times, I don't know whats with this applebees, its just not up to par with the other ones i've been too. Service seems ok, however the food just does not seem as good.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.12,2.12,2.12,2.12,2.12
1,Dave Y.,"Sycamore, IL",224,191,50.0,4.0,2013-12-24,"The food in Applebees tends to be very consistent from location to location, which means we are never disappointed. The staff at this location is exceptionally friendly and the wait times are limited. Food is served quickly and prepared properly. If I had any complaints, it would be for some reason this locations seems to occasionally attract some rather boisterous groups, which can make for an unpleasant experience for everyone, however not much can be done  unless they severely cross the line. I would recommend.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.288,2.288,2.288,2.288,2.2880000000000003
6,Sadie P.,"DeKalb, IL",0,24,2.0,3.0,2014-01-06,This place is good because you know what to expect when you eat there. I never used to like Applebee's but their new menu gave me some better options and I was pleased with my meal!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998,2.2199999999999998
14,Rachel S.,"DeKalb, IL",0,12,,4.0,2014-02-22,"Great Applebee's, friendly staff.  Enjoy the food assortment...they even accommodated us and made something off the old menu! Thank you!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,2.256,2.256,2.256,2.256,2.256
5,Danielle T.,"Cortland, IL",0,1,,1.0,2014-03-29,"A few weeks ago they messed up my pick up order - twice! The same order - twice! Having to drive back and forth twice to this location was frustrating enough...I was given 4 -$5 off cards for my next purchase. My husband and I tried it again tonight and the cook apparently still can't get an order right. Manager called her cook lazy...you don't say that to a customer. You apologize and that's it. You don't demean your team. Needless to say, I am done with Applebee's.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000003,1.8600000000000005
0,Marie S.,"Sycamore, IL",2,13,5.0,3.0,2014-05-08,After not going to applebees for about 2years becausy boyfriend and son hated it. I am very pleased by the new menu. My bf has joined me twice here after trying it. There new menu has a great number of yummy choices and their new manager is doing an excelent job. The service is fast and friendly!,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3?start=20,,,,,
36,Norah C.,"West Chicago, IL",1,3,,1.0,2014-06-02,"I would give this zero stars if I could. The waitress didn't give us the time of day and when we did catch her, she was not friendly at all. She never cleared our dirty plates from our table even when it was to the point that we were stacking our empty plates and shoving them toward the edge so she would take them. Looking at nearby tables, the same thing was happening in our whole section. I ordered a margarita and I'm positive they didn't put any alcohol in it. It tasted like I was drinking kool aid with extra sugar. I did not get carded twice by people with bad attitudes just so I could not get a shot of tequila in my margarita. The worst part was the food. My boyfriend and I got the 2 for $20 deal. The spinach artichoke dip as an appetizer was watery and may or may not have actually contained artichokes. That would have been no big deal but the next part really threw the whole meal off. I ordered the steak. It came out grey. I cut into it and it was strangely undercooked on the inside while too chewy on the outside. The meat itself didn't look at all like steak. Imagine a meat the texture of tuna, the color of a street, which tastes like a block of salt. This is what I was served. I was concerned that the piece of meat had perhaps gone bad and finally complained to the waitress about it. She took my plate and said they would fix it. (Later we theorized that it had actually been ground beef- or maybe a mixture of ground meats- that got formed into a steak-like shape and thrown onto a George Foreman grill.) I don't send back food often but the few times I have in the past, the restaurant has completely replaced it. Not last night. They took my same ""steak"" and reheated it. I honestly think they put the whole plate in the microwave because it was super hot and the mashed potatoes that had almost cooled to an edible temperature were now back up to molten lava. The manager brought my plate back without saying anything except to ask me to cut into it. He didn't apologize for the mishap. He didn't offer to comp anything. He didn't even smile, ask if we needed refills of water (we did), or really do anything a person concerned with customer service would do.  In the midst of this, my friend used the restroom. When she returned, she said the floor was so sticky it started pulling off her shoes from her feet. When we got the bill, it somehow ended up more expensive than it should have been. We paid the bill as quickly as we could and got out of there. I felt queasy all night and as I am writing this I have a stomach ache, no doubt from the mystery meat I ate (not even half of) last night. Honestly, they need a new staff, some testing done on their meat, and a visit from the health inspector.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-dekalb-3,,,,,
