,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
19,C. K. B.,"Clifton Heights, PA",1,99,227.0,3.0,2012-02-27,"I have been to this Applebees many times and have always had good service and good food (wouldn't return if I didn't). The Caesar salad is my fav, and you can't beat the 2 for $20 deals, the steak is delish. The sandwiches are also good and I hear they have new menu items coming out, can't wait. It's a chain, so know that going in. Great place to go with a group of friends, as it's not too expensive and the atmosphere is casual. 3.5 stars",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.508,2.508,2.508,2.508,2.508
3,Steve S.,"Glenolden, PA",334,945,282.0,2.0,2012-05-20,"You go to Applebee's for three reasons... A) You got a gift card from someone (reason I went tonight) B) Friends you want to meet up with are already there and you've lost out on your chance to talk them into going somewhere else. C) You really don't care.   Truth is, when I have come here, I have been OK with this place.  I've generally had decent service.  Some of the food is ok.  I have found that with chain restaurants, especially the Applebee's chain, that you tend to get better eating experiences with the appetizers and desserts, and not so much with the entrees.   So, your solution is to order up a couple of appetizers and a beer, and you probably won't complain as much.  But if you order up a steak or a plate of pasta you might regret it.  And I am certain that this goes for every other Applebee's restaurant out there.   For instance, tonight I went (with a gift card), and ordered up the boneless wings which were decent.  The blackened chicken penne pasta dish however was mildly mediocre.  It wasn't really flavorful enough to be strongly mediocre.  The wife liked her Bourbon shrimp and chicken.   Didn't bother with dessert.  After all, we only had a $25 gift card and I decided not to give them any actual money tonight.  But with the 2 for $20 deal, it worked out.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003
21,Ben D.,"Philadelphia, PA",3,78,2.0,1.0,2012-05-22,"It just blows me away that people willingly eat here. I just don't get it. You should see the look on my face when I drive by on a Saturday and see people actually waiting outside for a table.  Going here for a beer and some fries or wings to watch a game would be the only somewhat acceptable reason to be here.  The food is just like all the other Applebees, out of a can and overcooked then allowed to cool to just below room temperature. I'll be honest, i swore off Applebees for life a couple years ago but Ive been to this one many times and felt I had to warn you in case for some reason you are on yelp but would still consider going to Applebees. You'll have better luck at the wendy's, chik fil a, or cocco's pizza which are all a stones throw away from their front door.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.34,2.34,2.34,2.34,2.34
15,Wayne S.,"Petaluma, CA",0,277,,3.0,2012-06-22,We went there twice in 2 days.  The food was all right.  My wife had to have her tacos taken back one night because they were not done completely. I had a salad one night and a burger the other night.  The service was good and the food was average and decently priced,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.54,2.54,2.54,2.54,2.54
7,Laura F.,"Kansas City, MO",96,528,331.0,2.0,2012-09-25,"Same old chain. I have been here several times to meet friends, and I do like their 2 for $20 deal and healthier options, but I know what to expect from Applebee's. The food appears to be assembly-line, mass-produced meals. The flavors are not bad, but salt is probably the star ingredient. I get very bored with the same old menu and the quality seems to have decreased over the years. Not much creativity in the dishes. The service at this particular Applebee's is fine, I have never had a bad experience or a memorably long wait.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003
22,Matt M.,"Wilmington, NC",6,81,8.0,2.0,2012-11-08,"Typical applebees....nothing special, but nothing bad either. Usually just go for drinks or half price appetizers late night. Other than that I try to stay away from this restaurant....if you can call it that",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.472,2.472,2.472,2.472,2.472
17,Krissy H.,"Virginia Beach, VA",121,198,139.0,4.0,2013-01-08,"People love hating on the Smapplebee""s but I am a huge fan! Why?? Lets start with the service. The staff is really nice and I really appreciate that even though its a chain restaurant the manager takes the time to come over and ask how my meal is, even after my server asked. It just shows a real concern for customer satisfaction. Everytime I want a table that isn't in the section they would prefer, they never make it known. They are always calm and courteous. I appreciate them accommodating our love for the booth!  Food- lets get to the food. First of all no where in town will you find a an appetizer, two steaks, four side dishes for 20 bucks. .its just crazy cheap. And its good. There are like 5 other options and many of them are good too! We haven't had anything we don't like so much.  3RD I am super happy that they have a tiny brownie with a scoop of ice cream for ONE DOLLAR. yes, one fucking dollar! It's an awesome extra little treat.  Also, The soup at Applebees is like 5 star home made stuff!! Particurally the Tortilla soup..You can not go wrong with it! I am also a huge fan of Tuscan Bean with Chicken and Sausage. I don't usually write these but I just had to show Applebee's some love because they are consistently good. And when I was dieting I still came here because they have tons of actually good options that are low calorie!! I was pleasantly surprised when most menus have a low calorie section that is just flavorless blahhh . Ok.. all and all. great place!! Great location and I have yet to try it but I think they do half priced apps late at night!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997,2.7039999999999997
23,Melynda D.,"Secane, PA",56,43,1.0,1.0,2013-02-09,"This has to be THE worst Applebee's on the face of the planet.  So much so, that I stormed out of the restaurant in the middle of dinner with my mother in law and husband.  The food has been sub-par at best on more than one occasion here, and once I got meatballs with cheese inside that were barely unfrozen.  To top it off after experiencing coagulated meatballs, when I complained they were not warm, the ""manager"" (if he really was one), argued with me that they were cooked to temp, and when I asked for them to be heated in the microwave, he turned them into napalm and I scorched the roof of my mouth.  I tried to talk to said manager, and he was a complete and pompus ass.  The ONLY reason I even give this place 1 star, is because the bar drink I had was good.  I have sworn off eating at this Applebee's ever again, I'd rather eat sod than eat here.  Even after calling during the day and speaking to another manager, all I got was ""I'm so sorry your experience here wasn't good, but I hope you come back again"". Really? Why would I waste hard earned money on a place I wouldn't even give a half penny to if we had them in the US? There is much better places such as Ruby Tuesdays if I want ""Pub n grub"".",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.308,2.308,2.308,2.308,2.308
16,Ike P.,"Sharon Hill, PA",7,6,5.0,5.0,2013-04-03,"Surprised about the poor reviews. I really do like this Applebee's, their food is always great and the service is magnificent.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.804,2.804,2.804,2.804,2.804
28,Shannon F.,"Philadelphia, PA",20,25,,1.0,2013-05-14,"This is the local hangout--god knows why. It's convenient, but that's where the positives end. And while I owe this Applebees a bit of thanks for many a warm molten lava cake (terrible for you! Don't eat it!) just before closing time after a long night of studying or a midnight deadline, I will no longer voluntarily eat here. 1. I got food poisoning from their fajitas. 2. They changed the quesadillas! They used to be good, and now they're greasy and soggy and just awful. 3. It's like a class reunion of everyone who was mean to me in high school.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002
20,Cynthia H.,"Tonawanda, NY",15,58,22.0,1.0,2013-06-22,"1 star for really bad service. Mediocre food, and small servings.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002,2.2760000000000002
8,Dan G.,"Rye, NH",22,27,4.0,5.0,2013-10-01,"There's a bit of effete snobbery about Applebees, but as someone who travels a lot and eats at restaurants at least 3-4 nights a week, I think it's good food at great value.  Now I wouldn't take a client there for a business dinner, but when I'm on the road and I want consistency and value, it meets the need.   I ate at this Applebees last night, having the low calorie shrimp dish, and it was excellent.   It's not the French Laundry, but it's good food at a good price.  The service was excellent, and it was fast. It gets good marks from me because it's consistent and great value",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.772,2.772,2.772,2.772,2.7720000000000002
26,Ed B.,"Springfield, PA",10,29,30.0,4.0,2013-10-04,"My wife and I ate here early (arrived somewhere between 5:00 and 5:30) on a Friday evening and were seated immediately. We started with the Ultimate Trio combo of Steak Quesadilla Towers, Brew Pub Pretzels and Spinach Artichoke dip. All were very good but the dip could have used more tortilla chips. I had the Bourbon Black & Blue burger and my wife had the Cowboy burger - both were good and we would both order them again. Service was quick and efficient. We did order the appetizer with our drinks so we received it first and were not even done with it by the time our burgers arrived. We were done and out the door by 6:30. We have had significant waits when going here later but that has been our experience at almost every restaurant in the area. I hate waiting so we eat early and avoid the hassle. My only complaint would be price - $15 for the appetizer and $10.40 for each burger but I guess that's par for the course with restaurants like this. At least the burgers come with fries. The above mentioned items and a large Miller Lite draft came to $39.60 after a 10% discount we had and before tip.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=40,2.576,2.576,2.576,2.576,2.576
18,Danielle F.,"Prospect Park, PA",38,12,12.0,3.0,2013-11-03,"Its Applebees. Semi cheap food, okay quality. Great late night place, and the 2 for 20 for those with a budget. The best thing is they brought back Apple Chimmi Cheesecake. I feel like it is Hit or Miss at this location with both the quality of the food and the wait staff. Also very disappointed with my beverage last time I was there",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.38,2.38,2.38,2.38,2.38
1,Jamie M.,"Conshohocken, PA",628,859,708.0,3.0,2013-12-27,"My friend lives in the area so we find ourselves here quite a bit. Yes, it's a chain, but as far as chains go, it's one of the few I can tolerate. I agree with Danielle F about the waitstaff; it's extremely hit or miss. Once we even had some girl telling us she eats food off people's plates after they leave! For the most part, the food is decent and so is the service. Great for a bite if you're up on the later side!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.412,2.412,2.412,2.412,2.412
10,Courtney H.,"Drexel Hill, PA",39,94,14.0,2.0,2014-01-07,"I have only been here a few times but after my first time at this location, I am always afraid to come back here. They DO NOT know how to cook their meats. I had ordered a steak MEDIUM & received a steak that wasn't even edible. It wasn't even cooked. Granted, I could have asked for something else. On the other hand, if they couldn't cook the steak correctly, why would I trust them to make anything else? The next few times that I have been there with my husband, I refused to order meats. I stick to a small appetizer, a salad, maybe some chicken tenders, and some fries.  I am giving this place 2 stars, simply due to the fact that the waiters are nice enough.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003
46,R J.,"Kodiak, AK",1,159,123.0,2.0,2014-04-03,"As Applebee's goes... This was pretty awful.  The French onion soup was tepid, and had been sitting too long. It was a big wet crouton. (Also basic commercial variety) Caesar salad was ok. A bit overdressed.  The feature menu item- sundried tomato chicken pasta... Is no longer offered. (Please take it off the menu!!) So I had fajitas... The chicken is ok. Sauce is horribly salty. Beef is a strange gray mass. Not recommended.  Thinking of coffee after dinner? It appears to have sat on a burner all day. Or all week. It's that bad.  Overall a pretty ""applesbees"" experience.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003,2.3760000000000003
9,Janissa R.,"Collingdale, PA",16,32,28.0,4.0,2014-04-11,Family lunch with my husband and children food was great. Our waiter Corey was excellent. I had the steak roma pepper I enjoyed every bite. I also had a frozen margarita swirl strawberries and mango. If you love margaritas I recommend to try that one. My husband has the Quesodilla burger it was delicious along with a corona margarita.  P.s pretel bread is amazing. I would of given this place a 5 star but the other waitress were behind my waiter as if he wasn't doing his job. They made it seem as if he was messing up and he wasn't.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.6719999999999997,2.6719999999999997,2.6719999999999997,2.6719999999999997,2.6719999999999997
14,Sherrice B.,"Philadelphia, PA",38,136,255.0,4.0,2014-04-13,"This was my first time at this location, met up with some friends for dinner. The place was packed but the wait wasn't that long.  We all took advantage of the 2 for 20 plus appetizer  and we had the chicken and shrimp tango, it was deeeelishous ! The chicken was cooked perfectly. The drinks were good as well. Will definitely come back!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.576,2.576,2.576,2.576,2.576
42,Dee M.,"Nether Providence Township, PA",950,704,3291.0,3.0,2014-11-12,"This is a chain so you kind of get that kind of service. I've dined here twice in 2014 and it was ok. Service is usually kind of slow but I get that at a chain. Food is chain OK. Today I was in to purchase XMAS gift cards. I've done that at this location every year for the last 4 and in that they are fantastic. Fast, accurate and friendly. Suggestion: Holiday gift cards for those who perform services for you. For every $50 you spend you get a free $10 gift card to be used by the end of February. Good for a quick lunch.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2,2.38,2.38,2.38,2.38,2.38
12,Kyle K.,"Woodlyn, PA",87,9,,1.0,2015-02-17,"Went there the other night for my daughters birthday. Seated within a few minutes. Seating was in the back corner by the bathroom, was very cold. Server was ok, nothing to write home about. The food was good as usual, although they ran out of the specialty bread my cold sandwich was made with so they just put it on a hamburger bun, and didn't offer any kind of discount. They waited to make my sandwich till last which made the hot food sit. Overall was not happy and would not go back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.44,2.44,2.44,2.244,2.44
5,Tory M.,"Havertown, PA",11,70,4.0,5.0,2015-04-30,"I came here for lunch with my bestie yesterday, and everything was great!  I had the salmon, which was delicious and perfectly cooked.  Our server was polite and very professional.  For a chain, I think Applebee's has terrific food.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2?start=20,2.6,2.6,2.6,,2.6
43,Mike M.,"Philadelphia, PA",282,143,38.0,2.0,2015-07-27,"Employees were friendly and polite, but the soap came out freezing cold. I mean the cheese in the soup didn't even melt, which was disappointing because Appelbee's has the BEST French Onion Soup. The wings were a little dry and the enchiladas were empty... There were like 2 tiny pieces of chicken with a hint of cheese. Maybe it will be better next time and I will definitely update my review if the experience will be better.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2,2.64,2.64,2.64,,2.64
45,John P.,"Philadelphia, PA",13,3,12.0,5.0,2015-08-24,Bartender here is top notch. My man Jessie knows his stuff. He could be a trainer on bar rescue. Interesting appetizers. Sriracha shrimp is a must. The manager Scott is on point. This place runs like a well oiled machine.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2,2.76,2.76,2.76,,2.76
48,Will S.,"Glenolden, PA",2,3,1.0,1.0,2015-08-30,"I am not surprised by the atmosphere at this location. I know that this one in particular is filled with high-school aged kids who normally have no manners toward their server, especially at this time of night. It was roughly 10 pm when my party of three was sat last night. The server, Donnie, was very friendly at first. But I don't think he was having a good night.  My friends and I had just finished a Painting With a Twist activity where we worked up a big appetite. But since the apps at Applebees are half price after 9, why not save us all some money and just order a couple appetizer's to share between us all? Anyway, as we were ordering the apps, the server had to verify that we wanted the ""half-price ones."" My guess is that for half the price, you also get half the portion, whatever. Our app's took about 15 minutes (not bad!) only to be ran by the table by someone other than our server. As we were all very hungry, we dug right in!  About 5 minutes into chatting and picking at our food, the server just dropped our check, while walking by, and said ""let me know if you's need anything. He didn't even ask if everything was okay, and it wasnt. The one order of BBQ must of came with 5 small pieces of boneless wings, and they were hardly tosed in sauce, one piece - was totally and completely dry. We also had to flag a manager down to ask for some sour cream with our nachos. So, figuring out that we were recieving no service whatsoever, we decided to finish up and get out of there.  Our check was $23.00. Since two of us at our table are servers and understand there are bad nights, we still left Donnie about $9.00. I really hope this guy understands that even though one or two tables may be totally rude toward you, you should still work as hard as you can to please the next. Clearly, we were not high school kids who wanted all seperate checks and the remote to a TV. We just wanted a pleseant bite to eat after a fun night of Painting. Thanks, Donnie.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-folsom-2,2.76,2.76,2.76,,2.76
