,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
96,Tabu D.,"Gaithersburg, MD",1,6,2.0,1.0,2012-02-06,I should have read the reviews. We went there on Friday because I just wanted to try their under 550 calorie meals and because I have not been to Applebees since the 90's. We were seated and promptly forgotten.  10minutes later my sister had to flag down a server that turned out to be a manager. She apologized and got us a server and guaranteed us that we were in good hands and the kitchen has been told to speed up our food. Our server took out order and again was goon for another 10minutes before we got out drinks. 15 minutes later we got our food minus the appetizer we ordered. First of all the food looked nothing like the picture. They did not even try.  My sisters shrimp where cold. She sent it back and when she got a back it was apparent that it was put in the microwave. Her medium rare steak was now well done and it was horrible.  Our server promised us that she will check on the kitchen regarding our appetizer. Another 5 minutes later our appetizer was delivered and one of the managers came over to apologize. He apologized because our server had lied and forgot the appetizer and instead of admitting her mistake she blamed it on the kitchen. To make up for the inconvenience my sister's meal and the appetizer where on the house. I will never go again. There is a lack of attention to detail with the server. The restaurant was empty and anyone setted in our section had to wait for a while. Our server made many mistakes with our orders and others.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,1.924,1.924,1.924,1.924,1.9240000000000002
84,Oscar S.,"Germantown, MD",74,69,3.0,1.0,2012-02-07,"What do say when you order a steak (yes, I know it's Applebee's) medium rare and it comes out cripsy: 4th mistake. and.. What do you say when they bring you back the steak with a cow's tail still on it: 3th mistake. and.. What do you say when they send back the mooing cow back and return w/ beef jerky: 2nd mistake So.. What do you say when you make the desicion to go to Applebees for a quick dinner on a Tuesday night: 1st mistake!! Yup, this was the wonderful experience my girlfriend and I had this evening while dining at the fine establishment of Applebees in Germantown.  But it get's better.  So as you can tell they completely screwed up my steak (I know I know, it was Applebees), but the best part was how they reacted to it.   I know people make mistakes while you're out eating and sometimes things don't go they way they should.  But to completely screw up a meal and not even offer to take it off the bill or even a free desert, to me that's just unacceptable.  Oh, did I mention that I asked for cheese on my broccoli and that was screwed up too, lol.  And when they brought it back, it was burnt cheese on a plate w/ broccoli around it...uh.  Come on Applebees, we weren't expecting much but why?? So the manager by the name of Michelle C., comes up to apologize w/ the 3rd time they screwed up my steak.  And says, ""I'm sorry"".  I cut it and of course it's not right again.  At this point it's a hopeless cause.  I say, this is over cooked again but oh well.  Her answer, ""We have a new cook back there, sorry about that"".  Why is a new cook making steaks to the guests, and why is he the one fixing my steak?  So we say to her, well listen, not your fault but we're not going to pay for this steak.  Everything else is fine, but this is just unacceptable.  And she looks at me like she's confused.  So, I say again, you can take it back or leave it, but either way we're not paying for this.  Keep in mind this wasn't in an arguementive way, just being honest.  She says, well it's the 2 for $20 meal so I can't just take it off.  So we say, well ring up the app and my g/fs food and we'll pay for that.  So.....we get the bill.   She took $6.00 of the whole check.  Thanks.  I'm sorry but I used to be in the food industry for many years both on the waiting side and the bartender side.  And I guess I could say that though they were not the classiest of places(i.e. Bennigans, Fridays, Outback, Ruby Tuesdays), my managers never acted that way.  They all would have taken the meal off immediately offered some free desert, or taken more than $6.00 off the tab.   Needless to say, all we got (not that we were asking for free stuff) was a 10% off our next visit, which we won't use b/c we're not coming back, so we left that there for them and a horrible experience which could have been completely avoided just by better customer service. Needless to say, I did bring back the little piece of steak (Oh yeah, it was a freakin 7 oz strip, seriously how do you mess that up 3 times) and guess who enjoyed every little bit of it.....(drums....)  Buddy!!  My lab/husky mix pup!  I would've been extremely upset if even he didn't like lt either.  All in all, if you're going to go out for a quick bite, try McDonalds, they have really good smoothies, and at least you'll pay for what you get.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,1.924,1.924,1.924,1.924,1.9240000000000002
90,Shahryar M.,"Germantown, MD",5,15,5.0,3.0,2012-03-04,"I walked in Saturday around midnight to quench an appetite for steak.  Got greeted and seated pretty fast.  Ordered a Ribeye with veges and fries and a sweet tea to drink.  I asked for my steak to be cooked medium and it didn't take too long for it to come out but about a third of the way into it, it was definitely medium well, some parts nearly cooked well done.  Plus, it tasted a bit on the dry and bit tough and ribeye steaks are supposed to be juicy and tender.  It took a bit of time for me to get some steak sauce, but overall the server did a good job.  The server was actually pretty friendly but lacked opinion, because when i asked for recommendations, she wasn't really able to tell me what she really liked.  I thought she could use a little work on selling menu items. The steak itself was mediocre at best.  I guess it lacked seasoning but the overall taste didn't compare to other ribeye steaks i've had.  I ordered a Brownie Obsession for dessert, which I practically inhaled it was so good, and always has me coming back.  The brownie is as soft as chocolate cake and comes heated and filled with warm hot fudge in the middle, served with a fudge topping and cool vanilla ice cream. One plus is there is free wifi service which turns on when you open a browser on your mobile device and redirects you to the Applebee's website.  BTW, Applebee's might consider adding a mobile site, because their regular site takes forever to load and I have a pretty fast phone.   Another good thing about this restaurant is the hours.  If your hungry at midnight, your options in Germantown are pretty much limited to fast food.   This place is open till midnight on weekdays and till 1am on weekends. I'm giving this place three stars because of accessibility at late hours, wifi service, dessert, and friendly  service.   I'm subtracting a star for a slightly disappointing steak and another star because i just can't get myself to say i'm a fan of this place but it is definitely A-OK, so 3 and half stars at best.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,2.1239999999999997,2.1239999999999997,2.1239999999999997,2.1239999999999997,2.1239999999999997
74,William S.,"Gaithersburg, MD",19,73,5.0,3.0,2012-03-29,"I got a gift card to this chain and avoided using it forever.    One day I decided I had to use the card and I didn't care if I had a horrible meal. With my ultra low expectations I went to this Applebee's and ordered their sirloin steak.   I was going to order it rare since these things are always over cooked at these chains but I ordered it medium rare and it came out perfect.    Oddly, it had great flavor and I left there really impressed.   I don't know how they did it but my food was great.  I haven't gone back because I don't expect them to be able to repeat it but I have to given them an A-OK.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=60,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005,2.0600000000000005
95,Shertia C.,"Germantown, MD",1,3,1.0,1.0,2012-04-24,"Worst experience Ever!!!!!!! I had my heart and stomach set on the Blackend Chicken Penne and even added on the steak for $4 extra..my friend and I arrived at 6:30ishpm not busy yet...best time before the evening rush we ordered the trio and received it 10min later...not bad time...then we placed our orders for the pasta and an additional side order of wings.. My friend stated that he wanted his wings welldone lightly sauced our waitress [Kadi N] acknowledged the request with okay. 35min later we receive or cold pasta and our waitress never brought our wings out. She stated I didn't know you wanted them...smdh.  When we started eating our pasta was cold or waitress offered to warm it back up in the microwave... WTF....REALLY THE MICROWAVE...At this point we're ready to go! Then the manager ( Michelle) comes out trying to make peace and states she will have them cook us whole new dishes and bring out our order of wings and give us a discount and free appetizer or dessert. At this point we already missed our movie time not to mention we were still hungry so we decided to wait...15 min later we have hot pasta and our order of wings...15 min....so why did it take 35min the first time. Of course by this time all the hungry evening customers were coming in...so now its  packed and noisy. We asked for the check [ manager Michelle] comes over to see if we want dessert..I told her that's okay were ready to go. The bill comes and they took off our order of wings 6.95...not seeing the justice for all we  been through that night I asked our waitress to tell the manger we'll take the free dessert she offered earlier to go. 8:250Pm Kadi N our waitress states that the manger already gave us the discount and took off the order of wings...we showed her our bill with the [no discount] she said its the discount or free dessert....so WHERE IS MY DAMN DESSERT????..""Morale to this experience look in freezer next time be patient for it to thaw out, and fix your own damn meal! Oh and no more Applebees at the Fredrick Road, Germantown location!# yes i'm doing this by text...Im that disappointed!!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,1.8920000000000003,1.8920000000000003,1.8920000000000003,1.8920000000000003,1.8920000000000003
99,Karol W.,"Gaithersburg, MD",0,6,,3.0,2012-06-10,"Been to this restaurant many times and each time the food is OK, plenty of it but nothing spectacular. My wife and I usually order the 2 for $20. They need to perfect the way they serve their steaks. When I order a steak medium, I expect it medium not well done. Applebees should install a salad bar like Ruby's who now offers their salad bar as a side dish, great idea and last time there they were packed w/long waiting times. We got there early so didn't have to wait. Given the hard economic times the the USA, restaurants have to get creativee w/their menu's and not offer  the same old tired food. Applebee's 2 for $20 offering haven't changed since it was introduced many yrs ago. .",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,2.1879999999999997,2.1879999999999997,2.1879999999999997,2.1879999999999997,2.1879999999999997
98,Kim L.,"Rockville, MD",0,19,,5.0,2012-08-06,I love Applebees and especially there fries and alcoholic beverages.  I'm happy they do not charge liquor tax like some restaurants in Rockville do.  If I want an alcoholic beverage I come here and because I know I won't et taxed on it.  Thanks Applebees,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,2.452,2.452,2.452,2.452,2.452
69,Stephanie D.,"Germantown, MD",111,17,2.0,1.0,2012-09-11,"Came here for a quick and easy dinner.  The good:  My bf got the steak and was pleasantly surprised.  My mango mojito was pretty tasty...but instant headache. The ugly:  I got the bourbon chicken and shrimp...disaster.  The whole meal was over-seasoned for my taste.  I realize it's blackened chicken...but it just didn't work.  The real kicker though is the shrimp came out raw.  I sent it back and it came out BARELY cooked the second time.  I realize the meal is served on a searing plate, but a) the raw shrimp was on top of my cooked chicken and b) even after sitting on the sizzling plate the shrimp had not cooked by the end of the meal.  Seriously disappointing even by Applebee's standards.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=60,2.02,2.02,2.02,2.02,2.02
93,Shasha S.,"Montgomery County, MD",12,60,14.0,1.0,2012-11-03,This place could use alooooot of help.their lamp fixtures are  dusty and its just not appealing for a food establishment.we did the 2 for 20 deal and got the spinach n artichoke dip (straight out of a can or frozen) the chips were nothing to babble about.now the entrees oh gosh the new southwest shrimp fettucine was disgusting.the sauce was dry pasta was mushy and old.the shrimp was definetly old probably frrom sitting out too   friend ordered the ribs which she claimed were dryyyy.i will not however comment on the service because my only complaint was that it was superrrrrrrrrrrrrrrr slow but that might also be the kitchen fault! I will not be returning to this location.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=80,2.116,2.116,2.116,2.116,2.116
64,Janice H.,"Montgomery Village, MD",9,15,,1.0,2013-01-21,"What Happened to Applebees? They are slipping!!  We had not been to Applebees since my youngest was a Toddler and when I was pregnant with him I craved their Santa Fe chicken salad. We got a gift card from one of my husbands clients for Christmas and decided to get carryout since our son was sick.  I think they short change the carryout customers on purpose. The Buns on the Burgers were hard and cold already. The burgers were nothing to write home about and the fries were all of the butt fries, you know the small little hard pieces of fries not the crisp full regular fries they probably serve to dining in guests. We live 8 minutes away and alraedy in that time the food was ice cold. I can say that we will not be back. If he gets another gift card we will donate it to charity. Applebees get it together!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-germantown-2?start=60,2.148,2.148,2.148,2.148,2.148
