,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
39,Juliana C.,"Dallas, TX",4,8,6.0,1.0,2012-06-09,"worst experience ever!  My husband and I came here hoping to enjoy a nice lunch date, instead we couldn't get out of there any faster. Staff is horrible and service is worse. We ordered an appetizer to eat before our entrée and they never brought it to us, instead they gave it to the people sitting behind us. They didn't even realize their mistake until my husband asked them to remove it from our bill; they ended up giving the appetizer to our neighbors for free and their only way to compensate for their mistake was to continue to only apologize. On top of that we couldn't even enjoy our entrée because there was flies swarming our food every five seconds. I WOULD NOT RECOMMEND THIS PLACE AT ALL!!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,1.924,1.924,1.924,1.924,1.9240000000000002
26,Jan F.,"Colleyville, TX",53,303,123.0,2.0,2012-06-20,"We were looking for a place to have a late breakfast after walking in Grapevine Mills one morning.   Seeing nothing better and nothing that was open, we noticed the Applebee's across the street with an ""Open"" sign, so in we went.  We were enthusiastically greeted and taken to our choice of seats. There was no one else there at such an early hour (about 10:30 AM), for good reason.  They don't serve anything close to something you might want to have for breakfast or even brunch.  So we had our 'lunch' early. We both opted for something off the Weight Watchers approved menu item list (we had been walking, after all!), both were OK. My Grilled Jalapeño Shrimp looked better to me than his Creamy Parmesan Chicken.  We both ate until there was nothing left to take home (we had been walking and it was late, OK?) With two iced teas, that in the beginning tasted like leftover tea, our bill came to almost $30 before a ""Golden Apple"" senior discount of 15%.  There are some advantages to being over 55.   But still, we felt that the cost was a bit too high for the food and the atmosphere. Service was friendly and adequate.  Iced tea refills were served warm, with no ice.  I noticed a Ranger calendar in the Ladies Room that was a few weeks outdated.   There is no good reason to return that I can come up with.  Two plus would probably be a better rating.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,2.056,2.056,2.056,2.056,2.056
3,Janna M.,"Irving, TX",76,15,3.0,4.0,2012-07-27,"Have gone here for lunch several times.  Love this place because it is hardly ever busy at lunch time so we are able to get in and out in no time.  The food is always delicious and service is great too.  The manager, a cute blonde man, is always walking around making sure everyone is ok and enjoyed their food. Had the mini burgers today and they were off the chain!  Way better than Chilis sliders. Also the fries are really good too.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=80,2.32,2.32,2.32,2.32,2.32
43,Shashawn W.,"Lewisville, TX",119,205,34.0,1.0,2012-12-03,"The service was unacceptable. When we arrived there was not a wait and the restaurant was not very busy. The server took forever to take our order for drinks and food. He was not very accommodating or friendly. When our order arrive our server did not check to see if we were okay and needed anything else. I was really disappointed in the service at this Applebee's. Our food was luke warm when it arrived. He was very quick to run our cards so he could settle us out.. Overall, the experience was not pleasant. The restaurant was clean and we even had to get the hostess to help us get refills on our drinks.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,1.924,1.924,1.924,1.924,1.9240000000000002
0,Haley K.,"North Richland Hills, TX",67,530,71.0,5.0,2013-01-18,"I actually had a very good experance at this applebee's resturant. We went after a birthday party my daughter had attended so we were all worn out and tired. We got sat right away in a booth, the girls up front even gave my daughter extra crayons. The server was really nice and stayed on top of everything. My husband said his food wasn't the best ... some sort of steak something which living in the land of a million stake places its hard to beat the nice steak places when it is a chain such as this resturant ... but wasn't as bad as it could have been. My daughter had mac & cheese and it wasn't gross! Which almost anytime she gets it somewhere I roll my eyes cause I know she will say its not like what I make at home but it wasn't bad. I was excited because my fries had very little pepper on them which when we go to other applebee's they are usually so peppered I can't eat them. The tenders I ended up eatting were not fatty/gressy as chicken tenders can get at bulk preped places and I ended up eatting 3-4 of them when I normally stop at 1-2. We will for sure keep this place in",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=80,2.452,2.452,2.452,2.452,2.452
1,Joshua T.,"North Richland Hills, TX",99,84,,2.0,2013-07-08,Went for lunch with a friend and the food was ok. Nothing special. The waitress was pretty slow to refill my drink. Like 10 mins from when she said she would refill it,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=80,2.088,2.088,2.088,2.088,2.088
34,Leslie D.,"Dallas, TX",132,28,6.0,1.0,2013-10-15,"Was the chicken undercooked or just unsanitary? Who cares?  Its been three days and I still feel like I've been kicked in the stomach.  I'm not going in to detail, if you've had food poisoning, you already know. I would give this place zero stars if I could, but since I have to give them one anyway, I'll let them have it because I've lost weight. So, if you would like to shortcut your diet and lose weight quickly, order the chicken green bean thing on the 2 for 20 menu.  It worked for me!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,2.052,2.052,2.052,2.052,2.052
41,Teresa K.,"Southlake, TX",112,210,26.0,4.0,2013-12-04,"Not very busy on a Friday at 11:45a. Not always a good sign , but service and food was good . so i'll be back",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,2.384,2.384,2.384,2.384,2.384
38,Kelli C.,"Edmond, OK",30,15,2.0,1.0,2013-12-22,"We were in town shopping at Grapevine Mills Mall and decided to go to Applebee's to appease all in our group. Upon arrival, you enter right into the bar area where it's obviously smoking.  No judgment to smokers, as I'm an ex smoker myself, but it was super smoky!  We went ahead and were seated quite a ways from the bar area.  Needless to say, when we finally made it home, we all noticed all of our new clothes we were proudly wearing smelled like smoke!  Come on Applebee's, it's called proper ventilation or 2013!  On top of that our food was eh.  Never again and I don't recommend at all.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,2.052,2.052,2.052,2.052,2.052
24,Dustin B.,"Melbourne, Australia",991,382,259.0,2.0,2013-12-26,The food here is ok as is any Applebees. What i hate about this location is the smoking. No matter if you are in the non smoking or smoking you can still smell cigarette smoke.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-grapevine-3?start=60,2.216,2.216,2.216,2.216,2.216
