,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
12,Tammy P.,"Greenville, SC",5,17,,3.0,2014-11-20,We used to eat there every week and I got aggravated at the waitress standing there telling us her life story while we were trying to eat. Also the food got to where it was not that good. But tonight we tried it again and it was perfect everything cooked great. Chris the manager was so nice when I called back to tell him it was great and how wonderful the young lady at car side to go was so we will start going back.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
11,Tim R.,"Greenville, SC",0,7,6.0,1.0,2014-12-09,"Entire restaurant smells of smoke.  It's almost 2015. They need to get with the program and go smoke free. A ""non-smoking section"" is as useless as a ""no peeing section"" in a swimming pool.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
10,Juan M.,"Stockton, CA",0,2,,1.0,2015-12-17,"Please do not visit this store. We experienced poor service, particularly our server Dominiqua cleared our table before we were ready to leave, and in the times we addressed concerns about our orders the attitudes of all employees who visited our table were rude and our requests were ignored.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
9,Alicia G.,"Myrtle Beach, SC",47,19,5.0,3.0,2016-01-20,What can I say we r on White Horse road LOL it's always sometimes we get good food others time it's bad but it's ok I guess.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
4,Nita B.,"Travelers Rest, SC",130,237,161.0,1.0,2016-02-29,"This location just can't seem to get it right . We were sat at a dirty table , then were never given silverware and the food just was not good . The rice was crunchy and the chicken over cooked . My daughters Shrimp was good , thus the one star but that ended the good . Just go to a different location .",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
7,Sharon W.,"Taylors, SC",60,51,39.0,2.0,2016-05-18,Don't bother you're better off at a local hibachi restaurant.  Service was nice was but food was dry and super small portioned.  I felt like I ate like a toddler.  Ribs on mother's plate had little meat & too much sauce. Potatoes on the sizzlin chicken were simply sad.  Chips for the dip was more like crumbs at the bottom of the bowl.  I'd not been here since 2012... not planning on coming back any time soon,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
6,Food L.,"Pickens, SC",2,7,3.0,1.0,2016-07-22,"Ordered shrimp n Parmesan steak with mashed potatoes and broccoli with cheese ate at the bar.. Food took 30-45 minutes to come out.. There was not a full house, so I'm not sure why it took so long to come out.. Used to work there and I'm pretty sure the food was suppose to come out on a hot skillet and the potatoes were disgusting took one bite and didn't finish them, the steak was suppose to be medium, it came out dry and well done, I ate the broccoli and cheese paid my tab and left didn't even bother to complain... VERY DISAPPOINTED IN APPLEBEES",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
8,Rebecca M.,"Fairhope, AL",0,35,10.0,1.0,2016-07-22,"I gave it one star because you can't do a zero. The food was terrible. I ordered a cheeseburger and fries. The burger was ok but French fries were cold and stale. My friend ordered the chicken cesaer salad. The chicken was rubbery, wilted lettuce, and drowned in really bad dressing. You're better off going to McDonald's.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
5,Cesar M.,"Greenville, SC",0,2,,1.0,2017-06-25,"Veryyyyy poor service :( don't visit this restaurant, Do not waste your time and money,I was waiting 40 minutes, and no one came to take my order the worst service.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
3,Robert P.,"Greenville, SC",200,149,72.0,1.0,2017-10-05,"After a disappointing experience at O'Reilly auto store I decided to have an appetizer and drink. The bartender was seemingly having a bad day, then I learned he was actually having a good day.  LOL for sure as I had to wait to get her attention, beg for drink and appetizer specials as well. After she would mention something like their dollar margaritas, that we're on special, she would then add that they were flavorless, came with no salt and that the people that made the mistake of ordering them didn't tip anyway!   My visit with misery is now over. I will continue to thank God for allowing me to recognize and move forward with a positive day!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-greenville-18,,,,,
