,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
34,Mikequita H.,"Fayetteville, GA",19,3,,2.0,2012-03-07,"Some friends and I met her last night after work, After we placed our order we were told we couldn't get drinks until after 7pm cause it was election day. Fine we had dinner anyway. The service was horrible orders were wrong and we were told by the waitress well I didn't make it. We spoke with the manager nothing was done the table behind us complained twice and finally asked for their food to go. We recevied our change and the amounts were all wrong she never returned to the table.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.736,1.736,1.736,1.736,1.736
30,Princess G.,"Port Charlotte, FL",74,22,16.0,2.0,2012-03-19,"Not much to say except the food could've been ALOT better. I am a frequent at the Applebees establishments in Tampa Bay, FL, and this particular restaurant does not live up to standards. This place is in much need of some staff improvements. They walk around talking amongst themselves, playing around and grouping up in corners when there were customers waiting to be, well, waited on. The only reason I am giving any stars on the rating is because of how fast our food came out. But sadly, as faithful as I am to Applebees, I would never come to this location ever again, or refer anyone to either.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.704,1.704,1.704,1.704,1.704
25,Kenya D.,"Fulton, GA",0,4,,1.0,2012-05-27,"I purchased a to-go order from Applebee's at 6608 Tara Blvd., Jonesboro, GA 30236 on 3/25/12 @ 4:49pm.  When I opened the box to eat, I saw something that was totally inedible. This slop should have never left the Applebee's kitchen.   I took the food back to the restaurant manager and asked for a refund ($21.40).  I was told repeatedly that it was their company's policy not to issue a refund.  The manager told me that I could select something else from the menu or receive a gift card for the amount of the purchase.  I told her that those options were not acceptable.    I called Applebee's corporate office and they were no help.  I finally got in touch with Channel 5 (Fox 5 News)-Call for Action Team. They got in touch with Applebee's VP of Operations.  He contacted me and mailed me my refund of $21.40 the next day. I commend the local news' consumer advocates who REALLY fight for consumer's rights.   Don't fall victim to a business who doesn't value you as a customer.  You can choose to spend your money ANYWHERE!  But a business should be grateful when you select them.   If after turning over your hard earned money, you're not satisfied with the product or service, try to resolve the matter directly with the merchant.  If a resolution can't be reached, then I definitely recommend contacting your local news' consumer advocate team for help.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000004
28,Tuarise S.,"Buckhead, Atlanta, GA",8,61,112.0,1.0,2012-09-24,I visit Applebees on Tara Blvd.about a week ago. The service was bad and the food was terrible. The waitress was very unattentive. We had to keep asking another waitress for help. The worst wings I have ever had. The wings were dry and hard as a rock. I will never go back there again. I am a chef and there is NO WAY I would have displayed or served food that terrible..,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000004
24,Desmond M.,"Atlanta, GA",6,63,7.0,2.0,2013-06-07,"I previously reviewed this restaurant 4 months ago and gave it high praises. Apparently on my return there must be new staff and management because this experience I recently had was nothing to jump about. Ordered spinach dip and the dip was cold when it got to our table and the chips that go with it were stale. I requested fresh chips and warmer dip and the next batch of chips he brought tasted like they were dumped in a basket of salt. I decided I'll work with that because the dip did take off the salty edge. So I ordered a seasonal blue moon beer, which I'm glad I did cause you would have to be a little tipsy to enjoy this evenings service. To keep it simple and to save time I ordered a caeser salad half. I didn't receive my order for another 40 minutes after the ten minutes after the initial arrival of the spinach dip. My waiter was no where to be found and the restaurant was not packed at all! One person at the bar and a few couples and a handful of families. Not enough to daily a salad almost an hour. When it did arrive it tasted good. I couldn't see how you mess up a caeser salad. Once I received my check while I was waiting to cash out I noticed how filthy everything was around me. My seat was dirty. My table had crumbs from whoever was there before. There was used utensils under the table, that I did noticed until my foot kept stepping on them and I didn't want to look anymore into cause there was no telling what else was down there. Paid and left in a hurry.  It will be awhile before I return. At least until I see another good review from somebody else.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.8,1.8,1.8,1.8,1.8000000000000003
32,Rod B.,"McDonough, GA",1,11,,3.0,2013-10-23,"Food is generally good.  I only frequent this location for lunch.  Only a three star rating because service is hit or miss.  It is never crowded during lunch, but servers are busy socializing or searching the jukebox for songs to play.  Again, only a few of the servers have these issues and if you visit more than once, you will be able to tell who they are (won't name names).",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000001,1.9000000000000004
26,Na L.,"Forest Park, GA",9,75,124.0,3.0,2014-01-26,"Last time I went, I was being rushed out because our waitress had to get her hours for her manager or something like that. It was pretty rude even though she tried to do it in a nonchalant manner. Other than that, the blonde brownie with ice cream was good and so was the honey pepper shrimp dish.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.836,1.836,1.836,1.836,1.836
22,Ricky H.,"Jonesboro, GA",21,26,3.0,4.0,2014-11-01,I enjoyed my visit here on last night. Club Applebees is what i will call it in the weekends. The wait for food was a little slow but after all is the weekend. They have the music was blasting like we were in the club. The ambience was pretty cool. I enjoyed our waitress who was pretty cool. The drinks were strong and great. I found out they have karaoke every  other Wednesday. I will check them out and update review.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.968,1.968,1.968,1.968,1.968
18,Anastasia B.,"Jonesboro, GA",141,18,15.0,5.0,2014-11-20,"Amazing service and staff!  Stopped in to pick up dinner for the family and was helped immediately!!! The 4 cheese Mac and cheese with honey pepper chicken tenders is the best! I am also in love with the grilled chicken wonton tacos!  Its spicy grilled chicken stuffed in crispy wonton shells and topped with slaw and cilantro!!!! Btw, ask for Jessica, she is everything! !!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3,2.036,2.036,2.036,2.036,2.036
31,Kris S.,"Forest Park, GA",0,3,3.0,1.0,2014-12-16,"One of the worst dining experience in my life. Appetizers  was too salty and the entrées  took forever to  come out. I could be much more understanding if the place was packed, but it was not busy at all. After waiting for about 45 mins my food finally came. I'm starving and tired, as I look down on my plate I come across a piece of hair in my food! That's not even the worst part.... I totally understand that it was not my waiters fault that my food had hair in it, so I didn't get mad at him. BUT he made the situation worst by avoiding my table... We waited about 20 mins before he even came back to ask him for a Togo box then another 15 mins for him to actually bring the box and additional 15 for him to come back for the check and another 7 mins to bring us back our card.... Like seriously it was NOT busy. I used to be a waiter so I know what the deal is.  Oh AND when I told another waiter about the hair, she said she would get the manager! But the manager never came! I watched run to her tell her manager and they just completely blew me off like it wasn't a big deal! How do you expect to get business with management like that. The worst management and staff ever.. Bottom line I'm never returning to this location again.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-jonesboro-3?start=20,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003,1.5720000000000003
