,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
13,Jen L.,"PRINCE, NY",10,118,6.0,1.0,2012-09-25,From start to finish the worst service ever. starting with messing up the drink orders to no straws the whole stay there :( To waiting 35 minutes from the time we got there to get our appetizer... :( To 2 more minutes getting our food and 8 more minutes taken away by a pushy blonde server trying to hurry up the customers out for more tips. She took my sister whole half rack of ribs when we said we didnt want boxes and my pasta barely eaten. PUSHy and horrible service.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
14,Tyler S.,"Indianapolis, IN",42,10,2.0,4.0,2013-06-08,"The waitress was very cheerful and happy as we entered the restaurant. We went and ordered our drinks and received them in a timely matter, the lemon that was supposed to be in my sweet tea accidentally got put in my girlfriend's water, no biggie though. It took a little bit for our food to come out but that was because the grill was having issues, which the waitress explained to us politely. My drink never reached empty, she constantly filled it up, as well as with everyone else in my party. Likes: speedy service, friendly waitress, tasty food. Dislikes: prolonged food delivery because of grill, lemon was placed in the wrong drink.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
9,Ace B.,"Long Beach, CA",24,20,7.0,2.0,2014-08-24,"Worst Applebee's yet, they took multiple things off my order as it was just plain bad. The staff was cheerful, my complaint is the kitchen and management, or lack there of. Bar is ok just don't order food.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
10,Krissy C.,"Maumee, OH",3,24,9.0,2.0,2014-09-15,"Walked into applebees on a friday around 6:30 pm.  Was told there was a 10-15 minute wait...as we crammed into the 'waiting area' (there is none), I looked around the restaurant and saw about 7 tables empty ready to seat people.   15 minutes later we were seated at a booth right next to where we were left standing for 15 minutes.   The hostesses thought this was funny as I saw them laughing right before we were seated.  I have worked in the food service area for 10 years and that is NO acceptable.  If your hostess doesnt know how to seat people....she shouldnt be a hostess!  Our meal was ok...nothing special.  Our waitress was good.  All and all, I dont think we will be back. $86.00 is not worth spending for dinner at this Applebees.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
11,Shelley A. D.,"Chicago, IL",6,119,,2.0,2015-01-06,"My family dined here on Christmas Eve, 2014.  Staff was polite and lovely.  We were surrounded by regulars that they greeted with cheer.  My children had burgers and they were happy.  I ordered from the under 600 calorie option--- which was a chicken/quinoa dish.  It looked like the picture.  However I believe my chicken breast was dusted in either sugar or msg.  I was unsatisfied-- so I ordered a second course of steamed broccoli (which was perfect) and sweet potato fries (which were tasty).  Final word:  if you are on a road trip, need a place to stop with friendly staff, and love burgers & sweet potato fries-- this is your place.  If you want high quality, fresh food that is well prepared-- search elsewhere. #chifoodie #familyfriendly #roadtrip",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
2,Des C.,"Barrington, RI",94,267,18.0,3.0,2015-06-25,"After a long day of driving and meetings we decided to go to the restaurant in the adjacent parking lot, it happened to be an Applebees.  Typically I steer clear of eating good in the neighborhood, however we decided the convenience was key tonight. We were sat quickly and handed a menu that appeared to be new and a bit more exciting.  This location served Yeungling which gave them a good mark out of the gate.  Our serves was very friendly and attentive.  Believe it or not the food was actually pretty good!  Would I seek out an Applebees in the future...definitely not, but in a pinch it's not a bad idea.  Food was good and the service was great.  Nice job!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
5,Charlotte S.,"Addison, IL",156,140,180.0,4.0,2015-06-25,"Applebee's is Applebee's when it comes to appearance and food no matter which location you go to with little variation, so it is up to the server to define the establishment. Food was fine, the presentation was appetizing and neat and the flavor was good. The long island ice teas were very good, makes it into the top ranking of long islands I've had. Our server, Chris G., was awesome. We were a party of 6 who came in about half an hour until close for post-wedding drinks and hors d'oeurves (11:30pm on a Saturday), a time when many servers would be a**holes just wanting you to get out so they can close quickly; instead, Chris happily served us with no air of a rush. He checked on us frequently, got our food and drinks to us in a timely fashion, exchanged some friendly chit chat, and all in all represented Applebee's well. You've got yourself a good employee there. This Applebee's is located right next to the County Inn and Suites of Maumee, so guests staying at the hotel get a 10% discount when they dine here. Yes, this is just another Applebee's, but Chris earned them the 4 star.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
1,Maria M.,"Cincinnati, OH",252,164,191.0,2.0,2015-12-22,"BLAH is the only way I knew how to describe my experience at this Applebee's tonight.  Service: waitress was nice but forgetful and everything seemed to take a long time to come out (even drinks).  Food: probably the worst food I've had at Applebee's. My house salad was okay, but I got the house sirloin & a baked potato for dinner and it was bad. Steak wasn't really cooked correctly and it was super hard to cut. Seemed old. I came to the conclusion my baked potato was super old as well. I hadn't eaten all day so I sucked it up and ate it. I was confused because I don't remember Applebee's steak or potatoes being bad.  The only plus was that they had half off certain apps because it was after 9PM... I discovered this by looking online and was only told when I asked the server about it. For the money I was disappointed and will not return in the near future.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
4,c g.,"Winnetka, IL",20,219,21.0,5.0,2016-02-18,"Excellent. Well staffed with like able people. I got to go from the bar and the Chicken was tender and tasty, mashed potatoes where creamy and had a spivey kick with jalapeño and the wedge salad was fresh and crisp.  The bartender was nice and they had a selection of national brews on tap and one local - Yuengling. I enjoyed two of those as I waited for my food.  Glad I came here. When I Yelped it did not pop up as an option but when I walked out the hotel door and saw it I found it to be very convenient and a solid option due to their success tonite. I will be back.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
7,Sarah P.,"Sylvania, OH",47,5,7.0,5.0,2016-03-24,The quesadilla burger was amazing. I love Applebee's and this was a great experience.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-maumee-3,,,,,
