,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
12,Catherine N.,"Harvey, LA",36,63,132.0,1.0,2012-04-21,"I really don't know why I always come back here even though I know it's awful. The chips are always stale, it's dirty, and the food feels like they been left under heat lamps for hours before they actually bring it out to you. I need to remind myself this place isn't going to get any better. I always hope for the best and wish it was the same as it was when they first open.  The food taste ok if you're REALLY hungry. If not it's just feel like you overpay for something you can probably pick up in the frozen entree at your local supermarket. There's really nothing I can say positive about this place.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.3800000000000003,1.3800000000000003,1.3800000000000003,1.3800000000000003,1.3800000000000003
2,Eric S.,"Arabi, LA",29,173,74.0,2.0,2012-06-11,"Have had better at other places, a typical low grade chain restaurant. Normally i don't like to go to big chain restaurants because of the lack of individual personality. I went here for a Charitable Animals rights for life event where they got 20% of any flier brought it. Seating didn't take long, but on the way to the table you could smell a musky smell, like wet carpet but i blew it off. Our waitress was very nice and pleasing we got our drinks fast. We split the trio between 5 people, and i wish it was bigger i got a bite of each thing just enough to make me even more hungry for my main meal. I ordered the Shrimp and Steak under 500 cal meal w/ Broccoli n potatoes, Nearly everyone at the table ordered the same. We waited the normal time for our food to start arriving, everyone got there food except one. One persons food was little cold, other sauce was cold, my food was ok, but my steak had a odd texture like if it was over processed. we were nearly done our meals by the time the last persons food came out, and even then it wasn't fully heated. Ow everyone ordered med rare steaks and we all got medium to med well. I know i wont go back to this place unless its another Charity event. The staff is very nice and pleasing but that place needs a good cleaning and kitchen staff needs a refresher course on cooking.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=40,1.4800000000000002,1.4800000000000002,1.4800000000000002,1.4800000000000002,1.4800000000000002
1,Lyndsie O.,"Covington, LA",0,3,,1.0,2012-10-01,"Horrible. Horrible food, horrible service. I just stared at 4 un-bussed tables piled high with dishes next to me. Watched 7 employees including the manager walk right passed them without glancing at it. This place is pathetic.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=40,1.3480000000000003,1.3480000000000003,1.3480000000000003,1.3480000000000003,1.3480000000000003
16,Elise R.,"Austin, TX",101,13,3.0,1.0,2012-12-23,"My boyfriend and I were in a weakened state after braving Toys R Us 3 days before Christmas. After some shopping at Barnes and Noble, we decided on eating at Applebee's because we wouldn't have to repark the car in order to eat there. Perhaps our fatigue can be blamed for the oversight of deciding to eat at Applebee's; our standards for dining were certainly lower than normal that night. As long as we could get something to eat relatively quickly, that's all we were expecting. Alas, we would be served no food that night at Applebee's... We were seated quickly, but our waitress took somewhere from 3 to 5 minutes to come take our drink order. My minimum requirement at a restaurant is that a waiter or waitress at least acknowledge me within the first 1 to 2 minutes, even if they can't take my drink order right away. When the waitress finally made it to our table, I ordered a water and a Maker's and Coke. My boyfriend ordered the same. The waitress asked if Pepsi would be okay, which I was fine with. My boyfriend changed his order to Kettle One and Sprite (Sierra Mist, actually, but whatevs.) The waitress came back to our table with huge 32 oz. glasses of soda and water. My boyfriend asked if the sodas had alcohol in them, and the waitress looked really confused. We had to explain that we were trying to order cocktails, so she took the sodas back and went to retrieve our liquor. This was the point where my boyfriend and I realized that things were not going to go as planned. After a few minutes the waitress came back and told my bf that they didn't have Kettle One, and would Amaretto be okay. I asked her if she was referring to some kind of Amaretto vodka, and she said yes. I was skeptical, and my bf was just confused, so I intervened and asked her for Grey Goose instead. Things were going downhill fast. The waitress came back with our drinks, which were again in huge 32 oz. cups. Considering the fact that Applebee's has an actual bar with martini glasses and wine glasses, we found it odd that they didn't have small cocktail glasses. My drink was incredibly strong  and my bf's was watered down and weak. Go figure. Oh well, we were hungry, so I ordered a hamburger and bf ordered a steak. A few minutes later the waitress came back to tell me they had run out of hamburger buns, and would I mind my burger on texas toast? I was like, no I don't want my burger on toast, and asked to order something else. But by then my bf had lost his patience and we just cancelled our food order and paid for the drinks and left.  The only upside to the experience was getting go-cups for our cocktails and walking around Lakeside Mall with them. It made the rest of our Christmas shopping way more bearable.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000004
3,Trent T.,"Kenner, LA",0,4,,1.0,2013-01-15,"My wife and I ate here with our 2yr old for dinner.  I ordered a Burger, my wife ordered a steak and our 2yr old had mac and cheese with chicken.  When we were seated the table was still dirty and the hostess just tried to cover the crumbs with the menu from what it seemed. I had to ask her to wipe the table for us.  We ordered and asked for our sons food to come out first.  It did, and the spoon they gave him was dirty.  We asked the server for another spoon and she brought  us plastic-ware which was nice... maybe she was thinking all the silverware would be dirty? (I'm glad she took the extra step to bring us something she knew would be clean.)  My burger was pretty good (a little on the small side but taste was OK.) As for my side dish of broccoli... a few bites in and I see a long hair... We asked for the manager and she took off my wife's meal as she did not eat much before losing her appetite from seeing the hair.  After explaining all of our issues to the manager she looked like it was a normal everyday thing.  The only positive thing I can say about this place was the server.. I don't remember her name for sure, but I think it was Jessica if I had to take a stab at it.  She did everything she could to correct the issues and was very sorry about everything.  Will not be back... If you are looking for a big chain restaurant to eat at, head up the road as there are others..",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=40,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000004
22,Jared M.,"Aurora, CO",27,34,5.0,1.0,2013-02-27,Why did I subject myself to such swill.  Regrets,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000004
24,Nick D.,"Metairie, LA",0,3,,1.0,2013-03-24,Worst service. Had to wait on a table 30 min even though there was clearly at least 10 open tables. Food microwaved and thrown on a plate. Horrible customer service. Worth the 10 minute drive to avoid this applebees and drive across town to the other one. Will not be coming back.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000002,1.4440000000000004
18,Kay M.,"New Orleans, LA",76,116,52.0,2.0,2014-02-02,"Growing up I looooves Applebee's, so as an adult maybe my tastes have changed. It's touch and go with this place. Usually there is a ridiculously long wait with, ironically, tables open! The food is ok. Mozzarella sticks are by far my favorite!! They got rid of their rice pilaf which dropped it down a star. Last time I got fries they were far from crispy so I sent them back. They came back better, but still... The staff is friendly, but it's just not so much a place I really want to go anymore. The quesadilla burger is yummy though :)",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.6720000000000002,1.6720000000000002,1.6720000000000002,1.6720000000000002,1.6720000000000002
0,R C.,"Metairie, LA",0,3,,1.0,2014-08-04,"I just got back to my computer after eating  at this place.  I walk in and it took 10 minutes to get a table, and there were about 20 tables available!  They seat me at a ""high table""...I am by myself, nice to be put on display for all to see.  The waiter comes over and asked what kind of drink I would like.  I told him I was ready to order.  I ordered a 9 oz. house steak ""medium"" and baked potato with sour cream and butter.  He said they only had broccoli for a vegetable.  I asked if I could substitute with a house salad and he said no substitutes.  Not everyone likes broccoli...I like raw broccoli with dip, but cooked is disgusting to me to begin with.  I have no options.  I've never been to a restaurant where you didn't have more than one choice for vegetable.  Amazing!   The meal is served 20 minutes later.  All half cold.  My steak was well done not medium, the baked potato only had a small amount of sour cream, and one broccoli stalk with small buds on the ends.  If this were marijuana, you wouldn't have enough to even catch a buzz.  This was my only choice of vegetable?  I cut off the stalk of the broccoli which was tough to cut even with a steak knife, and at the three bites of broccoli.  I had already waited 30 minutes to get the food, and experience has taught me that if you send your food back, guess what?  Yea, you get the replacement 15 to 20 minutes later.  At the point of seeing everything that was wrong, I just wanted to get the hell out of there.  The centerpiece that holds the salt was sticky when I turned it to reach the shakers.  Oh yea, of all the empty tables available when I came in, they seated me at a dirty table.  I told the waiter about it and he handed me 2 napkins.  WTF!  I got all this aggravation for the price of $16.00.  I could have had a great meal at Copelands for that price!  Sorry I made the mistake of eating at this place.  Amazing! I read every review of this restaurant and noticed that everyone said it sucked.  They are all correct in their assessment of this place.  What is even worse is that I'm sure the upper management and owners at this ""establishment"" read these complaints and choose not to do anything to correct them.  Not only should the restaurant manager be fired, the upper management should be also for allowing this to degenerate like this.  I hadn't eaten in a place this bad since Juarez, Mexico many years ago.  No, wait a minute...I think Juarez was better, and they actually put liquor in their drinks.  Amazing. To sum this complaint up, as long as there are low-standard expecting people eating here, it will remain in business.  My god, what do they eat at home to think that this place is "" really good""?  SHAME ON APPLEBEES...NEVER AGAIN WILL I EAT THERE!!!!!  Amazing! By the way, I had to put one star on this site or I couldn't continue.  It deserves NO STARS!!!   Close this dump!!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=40,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000004
25,Jessica W.,"Metairie, LA",42,27,3.0,1.0,2014-09-22,"what has happened to applebees????!!!!!!!!!!!!! quality, service, atmosphere, food portions.... all horrible  goodbye applebees  never again",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-metairie-3?start=20,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000001,1.6680000000000004
