,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
0,J D.,"Pittsburgh, PA",7,99,1.0,2.0,2012-02-05,Slow service and mediocre food.  Typical chain.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16?start=20,,,,,
2,Marc D.,"West Mifflin, PA",0,9,,1.0,2012-05-07,"Don't bother, awful service with no compensation. Food tasted like it was microwaved. Will not go back to that applebees, I'll like West Mifflen applebees though.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16?start=20,,,,,
17,Britney C.,"Pittsburgh, PA",173,256,1905.0,3.0,2013-10-03,I stopped by here just to get a Caesar salad and meet my sister for some drinks. It wasn't busy tonight so I was happy that I wouldn't have to wait or squeeze through the large crowds.  By the time I got to the restaurant my sister had already ordered her meal. She got the shrimp and rice dish which I thought was very bland. The rice was cooked pretty well and the shrimp too but it just tasted like tomatoes nothing special.  I ordered a Cesar side salad and my hubby got the Blondie dessert dish. Both were pretty good I finished all my salad and I had a small bite of his Blondie which taste like a vanilla brownie. It wasn't 9 o'clock yet so I didn't get a chance to take advantage of the discount appetizers and drinks specials but I still managed to order me a long island. It wasn't that strong which is what I prefer but it tasted a lot like lemonade as opposed to ice tea. I do like how they updated the place and I don't really have any bad things to say about it but it is just a typical run-of-the-mill chain restaurant. most of the food sometimes does taste like it came from a microwave package. I guess it's what you can expect from a chain place although there are some better Applebee's but this one just happened to be the closest to my house.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
10,Susan T.,"Monroeville, PA",79,419,861.0,4.0,2014-05-08,"Not a big fan of big chains.  But sometimes you gotta go with the flow. This Applebee's, in Penn Center, is crazy wicked busy for lunch during the week.  And they are great at moving people through to get as much of our lunch money as possible. So that means service is great.  I've only ever gotten salads here and they have always been flavorful and as presented in their commercials and menu. The fact that they openly support the men and women in the military is a plus for me and makes me want to support this chain a little more.  Oh yes, and they also support the America's 911 MC ride.  Thanks for that, too, Applebee's - I'll try and return the favor more often!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
22,Joe M.,"Pittsburgh, PA",0,3,,1.0,2014-06-09,I've never been to a restaurant quite disorganized than this one. From the moment I  arrived the wait staff seemed to be very flustered. A lot of complaining from the servers about how many people were in their placed in their sections and bickering. It's very distracting and obnoxious when customers are trying to eat. The service was very slow considering my drink order wasn't even taken for 10 minutes after I was seated.  Food was average for this type of restaurant.The most distributing behavior was when the manager corrected a server on the floor. People were walking past and I even noticed it since I was sitting near the kitchen and heard every word. Very unprofessional. One would think you'd pull that person into a room but apparently that's not how this Applebee's works. Won't be returning.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
11,Jennifer G.,"Pittsburgh, PA",100,411,180.0,3.0,2014-06-19,"More like 2.5 stars.  Not the best Applebees I've been to but not the worst either. They seem to have some strange policies in place.  If you order car side to go after 8:00 they make you go into the restaurant.  They also won't seat until your entire party is there even if your entire party is two people and the restaurant is fairly empty.   The servers were fairly unprofessional.  At one point our server shouted over our table to the bar tender about something.  I suppose that sort of thing happens when the oldest employee that evening appered to be under 30 years old.  Not that people who are young can't be professional, but this crew certainly was not. Service was also fairly slow.  Often I had to ask more then once for either more water or a side of sauce.   Food is typical of any Applebees.  As long as you go expecting chain restaurant food, you won't be disappointed. The best deals are to go after 9 and get half off of a nice selection of appetizers.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
16,Jean G.,"Verona, PA",47,81,2.0,3.0,2014-08-28,"It's Applebee's. Let's get that out of the way right now- it's a chain, the food isn't gourmet, and if you are expecting to be blown away, you will be disappointed.  That said, the food is good and the server I had on Monday was awesome. It's a shame I didn't catch his name, because I'd request him. He was attentive, friendly and personable, and patient with my party's disorganized ordering process.  I was there around lunch time, and it was busy but not packed. Everything was clean (including the bathrooms), and everyone I encountered was friendly.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
19,Jennifer B.,"Monroeville, PA",39,9,,1.0,2015-07-10,"We have gone here often in the past , today's visit will be our last visit. The prices have gone up, the portions have gotten smaller and it seems the quality of the food is not as good. Four of us dined this evening, 3 ordering steaks that had no flavor. The garlic mashed potatoes were bland as well. On top of all of that, we went early to beat the dinner rush and the service was HORRIBLE. We had to ask for silverware after the food came, our drinks were never refilled and the waitress never asked how anything was. Time to find a new go to place, because this one is DONE.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
7,Brenda W.,"Monroeville, PA",211,577,835.0,4.0,2015-09-28,"A consistent chain with a menu that leaves me with many options that takes me a moment or two to decide.  There are so many that are colorful with veggies and so many that seem healthy.  This pleases me very much. It was lunchtime and they have specials in which you can choose 2 from different categories for prices by category.  My husband chose that option and had 1/2 a grilled club sandwich and a chicken Caesar salad and I had the crispy chicken salad. We were both satisfied with our choices and finished every bite. Service was good, quality of food was great, prices were fair.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
15,Sarah F.,"Albany, NY",30,24,,1.0,2015-12-02,WOW. Walked in and waited for fifteen minutes and never got seated! ON A WEDNESDAY NIGHT. Can't comprehend how that happens.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-pittsburgh-16,,,,,
