,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
101,Deb G.,"Crest, CA",73,339,3.0,3.0,2012-04-16,It's Applebee's...corporate American restaurant.  Food is marginal at best and the drinks are ok.  I always get applebeetini with no fruit and what did mine come with? Fruit!  Didn't taste like a red apple it was not that great.  Our food was fresh and hot and the service was great. It will do when we need a quick bite to eat but don't want fast food or dine in fast foods.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=80,2.316,2.316,2.316,2.316,2.316
64,Chaz C.,"San Diego, CA",15,2,,2.0,2012-04-27,Service was reasonable. Food however wasn't up to par. Burnt bread stick and over cooked steak didn't make a good combination. Vegetables and baked potato soaked in butter.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=100,2.2800000000000002,2.2800000000000002,2.2800000000000002,2.2800000000000002,2.2800000000000002
114,Temecula Critic W.,"Aguanga, CA",19,35,,4.0,2012-05-06,"Listen you know what you are going to get, it's great American food at a good price! Who can beat the 2 for $20 deal. Eat up....and enjoy the great service!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=80,2.448,2.448,2.448,2.448,2.4480000000000004
62,Mrs.Rosenberg 8.,"Santee, San Diego, CA",1,17,10.0,1.0,2012-10-24,"Our glasses for our drinks were dirty.. YUCK! Then our silverware were dirty as well. My husbands steak was like a beef patty. The waitresses and waiter were not friendly and very rude toward their manager and customers. The only good thing about this restaurant was the manager Ron.  He seemed to be the only one who cared about his customers and restaurant, and if we are crazy enough to give it a second try, it will be because of Ron.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=100,2.148,2.148,2.148,2.148,2.148
115,Linda T.,"Natick, MA",0,23,4.0,1.0,2012-11-18,"Wow. Can't believe how disappointed we were today. Not only in the food, but the slow service. We also started with dirty plates for our appetizer. The food took about 25 minutes to get to us and it wasn't crowded at all. The French fries were over-seasoned. The veggies served with the 9z steak tasted as if they had been microwaved.  The pasta served with the steak fettuccine was mushy. Just gross. Won't be coming back here!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=80,2.148,2.148,2.148,2.148,2.148
63,Durla W.,"Fallbrook, CA",2,6,1.0,5.0,2012-11-23,"This company offered free meals to Veterans on Veterans day and wow were we thrilled!! Not only a free meal for my dad, he had several options to choose from! The local ROTC was there and the service was excellent!! Thank you!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=100,2.644,2.644,2.644,2.644,2.644
92,Caster T.,"San Diego, CA",7,57,,4.0,2012-12-07,"So the Mrs. and I were up in Temecula last weekend with our kid to visit some friends out at Vail Lake and when we left, the wife was hungry.  She gets really grumpy when shes hungry so I knew I had to get some food in her ASAP.  Sure enough, we fought yet again about where we were going to eat.  Our typical ""go to"" isnt applebees, but in this occurance its what she wanted.   So we went to applebees which as a corporate chain has been notorious for giving me the runs.  I have IBS but I dont think its IBS related because I have numerous friends who dont have IBS and get the squirts from applebees too.   Anyways, I had a club sandwich (pretty bland to avoid diarrhea) and my wife had a bad attitude and a cobb salad.  Our son had a grilled cheese.  The staff was really nice at this Applebees and we were greeted and served in a timely manner. Our waitress who was a middle aged lady was extremely nice.  We also got to sit by a window on the north east side of the building which faces the intersection of Highway 79 south and a cross road and were entertained by all the people who would attack the applebees parking lot with their cars only to bottom out the front of the car..... that will help the resale value.   Decent food as with any applebees, but this one seemed a bit better.  They have a great staff at this location.  Cant comment on the drinks because we didnt drink.  I had to stop in Escondido on the drive back to use the AMPM bathroom but thats pretty typical.   As for applebees, this is a GREAT applebees.  I would give 5 stars if I didnt get diarrhea.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=60,2.512,2.512,2.512,2.512,2.5120000000000005
96,Keith N.,"Carlsbad, CA",179,135,104.0,4.0,2012-12-13,Couldn't be happier with the Bacon bleu Burbon burger. One of the best burgers I've ever had in my life.,https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=80,2.544,2.544,2.544,2.544,2.544
112,Jason G.,"Temecula, CA",30,14,,4.0,2013-04-07,"Great service. We go once a month or so and the staff is always friendly. They keep our water full, which is always important. Food is great. I usually get the boneless wings (spicy) and chicken basket. Great soup too!!",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=80,2.448,2.448,2.448,2.448,2.4480000000000004
93,Elisa L.,"Riverside, CA",50,75,6.0,2.0,2013-05-13,"We were greeted upon entrance. Got our order fast. Got the buffalo wings about 5 minutes after ordering them. I ate one. Yummy. Bit into the 2nd wing and it was VERY gummy. I cut it open. OMG it was raw! Like completely raw! Not even cooked on the inside. I was SOOOO disgusted. I just ate raw chicken. I wasn't mad, just disgusted. The manager came, apologized and took care of everything. Kudos on the manager. Man the cook messed up this time.",https://www.yelp.com/biz/applebees-neighborhood-grill-and-bar-temecula-2?start=60,2.152,2.152,2.152,2.152,2.152
