,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
230,Bj L.,"Gainesville, VA",56,143,,4.0,2014-01-28,"Solid 4.5 stars. Attended the soft opening with a set menu and was very impressed! They have a great drinks list, a combination of local beers, national and international, and their own brews.The mixed drinks look great and they have several ciders and fruit beer options. Prices are very reasonable. Artichoke appetizer with lemon aioli was fantastic, batter was light and fresh. Mains were shrimp scampi (huge portions, slightly dry--ask for extra scampi butter) and meatball deep dish pizza (Spicy and tasty, though the tomato was a little acidic). The portions are HUGE!  Servers were fantastic and you'd never know this was a dry run.  I can't wait to sample more of the menu! Welcome to Gainesville, BJs!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=200,3.088,3.088,3.088,3.088,3.088
303,John D.,"Haymarket, VA",0,1,,5.0,2014-01-31,"GREAT service, food, beer, and atmosphere. The calamari with the spicy marinara is delicious. Will return.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=360,3.22,3.22,3.22,3.22,3.2200000000000006
180,Cindy E.,"Warrenton, VA",73,14,1.0,4.0,2014-02-07,"Just had lunch with some coworkers, Friday afternoon. Got seated right away. The place was packed but the layout accommodates well and we did not feel crowded. The server approached us right away and took our drink order. She also informed us they have $3 pints during lunch. This would be AWESOME if I was not returning to work after. The food was great. I got the half salad half flatbread with the roasted veggies and goat cheese. The goat cheese and veggies were perfectly paired and I was very pleased. The portions are perfect. They are not overwhelmingly huge and I finished my plate feeling satisfied. The lunch combo was I believe $6.99 so my total check was like $7.42. We all had great food and great service. It's also a cute place and would make for a fun happy hour. Will definitely be going back!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=240,3.184,3.184,3.184,3.184,3.184
169,Ah F.,"Gainesville, VA",28,88,509.0,1.0,2014-02-07,Not good service.  Slow check out. Food average.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=220,2.7560000000000002,2.7560000000000002,2.7560000000000002,2.7560000000000002,2.7560000000000002
276,Tom C.,"Atlanta, GA",279,7,,4.0,2014-02-08,"Visited first week they've been open and they're already leaps and bounds above Bar Louie. BJ's beers are pretty solid and the price can't be beat. Be sure to get the 8 beer tasting for $12.95. Full 5oz pours. Deep dish pizzas are good and it's great they offer to go. Best of all? They sell growlers to go, good idea for picking up dinner on the way home. Only gripe we had was the amount of time it took to receive our food. First week I'm sure it will improve. We'll definitely be back",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=300,3.088,3.088,3.088,3.088,3.088
320,D P.,"Haymarket, VA",0,20,,5.0,2014-02-15,My hubby and I have been twice and found the food fabulous and the service excellent. Maybe because they were newly open and still training servers but we didn't want for anything. I had the burger with the skinny fries and my hubby had some sort of chicken sandwich. Both were good. They also have a wide variety of beers. Oh and try their root beer made on site. Fantastic!  I think this might be our new favorite place!,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=340,3.156,3.156,3.156,3.156,3.1560000000000006
167,Greg R.,"Warrenton, VA",7,10,4.0,5.0,2014-02-15,"Best new restaurant in Gainesville. Deep dish pizza and potato skins were great, quality food! Home brewed root beer was delicious!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=220,3.188,3.188,3.188,3.188,3.188
311,Joe B.,"Gainesville, VA",0,2,,2.0,2014-02-15,"Just had lunch there for Valentines Day and was hoping for better. It all started when I called ahead to see if there was a wait, this was at 12:50PM. I was told there was no wait therefore we did not need to be put on the call ahead list. When we arrived at 1:10 we had to wait 15 minutes for a table. I realize 15 minutes is not a long wait but the should have been placing people on a call ahead list. When we were finally seated our waitress seemed very pleasant although she did not seem to know the menu very well and therefore, could not recommend much other than the pizza. We started with an order of the tortilla soup and corn fritters which both were very good. As for our main course my wife ordered the pork chops and I the jambalaya. My wife's food came out in a reasonable time, but mine took much longer. I told my wife to start without me, as her food was starting to get cold. When the waitress came by to see how we were enjoying our food she asked me where my jambalaya was and I had to look at her cross-eyed and tell her it had not come out yet. She apologized and went back into the kitchen to see where my order was. When my plate finally arrived my wife was done with her meal and I asked for a box for her left overs. As I am halfway through my meal and still eating while my wife is sitting there waiting for me, our waitress comes by and asks me if I wanted a box for my meal as I am still eating. I told her no, because I was going to finish it. This made me feel like I was being rushed out the door to free up the table. At that time we ordered a desert to take home, since we kind of got the feel of how long things would take remember I am only half way through my main course and was already ordering dessert. The next time the waitress came to our table she brought our check and took my empty plate, this was at 2:48pm and our dessert has not come out yet. Next I am overhearing the manager at the table next to us apologizing for the poor service and the patrons advising him that they just arrived and there had no problem at all. Then he realizes he is at the wrong table. When he comes to us and apologizes he had the nerve to say he had wished the waitress hadn't already processed our check because he would have bought our dessert. A little too late if you ask me. Anyways after he left we started to think about taking them up on a free dessert to bring to our neighbors who were nice enough to watch them while we could have a nice Valentines Day lunch together. We asked the waitress and they if this was possible which they had no problem with it and placed the order, it is now 3:00pm. 3:10 no dessert, 3:20 no dessert, 3:30 no dessert. Finally I got up from the table at 3:35 and the waitress was bringing out the dessert. She again apologized and asked that we give them another try in the future. I responded by saying it would be a while before we came back.  So in conclusion: Ambiance: Nice Service: Sucks (hopefully it will get better) Food: Mediocre (A step below Mike's American Grill) Management: Sucked (should have picked up our check and been much more involved)",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=340,2.8560000000000003,2.8560000000000003,2.8560000000000003,2.8560000000000003,2.8560000000000003
226,Stephanie J.,"Burke, VA",234,393,246.0,3.0,2014-02-17,"A great addition to the Gainesville restaurant market that specializes in large chains.  One of the most notable facets of BJ's is their extensive offering of, well, everything. The menu is more like a book and there is certainly something for everyone. The wine and beer offerings are extensive and they offer full bar service too. While the restaurant was noisy the atmosphere was friendly and the service was efficient. It reminded me very much of a Great American Restaurant. We had the cookie dessert and wine during our recent visit, both were excellent. We sat in the bar area because the wait for a table seemed as if it would be long (we were told 45 minutes). However, the bar area has tables and booths with exceptional wait service so we were not inconvenienced or off put at all. BJ's seems to be one of the better chains and I will visit again to review a more extensive selection of the menu.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=200,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003
202,Kelly K.,"Reston, VA",259,1638,1223.0,3.0,2014-02-18,"Spacious restaurant with a nice vibe although the music was a little too loud for my taste. It was packed last Sunday at lunch. We managed to get a seat in the bar area. Our waiter provided better than average service. The food was tasty though nothing seemed fresh made. Rather it was like upscale fast food. I tried the fish tacos and it seemed like frozen fish sticks with prefab lettuce, cabbage and cilantro that had no flavor.  Prices vary from reasonable to a bit pricey. The half rack BBQ was 17.95 which was pricey. It came with a small serving of tasty beans and a side order of choice.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-gainesville-4?start=120,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003
