,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
722,Deborah Z.,"Los Angeles, CA",0,2,,1.0,2012-01-02,"Sitting here waiting for some service.... I had to get up and order a beer at the bar because nobody has passed to ask us if we.are doing ok....well they pass.. I'll get up again and order from the bar because I'm watching a hokey game with my man.... But seriously??? Maybe I should apply.. Without any experience I'll be far better than anyone here next to the bar!!! Fyi talked to the manager... I've never done this before in my life.... All he said was..... ""SORRRRYYYY"" OK.... YA I'M SORRY TOO..",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=720,2.6,2.93,2.93,2.404,2.798
659,Kyle S.,"Burbank, CA",369,350,82.0,3.0,2012-01-08,"I like this place way better than the Burbank location. Its nicer and the staff is friendlier. However, the staff could be more attentive. I had to ask our server like 4 times to put on the Clipper game until i gave up waiting and  had to ask another server walking by. When she came to refill our drinks, she kept reaching over me to refill my boyfriends glass while i was eating. She almost smacked me in the face with her arm a few times. The bathrooms are usually neglected. Last night i noticed the trash cans were overflowing with used paper towels and the sink counters were soaked. kinda gross. Make sure you get your parking validated!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=660,2.56,2.93,2.93,2.668,2.782
430,May P.,"Los Angeles, CA",102,226,2.0,1.0,2012-01-09,"After careful review of their allergen menu, I decided to get a cheeseless mini vegetarian pizza, as the dough is vegan, and a salad. The salad was great, but the pizza was the most pathetic piece of crap I've ever seen. They're not kidding about it being mini. And you would think that with a cheeseless pizza, they'd naturally put more marinara sauce on it or olive oil to retain the moisture. That's pretty intuitive, right? Nope. They basically just baked some bread, put some tomato sauce in the center and tossed in about a quarter of a handful of olives, bell peppers and onions on top. I'm not joking. They were so stingy with the toppings that I had to complain to our server that this was the most pathetic piece of crap I'd ever seen. $10 for a piece of crusty bread with some crap on it. C'mon man, I got nothing else on this pizza, and you're gonna give me this stupid excuse for a meal? I'm never going back here. It wasn't even comped. They offered to have them do it again, but honestly, by the time it came back out, my friends would have already finished the meal and would be stuck waiting for me to finish. Bull$hit. Get it right the first time. THIS ISN'T HARD.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=500,2.52,2.91,2.91,2.5000000000000004,2.7540000000000004
468,Stevie K.,"San Bruno, CA",148,50,65.0,4.0,2012-01-11,"Glendale.  Saturday Night.  I'm in town for a seminar and all I can think about is where am I'm going for beer, food and place to watch the playoff games. BJ's naturally (especially since it's walking distance from the hotel).  Well I'm no stranger to BJ's so I knew what to expect. Delicious beer, decent food and a good atmosphere with good service. I've got to say that the place was fairly busy but I was able to snag a tall table next to the bar with my friends. Since I'm still sticking to my new year's resolutions I scan the menu for some healthy options and what do you know, they have a section just for this. It's called Lighter Fare or something like that. Well I'm debating between the Tilapia with rice and a chicken something or other. I ask the waitress which is better and of course she tells me both are great. I go with fish and a Lightswitch Lager which also happens to be low calorie, for beer at least.  Food comes out and it looked, smelled and tasted delicious. I pretty much wolfed the whole thing down in fifteen minutes while chasing it with two of those light switches. The only complaint about the food was with the rice pilaf. There were a couple of hard balls of rice, kinda like when you leave the rice cooker on and a ball forms at the bottom, but's that my only complaint. The fish tasted good, was tender and flakey and didn't stink.  All in all it goes like this:  Food- 3.5 stars Beer- 4.5 stars Service- 4.5 stars Atmosphere- 4.0 stars",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=520,2.52,2.93,2.93,2.8960000000000004,2.766
796,min k.,"Los Angeles, CA",2,57,20.0,1.0,2012-01-25,"came here today for lunch with two others. we ordered the cajun pasta, fettucini alfredo. both with chicken. we also had some tacos. all were lunch specials and the pastas came along with soups. the soups were chilli and clam chowder. first off, the servers were friendly and nice. when i came to the food, yuk. the soups came out later than the pastas. the chilli soup had a strong smell and taste of hard liquor. the clam chowder tasted exactly the same as the progresso chowder except much more salty. the pastas came along with two pieces of garlic bread as well. i've never had nasty garlic bread, and this is the one. omg.. the fettucini.. wow... it tasted sooooooooooooooooooooooooooo bland. the sauce wasn't there and omgomgomg wtf?! seriously?! i was jst eating cuz i felt bad for the person who treated me out for lunch. and even that person said dat dish was a ripoff. and my pasta had no chicken when it came out. but later the server brough me the chicken. i would've forgotten lols. anyways. if you want to get some food, i would recommend microwaving frozen meals.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=800,2.52,2.9,2.9,2.5000000000000004,2.748
528,Genesis C.,"Valley Glen, Los Angeles, CA",41,72,30.0,5.0,2012-01-28,"Im just going to start off By saying, I LOVE BJ'S!!! (I Know it sounds wrong but Don't think that way Dirty Birdie!) Ok Well where to begin! Well when we arrived it was like 9:30pm and there was a clippers game going on so it was a full house! We arrived at 9:30 and Sat by 9:40 so we got seated really fast which was a plus and we got a booth the looked over the whole restaurant which was awesome!  So Now on to the Food! Well Let me start of by saying that this was my 2nd time going to this place and The first time I came here I was, for lack of a better word, Drunk! So I don't remember my first time lol But this time I was Sober and Starving. So I decided to go with The BJ's Bacon Cheeseburger and Can I just say that it was AMAZING! the Meat was delicious and The thin cut Fries were Delicious!! My Friends ordered different things One of them ordered a Deep Dish Pepperoni Pizza and My other friend ordered a Regular burger. We all ordered Pepsi so No Alcoholic beverages for this dinner lol but I hear the beers are Really good! Maybe Next time!  Overall my experience was Great, our waitress was super nice and the food was sooo good! So I definitely recommend this place!!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=540,2.6,2.91,2.91,2.9000000000000004,2.7860000000000005
432,Karla G.,"Los Angeles, CA",562,261,361.0,2.0,2012-02-03,"I am a huge fan of BJ's. I love their salads, pizza and beer. The BJ's we frequent the most is the one in Woodland Hills. Anyhow, I chose to have a dinner party at this particular location this week because it was closer for the people in my party. We got there and the hosts were very pleasant. We went in, sat down, and waited... and waited... and waited some more... By the time I was done reading the menu for the 100th time, I decided to get up and ask someone to please send our server over because we were starving. The host tried to chase the server down and was ignored. The server finally came over, took our order and... we waited.... and waited... and waited some more for our drinks & appetizers. Oh boy. ""This isn't going to end well"", I thought, so I calmly walked over to the hosts and asked to speak to the manager. Kate (the mgr) came over, was extremely apologetic and immediately took action. She took our orders, checked on our appetizers and drinks and slowly but surely things started to turn around. I explained to Kate that this was not a good time for our server to provide crappy service because I had guests there and it was a very important occasion, so I wanted everything to go smoothly. She totally understood and REALLY made our experience great from that point forward. She took the wrong appetizer back & brought us the right one, got us our drinks, got us chips & salsa and even gave us a couple of extra pizookies for the kids to make up for the frustrating first half of our dinner. She went above and beyond any manager I've ever dealt with at any restaurant and for that, I am extremely grateful. Thank you BJ's for having an exceptional employee like Kate, she REALLY, REALLY, REALLY turned a potentially awful situation into a positive one!  Kate also gave me a $25 gift card to compensate for all that went wrong, so I will definitely give this BJ's another shot and hopefully give them a better review as well. :)",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=500,2.56,2.91,2.91,2.472,2.7700000000000005
669,Keita M.,"Los Angeles, CA",27,8,,4.0,2012-02-11,"I was looking for a place to a watch the Laker game have drinks and boy was BJ' s in Glendale just the place. They had the game on many t.v.'s throughout the restaurant. The menu was great they had food recommendations with the beer, which they brew right there. Being that it was my friend's birthday the waitress was nice enough to bring us a chocolate chip cookie with ice cream and one candle. Then as a side bonus the waitress gave us two free drinks which were ordered and perhaps they screwed up the order so we benefit much, and the best part was I didn't have to break the bank the check was reasonable and so the  tip just flowed off the pen like sweet words spoken from a poet's tongue.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=680,2.64,2.9,2.9,2.6719999999999997,2.7960000000000003
425,J.P. B.,"Torrance, CA",276,225,568.0,2.0,2012-02-12,"Came here to meet up with some friends and I am sadly disappointed with the service.  We went up to the hostess and got a table put on the wait list and received a pager.  Found out that its a 30 minute wait, so we headed to the bar to have a few drinks and appetizers as we waited for the table to be prepared.  Nearly an hour has passed and there was still no call, went up to the hostess and was notified that we were next.  Waited another 15 minutes and found out that they had called out the reservation, without using the pager.  So we had lost our table and had to wait to get our table prepared.  What's the point of handing out a pager if they weren't going to use it?!   We finally get seated, food orders came out pretty late, and towards the end our server was nowhere to be found.  It wasn't until we got hold of a manager that we got some service.  It was nice that the dessert was complimentary due to the lack of service, but I doubt I'll be returning to this BJs anytime soon. On the upside, the food was good.  Irish root beer and the avocado wraps were both good.  A good pizza and their Pizookie are always welcome :)",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=500,2.68,2.89,2.89,2.408,2.806
612,Sophia C.,"Los Angeles, CA",306,756,83.0,3.0,2012-02-17,"Came here for a late Friday afternoon lunch with a friend. Place again was mellow and we weren't  surprised that it was only a handful of people. Our waitress Tania (spelling?) was absolutely perfect, always checking on us if we needed anything from lemons for our waters to asking if our food was ok every 10-15 minutes.  Their lunch menu selection is fair, and the prices start at $5.95 and up. I ordered the half chicken baked potato with a ceasar salad. The salad was huge portion for lunch, and the 1/2 baked potato wasn't anything small. I was genuinely full from my meal, while my friend enjoyed a turkey burger and he enjoyed it.  And what, beers during lunch time start at $3.50? That would have came in very handy at a stressful job I had down the street back in the hey days if BJ's existed that long ago.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-glendale?start=380,2.72,2.88,2.88,2.604,2.8160000000000003
