,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
277,Shant T.,"Los Angeles, CA",6,23,7.0,2.0,2012-01-03,"Roaming the streets of the Century City mall one afternoon, I got the urge to indulge in a rich and heavy lunch. When I get this urge, I like to really make it count, so it's not an easy decision. However, I was quite hungry so time was of the essence. I settled on BJ's because (1) I'd briefly walked into this location once before and was actually taken back by how nice it was for a BJ's - it's a new location, (2) I'm a sucker for a good beer list, and I remembered seeing at least 30 beers on tap, and (3) I thought a good deep dish would hit the spot. Okay, it's nothing too special today, but BJ's it is. Atmosphere: Clean, modern, and lively. Plenty of tvs around the bar. Nice outdoor dining facing Constellation Blvd.  Beer: I'm ballparking this, but at least 30 beers on tap, ranging from 8-10 BJ brews to your typical imports to seasonal craft beers. Not the most unique brews, but still, it holds its own, especially for a chain. I had 2 pints, and apparently they're $3 during lunch time... boom! Service: Corporate chain. Very good. Food: I hadn't viewed a BJs menu in quite some time, but it's approaching Cheesecake Factory status (fyi - i like CF)... geezuz, so many pages! Similar format too. I dont know, maybe it's the same company. Going back to the ""rich and heavy"" theme, I ordered a small pepperoni/meatball. I don't generally prefer deep dish, but I've had some damn good deep dish before. Gotta say though, not a fan of BJ's version: 95%  fluffy dough / 5% toppings, cheese, and sauce. What is that?? I mean, if they served that as actual bread, it would be fine, but your signature pizza?... no! I get the feeling a lot of the items on the menu would be just okay. Not terrible, but nothing special...  At the end of the day, I felt like I wasted an opportunity of indulgence. Disappointment sets in. Oh well...",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=280,2.88,2.88,2.88,2.3440000000000003,2.88
333,Wendy L.,"Los Angeles, CA",36,47,,3.0,2012-01-05,BJ's has decent pizza. Pizookie is really good. Service is ok. Prices are typical for this type of places. Wines kind of suck. Beer selection is good. Like the new Century city mall location so I don't have to go to Westwood to mingle with the college kids.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=300,2.84,2.84,2.84,2.444,2.84
109,Yi Z.,"Oakland, CA",682,2747,1045.0,2.0,2012-01-25,"Even though it's one of the four busiest weeks of the year for work, we decided to have a work lunch for the WHOLE office. You know I'm not one for turning down free meals but this time I was in a hurry to eat and get back. Of course I had low expectations given that we had a party of 20. The server was nice and did a decent job accommodating everyone's needs and taking orders.  We had two large tables and each table started with a ""Best Beginnings"" platter. It was definitely the best part of the entire meal.  After waiting another 25 minutes, we got our entrees. That was pretty fast considering the size of our group. Too bad my entree was terrible.  I got the ""New"" $5.95 Chicken Quesadilla lunch special.  I don't even know why I ordered a cheap entree since the meal was FREE to me anyway.  It was the worst quesadilla I've ever had. The tortillas they used are probably not even tortillas.  The thing was as hard as a brick.  I opted out on the beans and asked for some rice instead. The rice was not appetizing at all. So the lesson we learned today is: DO NOT order the Chicken Quesadilla.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=100,2.88,2.88,2.88,2.2800000000000002,2.88
341,Denise W.,"Beverly Hills, CA",33,4,,1.0,2012-01-27,I have been to this place a few times since I work in Century City.  The service is always terrible and the food is not very good.  I decided to give it one last chance and went today.  Nothing had changed still bad service and mediocre food.   Stay away from this place.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=340,2.76,2.76,2.76,2.212,2.76
287,Robert M.,"Santa Clarita, CA",44,35,7.0,3.0,2012-01-28,"If you go, regardless of the experience, you MUST get a pazookie. The service is so bad here that it honestly ruins the whole experience for me. We usually go for dessert and coffee because for something like that it does not matter too much if the service is horrible. For dinner, it is going to be pretty bad....",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=320,2.8,2.8,2.8,2.508,2.8
229,Mark F.,"Los Angeles, CA",42,36,,2.0,2012-02-09,"This chain restaurant is not a place to seek out specifically for Happy Hour Specials, but if you happen to be in Century City, check out their festive Happy Hour scene with 20 different beers on tap.  With TVs throughout the bar area and easily visiable from the restaurant, this is a good place to watch a game.  BJ's Happy Hour Specials run 5pm to 7pm daily with $1 off all cocktails, making a Stoli Martini $7.30. A glass of Barefoot Merlot or Chardonnay is $5.95. Happy Hour Specials on food include $2 off appetizers which brings Thai Shrimp Lettuce Wraps to the reasonable price of $8.95 and very fresh Ahi Poke to $7.75.  Happy Hour Mark and his wife Bar Method Mimi make it their mission to find all of the best Happy Hour Specials in Los Angeles, which they write about on their blog ",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=220,2.72,2.72,2.72,2.3440000000000003,2.72
350,Courtney V.,"Caledonia, MI",0,16,2.0,4.0,2012-02-09,"LOVE this place! Service is always great, beer is awesome, and my favorite to order: Buffalo Chicken Pizza!!!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=340,2.76,2.76,2.76,2.544,2.76
91,Cat N.,"Orange County, CA",4274,1319,5891.0,4.0,2012-02-10,"BJ's isnt the best, but its always there... After debating where to go, my friend and I decided to have lunch here.  I ordered the sandwich and soup combo.  When my lunch arrived it was HUGE.  It included the following and their description: Roasted Turkey Cobb Sandwich: Threw out the 1 piece of bacon and enjoyed it.  It inluded roasted turkey breast, tomatoes, avocado, lettuce, dijon mayo, and blue cheese dressing.  I did not taste the avocado, which was good for me.  There was plenty of turkey inside and the bread was very thick.  Bread was good to tear and dip with my tomato soup. Tomato Basil Bisque- Some oil floating on top but very delicious and creamy.  It was very flavorful and I definitely recommend.  Their cup was pretty big for a cup. Wedge Fries- You get to choose between wedge or crispy.  The wedges were too much and I think I had like 4 and stopped.  They were good though.  Not too salty and just right. I'm unsure how much the total was but it was from their lunch special.  My friend had the prime rib sandwich.  Said it had to much grilled onions inside.  The service was good and our waiter was attentive.  Maybe because the manager was on the floor  Overall, we were pretty happy today.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=80,2.76,2.76,2.76,2.448,2.76
327,Tiana H.,"Austin, TX",1021,568,255.0,4.0,2012-02-12,Perfect for a quick lunch on my break. $8 for half and half special. Love their great white pizza too. Cesar salad is amazing. Awesome bar area if you don't feel like waiting for dining room seating you can seat yourself.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=300,2.8,2.8,2.8,2.352,2.8
240,Rachel S.,"Los Angeles, CA",73,399,29.0,3.0,2012-02-20,"BJ's is a pleasant place on par with The Cheesecake Factory. They have a dictionary-sized menu and you can choose almost any mediocre dish you can think of, and unfortunately, the calorie counts are also listed. The servers are polite, though it'll take you about 20-30 minutes longer than you think because the staff is a little pokey. The last time I went there, I opted for an 800-calorie steak over a 1500-calorie salad because, hey, I'm not burning my whole day's count on a salad. The portion sizes here are enormous, but even so, I'm not sure why everything has SO MANY calories.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=240,2.84,2.84,2.84,2.1879999999999997,2.84
218,Seiji N.,"San Francisco, CA",122,250,26.0,3.0,2012-02-23,"I've always gone to the BJ's in westwood... and whoa, this BJ's looks super upscale with all the business wo/men having drinks after work. They have gigantic TVs and would definitely be an awesome place to watch a game. There were 4 of us in the party and we were seated right away and offered drinks. The server suggested drinks for us and also looked like sara bareilles. I had pizza earlier that day so I went with their Creole Tilapia... or so I thought. When I got my food they actually gave me the Chicken A La Fresca. You would think that I returned it and got my original order, but I was so distracted by the fact that our waitress looked liked sara bareilles that I ate my Chicken. For dessert with had the sampler pizzookie. Those things are so amazing... how do they make the cookies so soft? Other than the food mess up, the place was good, but seeing as how I'm going to a restaurant for the food experience, I can't over look that detail. Sorry BJ's, even though you look super nice, I gotta give you a three.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=200,2.84,2.84,2.84,2.1239999999999997,2.84
332,Arthur S.,"Van Nuys, CA",18,104,42.0,5.0,2012-02-27,"Great service, Many options on the menu. I really love their pizzas especially the bbq chicken, the crust is soo thick with plenty of cheese.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=300,3.0,3.0,3.0,2.324,3.0000000000000004
213,Gilbert S.,"Tustin, CA",754,53,68.0,1.0,2012-03-05,Im not too satisfied with the food quality.. service Sucks.. parking is impossible and the wait is way too long ! Don't waste your time here !,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=200,2.96,2.96,2.96,1.8600000000000003,2.96
301,Manolet C.,"Los Angeles, CA",0,19,6.0,1.0,2012-03-10,"Terriiibbbblllleeee service! Called in for take out, i was there standing for 10 minutes and no one even bothered to approach and asked me if i needed something.  I was even wearing shoes, jeans and sweater. how much more if a homeless looking man came in these guys won't even give a crap where there employer gets the money to pay them. 3 people standing at reception booth, neither one of them bothered. then it took 20 more minutes for my order since the person who took my phone order didn't processed my order to the kitchen. seriously.. who hired these people?",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=260,2.84,2.84,2.84,1.924,2.84
283,Marika P.,"Los Angeles, CA",26,17,,1.0,2012-03-26,"TERRIBLE SERVICE. We waited for our server to take our drink order for about 20 minutes. Another 15-20 until we actually GOT our drinks. We waited over an hour for our food. It was a Thursday evening, and the restaurant was hardly busy. Food was incredibly mediocre and way too pricey for what I was given. I will never go back to this location.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=320,2.76,2.76,2.76,1.956,2.76
235,T T.,"Los Angeles, CA",180,383,27.0,4.0,2012-04-01,"Good Food and Good Beer....what more does a girl need? AMBIANCE: Nice general feel to the restaurant, with semi-dim lights, nice decor, etc. We sat at the bar, and there were some interesting distractions on the interesting TV embedded in the wall. For all the other singles out there, it didn't strike me as the type of place you'd go to meet new people.   FOOD: Since we both already ate, prior to meeting up, we just munched on some Santa Fe Spring Rolls while we sipped our beers.  They were really good, and if the rest of their menu is that creatively tasty, I am definitely interested!   BEER: We came for beer, and beer is what we got.  They have a great selection of beers on tap, and even though it was 11pm on a Sat, they said $1 off drinks and $2 off appetizers -- sounds good to me. ~Don't get the Raspberry Chocolate whatever!!  It's so overbearingly sweet, you don't want to go there, unless you're a sweet cider type person (I like crisp ciders). ~The other beers in between were not memorable ~ I really liked the Boddington's Pub Ale.  It was a good, light beer;  perfect to end the night with.  The head was insanely thick (because of the nitrogen). PRICE: For what you get, you're not paying much.  I thought the drinks were cheap ($5-7 draft beers, and some bottles were around $10), and the appetizers were good sized portions and pretty fairly priced ($5-10).",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=220,2.8,2.8,2.8,2.352,2.8
190,Shannon H.,"Los Angeles, CA",332,312,161.0,1.0,2012-04-04,"UPDATE: This place sucks!!!! I thought it would be a great BJ's to enjoy lunch here at the century city mall. I've been to this location at least 3 or 4x's for lunch but today's experience topped them all. The atmosphere when you walk in is cool and the greater are nice. But I decided to eat lunch at the bar today... Biggest mistake I've made. The bartender is so sloooooowww! This lady was horrible! I asked for a glass of water and literally watched this bartender grab a glass, notice it was dirty and tried to scratch the visible dirt off of my glass with her fingernails. Disgusting!!! Ordered a cajun chicken pasta with no tomatoes & onions for my fiancé because she's allergic and I ordered a turkey club with no tomatoes. Food came out and my fiancé food looked fine. I ordered a turkey club but was brought out a 1/2 turkey cobb sandwich. Had to wave and flag the bartender down for ten minutes before she corrected my order. By the time my turkey club came out my fiancé finished her pasta to notice at the bottom there were chunks of onions and tomatoes!! She's allergic!!  After running to the bathroom to like I tried to flag the bartender down for ten minutes again and showed her the plate with tomatoes and onions. She apologized and said ""I told them no onions and tomatoes! That sucks!"" then grabbed my credit card and paid. Before signing the receipt I asked why is she still charging me for the pasta even though you guys' mistake could've killed my fiancé? She replied by saying ""I figured you guys were in a rush because you're on lunch."" I requested a manager and he never came out to speak with us. Minutes later some guy approached us claiming he was the manager with a modified receipt that removed the pasta and said he took care of it. Never apologized nor greeted himself. Overall, I'll never ever visit this location again because of their unfriendly staff, dirty dishes and lack of sympathy and responsibility for their actions. I use to love this place because it was convenient for lunch since we work in the Westfield building. This experience ruined it all.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=180,2.64,2.64,2.64,2.052,2.64
275,Cathy M.,"Los Angeles, CA",49,31,,5.0,2012-04-04,"And they deliver!!! I feel like such a geek loving hem the way I do but they're just that good. Found a site LA bite which rocks! It always comes fresh and organized perfectly. Huge fan of their Chicken Tuscan limone. If your by the mall or at home craving a huge menu to choose from and a great service, LA bite and bj's can not be missed.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=280,2.76,2.76,2.76,2.516,2.76
251,Sey I.,"West Hollywood, CA",34,9,,1.0,2012-04-09,"I love the chain BJ's, but this restaurant can't seem to get their act together.  I've been to this location about 6 times and have had horrible service.  I keep wanting to give it another chance because I like the chain and have had good experiences at other restaurants.  I've been given the wrong order (during take out), have had really cold food, or really burnt food (had their Mediterranean pizza). Most recently, I placed an order for pickup.  When I got there, I was told that someone had already retrieved my order.  Then when everything was cleared, the food I got was cold and they tried to charge me $15 more than what I had been quoted online. The staff always appears disorganized and flustered and not once has my order been correct.  With this most recent trip, enough is enough.  I won't ever go back to this BJ's.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=240,2.68,2.68,2.68,2.052,2.68
193,Patrick B.,"Los Angeles, CA",161,398,4.0,2.0,2012-04-11,"Overall... didn't love it.  The decor looks good... feels like a large upscale bar.  The food and beer choices were vast.  However, in a nut shell it is a sports bar - with bar food.  Very loud atmosphere, average service and OK food.  If you are drinking a lot - you won't notice. If you are sober, you'll be disappointed.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=180,2.64,2.64,2.64,2.152,2.64
209,Naz H.,"Los Angeles, CA",96,130,11.0,4.0,2012-04-16,"I love this place, I have been to several locations and always go back.  I am a Chicago Gal and their pizzas are good, nothing close to GINOS East in Chicago but still good replacement.   I am a big fan of pizza, and this location is the best, in the Century City Mall.  Parking is easy and it works for me.  I also love the beer, I get the sampler every time, I love their little bits section, I get to indulge and not feel guilty.  Service is always the same and food is consistent.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-los-angeles-2?start=200,2.76,2.76,2.76,2.352,2.76
