,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
320,Linda T.,"Long Beach, CA",132,399,69.0,3.0,2012-01-03,"We had dinner here after wine-tasting, we got to sit at the firepit which was very nice. We ordered pizzas and burgers, and pizookies, which I opted out of. Everyone enjoyed the pizzas, but the rest of us who had hamburgers were a bit dissapointed. The meat was a little too charred for medium-well. It was a bit dry, too. Overall though it was A-OK.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=320,3.44,3.44,3.44,2.9240000000000004,3.4400000000000004
315,Jamie L.,"Chicago, IL",186,61,17.0,3.0,2012-01-04,"They've got a great beer selection, and a menu like an Applebees with a ton of different American style types of meals to choose from. The food was definitely a little better than your average chain, but nothing to write home about.  I got the Ahi Tuna Salad. The salad was actually pretty good except it came un-tossed, which I guess this is pretty standard for seared tuna salads. Except there was a dollop of wasabi at every corner of the salad . First I tried grabbing the different parts of the salad for each bite but that was kind of obnoxious. Then I tried to toss it so I could eat it like a normal salad, but this caused large chunks of wasabi to be hidden within the salad. Therefore, every few bites I'd get one of the chunks and my nostrils would burn and flare up. Luckily that feeling only lasts a few seconds. Not sure the best way to resolve my issues, but the salad could have been great otherwise. Maybe try mixing the wasabi in with the dressing BJ? All in all the best part of this place was the beer and the atmosphere. Next time I'll just stick to the bar and finger foods.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=300,3.44,3.44,3.44,2.9560000000000004,3.4400000000000004
293,Jackie S.,"Lancaster, CA",31,209,1.0,2.0,2012-01-08,"How sad.  We have a Bjs in my hometown, and I JUST went Friday night. But we were tired and hungry, and I just wanted to sit somewhere that was still open.  All i asked for was a chicken sandwich ..no tomatoes, with a side of honey mustard. it came cold, with tomatoes, and no honey mustard.  I felt our waiter was condescending. He asked if we wanted pazookis. I said no, but my dad and brother had one. I took a bite of his, and he said, ""well, well the people who said no are now having bites."" WTF? Shut up. He did not deserve the 20 dollar tip we left him.  I will not go back to this Bjs ever... CRAP!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=280,3.36,3.36,3.36,2.8880000000000003,3.3600000000000003
396,Karla Z.,"Murrieta, CA",61,61,43.0,5.0,2012-01-26,"BJ's is my cheat day restaurant of choice. I love their deep dish pizza but my absolute favorite is the Black and Bleu burger. It has bacon, creamy blue cheese and garlic pair that with potato wedges and rootbeer and I am in ""I don't care how many calories I am shoving in my mouth heaven"". I am not a sports fan but I don't mind the noise because of the food. Sometimes the wait can be long but it's always worth it!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=380,3.36,3.36,3.36,3.188,3.3600000000000003
393,Chris M.,"Hemet, CA",41,214,31.0,3.0,2012-01-31,"I love BJ's, have been going here since I was a kid (Laguna) but the whole franchise food in a bag is sending BJ's in the wrong direction.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=380,3.28,3.28,3.28,2.9560000000000004,3.2800000000000002
449,P K.,"Oceanside, CA",46,67,5.0,5.0,2012-02-02,I was so happy when BJs finally came to town. The food (especially the buffalo chicken pizza) is great. You can't go there and not get a pizookie.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=440,3.28,3.28,3.28,3.188,3.2800000000000002
403,Natalee H.,"Winchester, CA",77,17,4.0,4.0,2012-02-18,"Yummy pizza and the best shrimp tacos on the PLANET!!!  Awesome margaritas. Had one of my best meals ever here. Always have a good, consistent experience here!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=400,3.28,3.28,3.28,3.056,3.2800000000000002
285,Kris C.,"Beloit, WI",127,392,142.0,2.0,2012-02-28,"What a mess. I was part of a party of three.. We were seated relatively quickly given that it was a Friday night. So no complaints there.  The food came out ice cold, as if it had been sitting there for days. The sides that we requested to go with our food (ranch, honey mustard) did not come and then when asked for again, I only received half of what I requested. This was after the ridiculous amount of time it took to get the food. Clearly there was not enough wait staff to assist with the crowd. Our waitress gave it her best shot, but it was just not good enough. I am very disappointed with the downhill motion of the quality of food and service here. It really is regrettable as this was one of my go-to places for the longest time.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=280,3.24,3.24,3.24,2.7600000000000007,3.2400000000000007
461,Marilyn C.,"Temecula, CA",3,3,2.0,3.0,2012-03-01,"go when its not crowded. they barely refill your water when their busy.  they dont give you complimentary bread like other restaurants. the gourmet mac n cheese sucks, as well as their chicken fried steak. i've tasted better ones at denny's. their pot roast and fish n chips are delicious and my favorites to get. avacado egg rolls are a must for a starting appetizer.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=460,3.2,3.2,3.2,2.9240000000000004,3.2000000000000006
414,Sarah B.,"Wildomar, CA",6,1,,5.0,2012-03-28,"My husband and I visited here for the first time after looking at it for over a year every time we drove past it. Boy are we glad we stopped in! The food was amazing and the drinks were too! We ordered a small BJ's favorite pizza with artichoke and feta instead of olives and mushrooms, a jalapeno burger, and potato skins. The service was nothing short of spectacular. We were in a rush to get home to relieve our babysitter so my husband paid for our meal without looking at the receipt. We realized later that we had been overcharged for our pizza by $4. The next day we called the manager. He was extremely apologetic and mailed us a $15 gift card for a pizza on them! So impressed! We will be back for sure!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=400,3.28,3.28,3.28,3.156,3.2800000000000002
326,Joe S.,"Temecula, CA",54,154,94.0,4.0,2012-04-04,"We hit this place last night for a late dinner.  We started off the night with a nice tall, ice cold Hef, a pomagranet mojito and an ice tea to chase down the avocado egg rolls and the seared ahi tuna appetizers.  I could have eaten this 2 items all night long. For the main course, we ordered Scampi pasta, a sesame salad and a medium rare 12 oz. rib eye with horseradish mashed potatoes.  Yeah, you heard right, horseradish mashers!  Anyway, all was sweet. The waitress (Amber) was really nice but, towards the end of the night, we kind of felt like she was trying to rush us out of the establishment.  Maybe she was about to exit stage left and wanted her tip.  She did do a good job and passed by the table quite often. Total bill was $81.67 for 3 of us.  They need to step up their game to be competitive with The Yardhouse down the street.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=320,3.28,3.28,3.28,2.9920000000000004,3.2800000000000002
296,Michael D.,"Seattle, WA",160,42,35.0,4.0,2012-04-13,"I love BJ's!  What man doesn't?  Joke! The food here is above average for a chain.  Favorites include the Jambalaya, open faced chili burger, deep dish pizzas, fresh made potato chips, and a few others.  So far, there hasn't been anything ordered that was a disappointment.   The lunch specials are really cheap!  Personal size pizza and salad for about $6. Full bar, lots of people, and great service every time I've visited.   Try it, I doubt you'll regret it.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=280,3.28,3.28,3.28,2.9280000000000004,3.2800000000000002
310,Ray V.,"Oklahoma City, OK",2,83,3.0,3.0,2012-04-21,"Being in the suburbs of Temecula, BJ's is a good place to take family or a date.  It can get quite noisy with the mixed crowd and the extremely busy during the weekends.  The servers and host/ess do try their best to accommodate the customers and I do appreciate that.  They also have several TVs playing different sports.  The food is so-so but you really don't go here for the food.  The beer on the other hand is great.  Try the porter or the stout... And if you are feeling like a fat kid, get the ""pazzuci(?)"" It's a freshly baked cookie with ice cream. A-Ok in my book.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=300,3.24,3.24,3.24,2.732,3.2400000000000007
391,Mark P.,"Temecula, CA",17,271,11.0,4.0,2012-04-28,"First, it is a little expensive.  Second, they took the cajun chicken (southwest) sandwich off the menu, but they still made it for me.  Boneless wings were small for the price, but the sauce was good.  Burgers are huge, kids pizza was dry, pasta dishes were large and good.  Service was solid, although we went at 11am so it should be.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-temecula?start=380,3.28,3.28,3.28,2.8000000000000003,3.2800000000000002
