,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
23,Helen D.,"Charlotte, NC",3,8,3.0,5.0,2012-01-08,"It was two days before Christmas and total chaos everywhere except here! Service was excellent, the food was outstanding! My husband and I started with the Mediterranean small bites then each had a pizza. I love their whole wheat crust!  Service was fantastic too!",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=80,2.772,2.772,2.772,2.772,2.7720000000000002
88,Alisa N.,"San Antonio, TX",56,58,72.0,3.0,2012-01-09,I've been to California Pizza Kitchen in TX and GA and usually I have a good meal however I wanted pasta this time and the server convinced me that the Chicken Tequila Fettuccine was delicious. Well the sauce and spinach fettuccine was great but the chicken was dry and left a lot to be desired.  Next time I will stick with real tequila and a pizza please!,https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.476,2.476,2.476,2.476,2.476
63,Eric D.,"Cornelius, NC",104,376,685.0,3.0,2012-02-23,"CPK, as some know it, is an upscale pizza chain.  Upscale from say a Pizza Hut but not too upscale, as you can dress casually.  At one time CPK was kind of special.  Now you can get their pizza anywhere from standalone locations, to airports (Chad E.) to your grocer's freezer section.  So, it was on this visit that I decide to NOT get the pizza. As typical for any place near South Park mall at lunch, the place was packed.  Fortunately, we were seated quickly and promptly waited on.  Upon pursuing the menu and not wanting pizza, I came across my selection...Carnitas Tacos.  The order arrived at the table as two flour tacos w/ not too spicy shredded pork in the middle of each taco.  Topping these tacos was salsa verde, shredded lettuce, cabbage, red onions, and cilantro.  The dish does come w/ avocado but I nixed that topping.  W/ a squeeze of lime, these tacos were pretty decent.  Great flavor and filling w/out leaving you stuffed.  The side of tortilla chips was the only part of the meal that tasted overly processed...like corn flavored Baked Lays.   All of this for $10.75 was a little pricey for two tacos and chips.  But then again, you are in SP and everything here is a little pricey. I recommend this dish as a great healthy alternative to a cheese laden pizza.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=40,2.476,2.476,2.476,2.476,2.476
73,Sammie S.,"Charlotte, NC",22,91,808.0,4.0,2012-06-20,"Can't go wrong with CPK. Food is great, price is decent, and the service is always nice. Have to try their pesto chicken pizza if you like pesto sauce. I've been to this location a few times, never had to wait, which is a good thing, and it's just so convenient to grap a quick bite to eat after a long shopping day.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.512,2.512,2.512,2.512,2.5120000000000005
21,Elizabeth C.,"Charlotte, NC",1,13,,2.0,2012-07-09,Forget this place! There are too many other choices in Charlotte to pay for bad food and bad service. It's a typical 'mall restaurant.',https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=80,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003,2.3120000000000003
66,Mark C.,"Charlotte, NC",35,90,14.0,4.0,2012-12-25,"My mom likes to come here when she visits me in Charlotte, and honestly it's not a bad choice.  They have a decent selection of pizza, pasta, and salads, the seating and orders are always prompt and service is usually pretty good.  Though it's outdoor seating is less than desired, the indoor area is nice.  Prices are reasonable since its in South Park Mall and it's much better than the airport version.  Salads are fresh and customizable.  The pizza cooked with a little burn on them, typical of an oven style.  They have decent lemonade too. I would recommend this as a valid alternative if you don't want to wait at the Cheesecake Factory or Maggiano's and don't want to succumb to the bourbon chicken offered at the food court.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=40,2.48,2.48,2.48,2.48,2.48
72,Charlotte F.,"Charlotte, NC",1,15,,1.0,2012-12-31,"Why am I never eating here again? It wasn't the pizza. It wasn't the strange, obtrusively angled interior. Or the fact that a million TVs are flashing at you. It was the horrible service. I took my mom here, and it's the first time I can recall stiffing someone on a tip. There wasn't even a manager that looked available we could complain to. You would think with the economic crises, people would want to hold on to their jobs -- but it amazes me the utter incompetency I see in the big chain service industry. From the minute we entered, two hostesses who have no clue, to a server who has no clue, to a chef who messes our order up, and actually not receiving our drinks until AFTER the food arrives, then waiting AGES to receive a bill. It's just taking the piss. Redonkulous.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.148,2.148,2.148,2.148,2.148
74,Laura M.,"Raleigh, NC",1,12,4.0,1.0,2013-03-10,"I visited this location mid-afternoon on a Sunday. The place was dead so I figured I'd be in and out in less than 45 minutes. Ha! Our waitress took our drink orders and I ordered a water with lemon as I always do. She brought our drinks about 5 minutes later and I noticed she did not bring the lemon. I asked politely if she could bring some lemon and she brought me one lemon slice on a plate....five minutes later.   I ordered some type of salad and specifically asked for no tomatoes on top. After waiting about 20 minutes for this tiny salad, it was delivered to my table with guess what, tomatoes on top! The waitress ran off before I had a chance to say anything. When she eventually returned to refill my water glass, I was picking the tomatoes out one-by-one. She managed to mumble ""sorry about the tomatoes"" before disappearing again.  Now, heaven forbid I was actually allergic to tomatoes! She made it very clear that she did NOT know how to listen. She did not offer to have the salad remade and I pretty much never saw her until she delivered the check.  I left unhappy and unsatisfied. It's unfortunate that decent customer service is so hard to come by. However, I will not be visiting this CPK anytime in the future.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.244,2.244,2.244,2.244,2.2440000000000007
87,Mike H.,"Charlotte, NC",0,21,,2.0,2013-03-11,"The food is delicious but the service has never been good.  One night, my date (who is lactose intolerant) asked for a salad sans cheese. The salad had to go back three times before they got it right. My pizza was cold before my date could even eat. Another night I received a beer with a huge chunk of slushy ice in it. This was after clarifying our order twice, as the waiters don't like to write things down.  My verdict: if you want CPK, get takeout.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.408,2.408,2.408,2.408,2.4080000000000004
75,Neal D.,"Charlotte, NC",1,52,1.0,4.0,2013-04-19,Their tostada pizza is really good and that is what I get every time I go there.  The staff is friendly and the pizza is good.,https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=60,2.576,2.576,2.576,2.576,2.576
68,Heather J.,"Charlotte, NC",45,111,497.0,3.0,2013-04-30,"Love their Italian Chopped Salad...and they have a pretty wide selection of choices on their menu....some Mexican flair too!  BUT, we asked to sit on the patio (it was a lovely night out) and they said no. They wouldn't send a server out there to serve us.  No bueno.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=40,2.476,2.476,2.476,2.476,2.476
28,J P.,"Cleveland, OH",1,28,9.0,3.0,2013-05-14,"Food is always good, service is hit or miss. Prices are high. Nothing special. Salads are creative and fresh.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=80,2.476,2.476,2.476,2.476,2.476
64,Sasha R.,"Charlotte, NC",158,313,2010.0,2.0,2013-06-14,"Service was great, but food was not. The bread on my grilled veggie sandwich was mushy. It could have used a light toasting or grilling. The chili relleno was a pre-made, frozen item. The cracker taco pizza looked good, but had way too much ranch poured over the top. There are much better food options in South Park.",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=40,2.3440000000000003,2.3440000000000003,2.3440000000000003,2.3440000000000003,2.3440000000000003
47,Crista P.,"Charlotte, NC",68,28,1437.0,4.0,2013-07-01,"I have eaten here quite a few times over the last 3 or 4 years & almost never had a bad meal here.  Thai crunch salad, sedona tortilla soup, veggie pizza, grilled veggie sandwich, and the Mediterranean small plate are all solid choices.  I also really like the Mediterranean veggie egg rolls but the price is a little high for what you get so I don't order them often.  The flavored teas & lemonades are also good.  On my last visit I ordered the white pizza but it was way too salty so I don't recommend it! Service is alright.. No horror stories but nothing amazing either. Oh well I'm not here for the environment, I just want tasty food & this place has it!",https://www.yelp.com/biz/california-pizza-kitchen-charlotte?start=20,2.544,2.544,2.544,2.544,2.544
