,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
60,Joselyn Y.,"Boston, MA",9,129,31.0,3.0,2014-01-14,"The two times that I have been here with family have been solid. Solid service and typical CPC food (aka pizza). Honestly I came here because my family wanted to come but it's not something that I would go out of my way to eat-- but only because I don't really like CPC food in general. This location has been great in terms of service and I wouldn't mind coming here again with family. Also, they recently remodeled this location and it looks great!",https://www.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.66,3.66,3.66,3.66,3.6600000000000006
120,Joselyn Y.,"Boston, United States",9,129,31.0,3.0,2014-01-14,"The two times that I have been here with family have been solid. Solid service and typical CPC food (aka pizza). Honestly I came here because my family wanted to come but it's not something that I would go out of my way to eat-- but only because I don't really like CPC food in general. This location has been great in terms of service and I wouldn't mind coming here again with family. Also, they recently remodeled this location and it looks great!",https://nz.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.724,3.724,3.724,3.724,3.7240000000000006
44,Derek D.,"Stamford, CT",50,168,120.0,4.0,2014-01-27,"CPK is usually pretty consistent...usually. Anyway, I was at Westfarms doing my Christmas shopping. Love Westfarms, btw. I had a BankAmeriDeal for 15% off any CPK so I figured I might as well use it.  Usually just get the BBQ chicken pizza (it is their signature pie after all) but decided on something different. Did the California Club which was pretty good. Service was pretty good at the bar. Had a beer and all was well in the world.",https://www.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.728,3.728,3.728,3.728,3.728
104,Derek D.,"Stamford, United States",50,168,120.0,4.0,2014-01-27,"CPK is usually pretty consistent...usually. Anyway, I was at Westfarms doing my Christmas shopping. Love Westfarms, btw. I had a BankAmeriDeal for 15% off any CPK so I figured I might as well use it.  Usually just get the BBQ chicken pizza (it is their signature pie after all) but decided on something different. Did the California Club which was pretty good. Service was pretty good at the bar. Had a beer and all was well in the world.",https://nz.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.7920000000000003,3.7920000000000003,3.7920000000000003,3.7920000000000003,3.7920000000000003
114,Vanessa M.,"Winsted, United States",248,453,1098.0,5.0,2014-03-20,"Came here because the kids received some money and wanted to shop. It was also one of their birthdays so we decided to take them out for lunch at CPK as they had never been. We couldn't have had a better waiter.. he was so patient and did not screw one thing up! The 2 nine year olds had soething off the kids menu and they were very happy AND stuffed. The pizza is an individual sized pizza and you can get a sundae for .99cents. The sundae is a decent size.. in fact the whole thing was a decent size that I might order off the kids menu going forward! They also gave a free sundae to the birthday girl, which was nice.  I have to say the kids were very happy and have decided that they would like to return which is a pretty big deal in our house.",https://nz.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.7960000000000003,3.7960000000000003,3.7960000000000003,3.7960000000000003,3.7960000000000003
54,Vanessa M.,"Winsted, CT",248,453,1098.0,5.0,2014-03-20,"Came here because the kids received some money and wanted to shop. It was also one of their birthdays so we decided to take them out for lunch at CPK as they had never been. We couldn't have had a better waiter.. he was so patient and did not screw one thing up! The 2 nine year olds had soething off the kids menu and they were very happy AND stuffed. The pizza is an individual sized pizza and you can get a sundae for .99cents. The sundae is a decent size.. in fact the whole thing was a decent size that I might order off the kids menu going forward! They also gave a free sundae to the birthday girl, which was nice.  I have to say the kids were very happy and have decided that they would like to return which is a pretty big deal in our house.",https://www.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000008
28,Esmeralda K.,"Newington, CT",52,94,167.0,4.0,2014-04-06,CPK is awesome! Never used to be a fan before.. But the times that I've gone recently it's been really good!  The food is delicious.. The spinach artichoke dip is YUM! And the sangrias are to die for! Soo good and not too strong either! The service is awesome and the wait time isn't bad at all!  They also remodeled the one in WestFarms!,https://www.yelp.com/biz/california-pizza-kitchen-farmington-2?start=20,3.664,3.664,3.664,3.664,3.6640000000000006
49,Kim R.,"Wallingford, CT",6,20,42.0,4.0,2014-04-26,"Came here today not really knowing what to expect. My boyfriend got the California club pizza, which was good but a little difficult to eat since there was basically a salad piled on top, but a tasty salad. I got the fish tacos which would have been really good if the fish wasn't so dry. Our friend got the four cheese pizza which he said was one of the best he's had. I'd definitely come here again but only for the pizza.",https://www.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.664,3.664,3.664,3.664,3.6640000000000006
109,Kim R.,"Wallingford, United States",6,20,42.0,4.0,2014-04-26,"Came here today not really knowing what to expect. My boyfriend got the California club pizza, which was good but a little difficult to eat since there was basically a salad piled on top, but a tasty salad. I got the fish tacos which would have been really good if the fish wasn't so dry. Our friend got the four cheese pizza which he said was one of the best he's had. I'd definitely come here again but only for the pizza.",https://nz.yelp.com/biz/california-pizza-kitchen-farmington-2?start=40,3.568,3.568,3.568,3.568,3.568
69,Esmeralda K.,"Newington, United States",52,94,167.0,4.0,2014-06-04,CPK is awesome! Never used to be a fan before.. But the times that I've gone recently it's been really good!  The food is delicious.. The spinach artichoke dip is YUM! And the sangrias are to die for! Soo good and not too strong either! The service is awesome and the wait time isn't bad at all!  They also remodeled the one in WestFarms!,https://nz.yelp.com/biz/california-pizza-kitchen-farmington-2?start=20,3.472,3.472,3.472,3.472,3.472
