,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
212,Tracy L.,"Manhattan Beach, CA",20,24,,3.0,2012-01-03,"Just met a girlfriend for lunch at the CPK in the Manhattan Village Center.  I must say I've always been a huge fan of the menu- tons to choose from: pizzas (obviously), great salads, and awesome appetizers.  My favs are the tuscan hummus appetizer, the new-ish Moroccan Chicken Salad (I'm a massive beet lover and they load them in this salad), and the stand by BBQ Chicken Salad (the ranch they serve with this is so good).  Oh, and if I'm not super hungary, I always get the split pea soup which has tons of barley in it.  LOVE!  The service is usually pretty consistent and the vibe of the place is very casual and easy.  Great place for lunch or a quick bite before movies across the way.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=200,3.32,3.32,3.32,2.7,3.3200000000000003
125,Michelle K.,"Los Angeles, CA",54,42,6.0,4.0,2012-02-03,My favorite items are the Roasted Vegatable salad and the California Club sandwich...yummy! I love that there is a selection of small craving items to choose from. New items have been added to the menu recently so it is definitely worth a trip!,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=180,3.4,3.4,3.4,2.8640000000000003,3.4000000000000004
243,Lauren Y.,"Redondo Beach, CA",93,203,6.0,2.0,2012-02-03,"do not waste your money on a cheese pizza here. if you're forced to come here, get a fun pizza with cool toppings. my pizza was greasy with burned, thin crispy crust, and i didn't even order the thin crust. parking was horrible, probably because i ordered it ""to go"" at lunch time. i'm never coming here again, too many really great other places in the area. two stars for good service, though.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=220,3.36,3.36,3.36,2.6320000000000006,3.3600000000000003
122,Marvin Abdul Hasib S.,"Los Angeles, CA",1132,687,280.0,3.0,2012-02-18,"Had lunch here a few times, not because i wanted to, but my co-workers made me. LOL @OLGA But yeah, its not too bad. Ive had the White pizza with Bacon, and i was amused. Maybe because ive had reaaaaaaaaaally good white pizza before, which makes all other white pizzas kinda suck for me! LOL But all in all my boss loves it, as well as my coworkers, and the last time our server was really cool.  oh.... and Parking Sucks!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=180,3.28,3.28,3.28,2.732,3.2800000000000002
245,Shalott H.,"Inglewood, CA",26,5,,2.0,2012-04-09,Do not order the guacamole.  It's basically corn held together with a little avocado.  They should call it corn dip. Very disappointing for someone who loves all things avocado.,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=220,3.2,3.2,3.2,2.6320000000000006,3.2000000000000006
105,Dang N.,"Huntington Beach, CA",195,1019,116.0,3.0,2012-04-09,"Never been to a California Pizza Kitchen and I grew up in CA.  Well, I finally went.  I thought I was going to a simple chain pizza joint kinda like Pizza Hut.  But this place is a little more upscale kinda like Red Lobster.  Unfortunately this doesn't necessarily mean the food is any better.   Went with two friends and we got the lettuce wrap and the white corn guacamole chip dip for appetizers.  Then we got the BBQ chicken pizza and the caramelized peach salad.  We split everything. The guacamole dish is tiny.  Maybe 2 dozen chips on the plate and a scoop of the guacamole dip.  Not great.  In fact, kinda tasteless and I really love guacamole.  A good 2.  The white corn kernels they put in there are pretty dominant in the dip but was seriously lacking in taste. The lettuce wrap actually wasn't bad.  A 3.  Pull your lettuce wrap in your hand and put their ground beef in it and bite.  Get this if you come here.  Spencer thinks lettuce wraps are just an American version of Thai Larp.  He's probably right.  This dish pretty much is that except without any of the spiciness.   The BBQ chicken pizza, meh.  Not great.  Slightly thin crust but without the crunchiness you expect from a think crust.  And the pizza's kinda small.  I could eat a whole pizza by myself.  Maybe 12"" in diameter?  A 3. The salad actually wasn't bad.  I thought it had more flavor than the pizza.  A pretty decent sized salad with a good mix of greens and spinach.  If I ever come back to a CPK, I think I'll only order a salad.  What does that tell you when I go to a pizza restaurant and don't even plan to order the pizza?  Yeah, ""if I ever come back"".  Probably won't unless invited.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=140,3.16,3.16,3.16,2.7640000000000002,3.1600000000000006
197,Robert H.,"El Segundo, CA",807,199,349.0,3.0,2012-04-24,"I'm a frequent customer to CPK and this one restaurant in particular, today I was in with a couple of friends to help out with some charity.  CPK was putting 20% of receipts towards Manhattan Beach's education budget this week, so, my 2 buddies and I ate fairly good! I tried a new item on their menu, Camelized Peach salad.  It had basic greens (no iceberg!), Gorgonzola cheese, cranberries, red onions, and warmed peaches, all in a light vinaigrette dressing, oh, and I order bacon for $2 extra.  It also has chicken ($4) or shrimp for extra added options.  It was missing something, it looked great yet it seemed, well, light somehow.  Oh well, if anything, it was healthier for me than if I indulged in one of their yummy pizza or pasta dishes. Will be back again, as this is in our usual lunch rotation and the help is friendly but I'll pass on this salad.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=160,3.16,3.16,3.16,2.7640000000000002,3.1600000000000006
165,Judi S.,"Orange County, CA",1138,1153,310.0,4.0,2012-04-28,"A pizza place for a weekend lunch is not my first choice, but the two gals at work were hungry and to be honest, so I was I, so I decided to split a pizza we custom made by ordering online. It was basically a Hawaiian pizza with sausage, easy cheese. Pick-up time: 20 minutes. So by the time I get out of work, into my car and find my way over to Manhattan Beach Plaza where this CPK is located, Its time to pick-up the grub. The parking here at lunch time can be absolutely horrendous. Never fear, CPK has a couple of parking spots designated just for those customers who want to pick-up their food or for those that don't even want to leave the comfort of their vehicle, they have curbside service here, too. How lazy is that?? The pizza was waiting for me when I arrived, and fresh and delicious when we chowed down back at the office. i highly recommend their online ordering system. It worked for me.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=120,3.16,3.16,3.16,2.8640000000000003,3.1600000000000006
217,Lyndsey N.,"Saint Louis, MO",52,263,268.0,2.0,2012-05-21,"Service is bad every time we go, unacceptable. and the restaurant is always dead! Why should it take more than 30 mins to get a couple appetizers? or just ordering food? I don't get this place. I don't like it. I usually love CPK but go to a different location if you are craving this. I don't know, I seriously give up on this place.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=200,3.12,3.12,3.12,2.6640000000000006,3.1200000000000006
216,Bree J.,"Los Angeles, CA",86,108,78.0,3.0,2012-06-02,"I prefer the CPK at a different location. This location felt a little to formal for my liking. The waiter was a little too casual, almost as if we had gone to school with him or had known him for a very long time. The food is always good.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=200,3.12,3.12,3.12,2.8280000000000003,3.1200000000000006
214,Brianna M.,"Torrance, CA",53,148,28.0,3.0,2012-06-19,"i like the BBQ chicken pizza normally come here for lunch with co workers- friends  i have some beef with this place tho  i feel they want to be ritzy but i don't get it your a pizza place,  i normally get the wedge salad too everything taste ok . this place is by the mall so sometimes its hard to park",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=200,3.04,3.04,3.04,2.8920000000000003,3.0400000000000005
229,Lou T.,"Rancho Cucamonga, CA",0,3,,2.0,2012-07-22,"Bad service even though the restaurant was dead, our waitress NEVER once offer to refill our drinks. After our food was served, we're literally on our own. There were plates on other tables that were sitting there since we came in that was never picked up or cleaned. Kinda gross. We're long-time CPK customers but will never visit this location. It's the worst we've ever been.  What's the point of ordering food at a restaurant if there is NO service?",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=240,3.04,3.04,3.04,2.7920000000000007,3.0400000000000005
224,Joyce A.,"Manhattan Beach, CA",0,157,,2.0,2012-08-11,"We used to frequent CPK in Manhattan Beach when it was under the original ownership.  It was VERY noticeable, the new owners are cutting corners to build up the bottom line, my perception.  We had: wedge salad with Bleu Cheese Dressing (weak dressing and lettuce was ""floppy""), the fish tacos with salsas (very few pieces of fish and the salsa did not taste fresh), Mac n' Cheese (OMG - you can make better from Kraft - talk about STICKY and not enough sauce), dinner salad (lettuce / tomatoes were floppy, hardly enough Ranch, weak dressing, and boxed croutons).  We never received a water refill.  They had so many staff running around training each other they forgot their customers - not good!  HQ needs to take notice - here they closed the LA Food Show to focus on CPK, BIG MISTAKE!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=240,3.08,3.08,3.08,2.8560000000000003,3.0800000000000005
228,Roz J.,"Los Angeles, CA",0,2,,1.0,2012-08-18,"While the staff are still friendly,and the location central,the menu is no longer worth the money one is paying. I gathered from a staff member the business has changed ownership,and it truly shows. We will never go back. Pizza size has shrunk,so it no longer feeds 3 , and the once large ( even in the small size) chopped salad is about 4-5 spoon sized servings , and includes commercial grade turkey sliced in with fewer garbanzo beans, presumably to compensate for the almost invisible salami, and a few pieces of chopped tomato. I'm very disappointed that the idea of reducing portion sizes ,and increasing prices is the way the new owner welcomes return clients. As I said,we shall NOT be returning.",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=240,3.0,3.0,3.0,2.8200000000000003,3.0000000000000004
193,Meghan S.,"Alexandria, VA",71,224,45.0,4.0,2012-10-22,Get the wild mushroom pizza if you like mushrooms. I got it with tomato sauce instead...and it's amazing!,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=160,3.0,3.0,3.0,3.152,3.0000000000000004
204,Yoli F.,"Manhattan Beach, CA",261,44,12.0,5.0,2012-10-31,"Love it! Always great service and delicious food - CPK Manhattan Beach, CA",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=200,3.0,3.0,3.0,3.22,3.0000000000000004
170,Craig W.,"Inglewood, CA",108,180,189.0,4.0,2012-11-05,Always a good time had a big party and was very accommodating,https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=120,2.96,2.96,2.96,3.024,2.96
112,Greg P.,"Lomita, CA",124,187,171.0,3.0,2012-11-14,"This was like a 3rd or 4th choice after a weekday work lunch fell apart.  First off, like other reviews have already mentioned, parking here is a disaster!  The aisle right outside CPK is ALWAYS so SLOW ugh!  Don't even bother circling to find parking, just go 4 aisles down and walk cuz that's what you're gonna end up doing anyway.  If you work in the area, you're gonna see all your co-workers in large groups as this appears to be the default place for that kind of thing and it's very loud inside. I think I ordered the wrong thing.  I got a chicken penne w/ sun dried tomatos.  The sun dried tomatos were chewy, like TOO chewy, and I had to grind on them w/ my teeth in order to swallow them.  Fail.  My co-worker got the Sicilian pizza and I had big time order envy.  The meat toppings looked legit and not dried out. Our waitress was pretty but slow.  Granted they were slammed but we were constantly waiting on refills and she was slow to return w/ cheese and peppers, utensils for a +1, everything arrived correctly but was just VERY slow.  Not her fault per se but they were def under staffed that day. =-/",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=140,3.0,3.0,3.0,2.8920000000000003,3.0000000000000004
188,Leona S.,"Los Angeles, CA",406,622,664.0,4.0,2012-11-20,"Despite people's hate for chains, I actually like the CPKs and TCFs.  This location is awful in the Village. Parking is crazy crazy, especially during lunch rush. However, we've ordered a bunch of times for our office lunches, and they're always consistent, ready on time, never missing any orders and always gives us bread/butter. My all time favs of CPK are BBQ chicken salad, Chinese Chicken Salad, Fettuccine w/ Shrimp and the Chicken Tequila Pasta (soooo good!!). Yum!!",https://www.yelp.com/biz/california-pizza-kitchen-manhattan-beach?start=160,3.12,3.12,3.12,2.9280000000000004,3.1200000000000006
