,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
61,Jason F.,"Holladay, UT",46,235,119.0,4.0,2012-01-12,"This CPK is kind of a petite version of normal CPKs. It is quite small compared to all the other CPKs I have visited.  When this location first opened it was a bit shaky in terms of service. I think they have finally resolved those issues. Also the menu seems to have improved, and I like the new options. CPK has moved from a trendy kind of establishment into more of a mainstream chain. The food is still quality and i like the pizzas quite a bit.  parking can be a bit of an issue as this location in attached to one of the most popular malls in SLC. The constructions seems to mostly have subsided for now. This location is also right next to a Cheesecake factory which can grow very crowded, so you can use this place as a fall-back location if you don;t want to wait.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000003,2.8320000000000007
78,Maestro L.,"Lehi, UT",26,938,1510.0,1.0,2012-02-20,"Absolutely horrible.  Our to go order was wrong and out seated order was cold. We waited over 40 minutes for our food in a less  than half full capacity.  The food, when it dide arrive was cold.  Save your money.  This place rots.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.5320000000000005,2.5320000000000005,2.5320000000000005,2.5320000000000005,2.5320000000000005
69,Long N.,"Magna, UT",16,44,211.0,4.0,2012-04-01,"Love their salads. We ordered the miso shrimp salad. Notoriously the shrimp and crab miso salad. They nolonger carry the crab. I woud recommend thia salad to everyone, very delicious. Wealso oredered the white pizza and sehrimp appetizer. both very good especially The shrimp.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004,2.8960000000000004
63,Jeff T.,"Las Vegas, NV",124,212,190.0,5.0,2012-07-02,"We were bullied into coming here by our kids as payback for an enforced visit to Crate & Barrel.  Not normally a frequent visitor to large chains, I was very pleasantly surprised. Super service, a busy visible manager not only checked in on us several times but was serving drinks,chasing servers, watching the chefs and generally covering a lot of ground. Pay increase warranted! Kids had a pizza, (surprise), wifee took a half Cob Salad which was large enough to feed an entire homeless shelter. I had a Kung Pao spaghetti with shrimp, onions, peanuts and it was spicy and delicious. A surprise!! Conclusion: I should not always pre-judge these chains! PS The manager just grabbed a vacuum!",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.9640000000000004,2.9640000000000004,2.9640000000000004,2.9640000000000004,2.9640000000000004
68,Alesia B.,"Murray, UT",8,4,,1.0,2012-08-01,"I stopped by this CPK on 07/31/2012. I've actually never eaten at a CPK before, and was really looking forward to trying it out. I have lots of friends who have eaten here and love it. So I figured why not. When we got there it was packed, which as to be expect being as this is a very popular restaurant, so I asked to be seated outside where it would be quiet. The host sat us down, and said he would need to find a waiter, but they would be out within a moment.  So we looked over our menus, and after waiting outside for 20 minutes we finally decided what we wanted. Still a waiter had not come by to take our drink orders either. I noticed an employee walk by as I tried to flag him down. Shouting actually quite loudly, he ignored me. We decided to wait about 10 more minutes before stacking up our menus and just leaving through the fenced area. So I can't even say that the food was good. haha. I can say service was definitely horrible, and I probably won't go there again. Even after calling the manager of the store he said he would make sure we were seated right away if we came back, and meal would be on him. Eh, I take that offensively like he thinks we can't afford to eat there... No I can afford to eat here, I just never got my damn order taken.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.468,2.468,2.468,2.468,2.468
4,John C.,"Sandy, UT",407,614,3997.0,2.0,2012-08-05,"I don't know what's worse - the food here, or the fact that people that go here think this is good food?   Very expensive pizza for what you get. I would rather go to Settebello or even Papa John's to get a better tasting pizza, with healthy portions of cheese and toppings.  Service was good, not sure why I had listened to so many people telling me that CPK is awesome?",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=40,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006,2.6320000000000006
76,Steve R.,"Salt Lake City, UT",0,5,1.0,1.0,2012-08-10,Horrible service. Manager is ridiculous. Everything took forever. I would rate 0 if i could. I have been to many cpk's and love most. This one is the worst.,https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004
13,Jean W.,"Riverton, UT",225,365,428.0,3.0,2012-09-19,"Chain chain chain...chaaaiaiaiaian...chain of foo-ood... Should we hold this against California Pizza Kitchen? Yeah, we probably should. And here's why: there's just no love in the food, and it shows. I personally believe there's plenty of love in the recipes they've developed. The incorporated creativity is impressive (Pear-Gorgonzola pizza, people!). But when you franchise these recipes within a network of hundreds of shops, employ a series of preparers (sorry, I just can't call them chefs nor cooks) called things like 'Spyk,' and price these items equivalent to an ounce of gold, it fails to impress. Especially once the bill arrives. CPK, as it's come to be known, serves good and somewhat creative thin-crust pizza, salads, small plates, Italian-esque favorites, a few forgettable desserts, and decent adult beverages, including a surprisingly comprehensive wine list.  Gluten-free, vegan and vegetarian choices, and allergan information for those with food allergies are available. The menu is filled with beautiful and colorful photos of what the food is supposed to look like (I call this ""Getting Wendy-d."")  Sometimes it even comes close. Here are my go-to CPK menu items when I end up here: - Pear-Gorgonzola Pizza (nice mix of flavors) - Tortilla Spring Rolls (Mexi-twist on the traditional - yummy) - Roasted Veggie Salad (the only thing missing is BEETS!) - California Club Sandwich (good bacon and fresh avocado, with chicken/turkey) - Flavored lemonades, and Prosecco! Other entrees I've tried, including most pizzas, have not really lived up to my expectations from even a chain such as this. You're better off getting the 2-fer deal on their frozen pizza from your favorite grocer. I strongly suspect that CPK is in the same family of corporate conglomerates as The Cheesecake Factory. Specific specialties but seemingly hundreds of other choices diluting the menu, overpriced for general quality, oversized portions, largely unhealthy options -  the similarities are uncanny. One final menu note--skip dessert here. In fact, if you're craving something sweet and have any room left after CPK, head over to Brio and order the Mascarpone Cheesecake.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=40,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003,2.8280000000000003
6,Andrew S.,"Riverton, UT",160,382,102.0,4.0,2012-11-09,"I've visited CPK a few times.  Honestly, none of them have ever been by my choice, more for occasions.  To me it's always just been ""oh the pizza chain with the weird flavors"".  Well in many respects that does sum it up quite well. This particular occasion was a Birthday for a family member and the result was a decent sized party, and so a few different pizzas to sample.  And honestly, I think that helped!  Usually when I come here it's novel for the first couple slices but then sort of...well...you know.  You wish there was a different flavor to sample. Well in this with a little slice trading, I sampled three different ones. Chicken Chipotle - Definitely my favorite pizza here. 4/5. Habenero Carnitas - Spicy!  And those who read my reviews (and you both know who you are) know I like things hot & spicy.  This did not disappoint.  4/5. Artichoke and Spinach - 2/5.  One point for artichoke, another for spinach.  Not much else to write home about! I generally am not a big dessert eater.  Not because I don't enjoy such things, more because if I eat such things too often I really WILL become a BIG dessert eater.  Well now I've got myself stuck in yet another time paradox (thank you Universe) I can say that I did enjoy sampling the pumpkin cheesecake.  Very yummy!  I'll give that 5/5.  I should give it 8/5 - because it's yummy, but also a seasonal item, the upshot being there's not too many opportunities I could be tempted by it.  However, we'll stick with 5 because if there is one thing that messes up my enjoyment of any dessert item, it's improper fractions. Service was pretty good overall and prompt.  Drink refills were so fast I could barely keep up!  Now keep in mind this visit was on a Sunday, it definitely helps.  I've never had bad service here, but it can be slow when the place is busy. 3/5.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=40,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.992000000000001
71,Ken C.,"Salt Lake City, UT",0,24,7.0,1.0,2012-12-21,"I'm not very picky about restaurants, and my standards are not outrageous, so when I say this place was the pits, you can take that to the bank. The place was nearly empty, yet the service was excruciatingly slow. It took almost 45 minutes to get my pizza, where normally it takes 20 minutes tops, even when it's packed. The place didn't do military discounts either, which is ridiculous since every other CPK from here to cali does one. Slow service. No patriotism. Nightmare parking. Would not recommend.",https://www.yelp.com/biz/california-pizza-kitchen-murray-2?start=60,2.724,2.724,2.724,2.724,2.724
