,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
138,Chris K.,"Antioch, United States",0,2,,5.0,2012-02-25,"i love going to California Pizza Kitchen. If you go, you must order the Avocado Club Egg rolls for an app. It is my favorite. The Original BBQ chicken chopped salad is by far the best salad on the planet. The host staff is always so friendly and the servers are attentive. Even the take-out is an exceptional experience....",https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=60,3.72,3.72,3.72,3.156,3.7200000000000006
43,Chris K.,"Antioch, TN",0,2,,5.0,2012-02-25,"i love going to California Pizza Kitchen. If you go, you must order the Avocado Club Egg rolls for an app. It is my favorite. The Original BBQ chicken chopped salad is by far the best salad on the planet. The host staff is always so friendly and the servers are attentive. Even the take-out is an exceptional experience....",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=60,3.76,3.76,3.76,3.0600000000000005,3.76
38,Brandon W.,"Nashville, TN",8,23,2.0,4.0,2012-07-20,"Went back a second time with my girlfriend. Really impressed overall with food and service. We split a pizza and a half salad and both left full. Definitely recommend the four seasons pizza, a little different but very good.",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.76,3.76,3.76,2.8640000000000003,3.76
133,Brandon W.,"Nashville, United States",8,23,2.0,4.0,2012-07-20,"Went back a second time with my girlfriend. Really impressed overall with food and service. We split a pizza and a half salad and both left full. Definitely recommend the four seasons pizza, a little different but very good.",https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.84,3.84,3.84,2.8640000000000003,3.84
123,Ally E.,"Killeen, United States",7,26,13.0,1.0,2012-09-16,"My disgusting experience that I had with some friends at CPK in Nashville (Hillsboro Pike) on Saturday, September 15, 2012.   I guess we didn't see the red flags, but it started from the time we walked in the door. We waited 7 minutes to be seated. I know this exact time, because I received a phone call as we walked in, so I excused myself and came in after that. That call was 7 minutes and 42 seconds. My party was still standing at the hosteess station. The restaurant was not half full. It appeared to be a slow night. There was no hostess or greeter on hand. We were asked had we been helped, and were finally seated by our server. I went directly to the restroom. Upon returning to the table within a few moments, drinks were being brought to the table. I immediately asked, ""Don't you all wait until all parties are at the table before taking orders. "" Our server, simply stated sorry. I ordered a strawberry lemonade as did the rest of my party. I was then informed, ""It may take a while, since we just ran out of lemonade"" so I ordered a sweet tea and water. We all placed our orders and waited patiently. We sat chatting amongst ourselves and drinking our drinks. Our server came and brought refills of water, to 2 of the 4 glasses at the table, while our lemonades and sweet teas were not refilled. Our food came, still no refills. At this point, I'm thinking did they run out of sweet tea as well? Finally I asked can I have a refill to either my water or sweet tea. Both of my glasses had ice only at this time. So I was given a refill of water. WOW!! Finally after waiting long enough I asked another server to ask my server for a sweet tea refill. Our food came, and I immediately asked for extra parmesan and croutons. A male server brought me croutons and dressing. The most upsetting part was the MOUSE that ran across the floor. At this point we asked for checks and were ready to go. While we sat there, my husband drank a sip of his water, and said it's time to go now in an upset voice. I asked him what's wrong, and he showed us a dead fly floating in his water!!  As we walked out a CPK employee said thanks for coming, hope you enjoyed dinner and the show in a joking voice. This was a very upsetting experience. I don't see anything funny about it. Seeing a 4 legged critter race across the room while you are eating and the dead fly in a drink, plus the lack of service makes me never want to step foot in this restaurant again. Whether $5 or the $46.43 that we spent, I am a paying customer and expect better.",https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.8,3.8,3.8,2.5640000000000005,3.8
28,Ally E.,"Killeen, TX",7,26,13.0,1.0,2012-09-16,"My disgusting experience that I had with some friends at CPK in Nashville (Hillsboro Pike) on Saturday, September 15, 2012.   I guess we didn't see the red flags, but it started from the time we walked in the door. We waited 7 minutes to be seated. I know this exact time, because I received a phone call as we walked in, so I excused myself and came in after that. That call was 7 minutes and 42 seconds. My party was still standing at the hosteess station. The restaurant was not half full. It appeared to be a slow night. There was no hostess or greeter on hand. We were asked had we been helped, and were finally seated by our server. I went directly to the restroom. Upon returning to the table within a few moments, drinks were being brought to the table. I immediately asked, ""Don't you all wait until all parties are at the table before taking orders. "" Our server, simply stated sorry. I ordered a strawberry lemonade as did the rest of my party. I was then informed, ""It may take a while, since we just ran out of lemonade"" so I ordered a sweet tea and water. We all placed our orders and waited patiently. We sat chatting amongst ourselves and drinking our drinks. Our server came and brought refills of water, to 2 of the 4 glasses at the table, while our lemonades and sweet teas were not refilled. Our food came, still no refills. At this point, I'm thinking did they run out of sweet tea as well? Finally I asked can I have a refill to either my water or sweet tea. Both of my glasses had ice only at this time. So I was given a refill of water. WOW!! Finally after waiting long enough I asked another server to ask my server for a sweet tea refill. Our food came, and I immediately asked for extra parmesan and croutons. A male server brought me croutons and dressing. The most upsetting part was the MOUSE that ran across the floor. At this point we asked for checks and were ready to go. While we sat there, my husband drank a sip of his water, and said it's time to go now in an upset voice. I asked him what's wrong, and he showed us a dead fly floating in his water!!  As we walked out a CPK employee said thanks for coming, hope you enjoyed dinner and the show in a joking voice. This was a very upsetting experience. I don't see anything funny about it. Seeing a 4 legged critter race across the room while you are eating and the dead fly in a drink, plus the lack of service makes me never want to step foot in this restaurant again. Whether $5 or the $46.43 that we spent, I am a paying customer and expect better.",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.68,3.68,3.68,2.6600000000000006,3.6800000000000006
34,Jennifer P.,"Nashville, TN",26,175,19.0,4.0,2012-10-17,"Enjoyed the pear and Gorgonzola pizza...looks a little weird to have a salad ON TOP of a pizza but it is tasty.  The avocado BLT egg roll appetizer was a unique bite that we enjoyed sharing too.  A little slow on the drink refills, but overall a very nice experience with a large group.",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.72,3.72,3.72,2.9920000000000004,3.7200000000000006
129,Jennifer P.,"Nashville, United States",26,175,19.0,4.0,2012-10-17,"Enjoyed the pear and Gorgonzola pizza...looks a little weird to have a salad ON TOP of a pizza but it is tasty.  The avocado BLT egg roll appetizer was a unique bite that we enjoyed sharing too.  A little slow on the drink refills, but overall a very nice experience with a large group.",https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.72,3.72,3.72,3.024,3.7200000000000006
20,Megan W.,"Nashville, TN",10,87,69.0,5.0,2013-01-24,"I'll be really upfront with you in my review of this place. I loved the atmosphere, the hostess was nice, our waiter was on par with service, and the food was good--not the best pizza I've ever had, but it was good. To try and be a bit adventurous, I got one of their appetizers, something with pork dumplings and ginger chili sauce (or something along those lines...) and that was actually very tasty. I ordered their BBQ chicken pizza and asked the waiter to leave off the cheese (all my lactose free buddies say 'holla!!'). After ordering, the manager (I'm assuming) came over before the food came out to ask me about my order; she said I'd requested no cheese and wanted to make sure I meant no cheese at all, not just the mozzerella on top. I said yes, I'm lactose-free, so she informed me that our waiter hadn't asked for the gouda to be taken off and that they were making me another pizza right at that moment, but they'd go ahead and bring the other one out since they'd already made it and they'd take that pizza off of the ticket (I think...) HEY. AWESOME CUSTOMER SERVICE AWARD THERE. The pizza was okay, not the best BBQ Chicken pizza I've had, but that type of customer service gets this place 5 stars in my book all day long. Go on with your organic self, CPK!!",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.76,3.76,3.76,3.0280000000000005,3.76
115,Megan W.,"Nashville, United States",10,87,69.0,5.0,2013-01-24,"I'll be really upfront with you in my review of this place. I loved the atmosphere, the hostess was nice, our waiter was on par with service, and the food was good--not the best pizza I've ever had, but it was good. To try and be a bit adventurous, I got one of their appetizers, something with pork dumplings and ginger chili sauce (or something along those lines...) and that was actually very tasty. I ordered their BBQ chicken pizza and asked the waiter to leave off the cheese (all my lactose free buddies say 'holla!!'). After ordering, the manager (I'm assuming) came over before the food came out to ask me about my order; she said I'd requested no cheese and wanted to make sure I meant no cheese at all, not just the mozzerella on top. I said yes, I'm lactose-free, so she informed me that our waiter hadn't asked for the gouda to be taken off and that they were making me another pizza right at that moment, but they'd go ahead and bring the other one out since they'd already made it and they'd take that pizza off of the ticket (I think...) HEY. AWESOME CUSTOMER SERVICE AWARD THERE. The pizza was okay, not the best BBQ Chicken pizza I've had, but that type of customer service gets this place 5 stars in my book all day long. Go on with your organic self, CPK!!",https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.84,3.84,3.84,3.156,3.84
131,Bridget S.,"Nashville, United States",18,226,5.0,3.0,2013-01-26,Yummie field green salad with salmon..salmon a bit overcooked....,https://nz.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.8,3.8,3.8,2.7640000000000002,3.8
36,Bridget S.,"Nashville, TN",18,226,5.0,3.0,2013-01-26,Yummie field green salad with salmon..salmon a bit overcooked....,https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=40,3.76,3.76,3.76,2.8280000000000003,3.76
49,Brit H.,"Nashville, TN",0,10,,2.0,2013-05-07,"Ok food, overpriced, no ambiance but there's an effort...",https://www.yelp.com/biz/california-pizza-kitchen-nashville?start=60,3.68,3.68,3.68,2.7920000000000007,3.6800000000000006
