,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
175,Michelle W.,"Mission Viejo, CA",38,61,4.0,5.0,2012-01-16,"Everyone knows that the food at CPK is good. I recommend the new Hawaiian BBQ Pizza. When we went to the CPK in Fashion Island a couple of days before Christmas, it was very crowded. Even so, the service was very good. Our server, Oscar, anticipated our every need and want. He was very patient with the small children in our party, who have special dietary needs.",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=160,2.96,2.96,2.96,2.612,2.96
110,Kelly T.,"Portland, OR",0,39,2.0,2.0,2012-02-06,"Less than a year ago CPK came out with a gluten-free crust. Yay. Apparently they (or at least this location) no longer have that. The staff was very friendly and straightforward about this and even helped me locate the gf entrees marked on their normal menu before seating. All 1 of them. 1. Single. GF. Item.   This 1 item happened to be the salmon - with the substitution of stir fried veggies for whatever the normal addition was. This also happens to be one of the most expensive menu items there ($18). I should have simply walked out and gone the ten feet to PF Changs but the bf has an aversion to good food and wanted pizza. The salmon was dry and small. The veggies were veggie-like and bountiful. I'm not sure if there is normally a sauce of some type that goes over the salmon, but don't bother ordering it even if there is. I couldn't even finish it. You're better off getting a salmon fillet from the grocery store and tossing it in the toaster oven at home.  -Great service from both the host and waitstaff -If you want a gf pizza at a chain place, go to BJs. It's by the Balboa Pier -Don't order the salmon",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=120,2.92,2.92,2.92,2.2800000000000002,2.92
69,Lica N.,"Orange County, CA",1055,508,2582.0,3.0,2012-03-20,"Had lunch here with coworkers who were visiting from out of town.  Again not my choice but it had been years since I ate at a CPK so I was up for it.  It was so odd I never realized there was a CPK right next PF Changs. We got there before the lunch rush and sat near the window so they can look out to the beautiful pacific ocean. The menu is has your normal items from appetizers, salads, soups pizza etc.  Well since the restaurant is called California PIZZA kitchen I decided to go with a pizza. White Pizza ~   The pizza has Mozzarella, Fontina, Ricotta, Parmesan, Pecorino Romano and sautéed garlic spinach. They also listed Applewood Smoked Bacon so I added that to mine.  The crust was thinner than your typical delivery pizza but thicker than your thin crust.  It didn't have any sauce so the crust was not soggy.  The 5 cheeses all blended really well together.  The spinach was a great addition although I didn't taste any of the garlic.  The bacon brought it all home as it often does in a dish! Drank it down with mango iced tea.  Warning the tea is already sweetened. Eyes ~ So nice seeing the ocean while having lunch! Nose ~ Is that pizza I smell?!?! Mouth ~ Taste pretty good! Tummy ~ Only ate half but satisfied.",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=80,2.88,2.88,2.88,2.38,2.88
113,Denise K.,"Huntington Beach, CA",690,409,537.0,4.0,2012-03-29,"CPK was one of my favorite restaurants as a child. Nowadays, I tend to eat at CPK less often but it's still a good place to satisfy my pizza cravings. I love their salads and pizzas. The pastas are a little whatever for the price... You could probably get much better pasta for the price. Nevertheless, the boyfriend and I decided to try this place for lunch while we were at Fashion Island and were seated right away. The place wasn't busy, but the workers were all very attentive and service was great! Our waiter and then later the waitress who took over were both very friendly and talkative, and our food came out quickly. We had the white corn guacamole and chips for our appetizer and then shared the california club pizza and four cheese ravioli. The white corn guacamole tasted really fresh and was really good for only about 4 bucks! The california club pizza was delicious - there's really nothing like a CPK pizza. It looked like a salad on my pizza! And the avocado on top just made the dish. Of course, the four cheese ravioli was pretty good but nothing amazing. We were so full and couldn't even finish our pizza but when I do save room, I always get their tiramisu for dessert. Nice place to come for a cute lunch date. :)",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=120,2.88,2.88,2.88,2.416,2.88
165,Scott S.,"Newport Beach, CA",4,26,,2.0,2012-04-13,"I've had problems with portions and food presentation here before, but all of them were corrected by excellent floor managers (Torii was great).  Eating at the bar is best for faster service, esp if you're starving and like to view the kitchen or ESPN.  The California Club sandwich is decent, as well as the Asian Chicken Salad. Pizzas are simply OK, but unable to stand out like rustica-style ( )",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=160,2.84,2.84,2.84,2.184,2.84
177,Shawn C.,"Miami, FL",0,4,,1.0,2012-04-15,"First and last time eating here. I thought the waiter was joking when he brought out my Hawaiian; it looked like a kid's pizza, and the food quality was very low. I would much prefer Papa John's over CPK. I don't know how they can serve crap like that with a straight face(for $12 no less!). My wife had the chicken pasta, and again it was very low quality food. She ate the couple of small pieces of chicken and couldn't stomach the rest. Very disappointing food, and a total waste of money. I'm not sure how CPK is able to stay in business judging by their food. The people at the tables around ours didn't seem very enthused about their food, either. If you are at Fashion Island, skip this place and go to Cheesecake Factory next door.",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=160,2.72,2.72,2.72,2.148,2.72
112,Sandy V.,"Costa Mesa, CA",122,376,329.0,3.0,2012-04-23,I had the small bites asparagus and arugula salad which hit the spot.  Like the name it is a small bite portion so about the size of your average side salad.  Dressing was pretty good service was OK but everyone at my table enjoyed their meal.  All in all average American food.,https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=120,2.76,2.76,2.76,2.476,2.76
100,Charm N.,"Henderson, NV",978,59,25.0,3.0,2012-04-28,"Pretty good. Their healthy salads are pretty good. I got the moroccan chicken salad w beats, squash, avocado, dates, peppers, and carrots which was alright. Ive had it a few times before and liked it better in my previous visits. Our waiter was beyond friendly and helpful! My friend and I really liked him, he checked up on us just enough and our food came out pretty quickly. We split the hummus and pita and really liked it. She had a kids (even tho shes 24 haha) bbq chicken pizza w no onions and liked it. Overall pretty good experience. I do like the consistant service and for the most part consistent food. Ill go back",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=120,2.8,2.8,2.8,2.54,2.8
170,Lori T.,"San Jose, CA",3,4,11.0,1.0,2012-04-29,"SO disappointed! I love CPK, but my most recent visit to the one in Fashion Island Mall in Newport Beach left me with a bad taste in mouth and not due to the food! We are in Newport Beach on vacation. There wasn't a long wait, nor a lot of people in the restaurant, hostess said a 10-15 min wait, no biggie, so I gave my name. There was two other parties ahead of us. Suddenly, this older guy comes in with some kids asks for a table, hostess tells him there is a 10-15 minute wait, he become perturbed and asks why when there are so many tables available (he never took any of us waiting into consideration) so the hostess seats his party BEFORE any of us. I asked why and she said it was because he had come in a few minutes before, I said no he didn't you just told him about the wait and he got perturbed and so you seated him before us. She then said ""well, it's because he has a bigger party then you"" ???? What? She blatantly lied to me. I told her to take me off the list, and she just smiled. I won't be back, at least not to this location.",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=160,2.68,2.68,2.68,2.34,2.68
130,Danielle A.,"Newport Beach, CA",60,92,8.0,2.0,2012-05-25,"I love Pizza and salad.  This place is perfect for me right?  Well, just for the food it is.  We have come here a few times now and we have been seated in the back of the restuarant most of the time.  I like that there are bathrooms back there for easy hand washing, but, the neglect from the staff blows.   I loved my ceaser, a classic go to and tastey.  And I gravitate to the Five cheese and tomato pizza.  It was much better until the calorie requirements came out.  Since then, there is about half the cheese on it now.  I've ordered it about 5 times since that change, and each time it's lacked on the cheese, dissappointing, but, still a great pizza.   The service has been consistantly crappy, the last time we said something the mananger apologized and asked we come back and she would address the service.  It was better once and the last few times, we've been stuck in the back and waiting, waiting, waiting.   We will only go back if there is a fund raiser for the school or another foundation Otherwise, take out.   If you want the food which is super good, get take out.  Serving yourself will be much more pleasent then the service here.",https://www.yelp.com/biz/california-pizza-kitchen-newport-beach?start=140,2.56,2.56,2.56,2.536,2.56
