,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
60,Joe T.,"Richardson, TX",0,58,5.0,3.0,2012-10-31,Thin crust pizza was ok. We ordered the thai pizza but it was too bbqy/sweet for thai.,https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,3.1160000000000005,3.1160000000000005,3.1160000000000005,3.1160000000000005,3.116000000000001
31,Valerie D.,"Deerfield, IL",447,613,101.0,5.0,2012-11-13,"The manager of this CPK, Randy, deserves mad props.  Last Thursday, a local animal shelter, (Orphans of the Storm) was doing a fundraising event with CPK, where, if you brought in a flyer, this CPK would donate 20% of your bill to Orphans.   My boyfriend's mom volunteers heavily with Orphans.  Last Thursday also happened to be her birthday.  So, where else would we go for dinner? CPK does not take reservations.  You can, however, call ahead to put your name in. We had a large party (15) and there was another large party (12) ahead of us on the list.  We didn't mind at all, the restaurant was jam packed, with people using their Orphans of the Storm flyers.  So, we moseyed on over to the bar to have a drink and wait.  And wait we did.  This location is one of the smaller CPK's I've seen, so waiting for a space where 15 people would comfortably fit took awhile... again, which we had NO problem with. We all ordered drinks, and a few appetizers/small plates for the group to nosh on while we waited.  Randy was very apologetic, to which we kept telling him it was no problem.  Well, Randy, is awesome, as I mentioned earlier.  He picked up our bar/appetizer tab.  That's probably 30 drinks and 6 appetizers.  Because we were waiting so patiently.  Taken care of.  On top of that, he said that he'd still give 20% to the shelter.  When we were seated, we all ordered another round of drinks and dinner.  There were a lot of tasty things on the table.  I opted for my usual, pear and gorgonzola pizza.  They changed the crust, some of the pizzas are now offered on a more Neapolitan style super thin crust.  I asked the server if she liked the new crust, and she said it was even better than the original, so I tried it, and it was really good.  I'll definitely continue to get the super thin crust. So, a great experience for a great cause, and will definitely return thanks to Randy's generosity, as well as good food and service.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=20,3.3480000000000003,3.3480000000000003,3.3480000000000003,3.3480000000000003,3.3480000000000003
47,Arletta C.,"Des Plaines, IL",114,133,78.0,5.0,2012-11-29,The Wild Mushroom flatbread pizza is YUMMY!,https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,3.3160000000000003,3.3160000000000003,3.3160000000000003,3.3160000000000003,3.3160000000000007
51,Anisah M.,"Chicago, IL",38,7,1.0,5.0,2012-12-06,"Last Saturday CPK held a ""Breakfast with Santa"" and it was absolutely wonderful!  The food was good, the Santa was quite possibly the best Santa I have ever met, and my mother, my 2 year old daughter and I all thoroughly enjoyed ourselves. Next year I'm bringing all my sister-in-laws and their kids too!",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,3.2840000000000003,3.2840000000000003,3.2840000000000003,3.2840000000000003,3.2840000000000003
30,Rob W.,"Oak Park, IL",194,819,11.0,4.0,2013-01-24,"I've been a longtime regular at the CPK in Deer Park, so I'm not new to the CPK menu. Visited the Northbrook location as I was meeting a friend and it was a central location. Had a ""small plates"" coupon so we opted for the Chicken Tinga Quesadillas and they were pretty good. My friend ordered the Thai pizza of which he is a big fan (as am I) and I went with the Kung Pao Spaghetti (which I substituted penne pasta as it's much easier to eat). That was good as well.  The waiter did a fine job of taking care of us and keeping the beverages full. The only criticism I'd have of any magnitude, was compared to Deer Park, this is a ""low energy"" location. Not sure if it was the lighting, the music or something else, but if you dropped a feather in this place, you'd probably hear it hit the floor. Deer Park has a little more spark to it - which I myself prefer.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=20,3.088,3.088,3.088,3.088,3.088
42,Karen K.,"Chatsworth, CA",1,264,16.0,4.0,2013-05-03,I had a great experience at this location. Coming from LA I have eaten at some of the original CPKs. The food was all fresh and looked fabulous. The restaurant is clean and well kept. I'll be looking forward to dining on the patio when it warms up.,https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.9920000000000004,2.992000000000001
41,Patty C.,"Chicago, IL",122,257,520.0,4.0,2013-05-10,"Friendly service for decent food at a decent price.  CPK used to be my favorite restaurant back in my college days.  These days my palate like to explore a little more, and try different things.  However, I always appreciate the fact that I can come here and count on getting a good meal.  This Northbrook location is pretty new, and it's close to my work, so I do come once in a while.  I love their Hawaiian Pizza and BBQ Ck Pizza, and now they've combined the two to make Hawaiian BBQ Ck Pizza.  Genius!  Their pastas are really good too.  I've tried all of them, and I like them all.  Located at the mall, it's a great place to stop for lunch or dinner after shopping.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=20,3.024,3.024,3.024,3.024,3.024
0,Lucy W.,"Highland Park, IL",1,21,,4.0,2013-06-03,"I too have been going to CPK since living in California.  The location in Northbrook has been hit or miss either with service or with food.  We dined last night and were pleasantly surprised with some of the changes and the quality of the food.  We signed up for the dough club and received a free small plate which we ordered the avocado and corn guac with chips.  The quality was great, the flavor was perfect and the only improvement could of been a few more chips on the plate.  They also asked if we wanted bread, which was a first and brought out a nice crusty bread with an olive oil with fresh herbs in it.  Fabulous!  This is something you would find in california but not in often in chicago so hats off for such a yummy addition!  We ordered a large caesar salad and margarite pizza and my son had tacos.  Everything was very tasty and came at the right temperature.  My only complaint was a few more fresh shavings of parmesean on the salad would of been nice, fresh pepper offered for the pizza and salad, and some serving utensils for the salad and the small plate.  otherwise, I am again a big fan of this restaurant.  And...our server was very nice and genuine and prompt.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=60,3.056,3.056,3.056,3.056,3.0560000000000005
61,Ed S.,"Northbrook, IL",3,43,,2.0,2013-07-03,"Our first time at CPK. Nice comfortable atmosphere, family friendly, good service. We ordered pasta and salad entrees. Both were OK but overpriced. There are plenty of restaurants with tastier food at lower prices. Perhaps their pizza is better but it isn't likely we'll be returning unless they have a generous discount coupon offer.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,2.8240000000000003,2.8240000000000003,2.8240000000000003,2.8240000000000003,2.8240000000000003
54,Kristen H.,"Chicago, IL",42,117,1.0,5.0,2013-07-15,"I hadn't been to California Pizza Kitchen in about eight years, and was kind of hesitant to return, since I did not care for their overpriced pizzas. This time, I decided to go with a different route:  I ordered the chile relleno and it was amazing and I couldn't believe something so good was only 300 calories. Our server was extremely attentive. We had only been waiting for five minutes, and he was apologizing about how long we had been waiting and even brought us their lottery cards for ""waiting so long"". The sangria was huge, filled with fruit, but most importantly, very very strong. I have officially become a fan of California Pizza Kitchen.",https://www.yelp.com/biz/california-pizza-kitchen-northbrook?start=40,3.188,3.188,3.188,3.188,3.188
