,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
54,Ashley N.,"Kansas City, MO",22,34,1.0,5.0,2012-11-14,Well...I'm shocked by how many people dislike this place and I am a restaurant SNOB! I am never disappointed when I go to ANY CPK location. Now I will say that I have never ordered their pizza...please don't judge...but I only order the pasta and salads. Their pasta is absolutely excellent every single time!! The ingredients are always fresh the food is not microwaved or taste as if it were frozen at one time.  When I want great pasta dishes with no worries of if it will be a hit or miss I always turn to CPK...It's my #1!,https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.772,2.772,2.772,2.772,2.7720000000000002
39,Alex T.,"Livonia, MI",34,235,5.0,2.0,2013-01-06,"I have given the CPK chain about five chances to satisfy me.  People seem to rave about their pizza all the time. I have tried several different varieties including classic pepperoni and the famous BBQ chicken.  I just don't understand why people think it's so good.  To me, it's mediocre pizza at an inflated price.  I have consistently felt like I overpaid for what I received. With so many excellent pizza places in the Novi/Detroit area, I don't know why anyone would come here for pizza.  Find a local place, pay less, and eat better pizza, Aside from the food and price, everything else is great.  Quick service, clean, and a nice atmosphere.  However, food is what makes a restaurant a restaurant and this place is lacking.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.44,2.44,2.44,2.44,2.44
35,Annette J.,"Ann Arbor, MI",3093,1398,5037.0,3.0,2013-03-18,"It's been a while since I've been to CPK but tonight my mom and I were doing a little shopping and were too tired to leave the mall for dinner. SO, we chose some pizza, California style. I have to acknowledge that they've really upped their game since last I visited. Sure they still do the pizzas, pastas, salads, but I noticed a change in their ingredients....for the better. Bacon is supplied by Nueske, a nice looking wine and beer list, and a lovely thin crust pizza that I got topped with gorgonzola, pear, and hazelnuts. It also came with some greens tossed with a gorgonzola dressing and I quite liked it. It's not fine dining but for mall food it's juuuust fine. If I had my choice of where to go this wouldn't rank 1st on my list or even top 10 or 20....maybe more. But within the mall? it's pretty good eats.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.54,2.54,2.54,2.54,2.54
25,Patrick H.,"Nashville, TN",1,24,1.0,3.0,2013-03-22,Chips were stale. Tacos a bit salty. Kids liked the crispy chicken and the pasta Alfredo.,https://www.yelp.com/biz/california-pizza-kitchen-novi?start=40,2.604,2.604,2.604,2.604,2.604
37,Michal F.,"Novi, MI",525,280,221.0,2.0,2013-04-02,"Two things this place needs are more consistency and quality standards. My mother and I both got the Salmon on a plank (good friday during lent). It came out overcooked. No tenderness just dry. I expected way more for $18.  I must say i like the microbrews at chain restaurants that I'm seeing in Michigan. Finally some good variety. I got a dead guy pale ale 22oz. This is more of an overall trend though, unless i see something rare or a large selection i wont be impressed. Usually I love CPK but this experience was lacking.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.536,2.536,2.536,2.536,2.536
46,Scott F.,"Palm Beach Gardens, FL",113,20,1.0,2.0,2013-04-06,"Popped in to meet a friend for a quick salad lunch.  Place was not very busy, yet it took more than 10 minutes to have a server approach us.  I ordered the Caramelized Peach Salad, asked to add salmon and have it cooked medium rare (how I like it), the server snapped back extremely snarky 'IT'S COOKED TO ORDER'  When the salad came out was soggy and salmon was overcooked, not just to 'order' but very dry. Out of the few times visiting a CPK, I've had 1 good experience.  Need to step up their game, especially with the customer service. Think I will take my quick business lunches elsewhere.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.504,2.504,2.504,2.504,2.504
45,Scott G.,"MILFORD, MI",0,28,4.0,3.0,2013-06-11,"Love the atmosphere and the décor. Clean, friendly and inviting.  Have eaten here several times already having the spinach artichoke dip; four cheese ravioli; spaghetti Bolognese and the margherita pizza.  I really can't complain about the food. It's tasty, good and the presentation is spot on as well. But, I do have a couple observations.  First, my four cheese ravioli was good. Only problem, there wasn't enough of it. My portion would have been great for a lunch service but when I pay $12.50 for ravioli I expect just a few more in the bowl, which was more like a soup bowl you'd serve at lunch.  I was still hungry when I left after a recent outing. I have to quip that in that respect this really does remind me of California - it's not cheap and the portions are small. Number two; I love good service, but sometimes the service can be too good. An example was last night. The waitress was asking us about dessert before we were halfway done with our meal.  Then, a few moments later (my buddy still was in the midst of eating his third piece of pizza and I my ravioli) she brought the bill. She said there was no rush but asking about dessert halfway through the meal and bringing the bill certainly suggests a ""get outta here soon"" mentality and no, it wasn't past closing time and we weren't exactly lingering over drinks.  I know our waitress was just trying to provide good service but it was a bit overly ambitious. All in all, not a bad place to eat and certainly a cut above the rest of the similar fare in 12 Oaks.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.7,2.7,2.7,2.7,2.7
31,Ashley D.,"Detroit, MI",0,13,3.0,2.0,2013-08-21,Very rude. Difficult to place a carryout order. Constantly put on hold. Food very dry or poorly seasoned,https://www.yelp.com/biz/california-pizza-kitchen-novi?start=40,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005
47,Anna N.,"Wixom, MI",1,27,,4.0,2013-10-03,"Love this place. Been here twice and both times had a great experience.  Got pizza both times so only commenting and rating on that and overall service/experience. Got the works on whole grain and it was delicious. I like to people watch at restaurants...I know it's annoying to catch someone staring in your direction but I mostly do it just to check out and guess what the dish someone else is eating/portion size etc.  I would like to try the pasta's here but I honestly hate to say that paying over $10 for a pasta dish anywhere other than some michelin star restaurant just doesn't bode well with me. Also some creamy pasta dishes I can never finish fully either so I hate to waste my money on thick overly filling dishes and thats why I mostly stick to pizza's at italian style joints. I mean come on you can handmake your own alfredo sauce with ingredients most already have in their kitchen...then you can buy pasta and some garlic bread at the supermarket for under $10 and feed a group of people. Just my opinion though. I have the same view on salads also for the most part. I had to give one whole star to CPK for introducing me to Beringer's Zinfandel wine...omg...it's the nicest wine I have ever had, no joke! I better be able to find it in Ireland when I return home this month. Also the desserts are above par. I've only tried the red velvet cheesecake and it was amazing. I am a sucker for red velvet anything though but this was gorgeous. The portion size was huge and definitely something to share after a huge pizza main.",https://www.yelp.com/biz/california-pizza-kitchen-novi?start=20,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003
22,Sean D.,"New York, NY",14,125,57.0,1.0,2013-12-29,Horrible experience. Horrible service. This place must be run by children. Burnt food and 4 different requests for things and not one came out correctly. Only went here because of long wait at Cheesecake Factory. Big mistake. Would have been better going to mcdonalds and eating off the dollar menu.,https://www.yelp.com/biz/california-pizza-kitchen-novi?start=40,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004
