,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
78,Yourphotoprincess ..,"Orlando, FL",2,11,10.0,2.0,2012-06-02,"The service was great, server was really friendly and helpful. However, some of the items on the menu were slightly not as we expected the Cranberry Walnut Chicken Salad sandwich was really bland. The bread was great (chewy and fresh) but the items in between was not so great.  Chicken was slightly dry and limited.  I flapped open the bread and saw that it was mostly lettuce and tomatoes.  The chicken was so dry that I had to order some mayonnaise on side.  Although the chicken pieces were large in size, the cranberry and walnut were barely there.  I guess they were chopped in bits and pieces that were hard to detect. If you like larger chicken pieces covered in lettuce bits and sliced tomatoes with 20% of walnut, cranberry and onion with THICK bread, maybe this is your sandwich. Overall the experience was memorable in terms of the friendliness level.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=60,2.8880000000000003,2.8880000000000003,2.8880000000000003,2.8880000000000003,2.888000000000001
87,Dd H.,"Roswell, GA",0,58,5.0,3.0,2012-06-18,"Okay, So I am trying this again after two previous tries where I could not seem to get waited on.    Great service and love my avocado eggs rolls.   The pesto pasta with chicken however was a major disappointment....... 5 yes FIVE very small approx 1/4 inch square pieces of chicken.    I honestly thought they forget it.    When I asked, the waiter said, there is a piece, so it is chicken. Major disappointment!   Next time I wouldn't bother to pay for the less than 1/8cup of chicken,    I honestly think I will just give up on this location.  CPK is generally a fav but not this location!",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=60,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.0520000000000005,3.052000000000001
74,Eric P.,"Kissimmee, Orlando, FL",61,263,6.0,4.0,2012-07-15,"This place has location, in spades. So long as you're not aiming to visit in the high shopping days of December, it's usually easy to park nearby. Unlike the Florida Mall location, this one is in a high-traffic area of the mall -- offering lots of people-watching potential if you're in the half of the restaurant facing the food court. Three of us dined for a ""catch-up-with-a-freind"" occasion, and the meal was perfectly paced for that. The right length of pauses, the right (few) number of interruptions, and not a moment's hesitation to split a check. Two tasty red sangrias and a half-salad later and I was perfectly sated and reacquainted with a friend. The only thing that could have enhanced the meal would have been someone controlling a young rug rat who used the divider between tables as his personal jungle gym the first half of the meal. Parents: this is not cute. Ever. But, I've come to almost expect that when dining anywhere near Orlando's famous attractions...",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=60,3.216,3.216,3.216,3.216,3.2160000000000006
38,Greg M.,"Harmony, FL",66,216,39.0,4.0,2012-08-15,"I am a fan, but I never order the pizza.  People in my group always do and it's very good, but for me the wedge salad and fish tacos ROCK! Always fresh and tasty, they keep me coming back and the price it right!",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=40,3.216,3.216,3.216,3.216,3.2160000000000006
37,Janene H.,"Apopka, FL",771,1351,2078.0,3.0,2012-10-04,"California Pizza Kitchen is good every once in a while. I like their BBQ chicken salad. It is hearty and filling and somehow all those unusual ingredients go well together. We also got the Thai pizza which was indeed different. It wasn't bad, but was spicier than I expected and probably wouldn't order it again. Service was decent but not outstanding. The restaurant was seating everyone in one corner of the place while the rest of the restaurant was empty. Our one server did the best he could but seemed stretched a little thin. My menu had something indistinguishable smashed between two pages- not setting the tone off very well. Still, in a mall it's nice to be able to escape, sit down and relax while being waited on.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=40,3.0200000000000005,3.0200000000000005,3.0200000000000005,3.0200000000000005,3.0200000000000005
32,Joshua M.,"Boca Raton, FL",270,288,914.0,2.0,2013-09-08,"California Pizza Kitchen has really gone way down hill in the past couple of years in regards to the food quality and service. I remember the food here used to always taste fresh and it was always a pleasure to come here, when now it's like the 5th choice of a restaurant after all the others are too packed to go to.A friend and I went to CPK on a Saturday evening, and you know something is wrong when every other place at the mall was beyond packed, except for this place. When we sat down, it seemed to me that their menu had shrunk quite significantly. A few years back when this place was great, they had a Buffalo Chicken Pizza, they got rid of that too; just one straw of many to come.  Both of us got the Crispy Mac n' Cheese, which usually is the only reason I'd come to this place. The cheese sauce was not gooey, but very thick. The actually crispy mac n' cheese was just luke warm and not extremely flavorful. Also, their was some strange brown things around the inside of the item. So disappointed in this dish, my friend ate a few bites before leaving on the rest of the plate.  I always wanted to try the Pear and Gorgonzola thin crust pizza here, and I have had it at other places and it was great. Sadly, here I thought it was bland and terrible. When it came out, it basically had almost like a salad on top of it, a problem because it made it difficult to eat with the leafy greens dominating the pizza and making it difficult to get a slice. The pears tasted so processed and not fresh, it really ruined the dish. And even the gorgonzola sauce tasted watered down and added nothing to the dish. I'm usually a big fan of flatbread, but this time it just tasted like cardboard with lots of junk on it. Where usually elsewhere I find Pear and Gorgonzola to be fresh and tasteful, here it was exactly the opposite. My friend got the traditional BBQ Chicken Pizza, but he was not a fan this time. I didn't taste it, but from my view it looked dry and the opposite of tasty. What has happened to this place?! Our waiter was nice, but a little too pushy. From the moment we sat down we were pitched to buy things like some sort of infused water, even when we just asked for regular water. Later on, he also went in for the kill on dessert with us; we were not having it. On a positive note however, when I left my leftover box at the table, a manager came rushing way out of the restaurant to say we forgot this and give it back to us. Honestly, I left it there on purpose because it was terrible, but the fact that this guy came rushing out to give it to us earned them major points back.  At one point in time, I may have given this place a three or even four stars, but the standards here have just tumbled so far down, I fear it is not redeemable. I was so disappointed with our experience here. California Pizza Kitchen used to be our go to place to eat, and now I have to say that I'd try to avoid this place in the future at this point.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=40,2.9840000000000004,2.9840000000000004,2.9840000000000004,2.9840000000000004,2.9840000000000004
28,Tracey B.,"Honolulu, HI",14,40,219.0,4.0,2013-10-15,Shaved Parmesan with arugula and asparagus - I know this is a franchise with average food but wow this salad knocked my socks off. I'd go here just for the salad. Not a bad idea looks like I've just made lunch plans.,https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=40,3.152,3.152,3.152,3.152,3.152
82,Rob M.,"New Smyrna Beach, FL",0,289,30.0,2.0,2013-11-11,"CPK is the best of a lot of bad food choices at the Mall at Millennia and for that they get the second star. It's good fast food or mediocre good food served quickly.  I always feel like they are trying too hard to sell me more than I want here.  A little to pushy on the drink specials, appetizers, and desserts.  They did accommodate our vegan pizza request ...but you could just see and taste that there was no love in the final product. I've come to  the conclusion that their menu and business model just doesn't match what I'm looking for in a good restaurant. I'm just going to plan our trips to the mall a little better in the future and forego a repeat CPK experience.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=60,3.44,3.44,3.44,2.8560000000000003,3.4400000000000004
84,Katie H.,"Longwood, FL",185,54,,3.0,2013-11-25,"After much debate over toppings and verifying with our waiter that there's no ""create your own"" pizza option, we decided on the thin crust spinach & artichoke and the regular five cheese & tomato. Both were enjoyable, but we all agreed that we preferred the latter as the cheese had more flavor and their thin crust is quite crispy. We each ordered a glass of red wine when the pizza arrived and by the time we received the drinks, we'd finished eating, so not the speediest service.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=60,3.36,3.36,3.36,3.0520000000000005,3.3600000000000003
60,Anna-Marie W.,"Orlando, FL",213,301,800.0,3.0,2013-12-13,"We rarely frequent chain restaurants anymore as they are usually boring and predictable.  However, on a day where we found ourselves working at the Mall of Millenia in Orlando, we were starving.  We just had no interest in the choices we had at the food court and some of the other full services places had too long of a wait for us (well, me.)  We stumbled into the California Pizza Kitchen where there was no wait and we were familiar with the great food we have had here in the past. After we ordered a couple of appetizers we were immediately brought some crusty bread and olive oil.  Yum..... We started with the White Corn Guacamole and Chips.  A unique presentation, the avocado was mixed in with white corn kernels, black beans, jicama, bell peppers, cilantro and spicy serrano peppers.  It had a great creamy flavor and paired well with the salty tortilla chips. We also ordered the Fried Mac And Cheese.  They, too, were very tasty.  Lots of creamy cheese and macaroni fried with panko breadcrumbs. We decided to split two entrees.  Being that pizza is the namesake of the restaurant we went with the Pear and Gorgonzola Crispy Thin Crust Pizza.  Except it wasn't crispy.  At all.  Neither one of us really cared for it. The crust was topped with pears, caramelized onions and chopped hazelnuts then topped with field greens in a ranch sauce with Gorgonzola crumbles.  Not only was the crust not even close to being crispy, I think we counted about two pieces of hazelnuts.  The cold field green salad on top was mixed with too much dressing and wilted with the heat of the pizza.  This would be a horrible pizza to have to take home because of the hot pizza and the cold salad do not work well together- especially for leftovers.  We were so disappointed. The second entree we ordered was the Quinoa and Arugula Salad.  I love spicy arugula and it mixed well with asparagus, sun-dried tomatoes, red onions, pine nuts and quinoa.  Topped with Feta cheese and tossed with Champagne Vinaigrette, I thought this was a very unique and tasty salad. Our service was wonderful.  She handled herself very well as a table behind us had misunderstood the menu and blamed her.  Very professional. In all our meal was good.  However, when you call yourself a pizza kitchen I feel like it is the pizza that should be the most delicious item on your menu.  When you advertise a crispy crust and it comes out mushy, that is a major epic fail.  When you advertise hazelnuts on your pizza and there are only two tiny little pieces on the entire pizza, that too is not good.",https://www.yelp.com/biz/california-pizza-kitchen-orlando-3?start=20,3.32,3.32,3.32,3.0200000000000005,3.3200000000000003
