,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
207,Karen C.,"San Francisco, CA",257,163,3.0,1.0,2012-01-05,"At any CPK, I always order the tomato basil spaghettini with grilled chicken. This place has got to be the worst I've tasted. The spaghettini was good, correctly cooked and seasoned however the grilled chicken-omg, the chicken was so salty. I couldn't even mask the salt when I combined it with the spaghetti in one mouthful.  As for the service, the waitress didn't come by our table once in between the time she gave us our check and the times she came to get our orders and give us our drinks.  Lastly, the cherry limeade I ordered was way too sweet. I've never had it before but I'm pretty sure something like what I had isn't supposed to be on the menu. Either everyone in Palo Alto likes their food overly salted and overly sugared or the chef/bartender here has too heavy of a hand with the seaoning. I'm thinking it's the latter.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=200,3.04,3.04,3.04,2.8520000000000003,3.0400000000000005
268,Bee N.,"San Jose, CA",2,49,,4.0,2012-01-15,"CPK is the way to my heart. It's better than Round Tables & Pizza Hut & even Mountain Mike's, although that last one is pretty good in my book too. I'm not big on pizza (I'll eat it but I tire of it easily) but I feel as if I would enjoy any kind of pizza from CPK! I've yet to try more! I haven't tried any of its pasta seeing as pizza is its specialty, but maybe next time, cos there will be a next time!",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=280,3.08,3.08,3.08,3.152,3.0800000000000005
165,Christina G.,"Los Angeles, CA",1463,987,1073.0,5.0,2012-01-16,"Wonderful here-- at night, it's so beautiful looking out the window at all the christmas lights on the trees....STILL on the trees!  Ordered the 4cheese+tomato pizza, split between two people is perfect.  Easy to finish, and easy to feel satisfied.  The crust was slightly sweet, which is great, so it doesn't feel like you're OD-ing on salt... perfection in a moderately sized circle topped with melted cheese and yes that is the amazing goodness of PIZZA!~~~",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=240,3.16,3.16,3.16,3.22,3.1600000000000006
175,O O.,"Redwood City, CA",0,280,,3.0,2012-01-27,"3.5 stars - Quiet for late Thursday dinner.   Service attentive, food good:  chipotle pizza and tiramisu desert.  Pizza a bit too salty for my pallet.  Cozy place for 2, includes a full bar on site, and take out.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=240,3.2,3.2,3.2,3.0200000000000005,3.2000000000000006
134,Matt V.,"Sunnyvale, CA",672,313,59.0,3.0,2012-01-31,"This is a California Pizza Kitchen ASAP. I'm not sure exactly what that means, but I can tell you the differences that I've observed. The biggest difference is that instead of being a sit-down restaurant where you're served by wait staff, they have you start by ordering at the counter. You're given a number that you leave on your table, and they'll find you and drop off your pizza. I guess that makes it ASAP? Dunno. Whatevs. Service has always been fine. My pizza has come out quickly, and people are friendly. As for the taste, California Pizza Kitchen is decent, but there's better pizza out there. What I do like about it, and what would be the only reason for me to go there, is their creativity with toppings and combinations that other pizza places don't typically do. I also like their honey-wheat whole-grain option for the crust. A couple of my favorite flavors are the pear and gorgonzola, and the white pizza with applewood bacon. The pear and gorgonzola is just delightful. The sweetness of the pairs is balanced with the sharpness of the gorgonzola cheese. I also do like these kinds of flavors, that just make your taste buds dance. The white pizza is a bit milder; it comes with sauteed garlic spinach along with five different types of cheese: mozzarella, fontina, parmesan, ricotta, and pecorino romano. I've never been one to protest several different types of cheeses, but as you can see, the cheeses are much milder than the gorgonzola on the other pizza! I like ordering this one with applewood bacon tossed on it; the saltiness of the bacon adds a bit more flavor to the pie. Those are a couple of my favorites, although in general, I tend to avoid California Pizza Kitchen. There are definitely better options from local pizza places.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=180,3.24,3.24,3.24,3.0520000000000005,3.2400000000000007
269,C S.,"Pacifica, CA",0,36,1.0,2.0,2012-03-07,"Why do they only have one person on the take out window from 11:30am - 1:30pm. The manager helps, but put another employee there to push the line. Take out is curbside and people picking up at the take out window. Really seems stressful and not pleasant for the customer.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=280,3.16,3.16,3.16,2.9200000000000004,3.1600000000000006
206,Olivia P.,"Sunnyvale, CA",1,41,289.0,4.0,2012-04-08,"This is one of my favorite restaurants ever, and one that I visit frequently. BBQ chicken salad, dynamite shrimp, and the mac and cheese (childish but hey, it's tasty) are among my favorites. The cheesecake is also good, but the best dessert ever was the sticky toffee pudding, which was taken off the menu, much to everyone's surprise. But the atmosphere is great and the people are nice, which makes a huge difference.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=200,3.2,3.2,3.2,3.12,3.2000000000000006
260,Yasmin K.,"Tempe, AZ",7,26,32.0,4.0,2012-05-01,I lied - I've gone  back several times - the food is actually better now!,https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=280,3.2,3.2,3.2,3.152,3.2000000000000006
162,Diana C.,"Corona, CA",204,691,799.0,3.0,2012-05-05,"I had a huge craving for pizza and the group of friends I was with wanted pizza as well so we came here. It gets a little packed. It was a 20min wait to eat inside. We decided to opt out to eat outside. They have no 5 seaters or 6 seaters. Therefore they just added a 5th chair to a 4 seater table. The service was okay. They are for sure understaffed. Our waiter always brought us what we asked (more bread, water, refills, etc.) but he just took a long time to get it to us because he was so busy attending other tables as well. He was really nice though. The food was overall pretty decent. I had the margherita pizza.",https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=240,3.2,3.2,3.2,2.9880000000000004,3.2000000000000006
203,Vanessa J.,"Colorado Springs, CO",41,167,14.0,4.0,2012-05-05,The roasted artichoke and spinach pizza with chicken on thin crust was awesome! The server was really friendly and I don't think I actually saw the bottom of my water glass once throughout the course of the meal. I'd definitely recommend coming here for lunch or dinner.,https://www.yelp.com/biz/california-pizza-kitchen-palo-alto-3?start=200,3.2,3.2,3.2,3.056,3.2000000000000006
