,Username,location,friend_count,review_count,photo_count,rating,date,review,Url,roll25,roll100,roll250,special_25,Final_Rating
176,Tina M.,"Irvine, CA",125,505,26.0,2.0,2012-01-06,"Yikes! CPK I used to LOVE you. My mom and I used to come to your place literally every other week when I was a teen. I usually don't complain about price increases but CPK's has been especially regrettable. The prices have nearly tripled since I was a teenager (but inflation hasn't, lol) and the quality of the food has gone down. (I remember half an oriental chicken salad used to be 6 bucks!) Everything here is now only so so and sometimes even poor, and it pains me to say it!!! UGH. I hate HATE how they changed the oriental chicken salad--it's so dry and tasteless now and I hate that they got rid of the Shanghai Spring Rolls. Lame!",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=220,3.16,3.16,3.16,2.9520000000000004,3.1600000000000006
81,Melody T.,"Las Colinas, TX",609,639,2769.0,4.0,2012-01-29,This place is great and so was our server!! She made sure are our drinks stayed full. Rasberry Tea was great.  I love the pasta's here. But I tried the flat crust pizza pizza. And I must say it's a 4 star!!!,https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=160,3.16,3.16,3.16,3.184,3.1600000000000006
227,Shannon J.,"San Pedro, CA",42,113,28.0,5.0,2012-02-05,"Can, We just talk about your there amazing salads they are so so so so good. I can't help but get one everytime i go there.. Im not a Big on pizza in fact i don't even eat pizza so im so glad thats its not just another run of the mill pizza place and everything else is secondary but at this place they really strive's to put everything on the same level and thats what i like.  This is just a great place to sit and talk and have a good time with friends plus they do have a red velet Cake need a say more.... Its all fun and games until you order a red velet cake....",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=180,3.2,3.2,3.2,3.2520000000000002,3.2000000000000006
104,JT N.,"Los Angeles, CA",1,40,,3.0,2012-03-13,"I have to admit, the food here is awesome. From their spinach artichoke dip, lettuce wraps, pizzas, and the Kung pao spaghetti. I have nothing negative to say. So, do I recommend you come here for lunch or dinner?? Sure!! Keep in mind, they do not have a lunch menu so expect to pay their regular menu price.  The reason for the three stars is due to the service. It was slow. I took awhile for the food to come out and even longer time for us to get the check. I was also disappointed that we didn't get the complimentary bread and butter, Like I mentioned earlier, they do not have a lunch menu. I know you can opt to get a half size salad for lunch. Their pizzas are about $14 (a little on the pricey side). Most entrees will cost you about that much. So be prepared to have a $20 dollar lunch (entree, tax, and tip).",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=200,3.2,3.2,3.2,2.9560000000000004,3.2000000000000006
179,Michael L.,"Gardena, CA",28,30,4.0,5.0,2012-03-21,"Miso shrimp salad is excellent. When you're watching calories its a lifesaver. Great flavor and the half portion will fill you up. I will buy a full portion and have them put it in 2 halves for just a few bucks more so I can have something later. That way I can also save room for their red velvet cake, which blows the whole watching calorie thing out of the water. I know right?",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=220,3.36,3.36,3.36,3.188,3.3600000000000003
122,Timothy P.,"Long Beach, CA",47,25,4.0,2.0,2012-03-30,I like the food my favorite is the Thai pizza however the waitress did not offer any bread and she hardly came over to the table I had to do something to get her attention. I wouldn't have minded if the place was busy but there was hardly anyone there. Great food not so great service.,https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=240,3.24,3.24,3.24,2.7600000000000007,3.2400000000000007
178,Lindsay S.,"Pacific Palisades, Los Angeles, CA",569,22,7.0,5.0,2012-05-01,"Yummy && worth the crowd && wait awesome service to, my avocado wraps were late && our waiter was concerned about always going to see if they were ready or not it got to the point where she talked to the manager && didn't charge me for them",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=220,3.28,3.28,3.28,3.156,3.2800000000000002
185,Karen R.,"Laguna Niguel, CA",0,22,,4.0,2012-05-12,Good service- we sat at the bar & they do a brisk to go business. Ordered a half roasted artichoke & half jamaican jerk Pizza- the jerk was cloyingly sweet with a little spice - not what I was expecting- its like they mixed their sweet BBQ sauce in with some spice. all in all a good experience.,https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=220,3.36,3.36,3.36,3.056,3.3600000000000003
116,P B.,"Gardena, CA",6,69,13.0,5.0,2012-05-29,"I love CPK. The food is always great and the service is usually just as good. Pizza is my favorite and this place always hits the spot. Salads are good, soups are good and the pizza is phenomenal. The waiters/waitresses are always friendly and nice. The atmosphere is usually relaxed and comfortable. If you love pizza/meat as much as I do then try the ""Meat Lovers"" pizza. If you're looking for something to quench your thirst that isn't soda, try the Mango Iced tea! They also have amazing desserts. Last time I was here I tried the buttercream cake and it was AMAZING. This place is just awesome.",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=200,3.44,3.44,3.44,3.124,3.4400000000000004
109,Ram K.,"Torrance, CA",1,14,,4.0,2012-05-29,"Healthy Pizzas....yes you heard me right.  Pizzas which are healthy - made on whole wheat crust, easy on cheese and sauce, loads of veggies. Their salads rock and the varieties of pizzas you can get is great. Great to have food with family and friends. Next to south bay Galleria, so makes shopping also easy. desserts are also good. Love this place",https://www.yelp.com/biz/california-pizza-kitchen-redondo-beach?start=200,3.48,3.48,3.48,3.056,3.4800000000000004
